ROSANDRE, Amoureux de Liſimene.	ROSANDRE, Amoureux de Lisimène.
PANCRACE, Pere de Liſimene.	PANCRACE, Père de Lisimène.
LISIMENE, Fille de Pancrace.	LISIMENE, Fille de Pancrace.
BACOLIN, Honneſte Savetier.	BACOLIN, Honnête Savetier.
Le COUSIN de Pancrace.	Le COUSIN de Pancrace.
Le DOCTEUR.	Le DOCTEUR.
Un SERGENT du quartier.	Un SERGENT du quartier.
Pluſieurs RECORDS.	Plusieurs RECORDS.
L’ADVOCAT SAVETIER.	L'ADVOCAT SAVETIER.
SCENE I.	SCÈNE I.
ROSANDRE, PANCRACE.	ROSANDRE, PANCRACE.
H!	H!
mon tres-cher amy, je vous trouve à propos, PEez vous en famcar d' ecouter quatre mots?	mon très-cher ami, je vous trouve à propos, PEez vous en famcar d' écouter quatre mots?
PANCRACE.	PANCRACE.
*Cher amy, depuis quand Monſieur je vous ſupplie, Je ne vous vis jamais que je croy de ma vie.	*Cher ami, depuis quand Monsieur je vous supplie, Je ne vous vis jamais que je crois de ma vie.
ROSANDRE.	ROSANDRE.
Encore que jamais je ne vous vis auſſi, Je croy, vous faire honneur de vous traitter ainſi;	Encore que jamais je ne vous vis aussi, Je crois, vous faire honneur de vous traiter ainsi;
Pancrace eſt voſtre nom je penſe?	Pancrace est vôtre nom -je pense?
PENCRACE.	PENCRACE.
Ouï Mr.	Ouï Mr.
ſous ce nom, l’on me connois en France.	sous ce nom, l'on me connais en France.
OSANDRE.	OSANDRE.
J’eſtois preſt d’envoyer un de mes gens chez vous, Mais vous trouvant icy.	J'étais prêt d'envoyer un de mes gens chez vous, Mais vous trouvant ici.
PANCRACE.	PANCRACE.
Je n’eſtois pas chez nous.	Je n'étais pas chez nous.
ROSANDRE.	ROSANDRE.
La cauſe entre nous deux, n’eſt que fort peu de choſe;	La cause entre nous deux, n'est que fort peu de chose;
Il laut tout maintenant que je vous la propoſe, uu laquais comme moy vous en eu fait ſçavant.	Il laut tout maintenant que je vous la propose, u laquais comme moi vous en eu fait savant.
PANCRACE.	PANCRACE.
Voſtre laquais, ou vous Monſieur paſſons avant.	Votre laquais, ou vous Monsieur passons avant.
ROSANBRE.	ROSANBRE.
Je ſuis n’ay gentilhomme, & d’un vieillart fort riche, J’herité force bien, donc je ne fus pas chiche, Car aymant la debauche, & la femme, & le jeu, Tout ce grand bien laiſſé, ſe diſſipa dans peu.	Je suis n'ai gentilhomme, et d'un vieillart fort riche, J'hérité force bien, donc je ne fus pas chiche, Car aimant la débauche, et la femme, et le jeu, Tout ce grand bien laissé, se dissipa dans peu.
La femme commanca de desénſſer ma bource, Et le vin, & le jeu m’ont laiſſé ſans reſource, Et tous les trois, enfin, m’ont mis dans un eſtat, Que je ſuis à preſent preſque auſſi geux qu’un rat.	La femme commenanca de desénsser ma bource, Et le vin, et le jeu m'ont laissé sans ressource, Et tous les trois, enfin, m'ont mis dans un état, Que je suis à présent presque aussi geux qu'un rat.
Il eft vray, que le ſort combatant ma miſere, Ma donné des vertus, capable de vous plaire;	Il est vrai, que le sort combattant ma misère, Ma donné des vertus, capable de vous plaire;
Je ſuis mutin en diable, & me bat comme deux.	Je suis mutin en diable, et me bat comme deux.
Je joüe inceſſament, & je ſçay tous les jeux;	Je joue incessament, et je sais tous les jeux;
Et comme au temps paſſé le jeu beaucoup me coute, Pour m’en recompenſer maintenant je filoute.	Et comme au temps passé le jeu beaucoup me coute, Pour m'en récompenser maintenant je filoute.
Fort bien.	Fort bien.
PANCRACE.	PANCRACE.
ROSANDRE.	ROSANDRE.
Toutes les nuit, en bateur de Pavé, A tirer des manteaux on m’a ſouvent trouvé, Au reſte, pour trinquer, je ne connoiſt perſonne Qui dedans l’incamot plus galemment s’en donne.	Toutes les nuit, en bateur de Pavé, A tirer dans manteaux on m'a souvent trouvé, Au reste, pour trinquer, je ne connaît personne Qui dedans l'incot plus galemment s'en donne.
Il eſt fort peu de jour qu’on ne me trouve ſou, Et comme un bon drillot, j’availe ainſi qu’un trou.	Il est fort peu de jour qu'on ne me trouve sou, Et comme un bon drillot, j'availe ainsi qu'un trou.
Alors, ſuivant le feu qui me monte en ſervelle, Je medy, de quelqu’un, ou je cherche querelle, Ou prenant du tabac, je fume a qui plus plus.	Alors, suivant le feu qui me monte en servelle, Je médi, de quelqu'un, ou je cherche querelle, Ou prenant du tabac, je fume à qui plus plus.
PANCRACE.	PANCRACE.
Finiſſez le recit, de toutes vos vertus:	Finissez le récit, de toutes vos vertus:
ROSANDRE.	ROSANDRE.
Des hier, on me dit que dans voſtre famille, Vous aviez ſeulement, une fort belle fille, A l’age que je croy, d’une vintaine d’ans,	Des hier, on me dit que dans votre famille, Vous aviez seulement, une fort belle fille, À l'age que je crois, d'une vintaine d'ans,
SAVETIER.	SAVETIER.
A qui vous donneriez bien trente mil francs?	À qui vous donneriez bien trente mil francs?
Il eſt vray.	Il est vrai.
PANCRACE.	PANCRACE.
ROSANDRE.	ROSANDRE.
Ce grand bien, m’a fait naiſtre dans l’ame, Le deſir a peu pres, de la prendre pour femme;	Ce grand bien, m'a fait naître dans l'âme, Lé désir a pu pres, de la prendre pour femme;
Afin que ſon argent peut ſatisfaire aux frais, Qu’en debauché garçon inceſſament je fais.	Afin que son argent peut satisfaire aux frais, Qu'en débauché garçon incessament je fais.
PANCRACE.	PANCRACE.
dre, Ce n’eſt donc que ſon bien, qui vous fait entreprenDe l’avoir en vos mains, d’eſtre à peu pres mon	dre, Ce n'est donc que son bien, qui vous fait entreprenDe l'avoir en vos mains, d'être à peu près mon
ROSANDRE.	ROSANDRE.
gendre?	gendre?
Rien autre.	Rien autre.
Et ſans cela, voſtre fille, ny vous, N’euſſiez peut rencontrer un ſi parfait eſpoux.	Et sans cela, votre fille, ni vous, N'eussiez peut rencontrer un si parfait époux.
Auſſi, pour ſeconder l’honneur qu’on vous veut faire, J’ay déja ſceu pourvoir tout au plus peceſſaire, J’envoyé mon laquais hier, de grand matin, Prier tous mes parens de venir au feſtin, Méme, un tailleur & moy, fumes dans des boutiques Pour lever des habits qui ſeront magnifiques.	Aussi, pour seconder l'honneur qu'on vous veut faire, J'ai déjà su pourvoir tout au plus pécessaire, J'envoyé mon laquais hier, de grand matin, Prier tous mes parents de venir au festin, Même, un tailleur et moi, fûmes dans des boutiques Pour lever des habits qui seront magnifiques.
Ayant dit au marchant, pour avoir de l’argent, Qu’on s’en alla chez vous;	Ayant dit au marchant, pour avoir de l'argent, Qu'on s'en alla chez vous;
ſuis je pas obligeant?	suis -je pas obligeant?
Es ce tout?	Es ce tout?
PANCRACE.	PANCRACE.
ROSANDRE.	ROSANDRE.
Au regard de ce qu’à vous m’ameine.	Au regard de ce qu'à vous m'amène.
PANCRACE.	PANCRACE.
Ce n’eſt pas encore tout, Monſieur, prenez la peine De rendre à vos marchands les draps, & les habits.	Ce n'est pas encore tout, Monsieur, prenez la peine De rendre à vos marchands les draps, et les habits.
Deſquels vous pretendiez avoir de beaux habits.	Desquels vous prétendiez avoir de beaux habits.
Et pour le prompt effect de ce beau mariage, Vous pouvez faire dire à voſtre parenrage, Qu’à leur dépens chez eux, il peuvent bien manger, Mais, qu’il ne vienne point chez moy pour y gruger.	Et pour le prompt effet de ce beau mariage, Vous pouvez faire dire à votre parrage, Qu'à leur dépens chez eux, il peuvent bien manger, Mais, qu'il ne vienne point chez moi pour y gruger.
J’ay juré, pour finir en jureur paſſe maiſtre, De ne prendre jamais qu’un grand homme de lettre Docteur en medicine, ou bien docteur en droit, Il ne m’importe pas, pourveu que docte y oit.	J'ai juré, pour finir en jureur passe maître, De ne prendre jamais qu'un grand homme de lettre Docteur en médicine, ou bien docteur en droit, Il ne m'importe pas, pourvu que docte y oit.
Et pour vous dont mon bien a ſceu chatouiller l’ame Vous pouvez autre part vous pourvoir d’une femme.	Et pour vous dont mon bien a su chatouiller l'âme Vous pouvez autre part vous pourvoir d'une femme.
Comment, ROSANDRE.	Comment, ROSANDRE.
PANCRACE.	PANCRACE.
Pour mon beau fils nous ſommes reſolus, De n’en prendre jamais s’y remplis de vertus, Qui joüe inceſſament, qui petune ſiloute Pour ratraper l’argent que le joüeur luy coute Et qui ſous tous le jour renie en chartier A moins que quereller luy ſervent de metier.	Pour mon beau fils nous sommes résolus, De n'en prendre jamais s'y remplis de vertus, Qui joue incessament, qui petune souiloute Pour ratraper l'argent que le joüeur lui te Et qui sous tous le jour renie en chartier A moins que quereller tu servent de métier.
ROSANDRE.	ROSANDRE.
Me réfuſer pour gendre, eſt ce que je m’abuſc.	Me réfuser pour gendre, est ce que je m'abusc.
PANCRACE.	PANCRACE.
Je ne le penſe pas puis que je vous refuſe, Et ſi vous le diſant, cela ne vous ſuffit, Je ſuis preſt de le mettre encore par Ecrit.	Je ne le pense pas puis que je vous refuse, Et si vous le disant, cela ne vous suffit, Je suis prêt de le mettre encore par Écrit.
servſteur ener amy.	serviteur en ami.
SCENE II.	SCÈNE II.
ROSANDRE BAGOLIN.	ROSANDRE BAGOLIN.
OSANDRE.	OSANDRE.
JAmais tour agreable Pour ſe bien divertir, au mien ne fut ſemblable, Ce bon homme me croit un fameux debauché, Et Roſandre pour tant, eſt la deſſous caché.	JAmais tour agréable Pour se bien divertir, au mien ne fut semblable, Ce bon homme me croit un fameux débauché, Et Rosandre pour tant, est la dessous caché.
Roſandre, à qui luy meſme à promis Liſimene, Et qui pour l’epouſericy la lettre amene, Mais j’apperçois venir l'homme dont j’ay beſoin Il faut a me ſervir, qu il applique ſon ſoin.	Rosandre, à qui lui -même à promis Lisimène, Et qui pour l'épouserici la lettre amène, Mais j'apperçois venir l'homme dont j'ai besoin Il faut à me servir, qu' il applique son soin.
Et que l’embaraſſant d’une attente frivolle, Dans cette Comedie, y joüe un plaiſant rolle.	Et que l'embarrassant d'une attente frivole, Dans cette Comédie, y joue un plaisant rolle.
On leve un petit rideau, Bagolin paroiſt dans ſa Boutique, chante, & veut apprendre à ſifler à ſon Oiſeau.	On leve un petit rideau, Bagolin paraît dans sa Boutique, chante, et veut apprendre à sifler à son Oiseau.
BAGOLIN, Chantant.	BAGOLIN, Chantant.
Quoy?	Quoi?
maudit animal, tu ne ſiffleras pas?	maudit animal, tu ne siffleras pas?
Où je me trompe fort, ou bien tu ſiffleras.	Où je me trompe fort, ou bien tu siffleras.
ROSANDRE.	ROSANDRE.
Je ſuis de Bagolin l’amy tres-veritable.	Je suis de Bagolin l'ami très-véritable.
BAGOLIN.	BAGOLIN.
Ie penſe que tu veux, que je te donne au diable?	Je pense que tu veux, que je te donne au diable?
Ro	Ro
ROSANDRE.	ROSANDRE.
Pouroit on point l’amy, quelque temps vous parler.	Pourrait on point l'ami, quelque temps vous parler.
BAGOLIN.	BAGOLIN.
Tu ne veux pas ſiffler?	Tu ne veux pas siffler?
je vais pour toy ſiffler.	je vais pour toi siffler.
ROSANBRE.	ROSANBRE.
Mon tres cher Bagolin, un petit mot de grace.	Mon très cher Bagolin, un petit mot de grâce.
BAGOLIN.	BAGOLIN.
braſſe Mon bon Monſieur Roſandre, ha!	brasse Mon bon Monsieur Rosandre, ha!
que je vous emComment vous portez vous, depuis que dans Paris, J’eſtois orfevre en cuire devant voſtre logis?	que je vous emComment vous portez -vous, depuis que dans Paris, J'étais orfèvre en cuire devant votre logis?
Depuis quand en ce lieu?	Depuis quand en ce lieu?
Et comment va le pere, Qui vous ameine icy?	Et comment va le père, Qui vous âmeine ici?
ROSANDRE.	ROSANDRE.
une importante affaire;	une importante affaire;
Mets cette affaire appart, je te veux marier, Et te faire quitter ton penible mettier.	Mets cette affaire appart, je te veux marier, Et te faire quitter ton pénible mettier.
Tu ſçais que des longtemps je fus ton plus intime, Et c’eſt pour t’enrichir le ſujet qui m’anime.	Tu sais que des longtemps je fus ton plus intime, Et c'est pour t'enrichir le sujet qui m'anime.
BAGOLIN.	BAGOLIN.
Qui moy me marier?	Qui moi me marier?
vous vous moquez ma foy;	vous vous moquez ma foi;
Je ne ſçaurois gagner dequoy me nourir moy.	Je ne saurais gagner dequoy me nourir moi.
Et je pourois pretendre, à nourir une femme?	Et je pourrais prétendre, à nourir une femme?
ROSANDRE.	ROSANDRE.
Que ce ſoin important, n’alarme point ton ame.	Que ce soin important, n'alarme point ton âme.
Cẽtte illuſtre famille, où je veux t’allier, Ne permettra jamais, que tu ſois Savetier.	Compte illustre famille, où je veux t'allier, Ne permettra jamais, que tu sois Savetier.
BAGOLIN.	BAGOLIN.
En diſant Savetier, dites par reverence, C’eſt un metier d’honneur, & des plus grand de France.	En disant Savetier, dites par révérence, C'est un métier d'honneur, et des plus grand de France.
ROSANDRE.	ROSANDRE.
La filie donc je parle a trente mille frane, Elle eſt bel, elle eſt riche, & n’a rien que vingt ans, Voy, ſi ce grand party, te pourroit ſatisfaire?	La filie donc je parle à trente mille frane, Elle est bel, elle est riche, et n'a rien que vingt ans, Vois, si ce grand parti, te pourrait satisfaire?
BAGOLIN.	BAGOLIN.
Ouy trente mil franc, ſeroit bien mon affaire;	Oui trente mille franc, serait bien mon affaire;
J’aurois dequoy goinffrer ſans jamais travailler.	J'aurais dequoy goinffrer sans jamais travailler.
Mais la fille me choque, à vous en bien parler, Comme je ſuis d’Humeur, à n’avoir point famille, A 4 Qu’on	Mais la fille me choque, à vous en bien parler, Comme je suis d'Humeur, à n'avoir point famille, A 4 Qu'on
ROSANBRE.	ROSANBRE.
Quoy dont dix mil eſcus, pour devenir l’eſpoux?	Quoi dont dix mille écus, pour devenir l'époux?
De.	De.
BAGOLIN.	BAGOLIN.
Et bien!	Et bien!
de parbleu Monſieur marions nous.	de parbleu Monsieur marions -nous.
Auſſi bien m’a ton dit, pour garder ma boutique, Que j’avois grand beſoin, d’un diable domeſtique.	Aussi bien m'a ton dit, pour garder ma boutique, Que j'avais grand besoin, d'un diable domestique.
Mais comment en cecy, doit agir Bagolin?	Mais comment en ceci, doit agir Bagolin?
ROSANDRE.	ROSANDRE.
Parfortune, dis moy, ſçay tu parler Latin?	Parfortune, dis -moi, sais tu parler Latin?
BAGOLIN.	BAGOLIN.
Ho qu’ouy, le matin, ou le ſoir, ne m’importe, Je jaſe comme une drolle, & de la bonne ſorte.	Ho qu'oui, le matin, ou le soir, ne m'importe, Je jase comme une drolle, et de la bonne sorte.
ROSANDRE.	ROSANDRE.
Je dis Latin ſtupide, & non matin?	Je dis Latin stupide, et non matin?
BAGOLIN.	BAGOLIN.
Tout doux, Quoy pour ſe marier il faut avoir des coups?	Tout doux, Quoi pour se marier il faut avoir des coups?
Je renonce au Latin, ainſi qu’au cocuage.	Je renonce au Latin, ainsi qu'au cocuage.
ROSANDRE.	ROSANDRE.
He!	He!
que dis tu?	que dis -tu?
BAGOLIN.	BAGOLIN.
Doucement, je dis du mariage, Mais pourquoy ce Latin?	Doucement, je dis du mariage, Mais pourquoi ce Latin?
ROSANDRE.	ROSANDRE.
Pancrace m’a fait voir, Qu’il vouloit pour ſon gendre, un homme de ſça	Pancrace m'a fait voir, Qu'il voulait pour son gendre, un homme de sa
voir.	voir.
BAGOLIN.	BAGOLIN.
Et pour homme d’eſprit, vous voulez me comettre Moy, qui ne ſceu jamais, ce que c’eſt qu’une lettre?	Et pour homme d'esprit, vous voulez me comettre Moi, qui ne su jamais, ce que c'est qu'une lettre?
Ah!	Ah!
prenez pour cela, quelqu’autre qu’un pied plat.	prenez pour cela, quelque autre qu'un pied plat.
ROSANDRE.	ROSANDRE.
Je pretens t’heriger pourtant en Advocat, Et te donner du bien, ainſi que de la gloire, Pourveu que ce Latin, entre dans ta memoire.	Je prétends t'hériger pourtant en Advocat, Et te donner du bien, ainsi que de la gloire, Pourvu que ce Latin, entre dans ta mémoire.
BAGOLIN.	BAGOLIN.
Comment dit ce Latin?	Comment dit ce Latin?
commençons par un bout.	commençons par un bout.
ROSANDRE.	ROSANDRE.
Sca, dit donc, Ego ſum.	Sca, dit donc, Ego sum.
BA	BA
BAGOLIN.	BAGOLIN.
Aprés.	Après.
ROSANDRE.	ROSANDRE.
Advocatus.	Advocatus.
BAGOLIN.	BAGOLIN.
Eſt-ce tout?	Est-ce tout?
ROSANDRE.	ROSANDRE.
BAGOLIN.	BAGOLIN.
Mais en François cela que veux t’il dire?	Mais en Français cela que veux -t-il dire?
ROSANDRE.	ROSANDRE.
de je tuis Advocat.	de je tuis Advocat.
BAG.	BAG.
OLIN.	OLIN.
Vous me faites bien rire, i vous eſtes Docteur, allez vous mariez, it’on jamais au monde Advocat Savetier.	Vous me faites bien rire, y j' oses Docteur, allez -vous mariez, it-on jamais au monde Advocat Savetier.
ROSANDRE.	ROSANDRE.
ſais c’eſt toy qui ſera le gendre de Pancrace, t trente mil franc.	sais c'est toi qui sera le gendre de Pancrace, t ente mil franc.
BAGOLIN.	BAGOLIN.
Et bien, je prens la place, tme reſous enfin, pour les dix mil eſcus, e dire trente fois, je ſuis, Advocatus.	Et bien, je prends la place, tâme résous enfin, pour les dix mil écus, eût dire trente fois, je suis, Avocatus.
fais aprés ſes trois mots, ſi quelqu’un m’interoge.	fais après ses trois mots, si quelqu'un m'intéroge.
ous repondrez, ou bien, je fais jacques d’éloge.	ous répondrez, ou bien, je fais jacques d'éloge.
ROSANDRE.	ROSANDRE.
enerace eſt ignorant, & ce ſeul mot bien dit, e fait paſſer d’abord pour un hommne d’eſprit, iais il te faut marcher ſur un ton graviſſime, t devant luy, parler en homme docticime, Citer avec en faces, & Jaſon, & Cuſas, Autheurs, que ce vieillart, je croy, ne connoiſt pas.	enerace est ignorant, et ce seul mot bien dit, est fait passer d'abord pour un hommne d'esprit, jais il te faut marcher sur un ton gravissime, tant devant eur, parler en homme docticime, Citer avec en faces, et Jason, et Cusas, Auteurs, que ce vieillart, je crois, ne connaît pas.
BAGOLIN.	BAGOLIN.
Ma foy ny moy non plus.	Ma foi ni moy non plus.
ROSANDRE.	ROSANDRE.
Je vais trouver Pancrase, Reviens dans un moment, en cette meſme place, Nous y ſeront enſemble.	Je vais trouver Pancrase, Reviens dans un moment, en cette même place, Nous y seront ensemble.
BAGOLIN.	BAGOLIN.
Arant de s’en aller, Dittes pour ce Latin, comme il faut s’habiller.	Arant de s'en aller, Dittes pour ce Latin, comme il faut s'habiller.
ROSANDRE.	ROSANDRE.
Te mettre proprement, ſous une robe noire.	Te mettre proprement, sous une robe noire.
BAGOLIN.	BAGOLIN.
Bon, j’ay ſceu tout d’un coup me mettre en la memofre, Certain habit que j’ay, du dernier Carnaval.	Bon, j'ai su tout d'un coup me mettre en la mémofre, Certain habit que j'ai, du dernier Carnaval.
Qui pour me deguiſer, ne ſervira pas mal, Adicu, je vais le mettre, & je revient.	Qui pour me déguiser, ne servira pas mal, Adicu, je vais le mettre, et je revient.
SCENE III.	SCÈNE III.
ROSANDRE, PANCRACE.	ROSANDRE, PANCRACE.
ROSANDRE.	ROSANDRE.
Courage, Bagolin, a ravy, joüra ſon perſonnage, Hola.	Courage, Bagolin, a ravi, joura son personnage, Holà.
PANCRACE.	PANCRACE.
He bien!	He bien!
Monſieur?	Monsieur?
que voulez vous de moy?	que voulez -vous de moi?
ROSANDRE.	ROSANDRE.
Je viens vous retrouver.	Je viens vous retrouver.
PANCRACE.	PANCRACE.
Peut-on ſçavoir pourquoy?	Peut-on savoir pourquoi?
ROSANDRE.	ROSANDRE.
J’ay pour vous une eſtime, & haute, & fort ſincere, Je vous trouve brave homme, & vous honore en pere, Et quoy qu’en recherchant de m’alier à vous, L’on ait veu vos meſpris, allez juſqu’au couroux, Je ſçay qu’avec raiſon, mon attenté eſt trompee, Puis que vous n’eſte pas, pour un homme d’epée.	J'ai pour vous une estime, et haute, et fort sincère, Je vous trouve brave homme, et vous honore en père, Et quoi qu'en recherchant de m'alier à vous, L'on ait vu vos mépris, allez jusqu'au courroux, Je sais qu'avec raison, mon attenté est trompée, Puis que vous n'est pas, pour un homme d'épée.
Vous aimez la ſoutanne, & je viens vous revoir Pour ſçavoir ſi mon frere arrive d hier au ſoir, P'ouroit avoir l’honneur dépouſer voſtre fille?	Vous aimez la soutanne, et je viens vous revoir Pour savoir si mon frère arrive d hier au soir, P'ourait avoir l'honneur dépouser votre fille?
PAN	PAN
PANCRACE.	PANCRACE.
Quel eſt ce frere?	Quel est ce frère?
ROSANDRE.	ROSANDRE.
un homme en qui le ſçavoir brille, Plus docte qu’Ariſtote, & qui dédans Paris A fait taire cent fois, les plus rares eſprits.	un homme en qui le savoir brille, Plus docte qu'Aristote, et qui dédans Paris A fait taire cent fois, les plus rares esprits.
Au reſtes fort bien fait galant de ſa perſonne, D’u ne humeur enjoüée, & qui ſemble boufonne.	Au restes fort bien fait galant de sa personne, D'u ne humeur enjoüée, et qui semble bouffonne.
Tamieux.	Tamieux.
PANCRACE.	PANCRACE.
ROSANDRE.	ROSANDRE.
Et plus que tout, c’eſt que deux mil eſcus De ſes biens tous les ans, font les beaux revenus.	Et plus que tout, c'est que deux mil écus De ses biens tous les ans, font les beaux revenus.
PANCRACE.	PANCRACE.
Tamieux encore.	Tamieux encore.
ROSANDRE.	ROSANDRE.
En arrivant, il me fiſt preſque entendre, Le deſire qu’il avoit de ſe voir voſtre gendre.	En arrivant, il me fît presque entendre, Le désire qu'il avait de se voir votre gendre.
Ayant ſceu dans Paris quel homme vous eſtiez, Et par le bruit commun, ce que vous meritiez.	Ayant su dans Paris quel homme vous étiez, Et par le bruit commun, ce que vous méritiez.
PANCRACE.	PANCRACE.
Ah!	Ah!
je ſeray ravy, qu’il entre en ma famille.	je serai ravi, qu'il entre en ma famille.
Et je vais ſans tarder en parler à ma fille.	Et je vais sans tarder en parler à ma fille.
Liſimene?	Lisimène?
SCENE IV.	SCÈNE IV.
ISIMENE, PANCRACE, ROSANDRE, BAGOLIN.	ISIMENE, PANCRACE, ROSANDRE, BAGOLIN.
LISIMENE.	LISIMENE.
PApa, Papa que me deſirez vous?	PApa, Papa que me désirez -vous?
PANCRACE.	PANCRACE.
Je veux dés aujourd’huy, vous donner une Epoux.	Je veux dès aujourd'hui, vous donner une Époux.
Mais un Epoux illuſtre, & de qui la Doctrine Fait cacher Ariſtote, & fait endormir Pline.	Mais un Époux illustre, et de qui la Doctrine Fait cacher Aristote, et fait endormir Pline.
Fort riche;	Fort riche;
n'eſt ce pas?	n'est ce pas?
RO	RO
ROSANDRE.	ROSANDRE.
Ouy, Monſieur.	Oui, Monsieur.
PANCRACE.	PANCRACE.
Et bien fait, C’eſt un homme en un mot, digne d’eſtre en por21212 Voilà Monſieur ſon frere, & bientoſt ce beau gendre.	Et bien fait, C'est un homme en un mot, digne d'être en por21212 Voilà Monsieur son frère, et bientôt ce beau gendre.
LISIMENE.	LISIMENE.
vous ne ſongez donc pas, que promis à Roſandre.	vous ne songez donc pas, que promis à Rosandre.
Qui viene pour mſ’épouſer.	Qui viene pour m'épouser.
PANCRACE.	PANCRACE.
Roſandre eſt un badin, Qui s’amuſe à dormir je croy par le chemin, Quand y devroit conclure une affaire importante;	Rosandre est un badin, Qui s'amuse à dormir je crois par le chemin, Quand y devrait conclure une affaire importante;
En un mot, je pretens qu’en fille obeïſſante, Vous Epouſiez, Monſieur.	En un mot, je prétends qu'en fille obéissante, Vous Épousiez, Monsieur.
comment le nommeton?	comment le nommeton?
ROSANDRE.	ROSANDRE.
Entre les gens d’eſprit, le Docteur Barabon, Mais pour vous ſalüer vers vous y s’achemine.	Entre les gens d'esprit, le Docteur Barabon, Mais pour vous saluer vers vous y s'achemine.
PANCRACE.	PANCRACE.
Que cet homme eſt ſçavant, & qu’il a bonne mine.	Que cet homme est sçavant, et qu'il a bonne mine.
BAGOLIN, Eubabit de Docteur.	BAGOLIN, Eubabit de Docteur.
Eſt ce la, le beau Pere, ou je dois m’allier?	Est -ce la, le beau Père, ou je dois m'allier?
ROSANDRE.	ROSANDRE.
Et ſa ſille avec luy, cache l’établier.	Et sa sille avec peine, cache l'établier.
Que tu ne ſois cennu, & ſur tout prend bien garde A ce que tu diras.	Que tu ne sois cennu, et sur tout prend bien garde À ce que tu diras.
BAGOLIN.	BAGOLIN.
Le barbon me Regarde.	Le barbon me Regarde.
ROSANDRE.	ROSANDRE.
Laiſſe le Regarder, & porte bien ton bois.	Laisse le Regarder, et porte bien ton bois.
BAGOLIN.	BAGOLIN.
Deis-je parler d’abord ou Latin, ou François?	Dis-je parler d'abord ou Latin, ou Français?
ROSANDRE.	ROSANDRE.
Il faut en premier lien, ſuivant la bien ceance, Luy lever le chapeau, faire la reverence, Puis dire ton Laiin.	Il faut en premier lien, suivant la bien céance, Lui lever le chapeau, faire la révérence, Puis dire ton Laiin.
BAGO	BAGO
BAGOLIN.	BAGOLIN.
Il ne m’en ſouvien plus,	Il ne m'en souvien plus,
ROSANDRE.	ROSANDRE.
18 Jnn.	18 In.
BAGOLIN.	BAGOLIN.
