ADONIS .	ADONIS .
*.	*.
.	.
2 TRAGEDIE FRANCOYSE DE OABRIEL LE BRETON Niuernois, Seigneur de la l'on.	2 TRAGÉDIE FRANÇOISE DE ABRIEL LE BRETON Nivernais, Seigneur de la l'on.
DE L'IMPRIMERGE De Raphaël du Petit Val, Libraire & Imprimeur da Roy, deuant la grand' porte du Palais, à l’Ange Raphaël.	DE L'IMPRIMERGE De Raphaël du Petit Val, Libraire et Imprimeur da Roi, devant la grand porte du Palais, à l'Ange Raphaël.
1611.	1611.
A TRES-HAVTE ET TRES-EXCELLENTE DAMB MADAME DE Sainct Phale, Ducheſſe de Beaupreau, &c.	À TRÈS-HAUTE ET TRÈS-EXCELLENTE DAMB MADAME DE Saint Phale, Duchesse de Beaupreau, etc.
H9& ADAME, ayant vn ſingulier :	H9 ADAME, ayant un singulier :
deſir de fairt cognoiſtre à noitre France, combien i’Tonore vos vertus & graces diuines, i’ay lonquement donté, ſi ie deluy tatre ce tort à vollre excellence, à ceſt autheur & à moy-meſme de diuulguer ce liuret ſous l’emprunt du beau titre de voſtre nom glorieux à voſtre excellence pour ne vous diſtraite de vos graues & vertueuſes occunations à ce Pœte lequel bien qu’il loit cẽſumé de tous poincts en toutes bonnts letttes, & qu’il ait r’emporté pluſieurs ver es courônes de laurier pour le prix per luy, nitrité ſur le double theatre frãçois, ſi s.	des de si connaître à noître France, combien j'Tonore vos vertus et grâces divines, j'ai lonquement donté, si tu délui tatre ce tort à vollère excellence, à cet auteur et à moi-même de divulguer ce livrets sous l'emprunt du beau titre de votre nom glorieux à votre excellence pour ne vous distraite de vos graves et vertueuses occunations à ce Pœ lequel bien qu'il lois présumé de tous points en toutes bonnêts letttes, et qu'il ait remporté plusieurs ver es courônes de laurier pour le prix de lui, nitrité pour le double pr y, si pe.
a-il iamals voulu eſtre mis au nobre de ceux aul ſe haſtẽt d’acquerir bruit par l’itpreſeſon, & à moy qui ne puis ſas rougir ptê-ſte à inuteſt un cofre d’vn mié amy ce dequoy peut eltreie 11 ce dequoy peut eſtre ie fineroy bien chez moy, ſi prenoy la peine de cercher, me confermant en cecy à l’vne des loix de Platonqui deſfend de puiſer au puits de ſon voiſin, que premierement on n’ait creuſé en terre iuſques à l’Argille.	a-il jamals voulu avoir mis au nobre de ceux aul se hastẽt d'acquérir bruit par l'itpreseson, et à moi qui ne puis sas rougir pût-site de inutest un cofre d'Hié ami ce de quoi peut eltreie 11 ce dequoy peut être ie finerai bien chez moi, si prenait la peine de cercher, me confermant en ceci à l'une des lois de Platonqui des Plato puiser des puits de son voisin, que premièrement on n'ait crusé en terre jusques à l'Argille.
Auſsi m’euſt-il eſté mieux ſeant & hôneſte de foüiller en mon cabinet, & y recercher entre mes inuentions, celles qui ſe gaſtent en la poudre il y a pres de neuf ans, mais me deffiant bien que ie n’y euſſe riẽ trouué qui peut approcher à la grace & beauté naifue d’vn ADONIS qui fut le cher mignon du feu Roy CHARTES d’heureuſe memoire, le l’ay choiſi pour vous en faire preſent, l’eſtimant quiſi comme vne choſe mienne, taut pource qu’entre amis, comme Iondit, tous biens doiuent eſtre communs, qu’auſsi que le Sieur le Breton s’en allant me l'a laiſſé cõme en depoſt, auec plain pouuoir d’en faire & diſpoſer à ma volonté.	Aussi m'eût-il été mieux séant et hôneste de foüiller en mon cabinet, et y récercher entre mes inventions, celles qui se gâtent en la poudre il y a pres de neuf ans, mais me défiant bien que sans n'y eusse rivé trouué qui peut approcher à la grâce et beauté naifue d'un ADONIS qui fut le cher mignon du feu Roy CHARTES d'heureuse mémoire, le l'ai choisi pour vous en faire présent, l'estimant quisi comme ' estiman, taut pource qu'entre amis, comme Un, tous biens mienne amis, çaussi une leSieur le Breton en a m l'a laissé comme un dépôt, auec ' au en faire et disposer y le Bun.
