RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
Par M' DE BARQVEBOIS.	Par M' DE BARQUEBOIS.
Avec les Vers retranchez.	Avec les Vers retranchés.
M.	M.
DC.	DC.
LXXXIII.	LXXXIII.
AVEC PRI	AVEC PRI
PREFACE.	PRÉFACE.
L eſt bien difficile de reprendre les vices & d I plaite en même têms aux vicieux.	L est bien difficile de reprendre les vices et d I aite en même têms aux vicieux.
Quelque a que l’on employe, pour cacher l’amertume de la ce ſure, les perſonues qui trouvent quelque utilité da leurs deffauts, n’écoutent que la voix de leurs pa ſious, & font comme ces malades cacochimes, s ne pouvant faire un bon uſage des remedes, à cau de leur mauvais tempérament, inſultent à l’art d Médecin, & rejettent ſur luy la cauſe de leurs ma ladies incurables.	Quelque a que l'on emploie, pour cacher l'amertume de la ce sûre, les personues qui trouvent quelque utilité da leurs défauts, n'écoutent que la voix de leurs pa sious, et font comme ces malades cacochymes, s ' pouvant faire un bon usage des remèdes, à cau de leur mauvais tempérament, insultent à l'art d Médecin, et rejet rejettent sur la cause de leurs ma ladies incurables.
C’eſt pourtant le but de la Comédie, de purge les paſſions, c’eſt à dire de corriger les deffauts e divertiſſant.	C'est pourtant le but de la Comédie, de purge les passions, c'est -à -dire de corriger les défauts e divertissant.
Horace a bien remarqué de quelle con ſéquence étoit cette maniere de reprendre:	Horace a bien remarqué de quelle con séquence était cette manière de reprendre:
a Et n tre Satyrique moderne allant encor plus avant, bien oſé dire.	a Et n Atyrique moderne allant encor plus avant, bien osé dire.
b Et qui ne craint point Dieu, craint Tartuffe& Moliere Cette entrepriſe eſt d'autant plus difficile, que I nombre de ceux qu’on attaque eſt grand, & d’autan plus hazardeuſe, que ce gens ſont puiſſans par leur intrigues & par les raiſons qui attachent pluſieurs perſonnes de crédit à leurs intérêts.	 Et qui ne craint point Dieu, craint Tartuffe Moliere Cette entreprise est d'autant plus difficile, que I nombre de ceux qu'on attaque est grand, et d'autan plus hasardeuse, que ce gens sont puissants par leur intrigues et par les raisons qui attachent plusieurs personnes de crédit à leurs intérêts.
On m’a donné avis que de certaines gens, qui ont creu être intéreſſez dans la repréſentation de cette piece, ont employé tout ce qu’ils avoient de pouvoir & d’amis,pour la faire deffendre, ou du moins pour en empécher la reuſſite.	On m'a donné avis que de certaines gens, qui ont cru être intéressez dans la représentation de cette pièce, ont employé tout ce qu'ils avaient de pouvoir et d'amis,pour la faire défendre, ou du moins pour en empêcher la réussite.
Mais maſgré leur çatale, je puis dire ſans vanité, que jamais Piece n’a	Mais masgré leur çatale, je puis dire sans vanité, que jamais Pièce n'a
Les Critiques de profeſſion, qui ſe ſont fait uue babitude de ne rien approuver, avoüent qu’à la vérité e 1 2 t2 C l.	Les Critiques de profession, qui se sont fait uve babitude de ne rien approuver, avouent qu'à la vérité e 1 2 t2 Ç l.
il y a de fort beaux endroits dans cette Piece, maĩs qu’il y en a de bien foibles.	il y a de fort beaux endroits dans cette Pièce, maints qu'il y en a de bien faibles.
A cela je répons,que le theatre eſt uu tableau, où l’on repréſente les mœurs & les actions des hommes, que c’eſt le contraſte & le prudent ménagement des clairs & des ombres qui fait la beauté d’un tableau, & que ſi tout y étoit d’une égale force, on n’y diſcerneroit plus ny reliefs, ni contours, ni ſaillie ni enfoncement;	À cela je réponds,que le théâtre est u tableau, où l'on représente les mœurs et les actions des hommes, que c'est le contraste et le prudent ménagement des clairs et des ombres qui fait la beauté d'un tableau, et que si tout y était d'une égale force, on n'y discernerait plus ici reliefs, ni contours, ni saillie ni enfoncement;
mais ce ne ſeroit plus qu'une peinture plate, deſagréable & ſans goût.	mais ce ne serait plus qu'une peinture plate, désagréable et sans goût.
Ils diſent que les actions qui finiſſent les II.	Ils disent que les actions qui finissent les II.
III.	III.
& IV.	et IV.
Actes ſont trop triviales, plus propres pour le théatre des Italiens, que pour celuy des François, & que je pouvois facilement m’exemter de les y faire paroître.	Actes sont trop triviales, plus propres pour le théatre des Italiens, que pour celui des Français, et que je pouvais facilement m'exempter de les y faire paraître.
Et moy j’ay creu que mes valets déguiſez devoient faire ainſi des fourberies burleſques à des fripons de Commis, qui veulent ſans aveu, faite des exactions impertinentes & ridicules.	Et moi j'ai cru que mes valets déguisez devaient faire ainsi des fourberies burlesques à des fripons de Commis, qui veulent sans aveu, faite des exactions impertinentes et ridicules.
D’ailleurs la Scene étant en Italie, j’ay trouvé à propos de ſuivre le génie du Pays.	D'ailleurs la Scène étant en Italie, j'ai trouvé à propos de suivre le génie du Pays.
Ie ſçay que bien des gens ont fait de malicieuſes applications de mes penſées à pluſieurs perſonnes qui ſout dans les Fermes du Roy, & qu’ils ont creu en voir des poitiants loit Aucles, Mais je ſcar uéclare que je ne connois pas un de ces Meſſieurs, & que ſi j’ay rencontté à les faire reſſembler, c’eſt un pur eſfer dhazard.	Je sais que bien des gens ont fait de malicieuses applications de mes pensées à plusieurs personnes qui sout dans les Fermes du Roi, et qu'ils ont cru en voir des poitiants loit Aucles, Mais je scar uéclare que je ne connois pas un de ces Messieurs, et que si ay rencontté les faire ressembler, est un pur esfer dhazard.
D'autres prérendent, que les exactions qu’y font les Commis, ſortent du vray-ſemblable, & qu’elles ſout trop outrées.	D'autres prérendent, que les exactions qu'y font les Commis, sortent du vrai-semblable, et qu'elles sout trop outrées.
