A PARIS M.	À PARIS M.
DC.	DC.
XLIII.	XLIII.
Monſieur de Marillac, Monſieur de Mont morency Monſieur le Comte de Soyſſons.	Monsieur de Marillac, Monsieur de Mont morency Monsieur le Comte de Soissons.
La Reyne Mere:	La Reine Mère:
& ε Ayhellara dsa lc esuana Monſieur de Thou.	et X Ayhellara dsa l esuana Monsieur de Thou.
L.	L.
2 Le Cardinal reſpond achacun.	2 Le Cardinal répond achacun.
ACTEVRS DESENFERS Charon.	ACTEURS DESENFERS Charon.
Nautonnier d’Enfer,	Nautonnier d'Enfer,
Cornuel.	Cornuel.
Le Pere loſeph.	Le Père loseph.
Le Premier Preſident.	Le Premier President.
Monſieur de Bullion	Monsieur de Bullion
DIALOGIVE DV CARDINALDE RICHELIEV.	DIALOGIVE DU CARDINALDE RICHELIEU.
ACTE I SCENE PREMTERE.	ACTE I CÈNE PREMTERE.
Monſieur de Marillac, & le Cardinal.	Monsieur de Marillac, et le Cardinal.
Monſieur de Marillac.	Monsieur de Marillac.
Evoyla Cardinal, que dit on dans le mõde Que cherche tu icy ton ame eſt vagabonde Ne veux-tu pas entrer dedans le Riche-lieu?	Évoilà Cardinal, que dit on dans le monde Que cherche tu ici ton âme est vagabonde Ne veux-tu pas entrer dedans le Riche-lieu?
Ne veux-tu point auſſi regner auecque Dieu?	Ne veux-tu point aussi régner avec Dieu?
Va-t'en dedans l’abiſme, eſtablir ton Empire, Le Roy de ces bas-tieux, ſçait que tu y aſpire.	Va-t'-en dedans l'abîme, établir ton Empire, Le Roi de ces bastieux, sçait que tu y aspire.
Que tous ces Courtiſans qui ſont auec lay, Ofunon do toumumuumiemoueuo de ion ennuy, Partagerons peut eſtre auec toy ſa Couronne, Tu m’as trahy, cruel, auſsi ie t’abandonne.	Que tous ces Courtisans qui sont avec lay, Ofunon do toumumuumiemoueuo de ion ennui, Partagerons peut -être auec toi sa Couronne, Tu m'as trahi, cruel, aussi tu t'abandonne.
Le Cardinal.	Le Cardinal.
Helas!	Hélas!
ce n'eſt pas moy Vous ſçauez que c’eſtoit, la volontè du Roy.	ce n'est pas moi Vous savez que c'était, la volont du Roi.
Monſieur de Marillac.	Monsieur de Marillac.
Qui m’a ſaict men procez?	Qui m'a sais men procès?
des gens à voſtre pofte, Qui m’a fait tant trotter & tant courir la poſte Pourquoy m'a- t’on mene par tous les Parlements C'eſt qu’on eſt oit certain de mes deportements, C’eſt que les Magiſtrats voyant mon innoçence N’oſoient me condamner.	des gens à votre pôte, Qui m'a fait tant trotter et tant courir la poste Pourquoi m'a- t-on mène par tous les Parlements C'est qu'on est oit certain de mes déportements, C'est que les Magistrats voyant mon innoçence N'osaient me condamner.
Parilanez ceune aſfonee, Quivous a fuitmantęrauec los bien heureux.	Parilanez ceune asfone, Quivous a fuitmantęrauec los bien heureux.
D'où vourme reiettez.	D'où vourme rejettez.
Monſieur de Marillac.	Monsieur de Marillac.
2  I Miniſtre malheuteux, Auois-ta ce deſſetn m'enugjant à la Greve, Retire toy d'ïcy	2 I Ministre malheuteux, Avais-ta ce dessetn m'enugant à la Greve, Retire toi d'aici
Le Cardinal.	Le Cardinal.
Encore vn peu de trefve.	Encore un peu de trêve.
Monſieur de Marillac.	Monsieur de Marillac.
Tu n’en merite pas excrement des Enfers, L d en eſtois foriy, retourne dansieurs fers, Vas-y donc pour ſouffrin des tourmens & des geſnes Et pour te voir ployé ſoubs de pexantes chaiſnes.	Tu n'en mérite pas excrément des Enfers, L ' en tais fori, retourne dansieurs fers, Vas-y donc pour souffrin des tourments et des gênes Et pour te voir ployé soubs de pexantes chaînes.
SCENE.	SCÈNE.
IE.	JE.
Monſieur de Mont-morency & le Cardinal.	Monsieur de Mont-morency et le Cardinal.
Monſieur de Mont, morency.	Monsieur de Mont, morency.
Monſtre de la nature, horreur de l’uniuers, Dont le corps infectè ſert de paſture aux vers, Miniſtre de Pluton, tiran abominable, Ne croys-tu pas qu’il ſoit tres iuſte & raiſonable;	Montre de la nature, horreur de l'univers, Dont le corps infecté sert de pâture aux vers, Ministre de Pluton, tyran abominable, Ne crois-tu pas qu'il soit très juste et raisonable;
De reietter ton ame du rang des bien heureux Ta place eſt aux enfers & ton cul tout chancreux, Sentira la chaleur des flammes eternelles, Que brapen a tumaisies antes triminelles, La hache d’vn bourreau ſur des ſanglans autels.	De rejetter ton âme du rang des bien heureux Ta place est aux enfers et ton cul a table, Sentira la chaleur des flammes éternelles, Que brapen a tumaisies antes triminelles, La hache d'un bourreau sur des sanglants autels.
A fait monter mon ame auec les immortels Et appaiſé l'excés de la cruelle enuie, (Mais que diſ ie appaiſer) c’eſtoit peu que ma vie, Ce n’eſtoit pas aßez de m’auoir mis à mort, Il failloit que pluſieurs le ſouffriſſent à tort,	A fait monter mon âme était les immortels Et apaisé l'excès de la cruelle envie, (Mais que dis ie apaiser) c'était pu que ma vie, Ce n'était pas assez de m'avoir mis à mort, Il faillait que plusieurs le souffrissent à tort,
Le Cardinal.	Le Cardinal.
Ayez pitié de moy, receuez ma pauure ame.	Ayez pitié de moi, recevez ma pauvre âme.
Neſpere rien icy que reproche & que blaſme, Si tu eſtois entrè tu nous mettrois dehors, Au moins ſi nous n’eſtions & plus fins & plus forts, Tu veux auoir par tout vne plaine puiſſance Ie ne ſçay ſi les Saincts ſeroient en aſſeurance, Et iu vuuurots auvir te pius Eminent rang, Et voudrois dans le Ciel faire nager le ſang.	Nespère rien ici que reproche et que blâme, Si tu étais entrèrent nous mettrais dehors, Au moins si nous n'étions et plus fins et plus forts, Tu veux avoir par tout quelque plaine puissance Je ne sais si les Saincts seroient en assurance, Et ju vuvrots auvir te pius Eminent rang, Et voudrais dans le Ciel faire nager le sang.
den AR.	den AR.
Le Cardinal & M.	Le Cardinal et M.
