Imprimé à Enuers.	Imprimé à Envers.
Le Cardinal reſpond à tous.	Le Cardinal répond à tous.
Monſieur de Marillac.	Monsieur de Marillac.
Monſieur de Mommorancy.	Monsieur de Mommorancy.
Monſieur le Comte.	Monsieur le Comte.
La Reyne Mere.	La Reine Mère.
Mohlieur lo Graira,	Mohlieur lo Graira,
La deſcente du Cardinal aux Enfers.	La descente du Cardinal aux Enfers.
Charon maine le Cardinal à Pluton, & parle Preiiner à Cornuel:	Charon maine le Cardinal à Pluton, et parle Préjiner à Cornuel:
Cornuel l’enuoye au Pere I.	Cornuel l'envoie au Père I.
le Pere I.	le Père I.
le renuoye au premier Preſident:	le renvoie au premier President:
le premier Preſident remet tout pardeuant l’Intendant des Finances.	le premier President remet tout pardevant l'Intendant des Finances.
*E voila Cardinal, que dy-t’on dans le monde?	*E voilà Cardinal, que dis-t-on dans le monde?
I Que cherche tu icy ton ame eſt vagabonde:	I Que cherche tu ici ton âme est vagabonde:
Ne veux-tu pas entrer dedans le Richelieu;	Ne veux-tu pas entrer dedans le Richelieu;
Ne veux-tu point auſſi regner auec Dieu :	Ne veux-tu point aussi régner avec Dieu :
Va-t’en dedans l’abiſme eſtabir ton Empire, Le Roy de ces bas-lieux, qui fait que tu aſpire.	Va-t-en dedans l'abîme estabir ton Empire, Le Roi de ces bas-lieux, qui fait que tu aspire.
Que tous ces Courtiſans qui ſont auecque luy, Eſmeu de ton mal heur touché de ton ennuy, tartagera peue eitre aucc toy la Cotrome, Tu m’as trahy cruel, auſſi ie t’abandonne.	Que tous ces Courtisans qui sont avec beau, Esmu de ton mal heur touché de ton ennui, tartagera peue eitre auc toi la Cotrome, Tu m'as trahi cruel, aussi tu t'abandonne.
Le Cardinal.	Le Cardinal.
Helas!	Hélas!
ce n’eſt pas moy, Vous ſçauez que c’eſtoit la volonté du Roy.	ce n'est pas moi, Vous savez que c'était la volonté du Roi.
Monſieur de Marillac.	Monsieur de Marillac.
Qui m’a fait mon procés, des gens à voſtre poſte;	Qui m'a fait mon procès, des gens à votre poste;
Qui m’a fait tant trotter & tant courir la poſte:	Qui m'a fait tant trotter et tant courir la poste:
P otirquoy ma con mone par tout les pancinens, C’eſt qu’on eſtoit certain de mes déportemens;	P otirquoi ma con ène par tout les pancinents, C'est qu'on était certain de mes déportements;
C eſt que les Magiſtrats voyant mon innocence, N’oſoient me condamner:	Ç est que les Magistrats voyant mon innocence, N'osaient me condamner:
Le Cardinal.	Le Cardinal.
