ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
Par le Sieur DESFONTAINES.	Par le Sieur DESFONTAINES.
A PARIS, Chez ANTHOINE DE SOMMAVILLE, au Palais, dans la petite Sale, à l’Eſcu de France.	À PARIS, Chez ANTHOINE DE SOMAVILLE, au Palais, dans la petite Sale, à l'Écu de France.
M.	M.
DC.	DC.
XXXVIII.	XXXVIII.
Auec Priuile ge du Roy.	Avec Privile ge du Roi.
TRES A N DEMi ET TRES GENEREVX SEIGNEVR Mioiiie lut ques de Sainctyon Eſcuyer Sieur de Grizeaux, & du Breuil, Seigneur d' Appoigny & de Baloches &c.	TRÈS À N EMi ET TRÈS GÉNÉREUX SEIGNEUR Mioyie lut ques de Saintyon Escuyer Sieur de Griseaux, et du Breuil, Seigneur d' Appoigny et de Baloches etc.
ONSIEVR, Vous auez beau m’impoſer ſilence, & oppoſer voſtre modeſtie au deſir que i’ay de faire connoiſtre à tout le monde les rares qualitez que vous poſſedez, en vn aage, auquel on ne les à iamais veuës que par miracle:	ONSIEUR, Vous avez beau m'imposer silence, et opposer votre modestie au désir que j'ai de faire connaître à tout le monde les rares qualités que vous possédez, en un âge, auquel on ne les a jamais vues que par miracle:
Les obligations que ie vous ay me forcent à cette reconnoiſſance, & ne me permettent plus deſcouter vne vertu, qui pour eſtre ennemie de ſes propres loüanges, veut derober à ſes compagnes, les Eloges qu’on ne leur peut oſter ſans iniuſtice, & que ie ne ſçaurois taire ſans ingratitude:	Les obligations que ie vous ai me forcent à cette reconnaissance, et ne me permettent plus découter une vertu, qui pour être ennemie de ses propres langes, veut dérober à ses compagnes, les Éloges qu'on ne leur peut ôter sans injustice, et que ici ne saurais taire sans ingratitude:
Sivous voulez que ie ſois plus obeiſſant, ſoyez moins genereux;	Sivous voulez que ici sois plus obéissant, soyez moins généreux;
ayez moins de courtoiſie, & de franchiſe, & taſchez (s’il eſt poſſible) de me cacher cette ſolidité d’eſprit, & de iugement, qui vous prepare vnc place entre ces auguſtes ſenateurs qu’on void aſſis tous les iours ſur les fleurs de Lys, dans le plus celebre Parlement de l’Europe;	ayez moins de courtoisie, et de franchise, et tâchez (s'il est possible) de me cacher cette solidité d'esprit, et de jugement, qui vous prépare unc place entre ces augustes sénateurs qu'on voit assis tous les jours sur les fleurs de Lys, dans le plus célèbre Parlement de l'Europe;
enfin ſoyez tout autre que vous n’eſtes, & alors ie changeray de deſſein, & i’accommòderay mon ſtile à l’eſtat de voſt re vie.	enfin soyez tout autre que vous n'êtes, et alors ie rai de dessein, et j'accommderai mon style à l'état de vos re vie.
Mais ie ne crains pas de voir iamais en vous vn changement ſi eſtrange, les bonnes habitudes que vous auez ſont deſia paſſées en nature, & ſe rendent tellement inſeparables de cette belle ame qui les a receuës, qu'elles participent deſia à l’immortalité de leur hoſteſſe.	Mais petit ne crains pas de voir jamais en vous un changement si étrange, les bonnes habitudes que vous avez sont déjà passées en nature, et se rendent tellement inséparables de cette belle âme qui les a reçues, qu'elles participent déjà à l'immortalité de leur hôtesse.
