M.	M.
DC.	DC.
XL.	XL.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
A MONSETGI(EY I MONSEIGNEVR SERVIEN CONSEILLER DV ROY EN ſes Conſeils d’Eſtat & priué, &c.	À MONSETGIEY I MONSEIGNEUR SERVIEN CONSEILLER DU ROY EN ses Conseils d'État et privé, etc.
ONSEIGNEVR,	ONSEIGNEUR,
Co genereux Hermog:	Co généreux Hermog:
ne que ie vous preſentẽ vient des extremite de la terre pour auoir lebon heur de vous entretenir, il ſçait que voſtre maiſon eſt le temple de la vertu, & que voſtre courtoiſie en a touſiours fait l’azile de ceux que la fortune expoſe aux atteintes du mal-heur:	ne que ici vous presentẽ vient des extrémité de la terre pour avoir lebon heur de vous entretenir, il sait que votre maison est le temple de la vertu, et que votre courtoisie en a toujours fait l'asile de ceux que la fortune expose aux atteintes du malheur:
Bien qu’il ſoit eſt ranger ne le croyez pas vagabond, vne paſſion dereglée ne la pas tiré hors de ſon pays, mais le bruit de voſtre merite qui n’eſt pas meſme inconnu aux naESTOINE.	Bien qu'il soit est ranger ne le croyez pas vagabond, une passion dereglée ne la pas tiré hors de son pays, mais le bruit de votre mérite qui n'est pas même inconnu aux naSTOINE.
tions les plus eſloignées, luy a fait naiſtre la curioſité de venir admirer en vous, les adorables qualitez qui l’ont rendu autresfois le miracle de ſon ſiecle, comme elles vous rendent auiourd’huy le prodige, & la merueille du noſtre.	tions les plus éloignées, lui a fait naître la curiosité de venir admirer en vous, les adorables qualités qui l'ont rendu autrefois le miracle de son siècle, comme elles vous rendent aujourd'hui le prodige, et la merveille du vôtre.
Si voſtre loiſir vous permet de preſter l’oreille au recit de ſes aduentures vous verrez dans le tableau de ſa vie, l’image de vos perfections, & vn illuſtre pourtraict de vous meſme, puis qu’apres mille trauerſes il a contraint l’enuie à luy rendre vn hommage quelle vous rendra quelque iour, quand vaincuë̃ par voſtre prudence elle ſera contrainte d’aduoüer voſtre triomphe, & ſa deffaite.	Si votre loisir vous permet de prêter l'oreille au récit de ses aventures vous verrez dans le tableau de sa vie, l'image de vos perfections, et un illustre pourtrait de vous même, puis qu'après mille traverses il a contraint l'envie à lui rendre un hommage quelle vous rendra quelque jour, quand vaincue par votre prudence elle sera contrainte d'aduoüer votre triomphe, et sa défaite.
Ie ſçay bien que cette verite que ie dis offence voſt re modeſtie, mais ſouffrez que ie combatte vne de vos vertus pour faire eſclatter toutes les autres;	Je sais bien que cette vérité que sans dis offense vost re modestie, mais souffrez que ici combatte Roi de vos vertus pour faire éclatter toutes les autres;
