ſεui:	zvi:
eres cemidie funeolle, euPluoeiquis revrroeuleον en fance	ères céridie funeolle, euPluoquis revrroeuleον en fance
Mhονιαν moυe u mivqμs ρaς η canοδές cpmoά.	Mhονιαν moυe mivqμs canοδές cpmoά.
di (halipe collipralis de AArine a Ari, Hu ge Panς Arδid 1659.	di (halipe collipralis de AArine a Ari, Hu ge Pan Ardi 1659.
30.	30.
ſage?	sage?
Ιηηοτίυα d πρνσιεν διδῆ εμοις τα 1859.	Ιηηοτίυα πρνσιεν διδῆ εμοις „ 1859.
cuy fanutten sus eduſel, hurat aics .	celui fanuten sus édusel, hurat aics .
Quoiues slúν hω ioles exuube auis,i gecistorons sen a acces a Meinas de hri.	Quoives slúν hommes yoles exube avis,i gecistorons sen a accès à Meinas de hri.
Pa Phegres :	Pa Phègres :
ltoiy auert ciy auechenes nyidtieees.	ltoyi avert cy auchenes nyidtieees.
Source 4 ( Bibliothieque nat nale de France	Source 4 ( Bibliothieque nat nale de France
l 3897 A piecu PREMIERE OMEDIE FRANÇOISE EN MVSIQ VE, Repreſentée en France.	 3897 A piecu PREMIÈRE OMEDIE FRANOISE EN MUSIQ VE, Représentée en France.
PASTORALE.	PASTORALE.
Miſe en Muſique par MONSIEVR CAMBER, Organiſte de l’Egliſe Collegialle de Saint Honnoré à Paris.	Mise en Musique par MONSIEUR CAMBER, Organiste de l'Église Collegialle de Saint Honoré à Paris.
I A Re l 6.	I À Re l' 6.
Par ROBERT BALLARD, ſeul Imprimeur du Roy pour la Mufique.	Par ROBERT BALLARD, seul Imprimeur du Roi pour la Mufique.
AVANTIROPOS qe E deſſein de l’Autheur de cette Piece eſt d’eſſayer ſi la Comedie eu Muſique peut reuſſir ſur le Theatre François, eſtant reduitte aux loix de la bonne Mulique, & au gouſt de la Nation, & ornée de toutes les beautez dont eſt capable cette eſpece de repreſentation.	AUANTIROPOS qe E dessein de l'Auteur de cette Pièce est d'essayer si la Comédie eu Musique peut réussir sur le Théâtre Français, étant réduite aux lois de la bonne Mulique, et au goût de la Nation, et ornée de toutes les beautés dont est capable cette espèce de représentation.
Il expliquera dans vne ſeconde Impreſſion les raiſons de ſa conduitte:	Il expliquera dans une seconde Impression les raisons de sa conduite:
du ſuccez & du merite de l’ouurage le Public en jugera.	du succès et du mérite de l'ouvrage le Public en jugera.
Quoy qu’il en ſoit on ne peut refuſer à Monſieur Camber, qui l’a miſe en Muſique, la loüange qu’il merite:	Quoi qu'il en soit on ne peut refuser à Monsieur Camber, qui l'a mise en Musique, la louange qu'il mérite:
tant pour ſa belle & ſçauante Compoſition, que pour les ſoins qu’il s’eſt donnez pour ſon execution:	tant pour sa belle et savante Composition, que pour les soins qu'il s'est donnez pour son exécution:
