Contraste insuffisant NF 2 43-120-14 eſté vne ſuite continuelle de victoires, ſon corps porté dans ſon armée a gagné des batailles aprés ſa mort, & ſon nom au bout de ſix cens ans vient encor de triompher en France.	Contraste insuffisant NAUT 2 43120-14 été suite continuelle de victoires, son corps porté dans son armée a gagné des batailles après sa mort, et son nom au bout de six cents ans vient encor de triompher en France.
Ily a trouué vne reception trop fauorable pour ſe repentir d’eſtre ſorty de ſon pays, & d’auoir appris à parler vne autre langue que la ſienne.	Ili a trouvé une réception trop favorable pour se repentir d'être sorti de son pays, et d'avoir appris à parler une autre langue que la sienne.
Ce ſuccez a paſſé mes plus ambitieuſes eſperances, & m’a ſurpris d’abord, mais il à ceſſé dé m’eſtonner depuis que i’ay veu la ſatisfaction:	Ce succès a passé mes plus ambitieuses espérances, et m'a surpris d'abord, mais il cessé depuis que j'étonner depuis que j'ai vu la satisfaction:
que vous auez témoignée, quand il a paru deuant vous;	que vous avez témoignée, quand il a paru devant vous;
alors i’ay osé me promettre de luy tout ce qui en eſt arriué, & j’ay creu qu’apres les Eloges dont vous l’auez honoré, cet applaudiſſement vniuerſel ne luy pouuoit manquer.	alors j'ai osé me promettre de deux tout ce qui en est arrivé, et j'ai cru qu'après les Éloges dont vous l'avez honoré, cet applaudissement universel ne lui rendre manquer.
Et veritablement, MADAME, on ne peut douter auec raiſon de ce que vaut vne choſe qui a le bon-heur de vous plaire:	Et véritablement, MADAME, on ne peut douter avec raison de ce que vaut une chose qui a le bonheur de vous plaire:
le jugement que vous en faîtes eſt la marque aſſeurée de ſon prix;	le jugement que vous en faîtes est la marque assurée de son prix;
& comme vous donnez toûjours liberalement aux verit ables beautez l’eſtime qu’elles meritent, les fauſſes n’ont iamais le pouuoir de vous esblouyr.	et comme vous donnez toujours libéralement aux vérit ables beautés l'estime qu'elles méritent, les fausses n'ont jamais le pouvoir de vous éblouir.
Mais voſtre generoſité ne s’arreſte pas à des Ioüanges ſteriles pour les ouurages qui vous agréent, elle prend plaiſir à s’eſtendre vtileme ſur ceux qui les produiſent, & ne dedaignent point d’employer en leur faueur ce grande credit que voſtre qualité & vos vertus vous ont acquis.	Mais votre générosité ne s'arrête pas à des Jouanges stériles pour les ouvrages qui vous agréent, elle prend plaisir à s'étendre utileme sur ceux qui les produisent, et ne dédaignent point d'employer en leur faveur ce grande crédit que votre qualité et vos vertus vous ont acquis.
I'en ay reſſenty des effets qui me ſont trop aduantageux pour m’en taire, & ie ne vous dois pas moins de remercimens pour moy que pour le CID.	J'en ai ressenti des effets qui me sont trop avantageux pour m'en taire, et été ne vous dois pas moins de remerciments pour moi que pour le CID.
C’eſt vne recognoiſſance qui m’eſt glorieuſe, puis qu’il m’eſt impoſſible de publier que ie vous ay de grandes obligations, ſans publier' en meſme temps que vous m’auez aſſez eſtimé pour vouloir que ie vous en euſſe.	C'est assez reconnaissance qui m'est glorieuse, puis qu'il m'est impossible de publier que je vous ai de grandes obligations, sans publier en même temps que vous m'avez assez estimé pour vouloir que je vous en eusse.
Auſſi MADAME, ſi ie ſouhaite quelque duréè pour cet heureux effort de maplûme, cẽ n’eſt point pour apprendre mon nomà la poſterité, mais ſeulement pour laiſſer des marques eternelles de ce que ie vous dois, & faire lire à ceux qui 1.	Aussi MADAME, si ici souhaite quelque duré à cet heureux effort de maplume, comme n'est point pour apprendre mon nomà la postérité, mais seulement pour laisser des marques éternelles de ce que je vous dois, et faire lire à ceux qui 1.
Voſtre tres-humble, tres-obeïſſant & tres-oblige ſeruiteur.	Votre très-humble, très-obeïssant et très-oblige serviteur.
xb Ar gract & Prluilegs du Roys il eſt pormis l'Aoysrin F GOVRBE', Marchand Libraire à Paris, d’imprimer ou faire imprimer, & expoſer en yente, vn Liure Infitulé, M Le Cid, Tragi Comedie, par Mr.	Uxb Ar grat et Prluilegs du Rois il est pormis l'Aoysrin F GOVRBE', Marchand Libraire à Paris, d'imprimer ou faire imprimer, et exposer en yente, un Livre Infitulé, M Le Cid, Tragi Comédie, par Mr.
CORNEILLEZ Et defenſes ſont faites à tous ſmprimeurs;	CORNEILLEZ Et défenses sont faites à tous smprimeurs;
Libraires t autres?	Libraires t autres?
d'im primer, ny faire imprimer ledit Liure ſans ſa permiſſton, bú de ceux qui auront droit de luy, & ce pendant le temps de vingrans, à comi pter du iour que ledit Liure ſera acheüé d’imprimer pour la premiere fois, à peine aux eontreuenans, de quinze cens liures d'amande, confiſcationdes exemplaires quirſe trouueront contrefaits, & lle touſ deſpens, dommages & intereſts, ainſi qu’il eſt eont enu plus aulong auſdites Lettres de Priuilege.	d'im primer, ni faire imprimer ledit Livre sans sa permisston, bête de ceux qui auront droit de jours, et ce pendant le temps de vingrants, à comi pter du jour que ledit Livre sera achevé d'imprimer pour la première fois, à peine aux eontreuenans, de quinze cens livres d'amande, confiscationdes exemplaires quise trouveront contrefaits, et livre tous dépens, dommages et intérêts, ainsi qu'il est éloigner le plus au dites Lettres de Privilège.
Donné à Piris le vingt, vnieſme l'anz uier mil ſix cens trente ſept.	Donné à Pyris le vingt, unième l'anz uier mille six cens trente sept.
2*1.	2*1.
Par le Roy en ſon Conſeil.	Par le Roi en son Conseil.
Signé, Mibre CAA  l2 MCHA:	Signé, Mibre CAA l2 MCHA:
L CÓNRART?	LETTRE CNRART?
