Pεο2ς	Pεο2ς
TAMTINIT RPHEE.	TAMTINIT RPHÉE.
SA DESCENTE aux Enfers, ſa Mort par les Bacchantes.	SA DESCENTE aux Enfers, sa Mort par les Bacchantes.
TRAGEDIE:	TRAGÉDIE:
Et entres œuures Poëtiques du ſieur DE LRSPINE, Pariſien.	Et entres œuvres Poétiques du sieur DE LRSPINE, Parisien.
A PARTS, Par HENRY SARA, ruë L.	À PARTS, Par HENRY SARA, rue L.
Iean de Latran, à l’enſeigne de l’Alde.	Jean de Latran, à l'enseigne de l'Alde.
M.	M.
DC.	DC.
XXIII.	XXIII.
AVBC PRIVILEGE DV ROT.	AUBC PRIVILÈGE DU ROT.
ſADAME, 5 Il y a quelque temps que mon eſprit ſ'eſt occupé à la compoſition de ceſte Tragedie d’Orphée:	sADAME, 5 Il y a quelque temps que mon esprit s'est occupé à la composition de cette Tragédie d'Orphée:
Layant acheuée, eu égard aux honneurs, & aux bien-faicts qu'autresfois il a pleu à voſtre Majeſté me faire, i'ay pris la hardieſſe de l'expoſer à la mercy des ondes, pour ſ'aller	Layant achevée, eu égard aux honneurs, et aux bienfaits qu'autresfois il a pleu à votre Majesté me faire, j'ai pris la hardiesse de l'exposer à la merci des ondes, pour s'aller
LA R A OYNE DE LA GRAND BRETAGNE.	LA R À OYNE DE LA GRAND BRETAGNE.
preſenter aux pieds de voſtre Majesté.	présenter aux pieds de votre Majesté.
Je ſçay bien, MADAME, que ſi peu de choſe n'eſt pas capable de payer le tribut d’vn ſi grand deuoir, mais il vous plaira d’auoir pluſtoſt égard à l'exrreme deſir que i'ay de plaire à voſtre Majeſté, qu'à mon peu de merite.	Je sais bien, MADAME, que si peu de chose n'est pas capable de payer le tribut d'un si grand devoir, mais il vous plaira d'avoir plutôt égard à l'exrème désir que j'ai de plaire à votre Majesté, qu'à mon peu de mérite.
I'ay tiré ce ſuject d’Ouide, ſous lequel ſe cache vne belle moralité, par laquelle il eſt ayſé à cognoiſtre, que comme l’ombre ſuit le corps, ainſi l’enuie ſuit la vertu, & reſſemble aux Cantharides, qui ſ'attachent touſiours aux plus belles fleurs:	J'ai tiré ce sujet d'Ouide, sous lequel se cache une belle moralité, par laquelle il est aisé à connaître, que comme l'ombre suit le corps, ainsi l'envie suit la vertu, et ressemble aux Cantharides, qui s'attachent toujours aux plus belles fleurs:
De ceſte façon les Bacchantes agitées des fureurs de Bacchus donnerent la mort à ce Poete Thracien, ialouſes de ſes perfections, où vous, MADAME, tout au contraire, par les rares vertus que le Ciel vous a departies, dés l'heure de voſtre naiſſance, & par vos liberalitez pouuez, reſeruer l’eſtre à vn million d’Orphées, ſ'ils ſe pouuoient trouuer.	De cette façon les Bacchantes agitées des fureurs de Bacchus donnèrent la mort à ce Poète Thracien, jalouses de ses perfections, où vous, MADAME, tout au contraire, par les rares vertus que le Ciel vous a départies, dès l'heure de vôtre naissance, et par vos libéralités pouvez, réserver l'être à un million d'Orphées, s'ils se pouvaient trouver.
Fauoriſez donc, MADAME, ce mien petit labeur, vous promettant (ſi i'ay la moindre cognoiſſance qu’il vous retourne à rré) que dans peu de temps ie vous feray voir quelque œuure de plus grande haleine, ſçachant combien la ſeule opinion de faire choſe qui ſoit aggreable a vostre Majesté, me hauſſe l’ame & le courage par deſſus mes forces ordinaires.	Favorisez donc, MADAME, ce mien petit labeur, vous promettant (si j'ai la moindre connaissance qu'il vous retourne à rré) que dans peu de temps je vous ferai voir quelque œuvre de plus grande haleine, sachant combien la seule opinion de faire chose qui soit agréable à votre Majesté, me hausse l'âme et le courage par -dessus mes forces ordinaires.
Cependant ie ſupplieray la ſouueraine Bonté du Tout-puiſſant, qu’il gratifie vostre Regne d’autant d’heur & de prosperité, qu’il a faict par cy-deuant de merueilles, attendant que ie vous puiſſe teſmoigner que ma fin ne me peut eſtre que trop de gloire, pourueu qu'elle vous puiſſe aſſeurer de mon inuiolable affection à voſtre ſeruice, comme	Cependant Seigneur supplierai la souveraine Bonté du Tout-puissant, qu'il gratifie votre Reine d'autant d'heur et de prospérité, qu'il a fait par cy-deuant de merveilles, attendant que je vous puisse témoigner que ma fin ne me peut être que trop de gloire, pourvu qu'elle vous puisse assurer de mon inviolable affection à votre service, comme
Le tres-humble, & tres- obeïſſant ſeruiteur,	Le très-humble, et très- obéissant serviteur,
CH.	CH.
DE LESPINE.	DE LÉPINE.
A LA ROYNE STANCES.	À LA ROYNE STANCES.
4 OYNE, l'honneur de l’Vniuers, Ie ne puis dire par mes Vers Ves graces qui ſont ſans pareilles;	4 OYNE, l'honneur de l'Univers, Je ne puis dire par mes Vers Ves grâces qui sont sans pareilles;
Lon ne ſçauroit les reciter, autaava tuua lese a dua ccasssee Eſtant ſi pleine de merueilles.	Lon ne saurait les réciter, autaava tva lesse à dua cassée Étant si pleine de merveilles.
Car qui voudroit dire le los Qui dedans voſtre ame eſt enclos, Il faudroit reſſembler aux Anges, Et auoir vn eſprit divin:	Car qui voudrait dire le los Qui dedans votre âme est enclos, Il faudrait ressembler aux Anges, Et avoir un esprit divin:
Autrement ce ſereit en vain De penſer dire ves loüanges.	Autrement ce sereit en vain De penser dire venge louanges.
Ariſtote finit ſes iours Dedans les flets, cherchant le cours Du grand flus & reftus de l’onde:	Aristote finit ses jours Dedans les flets, cherchant le cours Du grand flus et refus de l'onde:
Ainſi celuy-là ſe perdreit Qui par trop curieux vondroit Raconter vos Vertus au monde.	Ainsi celui-là se perdreit Qui par trop curieux vondrait Raconter vos Vertus au monde.
Et naiſſant le Ciel vous a faict En vos grandeurs l’eſprit parfaict,	Et naissant le Ciel vous a fait En vos grandeurs l'esprit parfait,
Et remply de ſageſſe extreme, Pour eſtre en ce rond ſpacieux Comme le Soleil dans les Cieux Qui n’eſt ſemblable qu’à ſoy-meſme.	Et rempli de sagesse extrême, Pour être en ce rond spacieux Comme le Soleil dans les Cieux Qui n'est semblable qu'à soi-même.
88 NIQVE ſoing du Ciel, miracle de nos iours, Dont les moindres regards font naiſtre mille amours, Receuez de bon cœur ceſte offrande petite, Et penſeZ en voſtre ame, ô gloire des ortels, Que s’il en faut-offrir ſelon voſtre merite Lon n'en veriu tamuu fumer ſur vos Autels.	88 NIQUE soing du Ciel, miracle de nos jours, Dont les moindres regards font naître mille amours, Recez de bon cœur cette offrande petite, Et pensez en votre âme, ô gloire des ortels, Que s'il en faut-offrir selon vôtre mérite Lon n'en veu tamu fumer sur vos Autels.
D	D
ea Mdeio 4.	ea Mdeio 4.
EPIGRAMMA.	EPIGRAMMA.
Vne cingunt geminis Diui tua tempora lauris, AY Et bene, qui meritis clarus, vtramque refers.	Une cingunt géminis Diva tu tempora lauris, AY Et bene, qui méritis clarus, vtramque refers.
Nam verſu ſuperas vates, dulciùs Orpheo.	Nam versu superas vates, dulciùs Orpho.
Noſti dulciſonæ tangere fila lyræ:	Nosti dulisonæ tangère fila lyræ:
Iure igitur ſpiſſis Orpheum demerſeris vmbris Dum verſu & cithara nomen in orbe refers.	Jure igitur spissis Orpheum demerseris vambris Dum versu et cithara nomen in orbe refers.
A MONSIEVR DE L’ESPINE.	À MONSIEUR DE L'ÉPINE.
’ESPINE deſcriuant la gloire & le trophées Qu’au Royaume des merts emporta ceſt.	Çà ÉPINE décrivant la gloire et le trophées Qu'au Royaume des merts emporta cet.
Orphée Iadis tant renommé pour ſon luih & ſes vers, Tu as pris vn ſubiect qui t’eſt fort conuenable:	Orphée Jadis tant renommé pour son luih et ses vers, Tu as pris un sujet qui t'est fort convenable:
Par tes vers comme luy tu te reuds remarquable, Et fais voler ton nom par tout ces Vniuers.	Par tes vers comme lui tu te reuds remarquable, Et fais voler ton nom par tout ces Univers.
Orphée par le ſon de ſa douce Muſique Attiroit bien à ſoy quelque Peuple ruſtique, On queiquis tnojens dex amnesœdis cons Mais toy tu fais bien plus, car par la reſonnance Des cordes de ton luth tu as telle puiſſance Que tu rauis les cœurs des Princes & des Roys.	Orphée par le son de sa douce Musique Athirait bien à soi quelque Peuple rustique, On queiquis tojents dex amnesœdis cons Mais toi tu fais bien plus, car par la résonnance Des cordes de ton luth tu as telle puissance Que tu ravis les cœurs des Princes et des Rois.
I.	I.
D.	D.
S.	S.
I.	I.
Source gallica.	Source galica.
bnf.	bnf.
fr ( Biblic è ancé	fr ( Biblic ancé
L ATRAIN.	L ATRAIN.
On priſera ton luth, l'autre te Pœëſie, Vn tiers ſe trouuera d’vn iugement diuers;	On prisera ton luth, l'autre te Pœuesie, Un tiers se trouvera d'un jugement divers;
Chacun en iugera ſelon ſa fantaiſie, toy uvumaneny pa len ddes o tes ouse	Chacun en jugera selon sa fantaisie, toi uvumaneny pay len ddes ô tes ouse
G.	G.
B.	B.
D.	D.
AV MESME AVTHEVR --	AU MÊME AUTHÉVR --
EPIGRAMME.	ÉPIGRAMME.
À terre dans ſon ſein enferme ſes treſors Et toy tu vas cachant au dedans de ton corps Plus de dens precieux que n'en a la Nature.	À terre dans son sein enferme ses trésors Et toi tu vas cachant au dedans de ton corps Plus de dents précieux que n'en a la Nature.
Iuplier en naiſſant t’en a voule combler N’eſpargnant du teut rien pour te voir reſſembler A ces deux puiſſants Dieux Apollon & Mercure.	Juplier en naissant t'en a voule combler N'épargnant du tut rien pour te voir ressembler À ces deux puissants Dieux Apollon et Mercure.
R.	R.
F.	F.
S N NET 2 L2 CLC.	S N NET 2 L2 CLC.
MICHEL I	MICHEL I
ANGELO LEFORT.	ANGELO LEFORT.
Rſee ſol Cantor frà mille cantori Con vago, e dolce paſtorale accento Della diuina Muſica, eſtromente, Vinſe la rabbis di leoni, e tori.	Ruse sol Cantor frà mille cantori Con vago, e dolce pastorale accento Della divina Musica, étromente, Vinse la rabbis le dioni, e tori.
Auce la moglie haueſſe tratta fuori Del regno de Pluione;	Auce la moglie havesse tratta fuori Del régno de Pluione;
ſe contente Non foſſe mai, per l’ameroſo ſtente, Voltato dietro, vnde perſe i lauori.	se contente Non fosse mai, per l'améroso stente, Voltato diétro, unde perse y juori.
Mà tu, L’Eſpine, con ſi ricce ſpoglie D’orſeo, e di ſuoi non vincibili àmori, Rendi ad amendue vitale aiute.	Mà tu, L'Espine, con si ricce spoglie D'orseo, eu di suoi non vincibili àmori, Rendi ad amendue vitale aiute.
.	.
Orpheo non diede de la vita à ſua moglie, Tu fai che l'vno, & l'altra maï non muori, Orfeo con carmi, Burydice cal luïto.	Orpheo non dide de la vita à sua moglie, Tu fay che l'vno, et l'altra maî non muori, Orfeo con carmi, Burydice cal luïto.
7	7
MV LESEEVN.	MU LESEUN.
My Lecteur, pour ſatisfaire au doubte que tu pourrois auoir ſi tu as autrefois ouy quelques vers de ces miennes conceptions, ie t’aduertis de ne les attribuer à dautres qu’à moy.	Mi Lecteur, pour satisfaire au doute que tu pourrais avoir si tu as autrefois oui quelques vers de ces miennes conceptions, ils t'avertis de ne les attribuer à dautres qu'à moi.
I'ay recueilly les minuttes d’icelles eſparſes ça & là, comme d’vn naufrage;	J'ai recueilli les minuttes d'icelles éparses ça et là, comme d'un naufrage;
non toutes, mais celles que le hazard ma peu conſeruer pour les expoſer au fugement d’vn chaſcun.	non toutes, mais celles que le hasard ma peu conserver pour les exposer au fugement d'un chacun.
Ce que i'en ay faict eſt pluſtoſt par prieres de quelques vns de mes amis que demon propre motif:	Ce que j'en ai fait est plutôt par prières de quelques uns de mes amis que démon propre motif:
