Y.	Y.
LES *ALANTERIES DV DVC SONNE CE-ROY DE NAPLES.	LES *ALANTERIES DU DUC SONNE CEROY DE NAPLES.
Comedie de MAIRET.	Comédie de MAIRÉT.
A PARIS, Chez PIERRE ROCOLET, Imp.	À PARIS, Chez PIERRE ROCOLET, Imp.
& Libraire ordinaire du Roy, au Palais, en la gallerie des Priſonniers, aux Armes de la Ville.	et Libraire ordinaire du Roi, au Palais, en la gallérie des Prisonniers, aux Armes de la Ville.
M.	M.
DC.	DC.
XXXVI.	XXXVI.
Auec Priuilege du Ror.	Avec Privilège du Ror.
A TRES-DOCTE ET TRES-INGENIEVZ ANTHOINE BRVN, PROCVREVR GENERAL au Parlement de Dole.	À TRÈS-DOCTE ET TRÈS-INGENIEUZ ANTHOINE BRVN, PROCUREUR GÉNÉRAL au Parlement de Dole.
EPISTRE DEDICATOIRE, Comique & Familiere.	ÉPÎTRE DÉDICATOIRE, Comique et Familière.
Y ONSIEVR MON TRES-CHER AMY, erene Ie ne trouue auiourd’huy perſonne dedans ny dehors ce Royaume de qui le nom, plus iuſtement que le voſtre puiſſe eſtre mis à la teſte de cét Ouurage;	Y ONSIEUR MON TRÈS-CHER AMY, érène Je ne trouve aujourd'hui personne dedans ni dehors ce Royaume de qui le nom, plus justement que le vôtre puisse chang mis à la tête de cet Ouvrage;
Car outre que vous eſtes vn des plus grands ornemens de voſtre Païs, & du mien, & que les meilleurs Eſprits de France, dont vous auez autrefois augmenté le nombre, font vne eſtime tresparticuliere de voſtre merite & de voſtre amitié, c’eſt qu’auec la Iuſtice d’vn ſi beau choix, ie fais encore vn acte de gratitude & de reconnoiſſance.	Car outre que vous êtes un des plus grands ornements de votre Pays, et du mien, et que les meilleurs Esprits de France, dont vous avez autrefois augmenté le nombre, font une estime tresparticuliere de votre mérite et de votre amitié, c'est qu'avec la Justice d'un si beau choix, ie fait encore un acte de gratitude et de reconnaissance.
Peut-eſtre ne ſça	Peut-être ne sça
Contraste insuffisant NF 2 43-120-14 uez-vous pas que ce peu de bruit que ma donné ma plume eſt vn effect de la genereuſe emulation, dont celuy de la voſtre eſueilla mon eſprit qui dormoit encor alors dans la pouſſiere, & l’obſcurité des Eſcholes:	Contraste insuffisant NAUT 2 43120-14 uez-vous pas que ce peu de bruit que ma donné ma plume est un effet de la généreuse émulation, dont celui de la vôtre éveilla mon esprit qui dormait encor alors dans la poussière, et l'obscurité des Écholes:
De ſorte que s’il eſt permis de comparer les petites choſes aux grandes,les Lauriers dont voſtre Mule vous auoit couronné le front, firent en mon cœur le meſme effect, & la meſme impetuoſité que ceux de Miltiades firent en celuy de Themiſtocles, & ie puis dire auec le Poëte Verin:	De sorte que s'il est permis de comparer les petites choses aux grandes, Lauriers dont votre Mule vous avait couronné le front, firent en mon cœur le même effet, et la femme impétuosité que ceux de Miltiades firent en celui de Themistocles, et et puis dire avec le Poète Verin:
Quæ didici reddo carmina Fuſce tibi.	Quæ didici redido carmina Fusce tibi.
Enfin ce fut l’audacieux deſir de porter mes pas ſur les voſtres qui me perſuada de changer, comme ie fis, à l’âge de ſeize ans l’air de Beſançon a celuy de Paris, où prelque en arriuant, ie rencontray par vne heureuſe temerité la protection & la bien-veillance du plus Grand, du plus Magnifique, & du plus Glorieux de tous les hommes de ſa condition que la France ait iamais porté, ſi nous oſtons les trois derniers mois de ſa vie, auec laquelle toutes mes eſperances ont fait vn dernier naufrage.	Enfin ce fut l'audacieux des de porter mes pas sur les vôtres qui me persuada de changer, comme beau fis, à l'âge de seize ans l'air de Besançon a celui de Paris, où prélque en arrivant, comme rencontrai par une heureuse temerité la protection et la bienveillance du plus Grand, du plus Magnifique, et du plus Glorieux de tous les hommes de sa condition que la France ait jamais porté, si nous ôtons les trois derniers mois de sa vie, avec laquelle toutes mes espérances ont fait un dernier naufrage.
Ie ſçay bien, MON TRES-CHER AMY, que vous ne vous offencerez pas de ma franchiſe, ſi ie dis que c’eſt à ſon deffaut que ie vous adreſſe ces Galanteries du Duc d’Oſſonne, puis qu’il eſt vray que s’il eſtoit encore au monde, ce ſeroit luy qui les receuroit comme le veritable Original de celles de noſtre Court, dont il fut ſi long-temps la plus eſclatante lumiere.	Je sais bien, MON TRÈS-CHER AMY, que vous ne vous offenserez pas de ma franchise, si grande dis que c'est à son défaut que je vous adresse ces Galanteries du Duc d'Ossonne, puis qu'il est vrai que s'il était encore au monde, ce serait lui mi les receuroit comme le véritable Original de celles de notre Court, dont il fut si longtemps la plus éclatante lumière.
Ce fut cét illuſtre & deplorable Heros –quem ſemper amatum oſe eſperer deſormais de tous les autres dans la vigueur de ſon adoleſcence.	Ce fut cet illustre et déplorable Héros âme semper amatum ose espérer désormais de tous les autres dans la vigueur de son adolescence.
I’ay commencé de ſi bonne heure à faire parler de moy, qu’à ma vingt-ſixieſme année ie me trouue auiourd’huy le plus ancien de tous nos Poëtes Dramatiques.	J'ai commencé de si bonne heure à faire parler de moi, qu'à ma vingt-sixième année ie me trouve aujourd'hui le plus ancien de tous nos Poètes Dramatiques.
Ie compoſay ma Criſeide à ſeize ans au ſortir de Philoſophie, & c’eſt de celle-là & de Siluie, qui la ſuiuit vn an apres, que ie dirois volontiers à tout le monde.	Je composai ma Criseide à seize ans au sortir de Philosophie, et c'est de celle-là et de Silvie, qui la suivit un an après, que on dirais volontiers à tout le monde.
Delicta iuuentutis meæ ne reminiſcaris.	Délicta juentutis meæ ne reminiscaris.
