A 3591.	À 3591.
F5.	F5.
4 O 16 la 1 L L'INNOCE R.	4 Ô 16 la 1 L 'INOCE R.
4 T 10 a RECONNVE.	4 T 10 a RECONNVE.
A voigoute Ooreſttemie.	A voigoute Oorêttemie.
114.	114.
11 5.	11 5.
IE ſoau Mιαηαὸ dure Docled eTha cab *1 A PARIS l’entrée de la Galerie des Priſonniers,	JE soù Maître dure Docled eStha cab *1 A PARIS l'entrée de la Galerie des Prisonniers,
au Nom de IESVS.	au Nom de JÉSUS.
AIEIMGM Innocence Reconnuë, eſt l’Hiſtoire de ſainte Geneuié ve de Brabant.	AIEIMGM Innocence Reconnuë, est l'Histoire de sainte Géneuié ve de Brabant.
dont les diuerſes auantures ſont traitées amplemẽt par Monſieur de Ceriziers, dans vn Liure qu’il a fait ſur ce ſujet, & dont eſt tiré celuy de cette Piece.	dont les diverses aventures sont traitées amplement par Monsieur de Cérisiers, dans un Livre qu'il a fait sur ce sujet, et dont est tiré celui de cette Pièce.
Il y a cinq Actes joüez par huict Acteurs:	Il y a cinq Actes jouez par huit Acteurs:
ſçauoir Sifroy mary de Geneuiéve Prince Palatin, Geneuiéve femme de Sifroy, Benoni fils de Sifroy & de Geneuieve, Golo fauory de Sifroy, & ſon Intendant, leſquels ſont proprement les ſeuls dont il eſt queſtion:	sçauoir Siètroi mari de Geneuiéve Prince Palatin, Geneuiéve femme de Sifroy, Benoni fils de Sifroi et de Geneuieve, Golo favori de Sifroy, et son Intendant, lesquels sont proprement les seuls dont il est question:
les quatre autres ſeruent dans l’intrigue de la piece, & qui paroiſtront ſous les nõs d’Oriſmond, Eſcuyer de Geneuiẽve, Liſandre, Leris & Cleon, Gentils-hommes de la Cour de Sifroy.	les quatre autres servent dans l'intrigue de la pièce, et qui paraîtront sous les noms d'Orismond, Écuyer de Geneuiẽve, Lisandre, Lis et Cleon, Gentilshommes de la Cour de Sifroy.
Le 1.	Le 1.
Acte doit eſtre dans vne grãde, vaſte & ſombre foreſt, au milieu de laquelle coule vn petit ruiſ.	Acte doit être dans une grãde, vaste et sombre forêt, au milieu de laquelle coule un petit ruis.
ſeau, & que s’il ſe peut on entende quelques eaux deſcendre d’enhaut.	seau, et que s'il se peut on entende quelques eaux descendre d'enhaut.
Il faut qu’il paroiſſe quelques rochers en perſpectiue, au deſſus deſquels il y ait vn Chaſteau.	Il faut qu'il paraisse quelques rochers en perspectiue, au dessus desquels il y ait un Château.
Le 2.	Le 2.
doit eſtre dans la Chambre du Comte, qui dormira ſur vn lit de ſale en alcove:	doit être dans la Chambre du Comte, qui dormira sur un lit de sale en alcôve:
outre la garniture ordinaire de la Chambre d’vn Seigneur, il faut que ſur la table il y ait vne petite caiſſe où l’on puiſſe mettre des lettres.	outre la garniture ordinaire de la Chambre d'un Seigneur, il faut que sur la table il y ait une petite caisse où l'on puisse mettre des lettres.
Le y, dont eitte ciore dals Ia C hambre du Comte comme au ſecon d.	Le y, dont eitte ciore dals Ia Ç ambre du Comte comme au secon d.
Le a.	Le a.
doit eſtre dans la foreſt comme au premier, où toute fois il faut remarquer qu’il doit y auoir en vn petit coin vers le ruiſſeau vne petite motte de gazon en forme de ſiege.	doit être dans la forêt comme au premier, où toute fois il faut remarquer qu'il doit y avoir en un petit coin vers le ruisseau e petite motte de gazon en forme de siège.
ARGVMENT.	ARGUMENT.
Eneuiéve prend reſolution deſorTeir du bois apres ſept ans de ſolitude, pour aller trouuer ſon Sifr.	Eneuiéve prend résolution désorTeir du bois après sept ans de solitude, pour aller trouver son Sifr.
y dans ſon Chaſteau, & luy découurir ſon Innocence.	y dans son Château, et lui découvrir son Innocence.
Mais Oriſmond ſon Eſcuyer la rencontre, qui luy donne vn meilleur conſeil, ſurquoy elle eſcrit au Comte, luy faiſant parler ſon ombre.	Mais Orismond son Escuyer la rencontre, qui lui donne un meilleur conseil, surquoi elle écrit au Comte, lui faisant parler son ombre.
Liſandre & Cleon arriuent là deſſus, qu’Oriſmond fait confdens de la lettre, ſans leur rien découurir de la vie de Geneuiéve.	Lisandre et Cleon arrivent là -dessus, qu'Orismond fait confdents de la lettre, sans leur rien découvrir de la vie de Geneuiéve.
Eux ils luy racontent la mort d’Argine, & la façon dont elle enchanta le Comte pour luy perſuader le crime de Geneuiéve.	Eux ils avait racontent la mort d'Argine, et la façon dont elle enchanta le Comte pour lui persuader le crime de Geneuiéve.
ACTEVRS.	ACTEURS.
GENEVIE'VE, Feinine de Sirroy.	GENEUIE'UE, Feinine de Sirroi.
Fils de Sifroy & de Geneuiéve.	Fils de Sifroy et de Geneuiéve.
Fauory de Sifroy.	Favori de Sifroy.
LISANDRE, CLEON, Gentils hommes de la Cour de Sifroy.	LISANDRE, CLEON, Gentils hommes de la Cour de Sirefroi.
La Scene eſt dans vne Foreſt proche du Chaſteau du Comie Palatin dc Treves.	La Scène est dans une Forêt proche du Château du Comie Palatin d' Treves.
DLEEVIEVE O V L’INNOCENCE RECONNVE.	DLEEVIEVE Ô V L'INNOCENCE RECONVE.
TRAGEDIE CHRESTIENNE.	TRAGÉDIE CHRÉTIENNE.
AIOEE 4.	ÀIOE 4.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
GENEVIE’VE, BENONI.	GENEUIE'UE, BENONI.
GENEVIE’VE.	GENEUIE'UE.
Vittons, cher Benoni, des demeures ſi ſombres.	Vittons, cher Bénoni, des demeures si sombres.
Tirons ton innocence & ma foy de leurs ombres.	Tirons ton innocence et ma foi de leurs ombres.
BENONI.	BENONI.
Mais dites moy, Madame, où ie conduiſez vous?	Mais dites -moi, Madame, où ie conduisez -vous?
GENEVIE'VE.	GENEUIE'UE.
Hors de ces bois, mon fils, chercher vn ſort plus doux, Qui me rendant l’honneur, rende à ton innocẽce, Les droits auantageux d’vne illuſtre naiſſance.	Hors de ces bois, mon fils, chercher un sort plus doux, Qui me rendant l'honneur, rende à ton innocience, Les droits avantageux d'une illustre naissance.
BENONI.	BENONI.
Où pourrons nous treuver ſi nous quittons ces lieux, Vn ſort qui ſoit plus doux & plus delicieux, ranqueleur tainte noreur a Tiunocence meſme Merite dans le Ciel le droit d’vn diadême.	Où pourrons nous trouver si nous quittons ces lieux, Un sort qui soit plus doux et plus délicieux, ranqueleur tainte noreur a Tiocence même Mérite dans le Ciel le droit d'un diadme.
GENEVIE'VE.	GENEUIE'UE.
Si Dieu par tant de maux eſt las de l’éprouuer, Sans perdre vn ſi beau droit nous le pourrons ascudes, Et ce ſort finiſſant noſtre longue miſere, Me peut rendre vn époux & te donner vn pere.	Si Dieu par tant de maux est las de l'éprouver, Sans perdre un si beau droit nous le pourrons ascudes, Et ce sort issant notre longue misère, Me peut rendre un époux et te donner un père.
BENONI.	BENONI.
Madame, excuſez moy, ie ne le comprens pas, Mon pere pourroit-il eſtre encore icy bas?	Madame, excusez -moi, je ne le comprends pas, Mon père pourrait-il aires encore ici bas?
Et ne m’auez-vous pas apris dans mes prieres Qu’il demeuroit là haut au milieu des lumieres.	Et ne m'avez-vous pas appris dans mes prières Qu'il demeurait là haut au milieu des lumières.
GENEVIE’VE.	GENEUIE'UE.
Il eſt vray, mon mignon, qu’il en fait ſon palais, Que c’eſt dans ce ſejour d’innocence & de paix Où ce Dieu qui nous ſert de Pere en nos deſaſtres Prepate à ſes enfans des throînes ſur les Aſtres?	Il est vrai, mon mignon, qu'il en fait son palais, Que c'est dans ce séjour d'innocence et de paix Où ce Dieu qui nous sert de Père en nos désastres Prépate à ses enfants des trônes sur les Astres?
Que c’eſt ſur ces criſtaux & ces voûtes d’azur, Où les Aſtres brillans rendent vn feu ſi pur, Queceux quilont ame marenas ſurles étoilles Contemplent ces beautez ſans nuages & ſans voiles.	Que c'est sur ces cristaux et ces voûtes d'azur, Où les Astres brillants rendent un feu si pur, Queceux quilont âme marenas surles étoilles Contemplent ces beautés sans nuages et sans voiles.
Mais de tous les mortels eſtant pere commun Il laiſſe encore le ſien ſur la terre à chacun.	Mais de tous les mortels étant père commun Il laisse encore le sien sur la terre à chacun.
BENONI.	BENONI.
Vous me declarez là des choſes bien étranges, Eſt-il quelqu’vn au monde, hormis nous & nos Bategcas	Vous me déclarez là des choses bien étranges, Est-il quelqu'un au monde, hormis nous et nos Bategas
GENEVIE’VE.	GENEUIE'UE.
Oüy, mon fils, il en eſt, & nos plus grands deſerts Ne ſont qu’vn petit coin de ce vaſte Vniuers, Ce n’eſt rien à l’égard du reſte de la terre Que le Ciel que tu vois ſous ſa rondeur reſerre, Et dont tous les vallons & les riches coſteaux Font ombre à des Maiſons, ou portent des Chaſteaux;	Oui, mon fils, il en est, et nos plus grands déserts Ne sont qu'un petit coin de ce vaste Univers, Ce n'est rien à l'égard du reste de la terre Que le Ciel que tu vois sous sa rondeur réserre, Et dont tous les vallons et les riches costeaux Font ombre à des Maisons, ou portent des Châteaux;
D’où l’on voit fourmiller de tous coſtez des hommes Imes.	D'où l'on voit fourmiller de tous côtés des hommes Imes.
Qui viuent comme nous eſtant ce que nous ſomEt ſelon le chemin qu'vn chacun a battu Ayant ſuiuy le vice ou ſuiuy la vertu, Reçoit apres la mort de la prompte Iuſtice, Des prix pour la vertu, des peines pour le vice.	Qui vivent comme nous étant ce que nous somEt selon le chemin qu'un chacun Ayant battu Ayant suivi le vice ou suivi la vertu, Reçoit après la mort de la prompte Justice, Des prix pour la vertu, des peines pour le vice.
Gét aimable inconnu, dont tu porte le ſang, Parmy ceux que ie dis, tient vn illuſtre rang.	Get aimable inconnu, dont tu porte le sang, Parmi ceux que je dis, tient un illustre rang.
BENONI.	BENONI.
Où demeure-t’il donc, & quel ſort nous ſepare?	Où demeure-t-il donc, et quel sort nous sépare?
GENEVTE'VE.	GENEUTÉVE.
Puis qu’il eſt temps, mon fils, que ie te le declare, Et qu'vn rayon du Ciel a preuenu tes ans, Pour ouurir ton eſprit à ces reſſentimens.	Puis qu'il est temps, mon fils, que sans te lé clare, Et qu'un rayon du Ciel a prévenu tes ans, Pour ouvrir ton esprit à ces ressentiments.
Pour déplorer ton ſort cõmence à te connoiſtre;	Pour déplorer ton sort commence à te connaître;
D'vn pere aſſez heureux, le Ciel t’auoit fait naiſtre, oi prenaut vn ſoupçon ruueite a mon honneur, Luy meſme n’euſt détruit d’abord tout ſon bonheur.	D'un père assez heureux, le Ciel t'avait fait naître, oi prenaut un soupçon ruveite à mon honneur, Lui même n'eût détruit d'abord tout son bonheur.
Du plus noir des pechez il ſoupçonna ta mere, Et te ereut, mon cher ſils, le fruit d’vn adultere.	Du plus noir des péchés il soupçonna ta Mère, Et te ereut, mon cher sils, le fruit d'H adultère.
BENONI.	BENONI.
le merite donc bien de viure miſerable Puis qu’en naiſſant ie fis que l’on vous creut courdones	le mérite donc bien de vivre misérable Puis qu'en naissant avoir fis que l'on vous crut courdones
GENEVIE'VE.	GENEUIE'UE.
Mais puis que ma beauté te cauſa ce malheur, Moy ſeule i'en deuois reſſentir la douleur.	Mais puis que ma beauté te causa ce malheur, Moi seule j'en devais ressentir la douleur.
Il nous condamna donc de perdre icy la vie, De la mienne ta mort deuoit eſtre ſuiuie, Si ceux dont noſtre ſang deuoit ſoiiller les mains N’euſſent pris daus ces bois des ſentimens humains;	Il nous condamna donc de perdre ici la vie, De la mienne ta mort devait être suivie, Si ceux dont notre sang devait soiiller les mains N'eussent pris daus ces bois des sentiments humains;
Car voicy, Benoni, l'endroit où l’iniuſtice A ce ialoux ſoupçon euſt fait le ſacrifice, Si ce ſacré ſilence, & cette ſainte horreur Par vn ſecret inſtinct n’euſt charmé leur fureut.	Car voici, Bénoni, l'endroit où l'injustice À ce jaloux soupçon eût fait le sacrifice, Si ce sacré silence, et cette sainte horreur Par un secret instinct n'eût charmé leur fureut.
Ces bourreaux vn moment de mort nous pardonnerent, Mais à uc longstoumiens nnous comndonerent, Que dans ce triſte eſtat, en ces affreux deſerts.	Ces bourreaux un moment de mort nous pardonnèrent, Mais à uc longstoumiens nous comndonèrent, Que dans ce triste état, en ces affreux déserts.
Sans ſecours que du Ciel i’ay du depuis ſoufferts.	Sans secours que du Ciel j'ai du depuis soufferts.
BENONI.	BENONI.
Allons à leur autheur en faire le reproche, Dites-moy ſeulement s’il demeure bien proche.	Allons à leur auteur en faire le reproche, Dites-moi seulement s'il demeure bien proche.
GENEVIEVE.	GENEVIÈVE.
Que trop, mon cher mignon, regarde ſeulement Ce qui s’offre à tes yeux dans cét éloignement.	Que trop, mon cher mignon, regarde seulement Ce qui s'offre à tes yeux dans cet éloignement.
Y vois-tu ce Chaſteau qui ſur vne colline Commande auec orgueil la campagne voiſine.	Y vois-tu ce Château qui sur une colline Commande avec orgueil la campagne voisine.
