A GRENOBLE,	À GRENOBLE,
M.	M.
DC.	DC.
XCVI.	XCVI.
LA FOIRE S.	LA FOIRE S.
GERMAIN, COMEDIE.	GERMAIN, COMÉDIE.
ACTE TREMIER.	ACTE TREMIER.
uena dulou ddullae.	ouvena dulou ddullae.
COLOMBINE.	COLOMBINE.
ARLEQUIN.	ARLEQUIN.
ARLEQUIN à part.	ARLEQUIN à part.
E ſeroit-ce point là quelque avan.	E serait-ce point là quelque avan.
tutiere foraine à Colombine.	tutière foraine à Colombine.
N'éV tes-vous poinr, Mademoiſelle, de ces Chauves ſouris apprivoiſées qui gracieuſent le Bourgeois, & luy propoſent la collation	N'éU tes-vous poinr, Mademoiselle, de ces Chauves souris apprivoisées qui gracieusent le Bourgeois, et lui proposent la collation
COLOMBINE.	COLOMBINE.
Et vous ne ſeriez-vous point par avanture de-ces Chevaliers des heritez par la fortutts qui retrouvent leur patrimoine dans la bourle.	Et vous ne seriez-vous point par aventure de-ces Chevaliers des hérités par la fortuts qui retrouvent leur patrimoine dans la bourle.
des pauaus.	des pavaus.
ARLEQUIN.	ARLEQUIN.
Oh!	Oh!
oh!	oh!
vous mettez ma pudeur hor' des gonds.	vous mettez ma pudeur hor' des gonds.
Je ſuis un Gentilhonnne qui ay quitté le ſervice pour venir prendre de l’employ à la foite.	Je suis un Gentilhonnne qui ai quitté le service pour venir prendre de l'emploi à la faite.
COLOMBINE.	COLOMBINE.
f'eut-on vous demauder où vous avez ſere vy, en Flandies ou en Allemagne.	s'eut-on vous demauder où vous avez sere vis, en Flandies ou en Allemagne.
A Pats.	À Pats.
ARLLQUIN.	ARLQUIN.
A Paris.	À Paris.
COLOMBINE.	COLOMBINE.
ARLEQUIN.	ARLEQUIN.
Oüy, j’ay eſté trois ans Cuiraſſier dans le Guet, aprés avoir ſervy volontaire dans le Renimient de Pille ensctei	Oui, j'ai été trois ans Cuirassier dans le Guet, après avoir servi volontaire dans le Renimient de Pille ensctei
COLOMBINE.	COLOMBINE.
Je n’ay pas oüy parler de ce Regiment-là,	Je n'ai pas ouï parler de ce Régiment-là,
ARLEQUIN miubteye vee cades pusbe .	ARLEQUIN miubteye ve cades puse .
Regimens de France, les ioldats y ſo.	Regiments de France, les joldats y souo.
tantoſt tantaſſins, tautoſt cartoſſiers, & ſont habillez de veid, de jaune ou de touge ſuivant la fantaiſie des Capitaines-	tantôt tantassins, tautôt cartossiers, et sont habillez de vit, de jaune ou de touge suivant la fantaisie des Capitaines-
COLOMBINE.	COLOMBINE.
Je commence à avoir quelque teinture de voltle Regimente	Je commence à avoir quelque teinture de voltle Regimente
ARLEQUIN.	ARLEQUIN.
C'eſt le corps le plus neceſſaire à l’Eſtat, & où on fait le plus viſte ſon chemin, on tirede là des gens pour remplir les emplois les plus lucratits;	C'est le corps le plus nécessaire à l'État, et où on fait le plus vite son chemin, on tirede là des gens pour remplir les emplois les plus lucratits;
