Couvertures supérieure et inférieure on couleus	Couvertures supérieure et inférieure on coulus
TRAGEDIE.	TRAGÉDIE.
Par de la PINELIERE, Angeuin- -.	Par de la PINELIÈRE, Angeuin- -.
.	.
.	.
.	.
	
A PARIS, Chez ANTOINE DE SOMMAVILLE, au Palai en la petite Salle,à l’Eſcu de France.	À PARIS, Chez ANTOINE DE SOMAUILLE, au Palai en la petite Salle,à l'Écu de France.
	
A MONSEEV I DE BAVTRV INTRQ duetoul deoltinoacaporye A	À MONSEU I DE BAUTRV INTRQ duétoul déoltinoacaporie A
ONSIEVR, Ces Princes des Romans, & *Mex Sees Heros imaginaires des pieces de noſtre temps;	ONSIEUR, Ces Princes des Romans, et *Mex Es Héros imaginaires des pièces de notre temps;
qui pour auoir tant voyagé comme ils nous diſent n'en ſçauent pas plus de langues, & quint parlent iamais que François, ont meilleure gruce dans le Cabinẽt d’vne Dame, que dans celuy d’vn homme de lettres:	qui pour avoir tant voyagé comme ils nous disent n'en sçauent pas plus de langues, et quint parlent jamais que Français, ont meilleure gruce dans le Cabinence d'une Dame, que dans celui d'un homme de lettres:
Mais Hippolyte & qui le langagé, d’Athenes eſte naturel, qui apprits celuy de Rome dés l’Empire de.	Mais Hippolyte et qui le langagé, d'Athène este naturel, qui apprits celui de Rome dès l'Empire de.
Neron, & queie fais enfin diſcourir en noſtre langue), auroit en de la peine, à ſe produire, ſi ie ne luy euſſe sfaict ietter des 'yeux deſſus vous, comme celuy?	Neron, et queie fais enfin discourir en notre langue), aurait en de la peine, à se produire, si grande ne lui eusse sfaict ietter des ' eux dessus vous, comme celui?
