ERIE, COMEDIE.	ERIE, COMÉDIE.
De Mr DANCOURT.	De Mr DANCOURT.
M.	M.
DC.	DC.
XCVII.	XCVII.
AVEC PRIVILEGE DV ROT.	AVEC PRIVILÈGE DU ROT.
EXTR.	EXTR.
AIT DU PRIVILEGE du Roy.	AIT DU PRIVILÈGE du Roi.
AR Grace & Privilege du Roy, donné à Paris T le vingt-huitiéme Aouſt 1695.	AR Grâce et Privilège du Roi, donné à Paris T le vingt-huitième Août 1695.
Signé, Par le Roy en ſon Conſeil, LE F EVRE' Il eſt permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimet le Recueil des Comedias du Sieur Dancourt, pendant le temps de ſix années, à compter du jour qu’elles ſeront achevées d’imprimer pour la premniere fois, en vertu des preſentes, pendant lequel temps tresex preſſes inhibitions & défenſes ſont faites à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimer, vendre ny debiter deſdites Comedies, d’autre Edition que celles de l’Ex poſant, ou de ceux qui auront droit de luy, à peine de quinze cens livres d’amende, payable ſans déport par chacun des Contrevenans, & de tous depens, dommages & intereſts, & autres peines portées plus au long par leldites Lettres de Privilege.	Signé, Par le Roi en son Conseil, LE EVRE' , et permis à THOMAS GUILLAIN, Marchand Libraire à Paris, de faire imprimet le Recueil des Comédias du Sieur Dancourt, pendant le temps de six années, à compter du jour qu'elles seront achevées d'imprimer pour la premnière fois, en vertu des présentes, pendant lequel temps trèsex presses inhibitions et défenses sont faites à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimer, vendre ni débiter desdites Comedies, autre Edition que celles de Ex posant, ou de ceux qui auront droit de lui, peine de quinze cens livres damende,payable sans déport ' au des Contrevenans, et de tous dépens, dommages etdit, et autres peines ô plus au long par ue Ce de Privilege.
ſcegpis quite btore ne lu Guonmonnis des Iayprimeurs & Libraires de la Ville de Paris, le premier Septembre 1695.	scegis quite btore ne lu Guonmonnis des Iayprimeurs et Libraires de la Ville de Paris, le premier Septembre 1695.
Signé P.	Signé P.
AUBOUIN, Syndie.	AUBOUIN, Syndie.
Achevé d’imprimer pout la premiere fois, en vertu du preſent Privilege, le 27.	Achevé d'imprimer pout la première fois, en vertu du présent Privilège, le 27.
Juillet 1697.	Juillet 1697.
LA MARQUISE.	LA MARQUISE.
LE FINANCIER, Oncle d’Eraſte.	LE FINANCIER, Oncle d'Eraste.
UN LAQUAIS de la Marquiſe.	UN LAQUAIS de la Marquise.
LA 1 ERII COMEDIE.	LA 1 ERII COMÉDIE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MARIANE, LISETTE.	MARIANE, LISETTE.
in.	in.
MARIANE.	MARIANE.
ON, te dis-je, il n’y a rien au monde qui ſoit capable de me tunle cnanger dt Icioluion, de je me donnerai plûrôt la moit que de renoncer à la tendreſſe qu’en m’a fait prendre pour Eraſte.	ON, te dis-je, il n'y a rien au monde qui soit capable de me tunle cnanger dt Iciolvon, de je me donnerai plûrôt la moit que de renoncer à la tendresse qu'en m'a fait prendre pour Éraste.
LISETTE.	LISETTE.
Oüais.	Ouais.
Vous le prenez là ſur un ton bien heroïque vrayement;	Vous le prenez là sur un ton bien héroïque vraiment;
& comment l’entendez-vous donc, s’il vous plaît;	et comment l'entendez-vous donc, s'il vous plaît;
vous n’eſtes	vous n'êtes
Han C.	Han Ç.
Source gallica.	Source galica.
bnf.	bnf.
fr (Bibliothèque nationale de France à Paris que depuis deux ans, & vous voila déja auſſi extravagante que ſi vous y aviez eſte clevee touſe voure vic.	fr (Bibliothèque nationale de France à Paris que depuis deux ans, et vous voilà déjà aussi extravagante que si vous y aviez este lève touse voure vic.
MARIANE.	MARIANE.
Et quelle extravagance trouve-tu dans une paſſion toute legitime, autoriſée par l'aveu de mon pere, ſoûtenuë par tout le merite d’Eraſte, & qui s’eſt augmentée de jour en jour par un lecret pencnant que je ne puis vaincre.	Et quelle extravagance trouve-tu dans une passion toute légitime, autorisée par l'aveu de mon père, soutenue par tout le mérite d'Eraste, et qui s'est augmentée de jour en jour par un lecret pencnant que je ne puis cre.
LISETTE.	LISETTE.
Hé mort de ma vie, c’eſt ce penchantlà que je trouve ridicule.	Hé mort de ma vie, c'est ce penchantlà que je trouve ridicule.
Oh pour cela je ne vous comprens point.	Oh pour cela je ne vous comprends point.
Eſt-il poſſible qu’une ſille Napõlitaine formée (je ne dirai pas du plus pur ni du plus noble ſang de ce païs-là l mais du plus ſubtil du moins.	Est-il possible qu'une sille Napplitaine formée (je ne dirai pas du plus pur ni du plus noble sang de ce pays-là l mais du plus subtil du moins.
La fille de Monſieur Sbrigany en un mot connoiſſe une autre paſſion que celle de ſon interêt, & qu’elle puiſſe être ſenſible à quelqu’autre choſe qu’à ſa fortune.	La fille de Monsieur Sbrigani en un mot connaisse une autre passion que celle de son intérêt, et qu'elle puisse être sensible à quelque autre chose qu'à sa fortune.
Allez, Mademoiſelle, vous ne meritez pas l'honnête homme de pere que le Ciel vous à donné, & ſi j’étois à ſa place.	Allez, Mademoiselle, vous ne méritez pas l'honnête homme de père que le Ciel vous a donné, et si j'étais à sa place.
MARIANE.	MARIANE.
Mais que veux-tu donc dire, Liſette, n’eſt-ce pas lui qui m’a permis de recevoir les ſoins & les aſſiduitez d’Eraſte.	Mais que veux-tu donc dire, Lisette, n'est-ce pas lui qui m'a permis de recevoir les soins et les assiduités d'Éraste.
Il nous deſtinoit l'un pour l’autre;	Il nous destinait l'un pour l'autre;
il lui a donné ſa palole.	il lui a donné sa palole.
LISETTE.	LISETTE.
Oüy quand il a crû avoir beſoin de lui pour ſon établiſſement, & pour ſon commerce.	Oui quand il a cru avoir besoin de lui pour son établissement, et pour son commerce.
Eraſte eſt un honnête Commis de la Doüane fort bon garçon, de bonne famille, fort joli homme;	Eraste est un honnête Commis de la Dane fort bon garçon, de bonne famille, fort joli homme;
vôtre Pere & lui étoient aſſociez pour frauder les droits, & pour faire paſſer des marchandiſes de contrebande, & vous êtiez le nœud de la ſocieté vous.	votre Père et lui étaient associés pour frauder les droits, et pour faire passer des marchandises de contrebande, et vous êtiez le nœud de la société vous.
Tant que Monſieur Sbrigany n’a êté que Marchand ce parti-là vous convenoit à merveilles:	Tant que Monsieur Sbrigani n'a êté que Marchand ce parti-là vous convenait à merveilles:
Mais à preſent cela eſt Sicismu denoue ne vouer nu Mmom Cotcrie, ce n’eſt plus un Commis qu’il lui faut pour gendre, c’eſt un Commiſſaire.	Mais à présent cela est Sicismu denoue ne vouer nu Mmom Cotcrie, ce n'est plus un Commis qu'il lui faut pour gendre, c'est un Commissaire.
MAMANE.	MAMANE.
Moi, je ſerois mariée à un Commiſſairre?	Moi, je serais mariée à un Commissairre?
LISETTE.	LISETTE.
Pour mariée je n’en jurerois pas.	Pour mariée je n'en jurerais pas.
Mais tant que la Lotterie durera du moins, vous y ſerez promiſe.	Mais tant que la Lotterie durera du moins, vous y serez promise.
La voila tirée, quand elle ſera ſinie, le produit à couvert, les lots diſtribuez tantbien que mal, on congediera le Commiſſaire, & ſelon l’exigence des cas.	La voilà tirée, quand elle sera sinie, le produit à couvert, les lots distribuez tant que mal, on congédiera le Commissaire, et selon l'exigence des cas.
ou l’occurence des affaires, on vous promettra dans la ſuite à quelqu’aurre, à qui l’onſne tiendra pas mieux parole.	ou l'occurence des affaires, on vous promettra dans la suite à quelqu'aurre, à qui l'une tiendra pas mieux parole.
Male peſte c’eſt un habile homme que vôtre pete, iln’y a rien qu’i ne mette a pront.	Male peste c'est un habile homme que votre pete, iln'y a rien qu'y ne mette a pront.
MARIANE.	MARIANE.
Que je ſuis maſheureuſe.	Que je suis masheureuse.
LISETTE.	LISETTE.
Vous comprenez bien par là que pout la tranquilité de vôtre cœur, & pour le bien de vos affaires il ne faut prendre de l'amour pour perſonne, & faire bonne mine a tout le monde:	Vous comprenez bien par là que pout la tranquillité de votre cœur, et pour le bien de vos affaires il ne faut prendre de l'amour pour personne, et faire bonne mine a tout le monde:
on ne ſçait pas de qui l’on peut avoir beſoin.	on ne sais pas de qui l'on peut avoir besoin.
MARIANE.	MARIANE.
Mon cœur ne dépend plus de moi, ma pauvre metce, ce queique enoſe que l’on faſſe on ne me reduira jamais à me contraindre, & à épouſer un autre qu’Eraſte,	Mon cœur ne dépend plus de moi, ma pauvre metce, ce queique enose que l'on fasse on ne me réduira jamais à me contraindre, et à épouser un autre qu'Éraste,
LISETTE.	LISETTE.
Paix, taiſez-vous, voici quelqu’un.	Paix, taisez-vous, voici quelqu'un.
SCENE II.	SCÈNE II.
ADALAMAID, MAICANEJESETIE,	ADALAMAID, MAICANEJESETIE,
LE FLAMAND.	LE FLAMAND.
Entrir moi librement, Mameſelle, mais jaure bonne grace di le faire, parce que moi vouſoir dire quelque choſe à Monſir li Marchand de Lotterie.	Entrir moi librement, Mameselle, mais jaure bonne grâce di le faire, parce que moi vousoir dire quelque chose à Monsir li Marchand de Lotterie.
MARIANE.	MARIANE.
Ce fen pus a mondoilaue sauleler, Monſieur, Liſette faites parler à mon pere.	Ce sen pus a mondoilave sauleler, Monsieur, Lisette faites parler à mon père.
LE FLAMAND.	LE FLAMAND.
Non, non, point précipiter vous, Mondaine, mor attendie commodement ſon commodité, moi faire un petit parlement de converſation avec Mameſelle.	Non, non, point précipiter vous, Mondaine, mór attendie commodément son commodité, moi faire un petit parlement de conversation avec Mameselle.
MARIANE.	MARIANE.
Vôtre converſarion me feroit beaucoup d'honneur & de plaiſir, Monſieur, mais je n’ay pas le temps d’en proſiter.	Votre conversarion me ferait beaucoup d'honneur et de plaisir, Monsieur, mais je n'ai pas le temps d'en prositer.
Allons, Liſette, mon pere va venir :	Allons, Lisette, mon père va venir :
Monſieur je ſuis vôtre ſervante,	Monsieur je suis votre servante,
LE FLAMAND.	LE FLAMAND.
Adieu donc, Mamnciene,	Adieu donc, Mamnciene,
LISETTE.	LISETTE.
Vôtre tres-humble ſervante, Monſieur.	Votre très-humble servante, Monsieur.
SCENE III.	SCÈNE III.
SBRIGANY, LE FLAMAND.	SBRIGANY, LE FLAMAND.
LE FLAMAND.	LE FLAMAND.
Dieu lautre Mameſelle.	Dieu lautre Mameselle.
