RRII I TRAGEDIE.	RRII I TRAGÉDIE.
DE IEAN HEVDON Pariſien.	DE JÉAN HÉVDON Parisien.
Pyrrhe.	Pyrrhe.
Helenin.	Hélenin.
Andromache.	Andromache.
Didaime mere de Pyrrhe.	Didaime mère de Pyrrhe.
Lycomede pere de Didaime.	Lycomède père de Didaime.
Hermione.	Hermione.
La Nourrice.	La Nourrice.
Pylade.	Pylade.
Oreſte.	Oreste.
Doulon meſſeger.	Doulon messeger.
Macaré ſacrificateur d'Apellon, Les Chœurs.	Macaré sacrificateur d'Apellon, Les Chœurs.
Sour bnffr !	Sour bnffr !
*France	*France
RRHE TRAGEDIE.	RRHE -TRAGÉDIE.
De Icau Heudon Pariſieu.	De Icau Heudon Parisieu.
Pyrrhe.	Pyrrhe.
I du ciel icy bas l'influence proce Qui de regler nas ans li puiſſance peſſede:	I du ciel ici bas l'influence proce Qui de régler nas ans li puissance pessede:
Ie croy que dans le cid, auecque les bous Dieux, Legent quelques Dæmons meſchamment enuienx Sur l'hamaine grandeur, qui forcent les eſtoilles, Et meſlant le filet de nos fatales toiles, Attachent traiſtrement au col des plus hardiTonſiours quelques malheuri & deſaſtres maudits:	Je crois que dans le cid, avec les bous Dieux, Légent quelques Dæmons méchamment envienx Sur l'hamaine grandeur, qui forcent les étoilles, Et mêlant le filet de nos fatales toiles, Attachent traîtrement au col des plus hardiTonsiours quelques malheuri et désastres maudits:
Et tournaut à l'enuers tout ordre de iuſtice, S'ils voyent que qdlq' m caſanier l'accreupiſſi, Seuis rougir de vergengne en ſon oifiueté, C’eſt celuiy qui aura toute proſperſté.	Et tournaut à l'envers tout ordre de justice, S'ils voient que qdlq' m' casanier l'accréupissi, Seuis rougir de vergengne en son oisiveté, C'est celui qui aura toute prospersté.
Fut-il iamau au rond de la terre habitable, Vn homme plus qu’Achille en guerre redoutable?	Fut-il jamau au rond de la terre habitable, Un homme plus qu'Achille en guerre redoutable?
A qui l’on ue vit onc, tant comme il a veſeu, S'attaquer ennenn, qui n’ait eflé vaincu?	À qui l'on ue vit onc, tant comme il a veseu, S'attaquer ennenn, qui n'ait élevé vaincu?
Et touterfois apres tant de prouëſſes d’armes, Pant de prupler domptez, tant de braues Genſd'armes Par ſa deatre vaillante occis en combatant:	Et touterfois après tant de proues d'armes, Pant de prupler domptez, tant de braves Gensd'armes Par sa deatre vaillante occis en combattant:
Apres auoir it int ce tonnerre éclatant De comubais orageux, cet Hictor plus ſuntſte, Et plus craint des Gregeois luy ſeul, que tout le resĩe De i’armée enn.	Après avoir it intit -ce tonnerre éclatant De complais orageux, cet Hictor plus suntste, Et plus craint des Grègeois était seul, que tout le resĩe De j'armée enn.
n e:	 n':
en a ven ia rigueur Des aſtres coniurez accabler de malheur Mongenittur Achille, en luy mettant en l’ame La trep chere beauté d’vnt ſuneſte dame.	en a ven ja rigueur Des astres conjurés accabler de malheur Mongénittur Achille, en lui mettant en l'âme La trep chère beauté d'vnt suneste dame.
Luy, qui ne ſȩeut iamais que c'eſt d’eſtre dompté, Fut toutesfois ulors par amour ſurmenté:	Lui, qui ne sut jamais que c'est d'être dompté, Fut toutefois ulors par amour surmenté:
Il ſoupire, il gemit, mais plus il ſe tourmiente, Plus la flamme amoureuſe en ſon ame s’augmente, Et tellenient en fin s’accroit ſa paßion, Qu'elle le fait entrez dans les murs d'Ilion Tout ſeul, & deſarmé parmy les aduerſaires, Qui pariurant leur ſoy, ſe monſtrerent fauſſaires, Car s’eſtant ubligez d’un ſolennel ſerment, De luy faire eſpeuſer a ſon contmement Celle qui lus cauſoit ſa peine innoderée, Polixme eux beaux ycux, de luy tant deſirée, Pans le temple ſacré d'A pollen Thymbrean, Paris le plus couard des enſanr de Priam, D.	Il soupire, il gémit, mais plus il se tourmiente, Plus la flamme amoureuse en son âme s'augmente, Et tellenient en fin s'accroît sa passion, Qu'elle le fait entrez dans les murs d'Ilion Tout seul, et désarmé parmi les adversaires, Qui parjurant leur soi, se montrèrent faussaires, Car s'étant ubligez un solennel serment, De lui faire espeuser a son contmement Celle qui lus causoit sa peine innoderée, Polixme eux beaux ycux, de lui tant desirée, Pans le temple sacré d'A pollen Thymbrean, Paris le plus couard des ensanr de Priam, .
s Troyens & des Grecs, lursire vne ſaçette, Qui deſſiss les carrtaux iout reide uiort le ietts.	 Troyens et des Grecs, lursire une saçette, Qui dessiss les carrtaux jout reidède ort le jets.
Le couard.	Le couard.
eſt tou:	est tou:
ſioura armé de trahiſon:	sioura armé de trahison:
C'eſt le ſort qu’ont tiſſu les aſtres ſaus raiſon Au tlus vaillant guerrier, qu'ait ſeuteun laterre,	C'est le sort qu'ont tissu les astres sa raison Au tlus vaillant guerrier, qu'ait seuteun laterre,
Ermoy, qui ne croy pas au’auroitrd’huy le Seleil Voye encore vn autre homme à ma farce pareil, Moy, qui ar plus monſtré de guerriere vaillance, Dés les plus tendres ans de ma premiere euſance, Auant le temps qu’on voit les autres commmice.	Ermoi, qui ne crois pas auauroitrd’hui le Scleil Voie encore un autre homme à ma farce pareil, Moi, qui art plus montré de guerrière vaillance, Dès les plus tendres ans de ma première eusance, Avant le temps qu'on voit les autres commémice.
A porter le heaume, & la maille endoſſer, Que les plus grans gurrriers, en la fleur de leur ααο, N'en ſçauroient raconter, ie ſens la meſiue vage, Et la meſine rigueur des aſtres ennemis, Qui ſous la loy d’amour en ſeruage m’oiu mis.	À porter le heaume, et la maille endosser, Que les plus grans guériers, en la fleur de leur , N'en sauraient raconter, elle sens la mesiue vage, Et la mine rigueur des astres ennemis, Qui sous la loi d'amour en servage m'oiv mis.
Et ce qui fait encor qui ie deſpaßionne, Cette rude beauté, cette ſiere Hermione, Qui m'a mis dans le ſein cette avoureuſe ardeur, Heſpriſe moy, mon mal, me force & ma grandeur, Pour l’amour déreglé, qui dans l'ame luy reſle Encores d'on meſchant, ie ne ſçay quel Oreſte, Que la iuſte uengeance & le courroux des Dieur Va de iour & de nuict pourſuinant en tous licux, Luy attachant au col unc hrrible furie VengT ſang de ſa mere meurtrie.	Et ce qui fait encor qui nous dépassionne, Cette rude beauté, cette somme Hermione, Qui m'a mis dans le sein cette avoureuse ardeur, Hésprise moi, mon mal, me force et ma grandeur, Pour l'amour déreglé, qui dans l'âme lui résle Encores d'on méchant, tu ne sais quel Oreste, Que la juste uengeance et le courroux des Dieur a de jour et de nuit poursuinant en tous licux, Lui attachant au col on trible furie VengT sang de sa mère meurtrie.
Les fens nes de nature, ô l'eſtrange animall Sont ordiz airement ſui.	Les sens nés de nature, ô l'étrange animal Sont ordis airement su.
ites a ce mal, De choiſir en amour celuy qui eſt le pire, Et des plus valeureux dédaigner le martyre, Comame on voit cetre-cy qui cauſe inon tourmens, Cette folle Hermione aimer ſi xrdlamment Ce meſchant paricide, honnne ſans nulle adreſſe, Qui ne fit onc paroiſtre autre acte de preuïſſe, Que d'aunir naſſacré, centre tonte raiſon, Vne fenme ſa nrre, encore en trahiſon:	Çites a ce mal, De choisir en amour celui qui est le pire, Et des plus valeureux dédaigner le martyre, Comame on voit cetre-cy qui cause inon tourments, Cette folle Hermione aimer six xrdlamment Ce méchant paricide, honnne sans nulle adresse, Qui ne fit onc paraître autre acte de prévisse, De praunir nassacré, Que d' raison, fenme na nrre, centre ton raison,
Cependan mon arour la cruelle meſpriſe, Sans auoir nul égard ny à ma vaillantiſe, Ni à mes ſaits cognus pær tous ces uniuers, Ni à ce que i'anmis llion à l’enuers,	Cépendan mon arour la cruelle méprise, Sans avoir nul égard ; à ma vaillantise, Ni à mes saits connus pær tous ces univers, Ni à ce que j'anmis llion à l'envers,
Daus le ſang enneroy de raille houmes trererie,.	Dans le sang ennerai de raille houmes trerie,.
Occir!	Occir!
e Ror Priam dans ſes palait royaus, Dont à ſer & à fen ie briſar les potaux, Les gordes ie tuay, qui faiſoient refiſtance, Et vouloient eupeſcher le cours de ma vaillancei.	eu Ror Priam dans ses palait royaus, Dont à ser et à sen cy brisar les potaux, Les gordes -je tuai, qui faisaient résistance, Et voulaient eupêcher le cours de ma vaillance.
Meſme Polite alors qui m’eſtoit écbept, Fut ſi bien pourſuiuy, qu’en fin ie l'attrapi, Et aux yeux de Prian luy ſit perdre la vie, Puis la mori de l'enfant du pere fut ſuiuie, Quand par mes fortes maint le chaſteau d’Ilion Fut rangé ſous le iouz de noſtre natien, Malgrt la volonte du grand Roy de Mycens, Qui vouloit m'empeſcher, i'immolay Polixene Aux manes de mon pere, ainſi qu'il demandoit, E pour ce regard ſcul la flote il retardoit.	Même Polite alors qui m'était écbept, Fut si bien poursui, qu'en fin autre l'attrapi, Et aux yeux de Prian ces sit perdre la vie, Puis la mory de l'enfant du père fut suivie, Quand par mes fortes maint le château d'Ilion Fut rangé sous le jouz de notre natien, Malgrt la volonté du grand Roi de Mycents, Qui voulait m'empêcher, j'immolai Polixène Aux mânes de mon père, ainsi qu'il demandait, É pour ce regard scul a flote il retardoit.
Apres, pour mon butin conquis à la deſfaite, Temmruay quand & moy Helenin le Prophrte, Et la femme d’Hector, qui ſont enſemblemem 2 Maintenant aecouplez par mon commandi Rem Depuis que i'ay vonlu choiſir cette.	Après, pour mon butin conquis à la défaite, Temmruai quand et moi Hélenin le Prothrte, Et la femme d'Hector, qui sont ensemble 2 Maintenant aecouplez par mon commandi Rem Depuis que j'ai vonlu choisir cette.
Hermione, Qu'à mon amour i’eſpreuue obſiiniment ſelonne, Et de qui ie ne puis amolir la fierie, Ni deſtourner vers moy la bonné volonté, Qu'elle perte en ſon cœur, tant l'erreur l’a ſurpriſe, A cet homme inſenit, que la rage maiſtriſe?	Hermione, Qu'à mon amour j'épreuve obsiiniment selonne, Et de qui ie ne puis amolir la fierie, Ni détourner vers moi la bonné volonté, Qu'elle perte en son cœur, tant l'erreur l'a surprise, À cet homme insensit, que la rage maîtrise?
Et ce qui plus encore augrarme ma donleur, C'eſt qu’en cela ne prut proſiter ma valeur:	Et ce qui plus encore augrarme ma donleur, C'est qu'en cela ne prut prositer ma valeur:
Car ſi peur læ gais ver il me faloit conabatre, S'il ma ſalloit les?	Car si peur læ gais ver il me fallait conabattre, S'il ma sallait les?
& d’vne grand' ville abatre, Quand tout le nu.	et d'une grand' une abattre, Quand tout le nu.
14e auroit contre roy coniuré, Si i'aurois-ie pourtant l’arant delibere.	14e aurait contre roy conjuré, Si j'aurais-je pourtant l'arant délibère.
Mais ce que ie pourſiu, eſt tont à ma puiſſance, 2	Mais ce que ici poursiu, est tont à ma puissance, 2
On mela deliurée, & n’y a que ſon cœur, Sgn cæur remply de fiel, que per uulle douceur, Par prieres nvcris, ie ne ſçaurois acquerre, A qui pour le gaigner, pourray ue faire guerrel Ou à qui me pourroy iexttaquer pour l’auoir!	On mela délivrée, et n'y a que son cœur, Sgn cæur rempli de fiel, que per ulle douceur, Par prières nécris, Seigneur ne saurais acquerre, A qui pour le gagner, pourrai ue faire guerrel Ou à qui me pourrais iexttaquer pour l'avoir!
Il n'y a qu’elle ſeule, à qui ſoit le pouuoir D'en eſtre liberale à cil, qu'el' aenuie De reudre bien-heureux, tout le temps de ſa vis Et ce n’eſtpas vers moy que ceſte enuie elle a, Et ſi ic ne ſçaurois la contraindre en cela.	Il n'y a qu'elle seule, à qui soit le pouvoir D'en être libérale à cil, qu'el' aenvie De revdre bienheureux, tout le temps de sa vis Et ce n'estpas vers moi que cette envie elle a, Et si ic ne saurais la contraindre en cela.
O que ie vondrois bien que ce vaillans Oreſts, Pour lequel adorer, elle m’eſtf maleſte, Fuſt vn peu ſihardi, que d'entrer au combas D'homme à honme en camp clos peur ſinir ce debar:	Ô que votre vondrais bien que ce vaillants Orêts, Pour lequel adorer, elle m'est malhête, Fût un peu sihardi, que d'entrer au combas D'homme à honme en camp clos peur sinir ce débar:
Et qu’Hermione auſſi, qui l'a tant en eſtume, Et qui de tous guerriers Ie penſe eſtre le prime, S'accordaſt de donner ſon aour & ſon corA celuy de nous dey ιρθrοſεrηit vαinqe, Employant de mon luas la ſorce valeureuſe, Qu'augmente de moitié moon ardeur ameurenſe, Ie le fendrois en deux,rout depuir le ſonmes Duenij ne queranspua, jam qd en rieuſon cvmy Ni ſa cuiraſſe außi, tait fuſt-elle trempis, Peust empeſcher le ſil de matrenchame eſpís.	Et qu'Hermione aussi, qui l'a tant en estume, Et qui de tous guerriers Je pense était le prime, S'accordât de donner son âme et son corA celui de nous de ιρθrοsεrηit vαinqe, Employant de mon luas la sorce valeureuse, Qu'augmente de moitié moon ardeur ameurense, Je le fendrais en deux,rout dépuir le sonmes Duenij ne à, jam qd en rieuson cvmy Ni sa qui aussi, taît fût-elle trempis, Peust empêcher le sil de matrenchame espís.
CHOEVR Vi pourra iamais eſtime.	CHOEUR Vi pourra jamais estime.
IQu'amour ſoit la preniere cars Qui iadis gre pru former Par ſon bel acrord toute choſe, En l’ordre que nous la voyons, Diſtinguant la maſſe brouillíe Du Chaos, on eſtoit meſlí	IQu'amour soit la prenière cars Qui jadis gré pru former Par son bel acrord toute chose, En l'ordre que nous la voyons, Distinguant la masse brouille Du Chaos, on était meslí
P'eſle moeſle quec les rayons Du blond Soleil la terre baſſe, Es mec l'ondoyame maſſe Le ſubrii élemiem du ſcu, Quandle ſec æcques l'hacide Le chaud au foid, le plein αηυrιdα Se battoient, auant que ce Dien Appaiſaſ leκιτης qrelle, Par bien vuelllaace muenelle.	P'écle -mêle quec les rayons Du blond Soleil la terre basse, Es me l'ondoime masse Le subri élemiem du scu, Quandle sec æcques l'hacidède Le chaud au said, le plein αηυrιdα Se Sattaient, avant que ce Dien Apaisas leκιτης qrelle, Par bien vuelaace muenelle.
Et ancontraire le diſcerd Pere de le haine inutine Agrle mainienam ſe fart A ce cruel fils de Cyprins, Qui des amans bruſte le ceur Anecques ſa cuiſantenæeſche, Et de traits d’or il y fais breſche, Au meſnie omps que ſa riguenr Pllache veſliche fdombĺe 2.	Et ancontraire le discerd Père de le haine inutine Agrle mainienam se fart A ce cruel fils de Cyprins, Qui des amants brûte le ceur Anecques sa cuisantenæesche, Et de traits d'or il y fais brèche, Au ménie omps que sa riguenr Pllache vêliche fdombĺe 2.
¬n celles qui ont enflanibée Leur ame d'vn braſir ſi chaud.	Un celles qui ont enflanibée Leur âme d'un brasir si chaud.
Et ce plomb, qui deſſeint en l’ame L'ardrur de l’amoureuſe ſlane, Fait qu'à leurs raiſtreſſes ne chæns De ces deudleuers concinuelles, Que ſans ceſte,n ſeuffrent pour elles.	Et ce plomb, qui desseint en l'âme L'ardrur de l'amoureuse slane, Fait qu'à leurs raistresses ne chæns De ces déudlevers concinuelles, Que sans cette,n seuffrent pour elles.
Voilà comme auour à preſent,, Qu'on diſoit pere de concorde, Engendre le diſcerd ma,ans, Quænd ſans nnlle miſericoule Il ſait bruſler un amoureur Pour vne maiſtri ſſe inhœcaine, Qui ne tient conte de la paine, Qui le iourmente langoureux, Corrad lon vois cerre Herions,	Voilà comme auour à présent, Qu'on disait père de concorde, Engendre le discerd ma,, Quelænd sans noulle miséricoule Il sait brûler un amoureur Pour une maîtri sse inhœcaine, Qui ne tient compte de la paine, Qui le jourmente langoureux, Corrad on vois cerre Hérions,
