LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
FAITE A CHAMBORT, pour le Divertiſſement du Roy.	FAITE A CHAMBORT, pour le Divertissement du Roi.
Par J.	Par Y.
B.	B.
P.	P.
MOLIERE.	MOLIÈRE.
A PARIS, Chez CLAUDE BARBIN, au Palais, ſur le ſecond Perron de la Sainte-Chapelle.	À PARIS, Chez CLAUDE BARBIN, au Palais, sur le second Perron de la Sainte-Chapelle.
M.	M.
DC.	DC.
LXXIII.	LXXIII.
AVEC PRIVILEGE (DU ROY.	AVEC PRIVILÈGE (DU ROY.
Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
Signé, L.	Signé, L.
SEVESTRE, Syndica	SEVESTRE, Syndica
Ar Grace & Privilege du Roi, Donné à Paris E le31.	Ar Grâce et Privilège du Roi, Donné à Paris E le31.
jour de Decembre l’an de grace 1670.	jour de Décembre l'an de grâce 1670.
Signé, Par le Roy en ſon Conſeil, GUITONNEAU.	Signé, Par le Roi en son Conseil, GUITONNEAU.
Il eſt permis à Jean Baptiſte Poquelin de Moliere, l’un des Comediens de ſa Majeſté, de faire imprimer, vendre & debiter une Piece de Theatre, intitulée LE BOURGEOIS GENTILHOMME, par tel Imprimeur ou Libraire qu’il voudra choiſir, pendant le temps & eſpace de dix années entieres & accomplies, à compter du jour que ladite Piece ſera achevée d’imprimer pour la premiere fois:	Il est permis à Jean Baptiste Poquelin de Molière, l'un des Comédiens de sa Majesté, de faire imprimer, vendre et débiter une Pièce de Théâtre, intitulée LE BOURGEOIS GENTILHOMME, par tel Imprimeur ou Libraire qu'il voudra choisir, pendant le temps et espace de dix années entières et accomplies, à compter du jour que ladite Pièce sera achevée d'imprimer pour la première fois:
Et defenſes ſont faites à toutes Perſonnes, de quelque qualité & condition qu’elles ſoient, d’imprimer, faire imprimer, vendre, ni debiter ladite Piece, ſans le conſentement de l’Expoſant, ou de ccux qui auront droict de lui, à peine de ſix mille livres d’amende, confiſcation des Exemplaires contrefaits, & de tous dépens, dommages & intereſts, ainſique plus au long il eſt porté audit Privilege.	Et défenses sont faites à toutes Personnes, de quelque qualité et condition qu'elles soient, d'imprimer, faire imprimer, vendre, ni débiter ladite Pièce, sans le consentement de l'Exposant, ou de ccux qui auront droit de lui, à peine de six mille livres d'amende, confiscation des Exemplaires contrefaits, et de tous dépens, dommages tous dépens, ainsique plus au long il est porté audit Privilège.
Le Privilege cy-deſſus a eſté cedé à CLAUDE BARBIN, ſuivant les Actes paſſez pardevant les Notaires au Chaſtelet de Paris.	Le Privilège cy-dessus a été cédé à CLAUDE BARBIN, suivant les Actes passez pardevant les Notaires au Châtelet de Paris.
Regiſtré ſur le Livre de la Communauté des Imprimeurs & Marchands Libraires de Paris, ſuivant l’Arreſt de la Cour de Parlement du 8.	Registré sur le Livre de la Communauté des Imprimeurs et Marchands Libraires de Paris, suivant l'Arrest de la Cour de Parlement du 8.
Avril 1653.	Avril 1653.
aux charges, clauſes & conditions portées és preſentes Lettres.	aux charges, clauses et conditions portées ès présentes Lettres.
Fait ce 13.	Fait ce 13.
Mars mil ſix cens ſoixante & onze.	Mars mil six cens soixante et onze.
ACTEURS.	ACTEURS.
MONSIEUR JOURDAIN, Bourgeois.	MONSIEUR JOURDAIN, Bourgeois.
MADAME JOURDAIN, ſa Femme.	MADAME JOURDAIN, sa Femme.
LUCILE, Fille de Monſieur Jourdain	LUCILE, Fille de Monsieur Jourdain
NICOLE, Servante.	NICOLE, Servante.
CLEONTE, Amoureux de Lucile.	CLÉONTE, Amoureux de Lucile.
COVIELLE, Valet de Cleonte.	COUIELLE, Valet de Cléonte.
DORANTE, Comte, Amant de Dorimene.	DORANTE, Comte, Amant de Dorimène.
DORIMENE, Marquiſe.	DORIMENE, Marquise.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
ELEVE DU MAISTRE DE MUSIQUE.	ÉLÈVE DU MAÎTRE DE MUSIQUE.
MAISTRE A DANCER.	MAÎTRE A DANCER.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
MAISTRE TAILLEUR.	MAÎTRE TAILLEUR.
GARCON TAILLEUR.	GARÇON TAILLEUR.
DEUX LAQUAIS.	DEUX LAQUAIS.
PLUSIEURS MUSICIENS, MUSICIENNES, JOUEURS D’INSTRUMENS, DANCEURS, CUISINIERS, GARCONS TAILLEURS, & autres Perſonnages des Intermedes & du Ballet.	PLUSIEURS MUSICIENS, MUSICIENNES, JOUEURS D'INSTRUMENS, DANCEURS, CUISINIERS, GARÇONS TAILLEURS, et autres Personnages des Intermédes et du Ballet.
La Scene eſt à Paris.	La Scène est à Paris.
LE BOURGEOIS GENTILHOMME.	LE BOURGEOIS GENTILHOMME.
COMEDIE-BALLET.	COMÉDIE-BALLET.
Ouverture ſe fait par un grand aſſemblage d’Inſtrumens;	Ouverture se fait par un grand assemblage d'Instruments;
& dans le milieu du Theatre, on voit un Eléve du Maître de Muſique, qui compoſe ſur une Table, un Air que le Bourgeois a demandé pour une Serenade.	et dans le milieu du Théâtre, on voit un Élève du Maître de Musique, qui compose sur une Table, un Air que le Bourgeois a demandé pour une Serenade.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MAISTRE DE MUSIQUE, MAISTRE A DANCER, TROIS MUSICIENS, DEUX VIOLONS, QUATRE DANCEURS.	MAÎTRE DE MUSIQUE, MAÎTRE A DANCER, TROIS MUSICIENS, DEUX VIOLONS, QUATRE DANCEURS.
MAISTRE DEMUSIQUE parlmit à ſes Moſiciens.	MAÎTRE DEMUSIQUE parlmit à ses Mosiciens.
