Auec priuilege du Roy.	Avec privilège du Roi.
ExV DECLETR.	ExV DECLETR.
E ferois tort à l’Autheur Italien Sforza d’Oddi, ſi ie dérobois à ſa reputation la gloire de cét ouurage;	E ferais tort à l'Auteur Italien Sforza d'Odi, si ie dérobois à sa réputation la gloire de cet ouvrage;
ie n’en ſuis que le Traducteur, non plus que des pieces de Plaute, que ce docte homine a parfaictement imitées;	Ce n'en suis que le Traducteur, non plus que des pièces de Plaute, que ce docte homine a parfaitement imitées;
l’inclination qu’il a euë pour ce grand Genie de la Comedie, m’en a fait auoir pour luy, & i’ay creu que les originaux de l’vn m’ayant touſiours ſi bien reüſſi, les imitations & les copies de l’autré ne pourroient eſtre trouuées mauuaiſes.	l'inclination qu'il a eue pour ce grand Génie de la Comédie, m'en a fait avoir pour lui, et j'ai cru que les originaux de l'à m'ayant toujours si bien réussi, les imitations et les copies de l'autré ne pourraient être trouvées mauvaises.
Cette Comedie tient du ſtyle & de l'air preſque de toutes celles de ce fameux ancien;	Cette Comédie tient du style et de l'air presque de toutes celles de ce fameux ancien;
& tu remarqueras, que le bon raiſonnement de ſes perſonnages ſerieux, le ridicule de ſes Vieillards, & l’extrauagance de ſes Capitans y ſont merueilleuſement copiés.	et tu remarqueras, que le bon raisonnement de ses personnages sérieux, le ridicule de ses Vieillards, et l'extravagance de ses Capitans y sont merveilleusement copiés.
Il eſt impoſſible de s’eſgarer deſſus les pas de cét illuſtre Pere du Comique;	Il est impossible de s'égarer dessus les pas de cet illustre Père du Comique;
Ce qu’il a fait de beau l’eſt au dernier poinct, & ce qui ne l’eſt pas abſolument pour luy, l’eſt parfaictement pour nous.	Ce qu'il a fait de beau l'est au dernier point, et ce qui ne l'est pas absolument pour venir, l'est parfaitement pour nous.
Il nous paſſe de ſi loing aux endroits meſmes où il ſe neglige, que nous ſerions aſſez riches de ce qu’il jette, & aſſez parés de ſes deffauts;	Il nous passe de si loing aux endroits mêmes où il se néglige, que nous serions assez riches de ce qu'il jette, et assez parès de ses défauts;
Enſin c’eſt deluy qu’vn celebre Autheur a dit, que ſi les Muſes auoient voulu parler Latin, elles auroient parlé comme luy.	Ensin c'est délui qu'un célèbre Auteur a dit, que si les Muses avaient voulu parler Latin, elles auraient parlé comme lui.
Si ſon langage eſt beau, ſon inuention ne l’eſt pas moins;	Si son langage est beau, son invention ne l'est pas moins;
deux ou trois de ſes pieces ſur qui i’ay jetté les yeux, & qui ne doiuent rien à celles que i’ay deſià miſes en noſtre langue, feront encor admirer cét incomparable Comique ſur la Scene Françoiſe, ſi l’inclination qui me reſte pour le Theatre, & la paſſion que i’ay d’auoir l’honneur de diuertit encore le premier eſprit de la terre, me peuuent faire trouuer parmy mes occupations neceſſaires, le temps de leur verſion.	deux ou trois de ses pièces sur qui j'ai jeté les yeux, et qui ne doivent rien à celles que j'ai déjà mises en notre langue, feront encor admirer cet incomparable Comique sur la Scène Française, si l'inclination qui me reste pour le Théâtre, et la passion que j'ai d'avoir l'honneur de divertit encore le premier esprit de la terre, me peuvent faire trouver parmi mes occupations nécessaires, le temps de leur version.
Ie ne te fais ce petit Panegyrique de Plaute, que pourte dire (cher Lecteur) qu’on ne peut faillir en l’imitant;	Je ne te fais ce petit Panégyrique de Plaute, que pourte dire (cher Lecteur) qu'on ne peut faillir en l'imitant;
& qu’outre que l’Autheur de cette Comedie eſt vn des plus rares eſprits d’Italie, il a eſté:	et qu'outre que l'Auteur de cette Comédie est un des plus rares esprits d'Italie, il a été:
ſi paſſionné imitateur de ce digne homme, que le don que ie te fais en François de ſon ouurage Italien, ne te peut eſtre vn mauuais preſent.	si passionné imitateur de ce digne homme, que le don que je te fais en Français de son ouvrage Italien, ne te peut être un mauvais présent.
Ie ne te demande point de part en ſa gloire, auſſi n’en ay-ie point en ſes fautes, s’il s’y en trouue d’autres, que celles de l’impreſſion, dont encor ie ne te puis reſpondre, puis que ie demeure à ſeize lieües de l’Imprimerie, & que le ſoin de te donner mes pieces cortectes, doit eſtre celuy de mes Libraires.	Je ne te demande point de part en sa gloire, aussi n'en ai-je point en ses fautes, s'il s'y en trouve d'autres, que celles de l'impression, dont encor ie ne te puis répondre, puis que ainsi demeure à seize lieües de l'Imprimerie, et que le soin de te donner mes pièces cortectes, doit être celui de mes Libraires.
Adieu.	Adieu.
AR grace & Priuilege du Roy, donné à Paris le 28.	AR grâce et Privilège du Roi, donné à Paris le 28.
iour T de Feurier 1642.	jour T de Février 1642.
ſigné, par le Roy en ſon Conſeil, LE BRVN.	signé, par le Roi en son Conseil, LE BRUN.
Il eſt permis à TOVSSAINT QVINET.	Il est permis à TOUSSAINT QUINET.
Marchand Libraire à Paris, d’imprimer, ou faire imprimer, vendre & diſtribuer vne piece de Theatre intitulée, Clarice Comedie, de Mr.	Marchand Libraire à Paris, d'imprimer, ou faire imprimer, vendre et distribuer une pièce de Théâtre intitulée, Clarice Comédie, de Mr.
de Rotrou, & ce durant le temps de ſept ans, à compter du iour que ladite piece ſera acheuée d’imprimer.	de Rotrou, et ce durant le temps de sept ans, à compter du jour que ladite pièce sera achevée d'imprimer.
Et deffenſes ſont faites à tous Imprimeurs & Libraires d’en imprimer, vendre ny diſtribuer d’autre impreſſion que de celle qu’aura fait faire ledit QVINET, ou ſes ayans cauſe, ſur peine aux contreuenans de mil liures d’amende, confiſcation des exemplaires,& de tous les deſpens, dommages, & intereſts, ainſi qu’il eſt plus au long porté par leſdites lettres, qui ſont en vertu du preſent Extrait tenues pour deuëment ſignifiées.	Et défenses sont faites à tous Imprimeurs et Libraires d'en imprimer, vendre quelque distribuer d'autre impression que de celle qu'aura fait faire ledit QUINET, ou ses ayant cause, sur peine aux contrevenants de mil livres d'amende, confiscation des exemplaires,et de tous les dépens, dommages, et intérêts, ainsi qu'il est plus au long porté par lesdites lettres, qui sont en vertu du présent Extrait tenues pour devuement signifiées.
ET ledit QVINET a aſſocié auec luy audit priuilege Anthoine de Sommauille, Marchand Libraire à Paris, ſuiuant l’accord fait entr'eux.	ET ledit QUINET a associé avec Vous audit privilège Anthoine de Sommaville, Marchand Libraire à Paris, suivant l'accord fait entr'eux.
Acheué d’imprimer le 28.	Achevé d'imprimer le 28.
Octobre 1642.	Octobre 1642.
Les exemplaires ont eſté ſournis.	Les exemplaires ont été sournis.
ACTEVRS.	ACTEURS.
Pere de Clarice.	Père de Clarice.
HORACE.	HORACE.
CLARICE.	CLARICE.
EMILIE.	EMILIE.
HORTENSE.	HORTENSE.
LVCRECE.	LUCRECE.
Confidente de Clarice.	Confidente de Clarice.
Seruiteur d’Horace, & amoureux de Clatice.	Serviteur d'Horace, et amoureux de Clatice.
Seruiteur de Lucreſſe, & riual drtortenſe.	Serviteur de Lucresse, et rival drtortense.
Confident d’Alexis.	Confident d'Alexis.
Confident d’Hortenſe.	Confident d'Hortense.
Maiſtreſſe d’Alexis.	Maîtresse d'Alexis.
Confidente de Lucreſſe.	Confidente de Lucresse.
HIPPOCRASSE.	HIPOCRASSE.
Docteur, amoureux de Clarice, & de Lucrece.	Docteur, amoureux de Clarice, et de Lucrece.
