le petit Perron de la grand’Salle du coſté des Conſultations.	le petit Perron de la grand'Île du côté des Consultations.
M.	M.
DCTXXXIII.	DCTXXXII.
T'h.	T'h.
Auec Priuilege du Roy,	Avec Privilège du Roi,
A MESSIRE FRANCOIS DE BONNE DE CREQVY,COMTE DE SAVLT& Lieutenant General pour le Roy en Dauphiné, en l’abſence & ſuruiuance de Monſieur le Duc de Crequy ſon pere, & Cheualier des ordres de ſa Maieſté.	À MESSIRE FRANÇOIS DE BONNE DE CREQUY,COMTE DE SAULT Lieutenant Général pour le Roi en Dauphiné, en l'absence et suruiuance de Monsieur le Duc de Crequy son père, et Chevalier des ordres de sa Majesté.
M30 28 ONSEIGNEVR, Si les hommes plus illuſtres & plus grands Capitaines que l’Hiſtoire nous faſſe voir n'auoient aymé la Comedie, ie ne ſerois pas ſi preſomptueux que de diuertir vos genereuſes	M30 28 ONSEIGNEUR, Si les hommes plus illustres et plus grands Capitaines que l'Histoire nous fasse voir n'avaient aimé la Comédie, tu ne serais pas si présomptueux que de divertir vos généreuses
A ii occupations par vn ſuiet ſi leger:	À ji occupations par un sujet si léger:
mais comme mon deuoir a combatu longuement ma temerité, i'ay eſtimé pluſtoſt que venir les mains vuidés, offrir à voſtre grandeur vn fruict cueilly dans le verger des Muſes, cultiué de ma propre main, pour vn fidelle teſmoignage combien ie dois a voſtre excellente vertu, & diray franchement encore, que reconnoiſſant en perfection la lumiere de cét admirable iugement, duquel Dieu vous a enrichi, & que toute la France admire comme hereditaire à voſtre tres-illuſtres maiſon, ie n'aurois pas oZé mettre au iour ſous la faueur de voſtre nom cet ouurage, ſi les plus beaux eſprits de ce ſiecle n'en n'auoient appreuué l’artifice, le deſſein & l’argument.	mais comme mon devoir a combattu longuement ma témérité, j'ai estimé plutôt que venir les mains vidés, offrir à votre grandeur un fruit cueilly dans le verger des Muses, cultivé de ma propre main, pour un fidèle témoignage combien ce dois a été excellente vertu, et dirai franchement encore, que reconnaissant en perfection la lumière de cet admirable jugement, duquel Dieu vous a enrichi, et que toute la France admire comme héréditaire à votre très -illustres maison, il n'aurais pas ZÉ mettre au jour sous la faveur de votre nom cet ouvrage, si les plus beaux esprits de ce siècle n'en n'auoient appreuué artifice, le dessein et argument.
Qu’il me ſoit doncy permis;	Qu'il me soit donci permis;
MONSEIGNEVR, appuyé de ſi nobles exemples que d’vn Scipion Africain, vous faire voir en ceſte piece juſques où le ſecret de la Comedie peut atteindre, ſi voſtre grandeur vne fois peut s’abaiſſer à ſi humble ſujet, & me pourray vanteralors que vos heroiques qualitez estans ma ſauue-garde, tout ce que l’Italie y a contribué & de riche & de beau ne fera point de honte à ce petit ouurage, & y recognoiſtra peut-eſtre l’abregé de tout le poly dont elle ſe vante auiourd’huy.	MONSEIGNEUR, appuyé de si nobles exemples que d'un Scipion Africain, vous faire voir en cette pièce jusque où le secret de la Comédie peut atteindre, si votre grandeur une fois peut s'abaisser à si humble sujet, et me pourrai vanteralors que vos héroïques qualités étant ma sauve-garde, tout ce que l'Italie y a contribué et de riche et de beau ne fera point de honte à ce petit ouvrage, et y reconnaîtra peut-être l'abrégé de tout le poli dont elle se vante aujourd'hui.
Cette faueur me donnera le courage d’entreprendre ſi heureuſement & reußir en ſemblable ſujet ſous la protection d’vn nom ſi glorieux, que le Theatre ſera le fidelle teſmoin que mon ambition eſt ex cuſable, ſi ie ſouhaitte de tout mon cœur d'eſtre reputé,	Cette faveur me donnera le courage d'entreprendre si heureusement et revir en semblable sujet sous la protection d'un nom si glorieux, que le Théâtre sera le fidèle témoin que mon ambition est ex cusable, si bon souhaite de tout mon cœur d'être reputé,
