DERETE L FRAGICOMLDIE.	DERTE L FRAGICOMLDIE.
A I SCENE PREMIERE.	À I SCÈNE PREMIÈRE.
BERENICE, AMASIE.	BERENICE, AMASIE.
Din devro.	Din devro.
STES-vous contente, maſœur, & puiſ-je mieux vous monſtrer mon amitié, qu’en vous deſcouurant mon amour?	SITES-vous contente, masœur, et puis-je mieux vous montrer mon amitié, qu'en vous découvrant mon amour?
AMASIE.	AMASIE.
Vous ne m’auez pas encore tout dit, puiſque vous ne m’auez pas dit voſtre amant.	Vous ne m'avez pas encore tout dit, puisque vous ne m'avez pas dit votre amant.
.	.
.	.
.	.
.	.
BERENICE.	BERENICE.
Contentez-vous de ſçauoir que i’aime;	Contentez-vous de savoir que j'aime;
& puiſque c’eſt principalement par l’objet, què l’amour merite du blaſme, ou qu’il eſt digne de loüange, le neſ auiois parict dauantage, lalis iiſe mettre enfin au hazard de me faire moquer de moy.	et puisque c'est principalement par l'objet, qu 'amour mérite du blâme, ou qu'il est digne de louange, le nés aviais parict davantage, lalis jise mettre enfin au hasard de me faire moquer de moi.
AMASIE.	AMASIE.
Quoy!	Quoi!
Berenice, attachez-vous voſtre amour a queique uujet muigne de vous:	Berenice, attachez-vous votre amour a queique ujet muigne de vous:
& vous iugerayie aueugle en meſme temps, que vous vous confeſſez amoureuſe.	et vous jugeraiie aveugle en même temps, que vous vous confessez amoureuse.
BERENICE.	BERENICE.
Piclas:	Piclas:
quand nous contenons noſtre amour nous confeſſons noſtre aueuglement, ſi vous me croyez amoureuſe, ie veux bien que vous me croyez aueugle.	quand nous contenons notre amour nous confessons notre aveuglement, si vous me croyez amoureuse, votre veux bien que vous me croyez aveugle.
AMASIE.	AMASIE.
Aymez-vous donc vne perſonne, dont le choix vous ſoit honteux, & vous deshonore?	Aimez-vous donc une personne, dont le choix vous soit honteux, et vous déshonore?
BERENICE.	BERENICE.
Au contiane, Amane, rayme vne perlonne dont le choix m’eſt glorieux, & qui pourtant me deſeſpere.	Au contiane, Amane, raime une perlonne dont le choix m'est glorieux, et qui pourtant me désespère.
I'ayme enfin;	J'aime enfin;
Non non, ie ne puis en dire dauantage, & ie trouue bien plus de honte à vous confeſſer mon amour.	Non non, Seigneur ne puis en dire davantage, et notre trouve bien plus de honte à vous confesser mon amour.
Que diriez-vous ſi i’aimois vn vn Prince?	Que diriez-vous si j'aimais un Prince?
AMASTE.	AMASTE.
Ie dirois que voſtre condition n’eſt pas fort eſloi.	Je dirais que votre condition n'est pas fort éloi.
gnée decelle de Prince, & qu’eſtant deſcenduë des premiers Roys de Sicile, vous teſmoignez:	gnée decelle de Prince, et qu'étant descendue des premiers Rois de Sicile, vous témoignez:
par voſtre amour.	par votre amour.
la nobleſſe de voſtre ſang.	la noblesse de votre sang.
BERENICE.	BERENICE.
M,ous diſois que i’aime vn Roy?	M,ous disais que j'aime un Roi?
AMASIE.	AMASIE.
Ie dirois que ie ſouhaite vn bon ſuccez à voſtre amour;	Je dirais que On souhaite un bon succès à votre amour;
& que ie ſerois bien heureuſe d’auoir vne ſœur dans le troſne.	et que ici serais bien heureuse d'avoir une sœur dans le trône.
Mais quel eſt ce Roy que vous aimez?	Mais quel est ce Roi que vous aimez?
Eſt-ce le Roy de ce Pays?	Est-ce le Roi de ce Pays?
Vn Prince abbatu de vieilleſſe, de qui le throſne eſt pour ainſi dire le tombeau;	Un Prince abattu de vieillesse, de qui le trône est pour ainsi dire le tombeau;
& qui enfin n’a rien de charmant, que la puiſſance couuciaiiel oceratablement vn grand charme, & pour moy ie vous auoüe que d’vn Prince comme celuy-là, ie n’aimerois que la couronne.	et qui enfin n'a rien de charmant, que la puissance couuciaiiel océratablement un grand charme, et pour moi je vous auoüe que d'un Prince comme celui-là, pleins n'aimerais que la couronne.
BERENICE:	BERENICE:
Non, non, maſœur, ie ſuis vn ieu plus raiſonnable;	Non, non, masœur, ie suis un jeu plus raisonnable;
& ſi ie manque enmon amour, ie ne manque pas en mon choix.	et si ici manque enmon amour, tu ne manque pas en mon choix.
I’ayme lefs de cevieux Roy, ce ieune vainqueur de tant de peuples,	J'aime lés de cevieux Roy, ce jeune vainqueur de tant de peuples,
AMASIE.	AMASIE.
Vous aymez le Brince Tarſis, il ne fautpas qu’il y ayt long-temps;	Vous aimez le Brince Tarsis, il ne fautpas qu'il y ait longtemps;
on nes en eſt iamais apperceu.	on nés en est jamais aperçu.
BERENICE.	BERENICE.
I’ay fait vne merueille, Amaſie, puis qu’empeſchant que mon amour ne paruſt, i’ay ſeparé de la -.	J'ai fait une merveille, Amasie, puis qu'empêchant que mon amour ne parut, j'ai séparé de la -.
.	.
.	.
.	.
A ij 3 des Siciliens.	À ij 3 des Siciliens.
AMASIE.	AMASIE.
Il m'en ſouuient, maſœut, & ſi vous aimez depale cuiq aue yapoueneuonmtoudoude l'amour & vous eſtre accouſtumée aux inquietudes qui l’accompagnent.	Il m'en souvient, mœut, et si vous aimez dépale cuine avoue yapoueneuonmoudoude l'amour et vous être accoutumée aux inquiétudes qui l'accompagnent.
flame l’eſclat & la lumiere.	flamme l'éclat et la lumière.
Il vous ſouuient bien du temps que nous quittaſmes la Sicile, noſtrechere & miſérable Patrie, & que mon Pere nous amena en ce Pays, où nous auons trouué vn aſile contre les fureurs du Tyran, qui a vſurpé la domination	Il vous souvient bien du temps que nous quittâmes la Sicile, notrechère et misérable Patrie, et que mon Père nous amena en ce Pays, où nous avons trouvé un asile contre les fureurs du Tyran, qui a usurpé la domination
BERENICE.	BERENICE.
Helas!	Hélas!
quand ie me vis en ce pays, ou comme en vn lieu de ſureté ie pouuois reſpirer à l’aiſe, ie commençay d’oublier nos maux, & ie crus auoir triomphé de la fortune.	quand personne me vis en ce pays, ou comme en un lieu de sûreté ie pouuois respirer à l'aise, je commençai d'oublier nos maux, et ainsi crus avoir triomphé de la fortune.
Mais comme elle eſt enuieuſe de noſtrerepos, elle mefit bien-toſt ſentir qu’elle conſeruoit ſa puiſſance;	Mais comme elle est envieuse de notrerepos, elle mefit bientôt sentir qu'elle conservait sa puissance;
elle m’attaqua par des traits qui m'eſtoient encore inconnus;	elle m'attaqua par des traits qui m'étaient encore inconnus;
elle ſe ſeruit de l’amour, comme pour me chaſtier d’auoir creu triompher d’elle & d’auoir ſi toſt oublié les calamitez de noſtre Patrie.	elle se servit de l'amour, comme pour me châtier d'avoir cru triompher d'elle et d'avoir si tôt oublié les calamité de notre Patrie.
Ainſi quelque temps apres que.	Ainsi quelque temps après que.
ce pays nous euſt receus, Tharſis, ce fils illuſtre d’vn grand Roy, me teſmoigna de l’amour, & m’en donna par ſes deuoirs.	ce pays nous eût reçus, Tharsis, ce fils illustre d'un grand Roi, me témoigna de l'amour, et m'en donna par ses devoirs.
le ne ſçay fice.	le ne sais fiée.
