JOLIENNE, ia ſemme.	JOLIENNE, ja semme.
COLETTE, leur niéce.	COLETTE, leur nièce.
CLITANDRE, amant de Colette.	CLITANDRE, amant de Colette.
LEPINE, ſon valet.	LEPINE, son valet.
Me AGATHE, amoureuſe de Charlot.	Me AGATHE, amoureuse de Charlot.
CHARLOT, amoureux de Colette.	CHARLOT, amoureux de Colette.
LE BAILLI.	LE BAILLI.
MATHURIN, garçon du Moulin, La Scène eſt au Moulin.	MATHURIN, garçon du Moulin, La Scène est au Moulin.
LE M L LEeI RETROUVE, COMEDIE.	LE M L EEI RETROUVE, COMÉDIE.
DOLIJE IREMTENE.	DOLIJE IREMTENE.
LEPINE, CLITANDRE.	LEPINE, CLITANDRE.
LEPINE.	LEPINE.
A FOI, Monſieur, c'eſt une ſotte choſe que l’Amour, convenez-en de bonne foi!	À FOI, Monsieur, c'est une sotte chose que l'Amour, convenez-en de bonne foi!
tant que vous n’avez été a qe que libeirtin, vous avez vecu le plus heureux homme du monde:	tant que vous n'avez été a qe que libéirtin, vous avez vécu le plus heureux homme du monde:
pourquoi diantre changer des manières dont vous vous êtes ſi bien trouvé?	pourquoi diantre changer des manières dont vous vous êtes si bien trouvé?
LITANDRE.	LITANDRE.
Que veux-tu que je faſſe, mon pauvre Lépine?	Que veux-tu que je fasse, mon pauvre Lépine?
Il ne dépend pas de moi de réſiſter aux charmes de l'aimable Colette, & ſon mérite & ſa beauté me paroiſſent dignes d’une ſortune plus conſidérable que celle que je puit lui ſairs.	Il ne dépend pas de moi de résister aux charmes de l'aimable Collette, et son mérite et sa beauté me paraissent dignes d'une sortune plus considérable que celle que je puit lui sairs.
LEPINE.	LEPINE.
Comment, diable!	Comment, diable!
voilà une paſſion bien ſérieuſe, au moins;	voilà une passion bien sérieuse, au moins;
& pour la petite niéce d’une Meûnière encore!	et pour la petite nièce d'une Meûnière encore!
Cette aventure-là fera cu bruit;	Cette aventure-là fera cv bruit;
Momeui, e ce icia un des beaux chapitres du Roman de votre vie.	Momeui, eu ce icia un des beaux chapitres du Roman de votre vie.
CLITANDRE.	CLITANDRE.
C'en ſera la coneluſion, mon enfant, & je borne tous mes deſirs, toute ma félieité au ſeul plaiſir de me falre aimer d’une ſi charmante perſonne.	C'en sera la conélusion, mon enfant, et je borne tous mes désirs, toute ma félieité au seul plaisir de me falre aimer d'une si charmante personne.
MVMMM.	MUMM.
