Q Source gallica.	Q Source galica.
bnf fr (Bibliothèque nationale de France	bnf fr (Bibliothèque nationale de France
Par N.	Par N.
Boſq.	Bosque.
Cheualier de la Traille.	Chevalier de la Traille.
LA FARCE DE Mazarin, & des Monopoleurs.	LA FARCE DE Mazarin, et des Monopoleurs.
SCENE PREMIENE.	SCÈNE PREMIENE.
NIRAZAM, YREMED, NALETAC.	NIRAZAM, YREMED, NALETAC.
F NIRAZAM.	 FIRAZAM.
Nfin, Meſſieurs, il faut ſans plus long-temps ſonger Trouuer quelque moyen qui les faſſe enrager, Ces teſtes ſonge-creux qui ne peuuent ſans craindre Pour s’enrichir bien-toſt ce vieil Cuias enfraindre.	Nfin, Messieurs, il faut sans plus longtemps songer Trouver quelque moyen qui les fasse enrager, Ces têtes songe-creux qui ne peuvent sans craindre Pour s'enrichir bientôt ce vieil Cuias enfraindre.
Eux meſme font la loy, & ont ſi peu d’eſprit Que de ne s’exempter de ce qu’elle preſcrit Il n’appartient qu’à eux de ſouffrir l’eſclauage De Madame la loy à leur dés auantage:	Eux même font la loi, et ont si peu d'esprit Que de ne s'exempter de ce qu'elle prescrit Il n'appartient qu'à eux de souffrir l'esclavage De Madame la loi à leur dés avantage:
Auſſi auons nous bien iuſques icy monſtré Que Bartole chez nous n’eſt point enregiſtré, Car mettans ſous le pied toute ſorte d'obſtacles Nous auons pris en main ce qui fait des miracles, Et tous d’vn meſme accord nous auons fait ſerment Deprendre à toute main, mais bien honneſtement:	Aussi avons nous bien jusques ici montré Que Bartole chez nous n'est point enregistré, Car mettants sous le pied toute sorte d'obstacles Nous avons pris en main ce qui fait des miracles, Et tous d'un même accord nous avons fait serment Deprendre à toute main, mais bien honnêtement:
Car apres tout, Meſsieurs, perſonne ne peut dire Ce Chaudron m’apartient, ny cette poiſle à frire, Ce lit;	Car après tout, Messieurs, personne ne peut dire Ce Chaudron m'appartient, ni cette poisle à frire, Ce lit;
cette marmitte, ou ce pot à piſſer;	cette marmitte, ou ce pot à pisser;
Et pour diré en vn mot on ne ſçauroit penſer Que dans mon Cabinet, ma Sale, ou dans ma Chambre	Et pour diré en un mot on ne saurait penser Que dans mon Cabinet, ma Sale, ou dans ma Chambre
Dans ma Cour dans ma Caue, ou dans monanti-Chãbre, I'oſeray dire encor, que dedans mon priué, ( Foüillez y s’il vous plaiſt) on n’a iamnais trouué Qu’il ay rien caché qui appartienne à d’autres, Et ie m’aſſeure auſsi que iamais dans les voſtres On n'a entendu dire, hola, cecy eſt mien, Pen viuray deſormais comme eſtant de mon bien.	Dans ma Cour dans ma Cave, ou dans monanti-Chãbre, J'oserai dire encor, que dedans mon privé, ( Fouillez y s'il vous plaît) on n'a jamnais trouvé Qu'il ai rien caché qui appartienne à d'autres, Et ainsi m'assure aussi que jamais dans les vôtres On n'a entendu dire, holà, ceci est mien, Pen vivrai désormais comme étant de mon bien.
Vne cho ſe ſur tout m’empeſche de me taire Et ie n’y puis penſer ſans me mettre en cholere, C'eſt que dans mon affaire vn petit Parlement Il veut mettre le nez iuſquez au fondement Pour moy, foy de voleur, ie ne puis pas comprendre Quel profit en cela il en ſçauroit pretendre, nt ie crains qu’en affaire il entre ſi auant Qu’il n'en puiſſe ſortir à ſon contentement:	Une cho se sur tout m'empêche de me taire Et ici n'y puis penser sans me mettre en colère, C'est que dans mon affaire un petit Parlement Il veut mettre le nez jusqu' ils fondement Pour moi, foi de voleur, je ne puis pas comprendre Quel profit en cela il en saurait prétendre, n ie ment qu'en affaire il entre si avant Qu'il n'en puisse sortir à son contentement:
C eſt pour ne point vſer de ces mots deshonneſtes Qu’il n’en puis ſortir auec ſes brayes nettes.	Ç est pour ne point user de ces mots déshonnêtes Qu'il n'en puis sortir avec ses braies nettes.
Il n’appartient qu’à moy de mettre la le nez, Puïſque mon gros Camus ſi bien en luminé Eſt tout le fondement dé ma bonne fortune, Qui n’eſt que par ſa ſource à tout autre commune.	Il n'appartient qu'à moi de mettre la lé nez, Puisque mon gros Camus si bien en luminé Est tout le fondement dé ma bonne fortune, Qui n'est que par sa source à tout autre commune.
