ha ESEN ſ PRE'MIERE.	ha ESEN s PRE'MIERE.
DORANTE, PASQUIN.	DORANTE, PASQUIN.
PASQUIN.	PASQUIN.
OUR m’expliquer en termes plus clairs, j’ay avancé la dépenſe du voyage depuis noſtre Garniſon juſqu’à ce Village-cy nous y avons déja ſejourné quinze jours ſur mes crochets, je vous prie que nous contions enſemble, & je vous demande mon congé.	OUR m'expliquer en termes plus clairs, j'ai avancé la dépense du voyage depuis nôtre Garnison jusqu'à ce Village-cy nous y avons déjà séjourné quinze jours sur mes crochets, je vous prie que nous contions ensemble, et je vous demande mon congé.
DORANTE.	DORANTE.
O palſanbleu tu prens bien ton temps.	Ô palsanbleu tu prends bien ton temps.
PASQUIN.	PASQUIN.
Hé puis-je le mieux prendre, Monſieur, vous venez d’eſtre reformé, il faut bien que vous reformiez voſtre train.	Hé puis-je le mieux prendre, Monsieur, vous venez d'être reformé, il faut bien que vous réformiez votre train.
DORANTE.	DORANTE.
Paſquin quitter le ſervice d’un Officier, c'eſt ſe broüiller avec la fortune.	Pasquin quitter le service d'un Officier, c'est se brouiller avec la fortune.
PASQUIN.	PASQUIN.
Ma foy, Monſieur, je me ſuis broüïllé avec elle dés le jour que je ſuis entré chez vous, mais Dieu mercy je ſuis au deſſus de la fortune.	Ma foi, Monsieur, je me suis broüïllé avec elle dès le jour que je suis entré chez vous, mais Dieu merci je suis au dessus de la fortune.
Je veux me retirer du monde.	Je veux me retirer du monde.
DORANTE.	DORANTE.
Le fat, ô le fat!	Le fat, ô le fat!
PASQUIN.	PASQUIN.
Ouy, Monſieur, j’ay fait depuis peu des reflexions morales ſur la vanité des plaiſirs mondains:	Oui, Monsieur, j'ai fait depuis peu des réflexions morales sur la vanité des plaisirs mondains:
Je ſuis las d’eſtre bien battu & mal nourry, je ſuis las de paſſer la nuit à la porte d’un Lanſquenet, & le jour à vous détourner des Griſettes.	Je suis las d'être bien battu et mal nourri, je suis las de passer la nuit à la porte d'un Lansquenet, et le jour à vous détourner des Grisettes.
Je ſuis las enfin d’avoir de la condeſcendance pour vos débauches, & de m’enyvrer au buffet pendant que vous vous enyvrez à table.	Je suis las enfin d'avoir de la condescendance pour vos débauches, et de m'enivrer au buffet pendant que vous vous enivrez à table.
Il faut faire une fin, Monſieur,	Il faut faire une fin, Monsieur,
& je vay me rendre.	et je vais me rendre.
Je vay me rendre mary d’une certaine Liſette, qui eſt le bel eſprit de ce Village cy.	Je vais me rendre mari d'une certaine Lisette, qui est le bel esprit de ce Village cy.
Les plus jolies filles de Poitou la conſultent comme un oracle, parce qu’elle a fait ſes études ſous une coquette de Paris, c’eſt là où elle eſt devenuë amoureuſe de moy.	Les plus jolies filles de Poitou la consultent comme un oracle, parce qu'elle a fait ses études sous une coquette de Paris, c'est là où elle est devenue amoureuse de moi.
DORANTE.	DORANTE.
Hé je n’ay point encore trouvé en mon chemin cette Liſette ſi aimable, j’en ſçais mauvais gré à mon étoile.	Hé je n'ai point encore trouvé en mon chemin cette Lisette si aimable, j'en sais mauvais gré à mon étoile.
PASQUIN.	PASQUIN.
Ce n’eſt pas voſtre étoile, Monſieur, c’eſt moy qui ay pris ſoin de vous cacher Liſette, je l’ay trouvée trop jolie pour vous la faire connoiſtre;	Ce n'est pas votre étoile, Monsieur, c'est moi qui ai pris soin de vous cacher Lisette, je l'ai trouvée trop jolie pour vous la faire connaître;
mais cette digreſſion vous fait oublier qu’il s’agit entre vous & moy d’une petite regle d’Aritmetique;	mais cette digression vous fait oublier qu'il s'agit entre vous et moi d'une petite règle d'Aritmetique;
Il y a huit ans que je vous ſers à vingt-cinq écus de gages.	Il y a huit ans que je vous sers à vingt-cinq écus de gages.
Somme totale ſix cens livres, ſurquoy j’ay receu quelques coups de canne, coüps de pied au cul;	Somme totale six cens livres, surquoi j'ai reçu quelques coups de canne, cents de pied au cul;
partant reſte toujours ſix cens livres que je vous prie de me donner preſentement.	partant reste toujours six cens livres que je vous prie de me donner présentement.
DORANTE.	DORANTE.
Quoy j’ay eu la patience de garder huit ans un coquin comme toy.	Quoi j'ai eu la patience de garder huit ans un coquin comme toi.
A iij	À jijà
PASQUIN.	PASQUIN.
Tout autant, Monſieur.	Tout autant, Monsieur.
DORANTE.	DORANTE.
Un maraut.	Un maraut.
PASQUIN.	PASQUIN.
Ouy, Monſieur.	Oui, Monsieur.
DORANTE.	DORANTE.
Huit ans un Valet à pendre.	Huit ans un Valet à pendre.
Ah.	Ah.
PASQUIN.	PASQUIN.
DORANTE.	DORANTE.
A noyer, à écraſer.	À noyer, à écraser.
PASQUIN.	PASQUIN.
Il y a du malheur à mon affaire;	Il y a du malheur à mon affaire;
vous avez eſté juſqu’à preſent tres-content de mon ſervice, & vous ceſſez de l’eſtre dans le moment que je vous demande mes gages.	vous avez été jusqu'à présent très-content de mon service, et vous cessez de l'être dans le moment que je vous demande mes gages.
DORANTE ſe radouciſſant.	DORANTE se radoucissant.
Paſquin, ce n’eſt pas d’aujourd’huy que je ſuis la dupe de ma bonté.	Pasquin, ce n'est pas d'aujourd'hui que je suis la dupe de ma bonté.
Va, mon cher, je veux bien encore ne te point chaſſer de chez moy.	Va, mon cher, je veux bien encore ne te point chasser de chez moi.
PASQUIN.	PASQUIN.
Vrayment, Monſieur, ce n’eſt pas vous qui me chaſſez, c’eſt moy qui vous demande mon congé, & les ſix cens livres.	Vraiment, Monsieur, ce n'est pas vous qui me chassez, c'est moi qui vous demande mon congé, et les six cens livres.
DORANTE.	DORANTE.
Non, mon cœur, tu ne me quitteras point.	Non, mon cœur, tu ne me quitteras point.
Tu ne ſçais ce qu’il te faut.	Tu ne sais ce qu'il te faut.
La vie champeſtre ne convient point à un intrigant, un fourbe.	La vie champêtre ne convient point à un intrigant, un fourbe.
PASQUIN.	PASQUIN.
Je ſçay bien que j’ay tous les talens pour faire fortune à la Ville;	Je sais bien que j'ai tous les talents pour faire fortune à la Ville;
