MONMONT I973	MONMONT I973
ARE ET PETVS.	ARE ET PETUS.
a Gilaι	à Gilaι
LES TROMPEVRS TROMPELES t us on	LES TROMPEURS TROMPELES t' us on
LES RAMONNEVRS.	LES RAMONNEURS.
Bi	Bi
A PARIS.	À PARIS.
Chez GVILLAVME DE EV YINE, braire Iuré, au Palais, dans la Gallérie des Merciers, à la Iuſtice.	Chez GUILLAUME DE EU YINE, braire Juré, au Palais, dans la Gallerie des Merciers, à la Justice.
M.	M.
DC.	DC.
LX.	LX.
AVEC PRIVILEGE DV ROT.	AVEC PRIVILÈGE DU ROT.
à voſtre gloire;	à votre gloire;
Mais pour moy i’auoüe qu cs eſt pour mon propre interreſt, que ie vous ads dr eſſe celui-cy, & que ie n’ay point trouué de meilleur moyen pour conſeruer mon nom à la poſterité, que de le mettre dans vne Epiſtre au deſſous du voſtre.	Mais pour moi j'auoüe qu' cs que pour mon propre interrêt, que je vous ads dr esse celui-cy, et que ie n’ai point trouvé de meilleur moyen pour conserver mon nom à la postérité, que de le mettre dans une Épître au dessous du vôtre.
Perſonne n’a iamais eu vne reputation ſi generalle que celle que vous auez acquiſe, & ſi voſtre bonne fortune fait naiſtre l’enuie, voſtre vertu luy ferme la bouche.	Personne n'a jamais eu une réputation si générale que celle que vous avez acquise, et si votre bonne fortune fait naître l'envie, votre vertu lui ferme la bouche.
Parmi les loüanges que l’on donne à S.	Parmi les louanges que l'on donne à S.
E.	E.
pour ſes grandes actions, on doit mettre celles, de vous auoir choiſi pour vous es leuer aux premieres dignitez.	pour ses grandes actions, on doit mettre celles, de vous avoir choisi pour vous es lever aux premières dignités.
Et le Roy en donnant la paix à la France, a fait vn grand bien au Public, lors que par le Conſeil d’vn ſi grand Miniſtre, il a voulu que vous coutinuaſſiez d’exercer la charge de Sur-Intendant des Finances, & d’eſtre le Sage Diſpenſateur d’vne choſe, ſans laquelle l’on ne peut eſtre heureux dans la Paix la plus aſſurée, & la plus tranquille.	Et le Roi en donnant la paix à la France, a fait un grand bien au Public, lors que par le Conseil d'un si grand Ministre, il a voulu que vous coutinuassiez d'exercer la charge de Sur-Intendant des Finances, et d'être le Sage Dispensateur d'une chose, sans laquelle l'on ne peut être heureux dans la Paix la plus assurée, et la plus tranquille.
Les marques que S.	Les marques que S.
E.	E.
vous donne tous les iours, de ſon amitié & de ſon eſtime, ne ſont pas vne preuue legere de voſtre merite, il ne ſçauroit veritablement reſpendre ſes faueurs auec plus de Iuſtice ailleurs, que ſur voſtre Perſonne, dans l’approbation vniuerſelle, où vous eſtes, il a trouué le ſecret en vous obligeant, d’obliger tout le Monde.	vous donne tous les jours, de son amitié et de son estime, ne sont pas été preuve légère de votre mérite, il ne saurait véritablement respendre ses faveurs était plus de Justice ailleurs, que sur votre Personne, dans l'approbation universelle, où vous êtes, il a trouvé le secret en vous obligeant, d'obliger tout le Monde.
Vos proſperitez font la ioye de tous les gens d’honneur;	Vos prospérités font la joie de tous les gens d'honneur;
Mais le bon-heur qui vous arriue ne s’arreſte pas en vous meſme, voſtre douceur, voſtre bonté & voſtre generoſité ſouffriroient vne extréme violance, ſi elles demeuroient oiſiues, & vous reſſemblez à celuy qui diſoit, qu’il refuſeroit la felicité, ſi l’on ne luy permettoit pas de la communiquer.	Mais le bonheur qui vous arrive ne s'arrête pas en vous rendre, votre douceur, votre bonté et votre générosité souffriraient une extrême violance, si elles demeuraient oisives, et vous ressemblez à celui qui disait, qu'il refuserait la félicité, si l'on ne le permettait pas de la communiquer.
Comme vous prenez plaiſir, Monſeigneur, de proteger les beaux arts, & les ſciences, auſſi bien que la vertu;	Comme vous prenez plaisir, Monseigneur, de protéger les beaux arts, et les sciences, aussi bien que la vertu;
I’oſe prendre la liberté de vous preſenter cette Tragedie D’ARIE eT de PETVS.	J'ose prendre la liberté de vous présenter cette Tragédie D'ARIE eT de PETUS.
Lantiquité n’a rien veu plus digne de loüange, que ce Heros & cette Heroine, ils ont effacé ſoubs les Empereurs, ce qui a paru de plus beau ſouz la Republique, PETVS à des ſentimens plus iuſtes que ceux de BRVTE, & ARIE a remporté dans le tombeau vne gloire plus pure que celle de LVCRESSE.	Lantiquité n'a rien vu plus digne de louange, que ce Héros et cette Héroine, ils ont effacé sous les Empereurs, ce qui a paru de plus beau sous la République, PETUS à des sentiments plus justes que ceux de BRUTE, et ARIE a remporté dans le tombeau gloire plus pure que celle de LVCRESSE.
