TIMOCLEE, Y5707.	TIMOCLE, Y570.
A D LA GENEROSITE DALEXANDRE.	À D A GÉNÉROSITÉ DALEXANDRE.
A Rir O Meonna M uiu Le 20 Mored	À Rir Ô Meonna M uiv Le 20 Mored
ACTE I SCENE TREMIERE.	ACTE I CÈNE TREMIERE.
TIMOCLEE, PROTHITE.	TIMOCLE, PROTHITE.
ROTHITE.	ROTHITE.
TMI A vous pleurez, Madame, & ce torrent de larib mes Excite dans mon cœur de plus rudes alarmes Que les diuers exploits de nos demrets Tyrans.	TMI A vous pleurez, Madame, et ce torrent de larib mes Excite dans mon cœur de plus rudes alarmes Que les divers exploits de nos démrets Tyrans.
Bien que toúours heureux, & par rour cõquerans.	Bien que toujours heureux, et par rour cõquerans.
Lors que ie vois moüillé cet auguſte viſage.	Lors que ici vois mouillé cet auguste visage.
Ie crois voir des Roys morts en vn affreux naufrage Dout l’eſfort violent s’étend iuſques à vous, Et tâche à m’artacher ce que i’ay de plus doux.	Je crois voir des Rois morts en un affreux naufrage Dout l'efort violent s'étend jusques à vous, Et tâche à m'artacher ce que j'ai de plus doux.
Voyant couler ces pleurs, ie croy voir dans l’Erebe Déja précipiter les murailles de Thebe;	Voyant couler ces pleurs, tu crois voir dans l'Erebe Déjà précipiter les murailles de Thebe;
Bien que cette belle eau ſoit comme le criſtal, I’y penſe voir ce iour & ſanglant & fatal.	Bien que cette belle eau soit comme le cristal, J'y pense voir ce jour et sanglant et fatal.
I’y vois renouueller les trauaux & les peines Que ſouffrit en mourant voſtre cher Theagenes:	J'y vois renouveler les travaux et les peines Que souffrit en mourant votre cher Theagenes:
Mais c’eſt en dire trop, & c’eſt vous affliger, Augmentant vos douleurs, loin de les ſoulager.	Mais c'est en dire trop, et c'est vous affliger, Augmentant vos douleurs, loin de les soulager.
Pour dõc vous apporter quelque peu d’allegeance, Il faut que vous gardiez vn reſte d’eſperance, Que vous me ſeſſiez voir, eſſuyant vos beaux yeux.	Pour dont vous apporter quelque peu d'allégeance, Il faut que vous gardiez un reste d'espérance, Que vous me sessiez voir, essuyant vos beaux yeux.
Que ie doy ſurmonter ce ieune audacieux.	Que ici dois surmonter ce jeune audacieux.
Ie combatray, Madame, & ſi la deſtinée A hous penccuter ne s’eit point obitinee, Ie luy feray ſentir qu’on a touſiours de l’heur A venger ſa Déeſle, & ſauuer ſon honneur.	Je combattrai, Madame, et si la destinée A hous pencuter ne s'éit point obitinée, Je lui ferai sentir qu'on a toujours de l'heur A venger sa Déesle, et sauver son honneur.
TIMOCLEE.	TIMOCLE.
Plût aux Dieux que le Ciel aidant voſtre courage, De ces grands ennemis nous fit voir le carnage, Et que d’vn méme coup, pour nôtre cõmun bien, Vous vengeaſſiez mon ſang, voſtre honneur, & le mien.	Plût aux Dieux que le Ciel aidant votre courage, De ces grands ennemis nous fit voir le carnage, Et que d'un même coup, pour notre commun bien, Vous vengeassiez mon sang, votre honneur, et le mien.
Mais helas!	Mais hélas!
ie crains trop que ma chere Patrie Bien-toſt de ſon bonheur n’ait la ſource tarie, Et que cet ennemy toûiours victorieux, Pour vous rendre vaincu, ne ſoit aſlez heureux:	Ne crains trop que ma chère Patrie Bientôt de son bonheur n'ait la source tarie, Et que cet ennemi toujours victorieux, Pour vous rendre vaincu, ne soit aslez heureux:
Faites agir pour tant voſtre ame plus qu’humaine.	Faites agir pour tant ainsi âme plus qu'humaine.
Et tâchez, s’il ſe peut, que ma crainte ſoit vaine, Eſſayez de domter noſtre malheureux ſort, Produiſant au beſoin quelque puiſſant effort:	Et tâchez, s'il se peut, que ma crainte soit vaine, Essayez de dompter notre malheureux sort, Produisant au besoin quelque puissant effort:
Aſſemblez tous vos gens, forcez la Citadelle, Noſtre bonheur dépend d’vne priſe ſi belle, Ft tous nos Citoyens deliurez au dedans, Pour defendre les murs, ſe verront plus ardans,	Assemblez tous vos gens, forcez la Citadelle, Notre bonheur dépend d'une prise si belle, Ft tous nos Citoyens deliurez au dedans, Pour défendre les murs, se verront plus ardans,
PROTHITE.	PROTHITE.
Ha!	Ha!
qu'vn peu de ce feu réchauſte bien vne ame qui n’a iamais brúlé que d'vne belle flame!	qu'un peu de ce feu réchauste bien une âme qui n'a jamais brûlé que d'une belle flamme!
Qu’il eſt aiſé de vaincre!	Qu'il est aisé de vaincre!
& qu’on eſt glorieux, quand eobatuſit pourloy, ron cobat pouries pieux!	et qu'on est glorieux, quand eobattusit pourloi, ron cobat pouries pieux!
SCENE II.	SCÈNE II.
TIMOCLEE, DORITE.	TIMOCLE, DORITE.
TIMOCLEE.	TIMOCLE.
Orite, il eſt party, cet objet de ma vie, I Par qui ma liberté m’eſt puiſſamment rauie, Et que ie croy pouuoir par vn contraire effet Me garantir des maux qu’auiourd’huy l’on me fait.	Orite, il est parti, cet objet de ma vie, I Par qui ma liberté m'est puissamment ravie, Et que je crois pouvoir par un contraire effet Me garantir des maux qu'aujourd'hui l'on me fait.
C’eſt mon vnique eſpoir, le ſeul que ie reclame, Et qui peut redonner le repos à mon ame:	C'est mon unique espoir, le seul que Rome réclame, Et qui peut redonner le repos à mon âme:
Car bien que iuſqu’icy (grace aux Dieux immortels) L’on m’ait preſque éleué dans ces lieux des Autels, que les honneurs rendus aux Manes de mon Frere, S’étendant iuſqu’à moy, faſſent qu’on me réuere, I’ay pluſieurs ennemis & dedans & dehors, I’en ay méme de ceux qui nous ſont pour ſuports, I’ay de plus des Tyrans toute la race entiere;	Car bien que jusqu'ici (grace aux Dieux immortels) L'on m'ait presque élevé dans ces lieux des Autels, que les honneurs rendus aux Manes de mon Frère, S'étendant jusqu'à moi, fassent qu'on me révère, J'ai plusieurs ennemis et dedans et dehors, J'en ai même de ceux qui nous sont pour supports, J'ai de plus des Tyrans toute la race entière;
9i le meurs par le riis, le mourois par le Pere.	9i le meurs par le riis, le mourais par le Père.
Ce grand vſurpateur de nótre commun bien, qui rauiſſant mon Frere, abatit mon ſoút ien.	Ce grand usurpateur de notre commun bien, qui ravissant mon Frère, abatit mon soút yen.
Enfin ie n’ay plus rien qui m’aide & me profite En tous mes déplaiſirs, ſi ce n’eſt mon Prothite.	Enfin ici n'ai plus rien qui m'aide et me profite En tous mes déplaisirs, si ce n'est mon Prothite.
DORITE.	DORITE.
Vous eſtant ſeul ſi cher, vous l’enuoyez ainſi?	Vous étant seul si cher, vous l'envoyez ainsi?
TIMOCLEE.	TIMOCLE.
Mais dequoy voudrois-tuquil meleruiticy?	Mais dequoy voudrais-tuquil méléruitici?
DORITE.	DORITE.
Ie ſçay qu’il doit aller conduire nos batailles, Attaquer le Chaſteau, defendre nos mutailles:	Je sais qu'il doit aller conduire nos batailles, Attaquer le Château, défendre nos mutailles:
Mais vous deuiez, Madame, au moins luy faire voir ou’il pouuoit dellus vous aſſeurer ſon eſpoir;	Mais vous deviez, Madame, au moins Seigneur faire voir ou'il pouvait dellus vous assurer son espoir;
Cet eſpoir peut beaucoup ſur vne ame amoureuſe, Et que l’on voit encorilluſtre & genereuſe, I’adiouſte qu’il peut méme, étant bien excité, Porter vne ame lache a la temerité.	Cet espoir peut beaucoup sur une âme amoureuse, Et que l'on voit encorillustre et généreuse, J'ajoute qu'il peut même, étant bien excité, Porter une âme lache a la témérité.
Rappellez-le, Madame, & luy faites promeſſe ne demeurer touiours ſa ſidele Maiſtreſſe.	Rappelez-le, Madame, et ainsi faites promesse ne demeurer toujours sa sidele Maîtresse.
TIMOCLEE.	TIMOCLE.
Croy que de mon diſcours il a fort bien compris, S’il eſt victorieux, que ie ſeray ſon prix, Cette condition que ie deuois y mettre M’empeſchoit pres de lui depouuoir riẽ promettre, Et i’euſſe vainement mis des biens en ſa main que le Victorieux luy peut oſter demain.	Crois que de mon discours il a fort bien compris, S'il est victorieux, que ie serai son prix, Cette condition que ie deuois y mettre M'empêchait pres de lui dépouvoir rie promettre, Et j'eusse vainement mis des biens en sa main que le Victorieux lui peut ôter demain.
Mais.	Mais.
Ciel!	Ciel!
que cet obiet me fait ſouffiir de peine, Et qu’il vient balancer mon amour & ma haine!	que cet objet me fait souffiir de peine, Et qu'il vient balancer mon amour et ma haine!
Tabhore ſa perſonne, & i’ainie ſa vertu, Puis que ſon bras pour nous a deja combatu.	Tabhore sa personne, et j'ainie sa vertu, Puis que son bras pour nous a déjà combattu.
Parmy ces mouuemens reccuons ſa vihite, Et luy donnons la voix mais le cœur a Prothite.	Parmi ces mouvements reccuons sa vihite, Et tu donnons la voix mais le cœur a Prothite.
DORITE bas.	DORITE bas.
Si i’ay donné la mienne à cet heureux vainqueur.	Si j'ai donné la mienne à cet heureux vainqueur.
Pout peu d’attachement Phenix autoit mon cœur.	Pont peu d'attachement Phénix autait mon cœur.
SCENE III.	SCÈNE III.
THENTA, TIMOCLEE, DORITE.	THENTA, TIMOCLE, DORITE.
PHENIX.	PHÉNIX.
Ous apportant, Madame, vne bõne nouuelle, V I’eſpere auoir de vous vne grace ſi belle, que comme voitre cœur eſt noble & genereux, vous reconip nſerez vn homme malheureux, Trop heureux toutefois de vous auoir ſeruie, En expoſant pour vous ſon honneur & ſa vie.	Ous apportant, Madame, une bonne nouvelle, V 'espère avoir de vous donner grâce si belle, que comme voitre cœur est noble et généreux, vous reconip nserez un homme malheureux, Trop heureux toutefois de vous avoir servie, En exposant pour vous son honneur et sa vie.
TIMOCLEE.	TIMOCLE.
Etes-vous malheureux, Phenix, de m’annoncer Ce dont ie vous doy plaindre & vous recompenſer:	Êtes-vous malheureux, Phénix, de m'annoncer Ce dont tu vous dois plaindre et vous récompenser:
Mais qu’auez-vous donc fait de ſi grand, de ſi rare?	Mais qu'avez-vous donc fait de si grand, de si rare?
Auriez-vous auancé la perte du barbare?	Auriez-vous avancé la perte du barbare?
PHENIX.	PHÉNIX.
Ha!	Ha!
ſi le Ciel mettant au cœur des ennemis De defendre leurs Chefs, & nous rendre ſoumis, Leur eut perſuadé de faire vne ſortic, Nous aurions vaincu tout, & non pas en partie Cõme nous auons fait, bien que deuant leurs veux:	si le Ciel mettant au cœur des ennemis De défendre leurs Chefs, et nous rendre soumis, Leur eut persuadé de faire été sortic, Nous aurions vaincu tout, et non pas en partie Comme nous avons fait, bien que devant leurs veux:
Mais nous auons tué ce qui valoit le mieux.	Mais nous avons tué ce qui valait le mieux.
TEMOCLED.	TEMOCLED.
Auez-vous donc vaincu ceux que la renomméc Eleuoit le plus haut dans le fort de Cadmée?	Avez-vous donc vaincu ceux que la renommé Elevait le plus haut dans le fort de Cadmée?
Mais comment ſe peut-il que vous ayez déſait Ses plus vaillans ſoldats?	Mais comment se peut-il que vous ayez dès Ses plus vaillants soldats?
PHENIX.	PHÉNIX.
Eſperant qu’en effet	Espérant qu'en effet
A iij Ie rendrois à mes vœux ma Deité Luy faiſant dans nos muts vn ſanglaut ſacriece.	À jij à rendrais à mes vœux ma Dité Lui faisant dans nos muts un sanglaut sacrièce.
Et rencontrant ces Cheſs de leur Chaſteau fort Que i’auois ſçeu deuaut fommer quelques parns Auec de nos Bourgcois au milieu de Ia Ville, I’ay fait ſigne a mes geus;	Et rencontrant ces Chess de leur Château fort Que j'avais su devaut sommer quelques parns Avec de nos Bourgois au milieu de Ia Ville, J'ai fait signe à mes geus;
& voyant qu’a la file Ils s’auãçoient vers moy, i en ay pris les meul urs Et quoy que l’eunemy s’auguinutat fort d’auleurs Et que l’on y coutât plus de vme Capitemes, Nous les auons pouſlez, non fans de gla les pemnes:	et voyant qu'a la file Ils s'auãçoient vers moi, y en ai pris les meul urs Et quoi que l'eunemi s'auguinutat fort d'auleurs Et que l'on y coutât plus de vme Capitemes, Nous les avons pouss, non sans de gla les pemnes:
Car bien que dés l’abord i’en euſle bleſſé deux, Les autres leurs reſtoient encor tous vigoureux, Iuſqu’a ce qu’atriuant noſtre bande aguerne, Nous les auons choquez de force & de furie;	Car bien que dès l'abord j'en eusle blessé deux, Les autres leurs restaient encor tous vigoureux, Jusqu'a ce qu'atrivant notre bande aguerne, Nous les avons choquez de force et de furie;
Et comme ils s’obſtinoient a faire les vaillans, Et vouloir ſoútenir l’effort des aſſaillaus, Reſuſant hautement de nous liurer Cadmée.	Et comme ils s'obstinaient a faire les vaillants, Et vouloir soutenir l'effort des assaillaus, Résusant hautement de nous livrer Cadmée.
Nous auoisIette Das cette dounpe ammles, Et l’auons immolée a ce iuſte courroux Qui vous porte a venger & voſtre Frere & vous.	Nous avaisIette Das cette dounpe amles, Et l'avons immolée a ce juste courroux Qui vous porte a venger et votre Frère et vous.
TIMOCLEL bas les 2.	TIMOCLEL bas les 2.
premiers Vers.	premiers Vers.
Dieux celuy-cy vainqueur:	Dieux celui-cy vainqueur:
que faiſois tu Protlute?	que faisais tu Protlute?
Que faiſoient tes vertus, & ta ſage conduite?	Que faisaient tes vertus, et ta sage conduite?
