A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
ADAME,	ADAME,
Si Clarimonde ſe vajetter à vos pieds, ce n’eſt pas tant pour implorer la protection de Voſtre Majeſté contre les attaques de l’enuie, que pour vous rendre tres-humbles graces de l’accueil qu’elle euſt autrefois l’honneur d’en receuoir, & de la fauorab’e attention que vous daignaſtes preſter au recit que ie vous fis de les auantures.	Si Clarimonde se vajetter à vos pieds, ce n'est pas tant pour implorer la protection de Votre Majesté contre les attaques de l'envie, que pour vous rendre très-humbles grâces de l'accueil qu'elle eût autrefois l'honneur d'en recevoir, et de la favorab'e attention que vous daignâtes prêter au récit que je vous fis de les aventures.
Que ſil plaiſt à Voſtre Majeſté de jetter ſur elle quelques regards ſeulement, j’oſe me promettre que cette Princeſſe, pour eſtre moins ieune de quelques mois, ne luy paroiſtra pas moins belle;	Que sil plaît Re Majesté de jeter sur elle quelques regards seulement, j'ose me promettre que cette Princesse, pour être moins jeune de quelques mois, ne lui paraîtra pas moins belle;
& que les meſmes traits qui purent alors donner quelque ſatisfaction à vos oreilles pourront encore aujourd’huy donner quelque contentement à vos yeux.	et que les mêmes traits qui purent alors donner quelque satisfaction à vos oreilles pourront encore aujourd'hui donner quelque contentement à vos yeux.
le ſçay bien, MADAME, que ſon Deſtin la ſouſmet à la neceſſité de courir tout le monde, mais ce qui la conſole dans cet accident qu’elle ne peut éuiter, c’eſt que dans tous les climats où l’on voudra la forcer d’ouurir la bouche, elle ne parlerajamais de ſa fortune, ſans auoir parlé des merites de Voſtre Majeſté, & ſans auoir publié hautement, que ſi la Terre n’auoit point de Couronnes qui ne puſſent eſtre le prix de voſtre naiſſance, le Ciel n’en a point qui ne doiue eſtre le prix de voſtre vertu.	le sais bien, MADAME, que son Destin la soumet à la nécessité de courir tout le monde, mais ce qui la console dans cet accident qu'elle ne peut éviter, c'est que dans tous les climats où l'on voudra la forcer d'ouvrir la bouche, elle ne parlerajamais de sa fortune, sans avoir parlé des mérites de Votre Majesté, et sans avoir publié hautement, que si la Terre n'avait point de Couronnes qui ne pussent être le prix de votre naissance, le Ciel n'en a point qui ne doive être le prix de votre vertu.
En effet, MADAME, commelſi c’eſtoit renfermer voſtre bonté dans des limites trop eſtroites que de ne la mettre qu’au deſſus des perſonnes qui tiennent vn ſuperbe rang, ou veut que vous triomphiez generalement de tout voſtre ſexe:	En effet, MADAME, commelsi c'était renfermer votre bonté dans des limites trop étroites que de ne la mettre qu'au dessus des personnes qui tiennent un superbe rang, ou veut que vous triomphiez généralement de tout votre sexe:
Et ce n’eſt pas aſſez de dire que vous eſtes la meilleure Princeſſe qui fut jamais, ſi l’on n’y ajouſte en meſme temps que vous eſtes la meilleure de toutes les femmes.	Et ce n'est pas assez de dire que vous êtes la meilleure Princesse qui fut jamais, si l'on n'y ajoute en même temps que vous êtes la meilleure de toutes les femmes.
Cette qualité toutefois n’eſt pas la ſeule qui vous fait eſtimer, ell’eſt accompagnée des plus hautes perfections dont vne ame puiſſe eſtre enrichie;	Cette qualité toutefois n'est pas la seule qui vous fait estimer, elle est accompagnée des plus hautes perfections dont une âme puisse être enrichie;
& de quelques beautez que vous ſoyez redeuable au Sang dont vous auez tiré voſtre origine, on remarque aiſément que les auantages que vous poſſedez doiuent eſtre nommez des effets de voſtre eſprit, auſſi-bien que des preſans de la Nature.	et de quelques beautés que vous soyez redevable au Sang dont vous avez tiré votre origine, on remarque aisément que les avantages que vous possédez doivent être nommez des effets de votre esprit, aussi-bien que des présants de la Nature.
Parmy ceux-là, MADAME, voſtre inſigne pieté doit eſtre particulierement conſiderée:	Parmi ceux-là, MADAME, votre insigne piété doit être particulièrement considérée:
auſſi voyons-nous bien que c’eſt à elle que le Ciel a eſté comme forcé de ſe rendre, & que pour accomplir les vœux que nous auons meſlez durant ſi long-temps aux prieres de Voſtre Majeſté, il a fallu qu’il ait donne a la France deux Princes qui doiuent ſans doute apres auoir eſté les ſujets de ſajoye, eſtre les appuys de ſa grandeur.	aussi voyons-nous bien que c'est à elle que le Ciel a été comme forcé de se rendre, et que pour accomplir les vœux que nous avons mêlés durant si longtemps aux prières de Votre Majesté, il a fallu qu'il ait donne à la France deux Princes qui doivent sans doute après avoir été les sujets de sajoie, était les appuis de sa grandeur.
I'eſpere, MADAME, que	J'espère, MADAME, que
ces nouueaux Aſtres ne brilleront pas d’vne moindre ſplẽdeur que ceux qui leur ont communiqué la lumiere;	ces nouveaux Astres ne brilleront pas d'une moindre splẽdeur que ceux qui leur ont communiqué la lumière;
au contraire, ie ſuis aſſuré que ces Princes, nez d’vn Monarque auſſi luſte que Puiſſant, & d’vne Reine auſſi Sage que Belle, ne conſerueront pas ſeulement cet Empire dans l’Eſtat floriſſant où nous le voyons, mais qu’ils enrichiront nos Fleurs de Lys des dépoüilles du Croiſſant, & meſleront leurs victoires aux fameux lauriers que nous auons autrefois cueillis ſur les Infidelles.	au contraire, Madame suis assuré que ces Princes, nez d'Han Monarque aussi luste que Puissant, et d'une Reine aussi Sage que Belle, ne conserveront pas seulement cet Empire dans l'État florissant où nous le voyons, mais qu'ils enrichiront nos Fleurs de Lys des dépoüilles du Croissant, et mêleront leurs victoires aux fameux lauriers que nous avons autrefois cueillis sur les Infidèles.
En attendant, MADAME, que l’ordre des temps preſente aux yeux de Voſtre Majeſté lordre des miracles qu’ils doiuent produire, ie la ſupplie auec humilité de pardonner à la hardieſſe que j’ay priſe de luy conſacrer cet Ouurage, & de croire que ie n’ay jamais eu de plus glorieuſe ny de plus forte paſſion que d’eſtre,	En attendant, MADAME, que l'ordre des temps présente aux yeux de Votre Majesté lordre des miracles qu'ils doivent produire, plein la supplie avec humilité de pardonner à la hardiesse que j'ai prise de quelques consacrer cet Ouvrage, et de croire que sans n'ai jamais eu de plus glorieuse ni demp forte passion que d'être,
MADAME, de Voſtre Majeſté,	MADAME, de Votre Majesté,
Extraict du Priuilegs du Roy.	Extrait du Privilègs du Roi.
R grace & Priuilege du Roy, donné à Paris le 8.	R grâce et Privilège du Roi, donné à Paris le 8.
iour de luillet 1642.	jour de luillet 1642.
ſigné par le Roy en ſon Conſeil MATHAREL, il eſt permis à BALTHASAR BARO de faire imprimer vne piece de Theatre de ſa compoſition, intitulée CLARIMONDE, durant l’eſpace de cinqans.	signé par le Roi en son Conseil MATHAREL, il est permis à BALTHASAR BARO de faire imprimer une pièce de Théâtre de sa composition, intitulée CLARIMONDE, durant l'espace de cinqans.
Et défenſes à tous autres d’en vendre ou diſtribuer ſinon ceux qui auront droit de luy, ſur les peines portées par ledit Priuilege.	Et défenses à tous autres d'en vendre ou distribuer sinon ceux qui auront droit de notre, sur les peines portées par ledit Privilège.
T ledit ſieur BARg a cedé & tranſporté le preſent LPriuilege à Antoine de Sommauille & Auguſtin Courbé Marchands Libraires à Paris, pour en joüir ſelon ſa teneur, ainſi qu’il a eſté accordé entr’ eux.	T ledit sieur BARg a cédé et transporté le présent LPrivilège à Antoine de Sommauille et Augustin Courbé Marchands Libraires à Paris, pour en jouir selon sa teneur, ainsi qu'il a été accordé entr' eux.
Acheut d’imprimer le 23.	Achevut d'imprimer le 23.
Fevrier 1643.	Février 1643.
ACTEVRS.	ACTEURS.
OETERidOIDDE, pllromere dHlmazan, & fille de Solimont.	ÔTERidOIDDE, pllromère dHlazan, et fille de Solimont.
EIDTANE, conndente deClarimonde.	EIDTANE, conndente deClarimonde.
ALMALAN, Roy d’Alger.	ÀLMALAN, Roi d'Alger.
SOLIMONT, Roy de Thunis.	SOLIMONT, Roi de Thunis.
ALCANDRE, fauory d’Almazan	ÀLCANDRE, favori d'Almazan
MELIDOR, General d’armée.	MELIDOR, Général d'armée.
ARGIRAN, confident d’Almazan.	ARGIRAN, confident d'Almazan.
LYCAS, Page.	LYCAS, Page.
Chefs de l’armée d’Almazan.	Chefs de l'armée d'Almazan.
LA SCENE ES Proche d’Alger dans vne maiſon de plaiſance.	LA SCÈNE ES Proche d'Alger dans une maison de plaisance.
LA	LA
I.	I.
A LARIMONDE.	À LARIMONDE.
S 1 68 14 hne t’oppoſe plus au torrent de meslarmes, Contre mes deſplaiſirs ie n’ay plus d’autres armes, Lydiane c’eſt trop tes ſoings officieux Geſnent eſçalement mon eſprit & mesyeux.	S 1 68 14 haine t'oppose plus au torrent de mêlarmes, Contre mes déplaisirs homme n'ai plus d'autres armes, Lydiane c'est trop tes soins officieux Gênent esçalement mon esprit et mesyeux.
Dant l'horrible tranſſort qui me preſſe a toute heure, Si ie ne puis mourir, ſouſpre au moins que te pleure.	Dant l'horrible transsort qui me presse à toute heure, Si tu ne puis mourir, soupre au moins que te pleure.
LYDIANE.	LYDIANE.
Mais comment les ſouffrir ces pleurs que vous verſez, A	Mais comment les souffrir ces pleurs que vous versez, A
Q 2 Puis qu'ils font vne iniure aux traits dont vous bleſſez?	 2 Puis qu'ils font une injure aux traits dont vous blessez?
Et deſtruiſent en vous, par vn trop long vſage, La force de l’eſprit & celle du viſage?	Et détruisent en vous, par un trop long usage, La force de l'esprit et celle du visage?
CLARIMONDE.	CLARIMONDE.
Leur ſource toutefois n’eſt pas preſte à finir, Trop de faſcheux ſujets viennent l'entretenir, Conſidere a quel poinct la fortune me braue Si Thunis me vid lible, Aeger me vuid eſclaue, Mais eſclaue d'vn Roy laſche, iniuſte, brutal, Et de noſtre couronne ennemy capital;	Leur source toutefois n'est pas prête à finir, Trop de fâcheux sujets viennent l'entretenir, Considère à quel point la fortune me brave Si Thunis me vit lible, Aéger me vid esclave, Mais esclaue d'un Roi lâche, injuste, brutal, Et de notre couronne ennemi capital;
AAtinuicumeun ce nom me pun premtrdecrainte.	ATinuicumeun ce nom me pun premtrdecrainte.
L YDIANE.	 LYDIANE.
Pourquoy le nommez vous?	Pourquoi le nommez -vous?
CLARIMONDE.	CLARIMONDE.
Helas i’y ſuis contrainte, Peut-eſtre en ioment nos Eſtats deſolez, Sont auecque mon pere à ſa hayne immolez:	Hélas j'y suis contrainte, Peut-être en joment nos États désolés, Sont auecque mon père à sa haine immolés:
Si le traiſtre a force nos urmes legitimes, Combien à ſes forfaits va-t il joindre de crimes, Que ne commettra point ſa barbare fureur?	Si le traître a force nos ouvrmes légitimes, Combien à ses forfaits va-t -il joindre de crimes, Que ne commettra point sa barbare fureur?
