a ded	a déd
A MADAME, MADAME LA DVCHESSE DE LONGVEVILLE.	À MADAME, MADAME LA DVCHESSE DE LONGUEVILLE.
LADAME, 13 I'aduouë que ce que ie preſente à voſtré Grandeur eſt indigné d’elle:	LADAME, 13 J'avoue que ce que je présente à vostré Grandeur est indigné d'elle:
Mais ſi vous ne deuiez receuoir que les choſes qui meritent de l’eſtre de vous, il eſt cerã iij tain que vous auriez droict de refuſer tout ce qu’on vous pourroit offrir.	Mais si vous ne deviez recevoir que les choses qui méritent de l'être de vous, il est cer quand tain de vous auriez droit de refuser tout ce qu'on vous pourrait offrir.
Cette foibleſſe, qui m’eſt commune, auec tout le reſte des hommes, ne me donne point d’affliction;	Cette faiblesse, qui m'est commune, avec tout le reste des hommes, ne me donne point d'affliction;
ie ſçay qu’il eſt meſme des fuites qui ne ſont pas honteuſes aux particuliers, parce qu’elles ſont generales, & que ceux qui ſe ſauuent de la perte d’vne bataille n’eſtoient pas obligez d’y mourir.	Ce sais qu'il est mesme des fuites qui ne sont pas honteuses aux particuliers, parce qu'elles sont générales, et que ceux qui se sauvent de la perte d'une bataille n'étaient pas obligez d'y mourir.
Mais quand ce raiſonnement n’auroit pas eſté capable de me faire hardy, le fauorable accueil que i’ay touſiours receu de V.	Mais quand ce raisonnement n'aurait pas été capable de me faire hardi, le favorable accueil que j'ai toujours reçu de V.
E.	E.
m’euſt auſſi bien obligé de l’eſtre.	m'eût aussi bien obligé de l'être.
Otiy, MI DnME, ME, voſtre bonté fait ma hardieſſe, & mon crime vient de voſtre vertu:	Oti, MI DnME, ME, votre bonté fait ma hardiesse, et mon crime vient de votre vertu:
mais quoy que l’on tienne pour aſſeuré qu’vne erreur en appelle vne autre ie m’empeſcheray bien d’adiouſter à la faute que ie commets, en vous donnant vne choſe de ſi peu d’importance, celle de vous loüer de mauuaiſe grace:	mais quoi que l'on tienne pour assuré qu'une erreur en appelle une autre apprendre m'empêcherai bien d'ajouter à la faute que ie commets, en vous donnant une chose de si peu d'importance, celle de vous louer de mauvaise grâce:
que s’il faut toutefois que ie le faſſe, pour ſuiure la couſtume que les autres ont eſtablie, ie pẽſe auoir aſſez d’adreſſe pour m’en acquiter plus dignement ſans eloquence, qu’ils ne feroient auec toutes les regles & toutes les beautez de leur art.	que s'il faut toutefois que je le fasse, pour suivre la coutume que les autres ont établie, ie pẽse avoir assez d'adresse pour m'en acquitter plus dignement sans éloquence, qu'ils ne feraient sous toutes les règles et toutes les beautés de leur art.
