A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
ARG VNXEI T faiſt le recit, luy remonſtre accordement qu’elle ne deſite point de s’aſſuietir aux loix d’vn ſecond Hymenee, ſi ce n’eſt par l’expres commandement de quelque Oracle.	ARG VNXEI T ait le récit, lui remontre accordement qu'elle ne déité point de s'assuivetir aux lois d'un second Hymène, si ce n'est par l'exprès commandement de quelque Oracle.
Il demeure d’accord là deſſus de s’en aller treuuer la Sage Mondaine pour voir ſi elle ne ſeroit point propice à leurs vœux.	Il demeure d'accord là -dessus de s'en aller trouver la Sage Mondaine pour voir si elle ne serait point propice à leurs vœux.
Mais apres auoir ouy leurs raiſons de part & d’autre, elle ne leur fait point d’autre reſponſe;	Mais après avoir ouïr leurs raisons de part et d'autre, elle ne leur fait point d'autre réponse;
ſinon qu’elle les met dans l’eſperance de viure vn iour heureux & content.	sinon qu'elle les met dans l'espérance de vivre un jour heureux et content.
En ſuitte de cette promeſſe elle donne vn pourtrait à Celidor, & luy fait par apres receuoir le vœu de ſon amour au lieu de Celinde.	En suite de cette promesse elle donne un pourtrait à Celidor, et et fait par après recevoir le vœu de son amour au lieu de Celinde.
Cependant cette peinture fait vne telle impreſſion dans le profond de ſon cœur qu’elle y demeure eternellement.	Cependant cette peinture fait un telle impression dans le profond de son cœur qu'elle y demeure éternellement.
Ce qui fait que pour fatisfaire à la violence de ſes deſirs il va conſulter l’oracle de la Sybille.	Ce qui fait que pour satisfaire à la violence de ses désirs il va consulter l'oracle de la Sybille.
Durant que cela ſe paſſe ainſi, voila que le Capitaine Timandre reuenu de la guerre, & re2.	Durant que cela se passe ainsi, voilà que le Capitaine Timandre revenu de la guerre, et re2.
tiré dans ſon Chaſteau pour y prendre quelque relaſche deuient paſſionneinent amoureux de Celinde, apres auoit recõnu ce qu’elle valloit, & cõbien elle meritoit d’eſtre aymee.	tiré dans son Château pour y prendre quelque relâche devient passionneinent amoureux de Celinde, après avait reconnu ce qu'elle vallait, et confien elle méritait d'être aimée.
En meſme temps A mour à qui Mars meſme fait gloire de rendre hommage luy fait tomber les armes des mains, & renoncer aux trauaux de la guerre pour ſuiure les delices du Cupidõ qu’il ſe promet de gouſter s’il peut entrer dans cette alliance.	En même temps A mour à qui Mars même fait gloire de rendre hommage avait fait tomber les armes des mains, et renoncer aux travaux de la guerre pour suivre les délices du Cupidion qu'il se promet de goûter s'il peut entrer dans cette alliance.
Pour cet effet il prend la meſme reſolution que Celidor, & s’en va conſulter l’oracle de la Sybille, ſans que toutes les raiſons que le lage Poëte Amphion luy allegue ſoient capables de l’en deſtourner.	Pour cet effet il prend la même résolution que Célidor, et s'en va consulter l'oracle de la Sybille, sans que toutes les raisons que le lage Poète Amphion lui allegue soient capables de l'en détourner.
Ils s’en vont donc dans l’Antre de la Sybille, & comme ils ſont ſur le point d’y arriuer, ils ſe racontent l’vn à l’autre le deſſein qui les a la cõduits.	Ils s'en vont donc dans l'Antre de la Sybille, et comme ils sont sur le point d'y arriver, ils se racontent l'un à l'autre le dessein qui les a la comduits.
Pour s’eſclaitcir de l’euenement de leur amour, ils conſultent tous deux la Sybille qui leur dit pour toute reſponſe que leur perſeuerance leur donneroit à la fin le fruict qu’ils eſperoient de cueillir, & particuliement à Celidor qui poſſederoit vn iour le veritable obiet de celle dont il n’auoit que le portrait, mais qu’il ne falloit pas pour tout cela que la vanité l’emportaſt, puis que ſes deſirs ne trouueroient point leur port que par vne grace tres particuliere des dieux immortels.	Pour s'esclaitcir de l'événement de leur amour, ils consultent tous deux la Sybille qui leur dit pour toute réponse que leur persévérance leur donnerait à la fin le fruit qu'ils espéraient de cueillir, et particuliement à Célidor qui posséderait un jour le véritable objet de celle dont il n'avait que le portrait, mais qu'il ne fallait pas pour tout cela que la vanité l'emportât, puis que ses désirs ne trouveraient point leur port que par une grâce très particulière des dieux immortels.
