Auec vne farce plaiſante & recreatifus, tiree d'un des plus gentils eſprits de te temps.	Avec une farce plaisante et recréatifus, tirée d'un des plus gentils esprits de te temps.
A PARIS Chez la veufue Ducarroy,tuë des Carmes.	À PARIS Chez la veuve Ducarroi,tuë des Carmes.
à l’enſeigne de la Trinité.	à l'enseigne de la Trinité.
LARGVMENT DE LA TRAGEDIE.	LARGUMENT DE LA TRAGÉDIE.
A Fortune eſt tellement diuerſifiee en ſes effets, L qu’il n’y a rien d’arreſté ny de ferme en l’vniuers, tout ce qui eſt ſoubs l’Empire & le ioug de ſes loix, eſt ſujet aux changemens, viciſſitudes & inconſtance, on n’y retrouure rien que varieté & mutation.	À Fortune est tellement diversifie en ses effets, L 'il n'y a rien d'arrêté ainsi de ferme en l'Univers, tout ce qui est sous l'Empire et le joug de ses lois, est sujet aux changements, vicissitudes et inconstance, on n'y retrouvre rien que variété et mutation.
Le Roy Aſſuerus le premier Empereur de l’vniuers, auoit fait dreſſer des banquets ſuperbes en ſa ville de Suſan, pour faire paroiſtre ſes grandeurs, ou pendant qu’il entretenoit le monde de ſes magnificences, Aman ſon mignon fit commandement par toute la ville, qu’on eut à plier le genouil deuant luy que Mardochee ſeul,oncle de la Royne Eſter, ne veut obeyr à ſon commandement:	Le Roi Assuerus le premier Empereur de l'Hivers, avait fait dresser des banquets superbes en sa ville de Susan, pour faire paraître ses grandeurs, ou pendant qu'il entretenait le monde de ses magnificences, Aman son mignon fit commandement par toute la ville, qu'on eut à plier le genoutre deuant tant que Mardochee seul,oncle de la Royaine Ester, ne veut obéir à son commandement:
Aman en eſt aduerty & proſctit tous les luifs du Royaume à la mort.	Aman en est averti et prosctit tous les luifs du Royaume à la mort.
Ce que la Royne Eſter ayant ſçeu par ſon Oncle, elle voulut ſauuer ſon peuple de cet encombre:	Ce que la Reine Ester ayant su par son Oncle, elle voulut sauver son peuple de cet encombre:
elle vient prier le Roy & ſon mignon de diſner chez elle, ou apres le diſner elle aduertit le Roy de la trahiſon.	elle vient prier le Roi et son mignon de dîner chez elle, ou après le dîner elle avertit le Roi de la trahison.
Le Roy ſçachant que ledit Aman auoit fait faire vn gibet pour pendre Mardochee:	Le Roi sçachant que ledit Aman avait fait faire un gibet pour pendre Mardochée:
ayant deux lburs au parauant fait faire vn honneur audit Mardochee, pour la coniuration par luy autrefois deſcouuerte) fiſt pendre ledit Aman au propre gibet qu’il auoit dreſſé pour Mardochee.	ayant deux lburs au paravant fait faire un honneur audit Mardochée, pour la conjuration par lui fois découverte) fît pendre ledit Aman au propre gibet qu'il avait dressé pour Mardochée.
LES NOMS DES ENTREPARLEVRS.	LES NOMS DES ENTREPARLEURS.
HAPPE-SOVPPE.	HAPPE-SOUPPE.
ESTER REINE.	ESTER REINE.
ZARBONA ET I Pour l’entractt,	ZARBONA ET I Pour l'entrât,
TRAGEDIE NOVVELLE DELA PERFIDIE D’AMAN, Mignon & Fauoris du Roy Aſſuerus.	TRAGÉDIE NOUVELLE DELA PERFIDIE D'AMAN, Mignon et Favoris du Roi Assuerus.
ASSVERE ROY.	ASSVERE ROY.
