AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
de ces pieces antiques, qui n’ont rien que leur titre d’agreable & de beau, de ſorte que vôtre nom & vôtre aueu feront toute la gloire de cette Princeſſe amoureuſe:	de ces pièces antiques, qui n'ont rien que leur titre d'agréable et de beau, de sorte que votre nom et votre aveu feront toute la gloire de cette Princesse amoureuse:
regardez là, MADAME, d’vn œil fauorable, ſans conſiderer ſa baſſeſſe où ſon peu de merite;	regardez là, MADAME, d'un œil favorable, sans considérer sa bassesse où son peu de mérite;
le iour luit ſur les moindres herbes, & l’Aurore donne de la roſee aux plus petites fleurs auſſi bien qu’aux grãds arbres.	le jour luit sur les moindres herbes, et l'Aurore donne de la rose aux plus petites fleurs aussi bien qu'aux grands arbres.
Ce n’eſt pas mon deſſein d’imiter ces oiſeaux, qui ne portent leurs petits qu’entre les palmes, mais ſeulement ceux qui cherchans vn lieu d’azile, & de ſureté, vont s’etablir ſous le couuert d’vn temple.	Ce n'est pas mon dessein d'imiter ces oiseaux, qui ne portent leurs petits qu'entre les palmes, mais seulement ceux qui cherchants un lieu d'asile, et de sûreté, vont s'établir sous le couvert d'un temple.
La vertu qui n’a pas touſiours eſte des Dames de la Cour, ſe voit maintenant en vn rang qui vous y fait aymer comme deux ſeurs, & chacun dit qu’a vôtre exemple la pieté ſera bien toſt parmy les Courtiſans vne profeſſion publique:	La vertu qui n'a pas toujours este des Dames de la Cour, se voit maintenant en un rang qui vous y fait aimer comme deux sûrs, et chacun dit qu'a votre exemple la piété sera bien tôt parmi les Courtisans une profession publique:
les loüanges que vos ſujets vous donnent, ne doiuent point eſtre ſuſpectes ny douteuſes, ce ſont des biens qui vous ſont propres dans les peïs meſme étrangers, & l’Amour qu’on vous porte, ayant touſiours ſuiui vôtre renom, n’eſt pas tout renfermé dedans les cœurs François.	les langes que vos sujets vous donnent, ne doivent point être suspectes ni douteuses, ce sont des biens qui vous sont propres dans les péis même étrangers, et l'Amour qu'on vous porte, ayant toujours suivi votre renom, n'est pas tout renfermé dedans les cœurs Français.
Tout le monde répondroit auec moy de cette verité, que pour vous donner quelque choſe digne de vos perfections, il vous faudroit faire l’offre de ces Princes d’Orient, c’eſt à dire des preſens de Dieu, d’homme, & de Roy.	Tout le monde répondrait avec moi de cette vérité, que pour vous donner quelque chose digne de vos perfections, il vous faudrait faire l'offre de ces Princes d'Orient, c'est à dire des présents de Dieu, d'homme, et de Roi.
Mais ſi le Ciel ſe laiſſe regarder dedans le peu d’eſpace d’vn ruiſſeau, ie croy que vôtre Maieſté ne s’ofencera point d’étre veuë en ce liure, & comme le Soleil ſoufre qu’vn petit fer ſans mouuement découure aux yeux des hommes ſes éleuations, & que l’ombre meſme marque les heures, qui ſont filles de la lumiere, auſſi veux-ie eſperer que ces excellentes qualitez qui vous ont fait Reine de France, auouront les loüanges, & les hommages legitimes	Mais si le Ciel se laisse regarder dedans le peu d'espace d'un ruisseau, se croy que votre Majesté ne s'ofensera point d'être vue en ce livre, et comme le Soleil souffre qu'un petit fer sans mouvement découvre aux yeux des hommes ses éleuations, et que l'ombre même marque les heures, qui sont filles de la lumière, aussi veux-je espérer que ces excellentes qualités qui vous ont fait Reine de France, auouront les louanges, et les hommages legitimes
MADAME,	MADAME,
Voſtre tres-humble tres-obeïſſant & tres-fidelle ſujet & ſeruiteur, AVVRAY.	Votre très-humble très-obeïssant et très-fidelle sujet et serviteur, AURAY.
AL O LM DE ABENVE.	AL Ô M DE ABENVE.
*°vfin Dmirable, & chere Princeſſe, Nos ſoins ſe ſont éuanouis:	*°vfin Dmirable, et chère Princesse, Nos soins se sont évanouis:
La ſanté de vôtre Louis A fait mourir nôtre triſteſſe:	La santé de votre Louis A fait mourir notre tristesse:
La ſeule crainte de ſa mort Nous auoit fait perdre le port;	La seule crainte de sa mort Nous avait fait perdre le port;
Mais deſormais que ces tempeſtes Au gré de nôtre afection Ne menaceront plus nos teſtes, Faites nous dans le calme éclore vn Al cion.	Mais désormais que ces tempêtes Au gré de notre afection Ne menaceront plus nos têtes, Faites nous dans le calme éclore un Al ion.
Ce Mars va quiter les alarmes Et ſur les lys de vôtre ſein Perdre pour vn temps le deſſein De penſer à ceux de ſes Armes:	Ce Mars va quit les alarmes Et sur les lys de votre sein Perdre pour un temps le dessein De penser à ceux de ses Armes:
Sa ſanté dont l’heureux retour Luy fait voir la clarté du iour Promet tout à nôtre eſperance;	Sa santé dont l'heureux retour Luy fait voir la clarté du jour Promet tout à notre espérance;
L’Amour le rendra triomphant Et fera connoiſtre à la France Ce quiluy peut venir de la part d’vn enTout l’Eſtat a repris courage Et ſe promet bien qu’à la fin On verra ſortir vn Daufin, Du milieu des flots de l’orage;	L'Amour le rendra triomphant Et fera connaître à la France Qu' ilui peut venir de la part d'Heure enTout l'État a repris courage Et se promet bien qu'à la fin On verra sortir un Daufin, Du milieu des flots de l'orage;
Pluſieurs ſçachant que vôtre foy Vous attachoit pres de mon Roy, Eſperoient de le voir encore Et diſoient en cét accident Que dedans les bras de l’Aurort Le Soleil eſt biẽ loin d’eſtre à ſon Occidẽt.	Plusieurs sachant que votre foi Vous attachait pres de mon Roi, Espéraient de le voir encore Et disaient en cet accident Que dedans les bras de l'Aurort Le Soleil est bieurs loin d'être à son Occident.
Cieux.	Cieux.
Lors qu’on voit au front d’vne nuë L'Jris, cebeau ieu du Soleil, Auec vn éclat nompareil Qui contente & trompe la veuë:	Lors qu'on voit au front d'une nue L'Jris, ebeau jeu du Soleil, Avec un éclat nompareil Qui contente et trompe la vue:
