PRETACE.	PRETACE.
MEET E Sujet m'a paru ſi plaiſant & ſi propre au Theatre, que je n'ay pû m'empeſcher de le traiter.	MET E Sujet m'a paru si plaisant et si propre au Théâtre, que je n'ai pu m'empêcher de le traiter.
Peut-eſtre qu'’il ne paroiſtra pas tel ſur le papier, ce qu’il a de plus Comique conſiſtant plus dans les actions que dans les mots.	Peut-être qu'il ne paraîtra pas tel sur le papier, ce qu'il a de plus Comique consistant plus dans les actions que dans les mots.
Il y a un perpetuel jeu muet dans cette Piece, qui eſtant tire du fonds du ſujet, donne un plaiſir extréme à l’Auditeur;	Il y a un perpétuel jeu muet dans cette Pièce, qui étant tire du fond du sujet, donne un plaisir extrême à l'Auditeur;
& l’on ne dit preſque pas un Vers qui ne faſſe rire dans la Repreſentation, par le chagrin qu’il donne au Vicomte.	et l'on ne dit presque pas un Vers qui ne fasse rire dans la Représentation, par le chagrin qu'il donne au Vicomte.
Le papier ne peut repreſenter ſon inquietude ny ſes poſtures, non plus que le grand beneſt de Fils de Monſieur de Bois-Doüillet, dont on ne trouvera point le Rolle dans l’impreſſion, encor qu'on n'ait guere veu de Perſonnages ſur la Scene qui ayent FilJa.	Le papier ne peut représenter son inquiétude ni ses postures, non plus que le grand benest de Fils de Monsieur de Bois-Doüillet, dont on ne trouvera point le Rolle dans l'impression, encor qu'on n'ait guère vu de Personnages sur la Scène qui aient Fila.
Page 7.	Page 7.
au deſſus du Vers, Muis ma Sœur, s’il, &c il faut mettre;	au dessus du Vers, Muis ma Sœur, s'il, etc il faut mettre;
LE VICOMTE.	LE VICOMTE.
Page 12.	Page 12.
devant le Vers, Que ne le, &c.	devant le Vers, Que ne le, etc.
il faut mettre LUCRECE.	il faut mettre LUCRECE.
Page 39.	Page 39.
Je ſuis morte, j’ay parlé trop haut, liſez, I'ay parlé trop haut, je ſuis morte.	Je suis morte, j'ai parlé trop haut, lisez, J'ai parlé trop haut, je suis morte.
A RCIVILEOE DV ROI.	À RCIVILEOE DU ROI.
OUIS par la grace de Dieu, Roy de LFrance & de Navarre:	OUÏS par la grâce de Dieu, Roi de LFrance et de Navarre:
A nos amez & feaux Conſeillers, les Gens tenans nos Cours de Parlement, Requeſtes de noſtre Hoſtel & de noſtre Palais à Paris, & à tous autres nos Juges & Officiers qu’il appartiendra, Salut.	À nos âmez et féaux Conseillers, les Gens tenants nos Cours de Parlement, Requêtes de notre Hôtel et de notre Palais à Paris, et à tous autres nos Juges et Officiers qu'il appartiendra, Salut.
Noſtre bien amé Thomas Jolly, Marchand Libraire à Paris, Nous a fait remontrer qu’il a recouvert une Piece de Theatre, intitulée LE GENTILHOMME GUESPIN, repreſentée ſur le Theatre du Marais, laquelle il deſireroit imprimer pour la donner au Public, s’il Nous plaiſoit luy accorder nos Lettres de Permiſſion ſur ce neceſſaires.	Notre bien amenu Thomas Jolli, Marchand Libraire à Paris, Nous a fait remontrer qu'il a recouvert une Pièce de Théâtre, intitulée LE GENTILHOMME GUESPIN, représentée sur le Théâtre du Marais, laquelle il désirerait imprimer pour la donner au Public, s'il Nous plaisait mille accorder nos Lettres de Permission sur ce nécessaires.
