PRIVILEGE DU ROY.	PRIVILÈGE DU ROI.
OUIS par la grace de Dieu Roy de France & de Navarre, A L nos amez & feaux Conſeillers, les gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, & du Palais, Baillifs, Seneſchaux, & leurs Prevoſts, & leurs Lieutenans, & tous autres nos Juſticiers & Officiers qu’il appartiendra, Salut.	OUÏS par la grâce de Dieu Roi de France et de Navarre, A Un ez et féaux Conseillers, les gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, et du Palais, Baillifs, Sénéchaux, et leurs Prévôts, et leurs Lieutenants, et tous autres nos Justiciers et Officiers qu'il appartiendra, Salut.
Noſtre bien amé Jean-Baptiſte Lully, Sur-Intendant de la Muſique de noſtre chambre, Nous a fait remontrer que les Airs de Muſique qu’il a cy-devant compoſez, ceux qu’il compoſe journellement par nos ordres, & ceux qu’il ſera obligé de compoſer à l’avenir pour les Pieces qui ſeront repreſentées par l’Academie Royale de Muſique, laquelle nous luy avons permis d’établir en noſtre bonne ville de Paris, & autres lieux de noſtre Royaume où bon luy ſemblera, eſtant purement de ſon invention, & de telle qualité que le moindre changement ou obmiſſion leur fait perdre leur grace naturelle;	Notre bien ambre Jean-Baptiste Lully, Sur-Intendant de la Musique de notre chambre, Nous a fait remontrer que les Airs de Musique qu'il a cydevant composés, ceux qu'il compose journellement par nos ordres, et ceux qu'il sera obligé de composer à l'avenir pour les Pièces qui seront représentées par l'Académie Royale de Musique, laquelle nous lui avons permis d'établir en notre bonne ville de Paris, et autres lieux de notre Royaume où bon lui semblera, étant purement de son invention, et de telle qualité que ' moindre changement ou obmission leur fait perdre leur grace naturelle;
de ſorte que comme ſon eſprit ſeul les produit pour les appliquer aux ſujets qu’il y trouve proportionnez, nul autre ne peut ſi bien que luy rendre leſdits Ouvrages publics dans leur perfection & avec l’exactitude qui leur eſt deuë.	de sorte que comme son esprit seul les produit pour les appliquer aux sujets qu'il y trouve proportionnez, nul autre ne peut si bien que sans rendre lesdits Ouvrages publics dans leur perfection et avec l'exactitude qui leur est due.
Et d’ailleurs il eſt juſte que ſi leur impreſſion doit apporter quelque avantage, il revienne plûtoſt à l’Auteur pour le recompenſer de ſon travail, & de partie des frais qu’il avance pour l’execution des deſſeins qu’il doit faire repreſenter par ladite Academie, qu’à de ſimples copiſtes qui les imprimeroient ſous pretexte de permiſſions generales ou particulieres qu’ils peuvent avoir obtenus par ſurpriſe ou autrement;	Et d'ailleurs il est juste que si leur impression doit apporter quelque avantage, il revienne plutôt à l'Auteur pour le récompenser de son travail, et de partie des frais qu'il avance pour l'exécution des desseins qu'il doit faire représenter par ladite Académie, qu'à de simples copistes qui les imprimeraient sous prétexte de permissions générales ou particulières qu'ils peuvent avoir obtenus par prise ou autrement;
ce qui l’oblige d’avoir recours à nos Lettres ſur ce neceſſaires.	ce qui l'oblige d'avoir recours à nos Lettres sur ce nécessaires.
A CES CAUSES, voulans favorablement traiter l’Expoſant Nous luy avons permis & accordé, permettons & accordons par ces preſentes de faire imprimer par tel Libraire ou Imprimeur, en tel volume, marge, caractere, & autant de fois qu’il voudra avec Planches & figures, tous & chacuns les Airs de Muſique qui ſeront par luy faits;	À CES CAUSES, voulant favorablement traiter l'Exposant Nous était avons permis et accordé, permettons et accordons par ces présentes de faire imprimer par tel Libraire ou Imprimeur, en tel volume, marge, caractère, et autant de fois qu'il voudra avec Planches et figures, tous et chacuns les Airs de Musique qui seront par un faits;
comme auſſi les Vers, Paroles, Sujets, Deſſeins & Ouvrages ſur leſquels leſdits Airs de Muſique auront eſté compoſez ſans en rien excepter, & ce pendant le temps de trente années conſecutives, à commencer du jour que chacun deſdits Ouvrages ſeront achevez d’imprimer, iceux vendre & debiter dans tout noſtre Royaume, par luy ou par autre ainſi que bon luy ſemblera, ſans qu’aucun trouble ny empeſchement quelconque luy puiſſe eſtre apporté, meſme par ceux qui pretendent avoir de nous privilege pour l’impreſſion des Airs de Muſique & Ballets, leſquels pour ce regard en tant que beſoin eſt ou ſeroit, nous avons revoqué & revoquons par ceſdites preſentes, faiſant rres-expreſſes inhibitions & défenſes à tous Libraires, Imprimeurs, Colporteurs, & autres perſonnes de quelque qualité qu’elles ſoient, d’imprimer, faire imprimer, vendre, & diſtribuer leſdites Pieces de Muſique, Vers, Paroles, Deſſeins, Sujets, & generalement tout ce qui a eſté & ſera compoſé par ledit Lully ſous quelque pretexte que ce ſoit, meſme d’impreſſion étrangere & autrement ſans ſon conſentement ou de ſes ayans cauſe, ſur peine de confiſcation des Exemplaires contrefaits, dix mil livres d’amende tant contre ceux qui les auront imprimez & vendus, que contre çeux qui s’en trouveront ſaiſis, & de tous dépens, dommages & intereſts à la charge d’en mettre deux Exemplaires en noſtre Bibliotheque publique, un en noſtre cabinet des Livres de noſtre Chaſteau du Louvre, & un en celle de noſtre tres-cher & feal Chevalier garde des Sceaux de France le ſieur d’Aligre, à peine de nullité des preſentes, du contenu deſquelles vous mandons & enjoignons faire joüir l’Expoſant & ſes ayans cauſe pleinement & paiſiblement, cefſant & faiſant ceſſer tous troubles & empêchemens au contraire;	comme aussi les Vers, Paroles, Sujets, Desseins et Ouvrages sur lesquels lesdits Airs de Musique auront esté composez sans en rien excepter, et ce pendant le temps de trente années consécutives, commencer du jour que chacun desdits Ouvrages seront achevez imprimer, iceux vendre et débiter dans tout nôtre Royaume, par lui ou par autre ainsi que bon lui semblera, sans aucun trouble ni empêchement quelconque lui puisse être apporté, même par ceux qui prétendent avoir de nous privilège pour impression des Airs de Musique et Ballets, lesquels pour ce regard en tant que besoin est ou seroit, nous avons revoqué et révoquons par cesdites presentes, faisant rres-expresses inhibitions et défenses tous Libraires, Imprimeurs, Colporteurs, et autres personnes de quelque qualité elles soient, imprimer, faire imprimer, vendre, et comme lesdites y le Musique, Vers, Parque, Desseins, Sujets, et Déesse au ce qui a et et sera gez sur le Lully sous quels le que ce soit, même Avimpressionue et auront en son consentementou de ses sans cause, sur en de ri en Exemplaires ter, dix et ce pend tant le te qui de trent imprimez et années, que contre cv qui en trouveront saisis, et à tous dépens, mme et intérêts la ce en mettre du Exemplaires en jour Que publique, un en nôtre cabinet des Livres de nôtre Chasteau Ou Louvre, et agez se de nôtre ache et féal Chevalier garde des ' deFrance le sieur Aligre, peine de j' des presentes, et débiter dans tout mandonsre enjoignons par joüir Exposant et ses ainsi que bon et semblera, san et faisant qu' aucun trouble et empêchemens au contraire;
Voulons qu’en mettant au commencement ou à la fin deſdits Livres l’extrait des preſentes elles foient tenuës deuëment ſignifiées, & qu’aux copies collationnées par l’un de nos amez & feaux Secretaires, foy ſoit ajoûtée comme à l’original.	Voulons qu'en mettant au commencement ou à la fin dédits Livres l'extrait des présentes elles soient tenues deuëment signifiées, et qu'aux copies collationnées par l'un de nos âmez et féaux Secrétaires, foi soit ajoutée comme à l'original.
Mandons au premier noſtre Huiſſier ou Sergent faire pour l'execution des preſentes toutes ſignifications, défenſes, ſaiſies & autres actes requis & neceſſaires, ſans pour ce demander autre permiſſion, nonobſtant oppoſitions ou appellations quelconques, dont ſi aucunes interviennent, Nous nous en reſervons & à noſtre Conſeil la connoiſſance, & icelle interdiſons & défendons à tous autres Juges.	Mandons au premier notre Huissier ou Sergent faire pour l'exécution des présentes toutes significations, défenses, saisies et autres actes requis et nécessaires, sans pour ce demander autre permission, nonobstant oppositions ou appellations quelconques, dont si aucunes interviennent, Nous nous en réservons et à notre Conseil la connaissance, et icelle interdisons et défendons à tous autres Juges.
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Donné à Verſailles le vingtiéme jour de Septembre l’an de grace mil ſix cens ſoixante-douze, & de noſtre regne le trentiéme.	Donné à Versailles le vingtiême jour de Septembre l'an de grâce mil six cents soixante-douze, et de notre règne le trentième.
Signé, LOUIS;	Signé, LOUIS;
Et plus bas, Par le Roy, COLBERT.	Et plus bas, Par le Roi, COLBERT.
Et ſcellé du grand Sceau de cire jaune.	Et scelé du grand Sceau de cire jaune.
Regiſtré ſur le Livre de la Communauté des Libraires & Imprimeurs de Paris, le 19.	Registré sur le Livre de la Communauté des Libraires et Imprimeurs de Paris, le 19.
Octobre 1672.	Octobre 1672.
ſuivant l'Arreſt du Parlement du 8.	suivant l'Arrêt du Parlement du 8.
Avril 1653.	Avril 1653.
& celuy du Conſeil Privé du Roy, du 27.	et celui du Conseil Privé du Roi, du 27.
Fevrier 1665.	Février 1665.
Signé, D.	Signé, D.
THIERRY, Syndic.	THIERRY, Syndic.
Achevé d’imprimer pour la premiere fois le 10.	Achevé d'imprimer pour la première fois le 10.
Novembre 1672.	Novembre 1672.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
AVANT-PROPOS.	AVANT-PROPOS.
L'ne ſuffit pas au ROY de porter ſi loin ſes Armes, & ſes Conqueſtes, il ne peut ſouffrir qu’il y ait aucun avantage qui manque à la gloire & à la felicité de Son Regne, & dans le meſme temps qu’il renverſe les Eſtats de ſes Ennemis, & qu’il eſtonne toute la Terre, il n’oublie rien de ce qui peut rendre la France le plus floriſſant Empire qui fut jamais.	L'une suffit pas au ROY de porter si loin ses Armes, et ses Conquêtes, il ne peut souffrir qu'il y ait aucun avantage qui manque à la gloire et à la félicité de Son Reine, et dans le même temps qu'il renverse les États de ses Ennemis, et qu'il étonne toute la Terre, il n'oublie rien de ce qui peut rendre la France le plus florissant Empire qui fut jamais.
Le grand Art de la Chenre qu'il exerce avec une Ardeur Heroïque, & où il fait des Progrés ſi ſurprenants, n'eſt point capable de remplir la vaſte étenduë de Son Application infatigable;	Le grand Art de la Chenre qu'il exerce avec une Ardeur Héroïque, et où il fait des Progrès si surprenants, n'est point capable de remplir la vaste étendue de Son Application infatigable;
Il trouve encore des ſoins à reſerver pour les plus beaux Arts, & il n’y en a point qui ſoit digne de quelque eſtime qu’il ne favoriſe avec une particuliere bonté.	Il trouve encore des soins à réserver pour les plus beaux Arts, et il n'y en a point qui soit digne de quelque estime qu'il ne favorise avec une particulière bonté.
C’est ce que cette Academie Royale de Muſique a le bon-heur d’éprouver dans ſon établiſſement.	C'est ce que cette Académie Royale de Musique a le bonheur d'éprouver dans son établissement.
Voicy un Eſſay qu'Elle s’eſt haſtée de preparer pour l’offrir à l’impatience du Public.	Voici un Essai qu'Elle s'est hâtée de préparer pour l'offrir à l'impatience du Public.
Elle a raſſemblé ce qu’il y avoit de plus àgreable dans les Divertiſſements de Chambord, de Verſailles, & de ſaint Germain;	Elle a rassemblé ce qu'il y avait de plus agréable dans les Divertissements de Chambord, de Versailles, et de saint Germain;
& Elle a crû devoir s’aſſurer que ce qui a pû divertir un MONARQUE infiniment éclairé, ne ſçauroit manquer de plaire à tout le Monde.	et Elle a cru devoir s'assurer que ce qui a pu divertir un MONARQUE infiniment éclairé, ne saurait manquer de plaire à tout le Monde.
On a eſſayé de lier ces Fragmens choiſis, par pluſieurs Scenes nouvelles, on y a joint des Entrées de Balet, on y a meſlé des Machines volantes, & des Decorations ſuperbes, & de toutes ces parties differentes on a formé une Paſtorale en trois Actes, précedée d’un grand Prologue.	On a essayé de lier ces Fragments choisis, par plusieurs Scères nouvelles, on y a joint des Entrées de Balet, on y a mêlé des Machines volantes, et des Décorations superbes, et de toutes ces parties différentes on a formé une Pastorale en trois Actes, précédée d'un grand Prologue.
Ce premier Spectacle ſera bien-toſt ſuivy d’un Autre plus magnifique, dont la perfection a beſoin encore d’un peu de temps;	Ce premier Spectacle sera bientôt dis d'un Autre plus magnifique, dont la perfection a besoin encore d'un peu de temps;
Cette Academie y travaille ſans relaſche, & Elle eſt reſoluë de ne rien épargner pour répondre le plus dignement qu’il luy ſera poſſible à la Glorieuſe Protection dont Elle eſt honorée.	Cette Académie y travaille sans relâche, et Elle est résolue de ne rien épargner pour répondre le plus dignement qu'il lui sera possible à la Glorieuse Protection dont Elle est honorée.
Te ACTEURS qui chantent dans le Prologue.	Te ACTEURS qui chantent dans le Prologue.
Eux Hommes du bel air.	Eux Hommes du bel air.
9Deux Femmes du bel air.	9Deux Femmes du bel air.
y A Gemudemnt Onjton	y A Gemudemnt Onjton
Le Baron d’Asbarat.	Le Baron d'Asbarat.
Vn vieux Bourgeois babillard.	Un vieux Bourgeois babillard.
Vne vieille Bourgeoiſe babillarde.	Une vieille Bourgeoise babillarde.
La Fille du Bourgeois & de la Bourgeoiſe.	La Fille du Bourgeois et de la Bourgeoise.
TROVPES de gens de differentes Provinces & de toute ſorte de conditions.	TROUPES de gens de différentes Provinces et de toute sorte de conditions.
POLYMNIE.	POLYMNIE.
MELPOMENE.	MELPOMENE.
C Muſes.	Ç Muses.
EUTERPE.	EUTERPE.
PERSONNAGES dançans dans le Prologue.	PERSONNAGES dançans dans le Prologue.
Vn donneur de Livres.	Un donneur de Livres.
Quatre Importuns.	Quatre Importuns.
Quatre Heros.	Quatre Héros.
Quatre Paſtres.	Quatre Pastres.
Quatre Ouvriers.	Quatre Ouvriers.
*FΝPMλVτωωSB**θδθ****π******* ACTEURS qui chantent dans la Paſtorale.	*FΝPMλVτωωSB**θδθ****π******* ACTEURS qui chantent dans la Pastorale.
IRCIS.	JRCIS.
LICASTE.	LICASTE.
MENANDRE.	MENANDRE.
CALISTE.	CALISTE.
CLIMENE.	CLIMENE.
RESTAN.	RESTAN.
SILVANDRE.	SILVANDRE.
Berger amoureux de Caliſte.	Berger amoureux de Caliste.
Bergers amis de Tircis.	Bergers amis de Tircis.
Bergere aimée de Tircis.	Bergère aimée de Tircis.
Bergere aimée de Damon.	Bergère aimée de Damon.
Satires, àmans de Caliſe.	Satires, àmans de Calise.
DAMON.	DAMON.
CLORIS.	CLORIS.
AMINTÉ.	AMINT.
Quatre Faunes.	Quatre Faunes.
Quatre Driades.	Quatre Driades.
Deux Magiciens,	Deux Magiciens,
Quatre Bergers.	Quatre Bergers.
Quatre Bergeres,	Quatre Bergères,
Quatre Satires.	Quatre Satires.
PERSCITIVHUES des Machines.	PERSCITIUHUES des Machines.
SEPT DEMONS volants.	SEPT DÉMONS volants.
DEUX SIRENES.	DEUX SIRÈNES.
UNE SORCIERE volante.	UNE SORCIÈRE volante.
UN LUTIN volant.	UN LUTIN volant.
La Scene de la Paſtorale eſt en Arcadie.	La Scène de la Pastorale est en Arcadie.
PROLOGUE.	PROLOGUE.
D M UR DE LA PAIX.	D M UR DE LA PAIX.
T	T
32 Le M N plein repos favoriſe vos vœux, Peuples, chantez la Paix qui vous rend tous heureux.	32 Le M N plein repos favorise vos vœux, Peuples, chantez la Paix qui vous rend tous heureux.
Un plein repos favoriſe nos vœux, Chantons, chantons la Paix qui nous rend tous heureux.	Un plein repos favorise nos vœux, Chantons, chantons la Paix qui nous rend tous heureux.
Charmante Paix, delices de la Terre, Fille du Ciel, & Mere des Plaiſirs, Tu reviens combler nos deſirs, Tu bannis la terreur & les triſtes ſoûpirs, Malheureux enfans de la Guerre.	Charmante Paix, délices de la Terre, Fille du Ciel, et Mère des Plaisirs, Tu reviens combler nos désirs, Tu annis la terreur et les tristes soupirs, Malheureux enfants de la Guerre.
Un plein repos favoriſe nos veux, Chantons.	Un plein repos favorise nos veux, Chantons.
chantons la Paix qui nous rend tous heureux.	chantons la Paix qui nous rend tous heureux.
Un plein repos favoriſe nos vœux, Chantons, chantons la Paix, qui nous rend tous heureux.	Un plein repos favorise nos vœux, Chantons, chantons la Paix, qui nous rend tous heureux.
Quel Dieu ſenſible aux vœux de l'Univers A replongé la Diſcorde aux Enfers.	Quel Dieu sensible aux vœux de l'Univers A replongé la Discorde aux Enfers.
Un HEROS des Mortels l’amour & le plaiſir, Un ROY Victorieux vous a fait ce loiſir.	Un HÉROS des Mortels l'amour et le plaisir, Un ROY Victorieux vous a fait ce loisir.
Ils ont veu ce* Roc ſourcilleux, De leur orgueil l’eſperance derniere, De nos champs fortunez, devenir la barriere.	Ils ont vu ce* Roc sourcilleux, De leur orgueil l'espérance dernière, De nos champs fortunés, devenir la barrière.
Un HEROS des Mortels l'amour & le plaiſir, Un ROY Victorieux nous a fait ce loiſir.	Un HÉROS des Mortels l'amour et le plaisir, Un ROY Victorieux nous a fait ce loisir.
Son brat eſt craint du couchant à l'Aurore, La foudre quand il veut tombe aux Climats geleZ, Et ſur les bords par le Soleil brûlez;	Son brat est craint du couchant à l'Aurore, La foudre quand il veut tombe aux Climats geleZ, Et sur les bords par le Soleil brûlés;
De ſon couroux vengeur ſur le rivage More La terre fume encore.	De son courroux vengeur sur le rivage More La terre fume encore.
Malheureux les Ennemis De ce Prince redoutable!	Malheureux les Ennemis De ce Prince redoutable!
Heureux les Peuples ſoûmis A ſon Empire équitable!	Heureux les Peuples soumis À son Empire équitable!
Chantons, Bergers, & nous rêjoüiſſons, Qu'il ſoit le ſujet de nos feſtes, Le calme dont nous joüiſſons, N'eſt plus ſujet aux tempeſtes.	Chantons, Bergers, et nous réjouissons, Qu'il soit le sujet de nos fêtes, Le calme dont nous jouissons, N'est plus sujet aux tempêtes.
Chantons, Bergers, & nous réjoüiſſons, Qu'il ſoit le ſujet de nos feſtes, Le bonheur dont nout joüiſſons Le flatte autant que toutes ſas Conqueſtæs.	Chantons, Bergers, et nous réjouissons, Qu'il soit le sujet de nos fêtes, Le bonheur dont nout jouissons Le flatte autant que toutes sas Conquêtæs.
De ces lieux l'éclat & les attraits, Ces fleurs odorantes, Ces eaux bondiſſantes, Ces ombrages frais, Sont des dons de ſes mains bienfaiſantes:	De ces lieux l'éclat et les attraits, Ces fleurs odorantes, Ces eaux bondissantes, Ces ombrages fais, Sont des dons de ses mains bienfaisantes:
mπ.	m.
ιδιι.	§.
De ces lieux l’éclat & les attraits, Sont des fruits de ſes bienfaits.	De ces lieux l'éclat et les attraits, Sont des fruits de ses bienfaits.
Ci Il veut bien quelquefois viſiter nos boccages, Nos fardins ne luy déplaiſent pas:	Ci Il veut bien quelquefois visiter nos bocages, Nos fardins ne le déplaisent pas:
Arbres épais, redoublez, vos ombrages, Fleurs, naiſſez ſous ſes pas.	Arbres épais, redoublés, vos ombrages, Fleurs, naissez sous ses pas.
O Ciel !	Ô Ciel !
ô ſaintes deſtinées, Qui prenez ſoin de ſes jours fleuriſſans, Retranchez de nos ans Pour ajoûter à ſes années.	ô saintes destinées, Qui prenez soin de ses jours fleurissants, Retranchez de nos ans Pour ajouter à ses années.
Qu'il regne, ce HEROS, qu’il triomphe toûjours, Qu’avec luy ſoit toûjours la Paix & la Victoire, Que le cours de ſes ans dure autant que le cours De la Seine & de la Loire, Qu'il regne, ce HEROS, qu’il triomphe toûjours, Qu’il vive autant que ſa Gloire.	Qu'il règne, ce HÉROS, qu'il triomphe toujours, Qu'avec quelque soit toujours la Paix et la Victoire, Que le cours de ses ans dure autant que le cours De la Seine et de la Loire, Qu'il règne, ce HÉROS, qu'il triomphe toujours, Qu'il vive autant que sa Gloire.
PREMIERE ENTRE’E.	PREMIÈRE ENTRE'E.
A Muſe Polymnie qui preſide aux Arts Tdépendants de la Geometrie, & qui a trouvé l’invention d’introduire ſur le Theatre des Perſonnages qui expriment par les actions & par les dances ce que les autres Macbine de expliquent par les paroles, s’avance environnée d’un nuage qui paroiſt d’abord fermé, & qui s’ouvrant peu à peu découvre la Muſe au milieu de pluſieurs ornemens de peinture & d’architecture.	À Muse Polymnie qui préside aux Arts Tdépendants de la Géometrie, et qui a trouvé l'invention d'introduire sur le Théâtre des Personnages qui expriment par les actions et par les dances ce que les autres Macbine de expliquent par les paroles, s'avance environnée d'un nuage qui paraît d'abord fermé, et qui s'ouvrant peu à peu découvre la Muse au milieu de plusieurs ornements de peinture et d'architecture.
Elle excite ceux qui ont commencé de chanter, à rechercher avec ſoin tout ce qu’on peut trouver de plus noble & de plus delicat dans le Chant pour publier la Gloire du plus grand Roy du Monde.	Elle excite ceux qui ont commencé de chanter, à rechercher avec soin tout ce qu'on peut trouver de plus noble et de plus délicat dans le Chant pour publier la Gloire du plus grand Roi du Monde.
POLYMNIE;	POLYMNIE;
ESlevez voς Concert, Au deſſus du chant ordinaire;	ÉLevez vœux Concert, Au dessus du chant ordinaire;
Songez, que vous avez à plaire Au plus grand ROY de l'Univers.	Songez, que vous avez à plaire Au plus grand ROY de l'Univers.
