LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
TRAGEDIE.	TRAGÉDIE.
DEDIEE A MONSEIGNEVR le Duc d’Eſpernon.	DÉDIE A MONSEIGNEUR le Duc d'Espernon.
A PARIS, Chez TOVSSAINT QVINET, au Palais ſous la montée de la Cour des Aydes.	À PARIS, Chez TOUSSAINT QUINET, au Palais sous la montée de la Cour des Aides.
M.	M.
DC.	DC.
XLVII.	XLVII.
A HAVT ET PVISSANT PRINCE BERNARI DE FOIX DE LA VALLETTE, DVC D’ESPERNON, DE LA Vallette, & de Candale;	À HAUT ET PUISSANT PRINCE BERNARI DE FOIX DE LA LLETTE, DUC D'ÉPERNON, DE LA Vallette, et de Candale;
Pair & Colonnel General de France, Cheualier des Ordres du Roy, & de la Iarretiere, Prince & Captal du Buch, Comte de Foix, d’Aſtarac, &c.	Pair et Colonel Général de France, Chevalier des Ordres du Roi, et de la Iarretiere, Prince et Captal du Bûch, Comte de Foix, d'Astarac, etc.
Sire de iEipurre,cce.	Sire de jEipurre,cce.
Gouuerneur & Lieutenant General pour le Roy en Guyenne.	Gouverneur et Lieutenant Général pour le Roi en Guyenne.
ONSEIGNEVR,	ONSEIGNEUR,
Quand par vne douce force vous n’auriez pas gagné tous	Quand par une douce force vous n'auriez pas gagné tous
ATIOIR L.	ATIOIR L.
mes vœux en vn moment, dan l’accueil fauorable auec lequel VOSTRE GRANDEVR a daigné receuoir les offres de mes tres-humbles ſeruices;	mes vœux en un moment, dan l'accueil favorable avec lequel VÔTRE GRANDEUR a daigné recevoir les offres de mes très-humbles services;
Quand voſtre Bonté n’auroit pas auecque ioye accepté le don que ie luy ay fait auec crainte & reſpect, de cette Piece de Theatre, pour la faire paſſer heureuſement de vos mains liberales en la bouche de ces Comediens deſtinez ſeulement aux plaiſirs de V.	Quand votre Bonté n'aurait pas auecque ioye accepté le don que ie mme est fait avec crainte et respect, de cette Pièce de Théâtre, pour la faire passer heureusement de vos mains libérales en la bouche de ces Comédients destinez seulement aux plaisirs de V.
G;	G;
& dont la Troüpe que vous auez enrichie par des preſens magnifiques autant que par d’illuſtres Acteurs, ſe va rendre ſous vos faueurs & ſous l’appuy de voſtre Nom, ſi pompeuſe & celebre qu’on ne la pourra iuger indigne d’estre à Vous.	et dont la Troupe que vous avez enrichie par des présents magnifiques autant que par d'illustres Acteurs, se va rendre sous vos faveurs et sous l'appui de votre Nom, si pompeuse et célèbre qu'on ne la pourra juger indigne d'être à Vous.
Quand dy-je, MONSEIGNEVR, mes ututauitenduuuvient pas tourné ver;	Quand dis-je, MONSEIGNEUR, mes ututauitenduuuvient pas tourné ver;
V.	V.
G.	G.
quand mes interests propres ne m’auroient pas iustement porté à chercher l’honneur de voſtre prote&ion, en	quand mes intérêts propres ne m'auraient pas justement porté à chercher l'honneur de votre proteetion, en
LTIORNEV vous dediant cét Ouurage:	LTIORNEU vous dédiant cet Ouvrage:
