A PARIS, Chez GABRIEI.	À PARIS, Chez GABRIEI.
QVINET, au Palais, à l’entrée de la Galerie des Priſonniers, à l’Ange Gabriel.	QUINET, au Palais, à l'entrée de la Galerie des Prisonniers, à l'Ange Gabriel.
LETTRE SATIRIQVE R LE TARTVFFE, Ecrite à l’Autheur de la Critique.	LETTRE SATIRIQUE R LE -TARTUFE, Écrite à l'Auteur de la Critique.
15 9 AI ſçeu, cher Dorilas, la galante maniere E Dont tu veux critiquer, & Tartuffe, Moliere;	15 9 AI su, cher Dorilas, la galante manière Dont tu veux critiquer, et Tartuffe, Molière;
MIE ſans t’importuner, d’inutiles propos, I’en vais rimer außi la Critique en deux mots.	MIE sans t'importuner, d'inutiles propos, J'en vais rimer aussi la Critique en deux mots.
Dés le commencement, vne Vieille Higotre, Querelle les Acteurs, & ſans ceſſe radotte, Crie, & n’écoute rien, ſe tourmente ſans fruit;	Dès le commencement, une Vieille Higotre, Querelle les Acteurs, et sans cesse radotte, Crie, et n'écoute rien, se tourmente sans fruit;
En ſuite vne Seruante y fait autant de bruit, A ſon maudit caquet donne libre carriere, Reprimende ſon Maiſtre, & luy rompt en viſiere, L’étourdit, l’interrompt, parle ſaus ſe laſſer;	En suite une Servante y fait autant de bruit, À son maudit caquet donne libre carrière, Reprimende son Maître, et lui rompt en visière, L'étourdit, l'interrompt, parle sas se lasser;
Vn bon coup ſuffiroit, pour la faire ceſſer, Mais on s’apperçoit bien, que ſon Maiſtre par feinte, Attend pour la frapper, qu’elle ſoit hors d’atteinte.	Un bon coup suffirait, pour la faire cesser, Mais on s'aperçoit bien, que son Maître par feinte, Attend pour la frapper, qu'elle soit hors d'atteinte.
Sur tout, peut-on ſouffrir l’Homme aux realitez, Qui pour ſe faire aimer, dit cent impietez, Débaucher vne Femme, & coucher auec elle?	Sur tout, peut-on souffrir l'Homme aux réalités, Qui pour se faire aimer, dit cent impiétés, Débaucher une Femme, et coucher avec elle?
Chez ce Galant Bigot, c’eſt vne bagatelle;	Chez ce Galant Bigot, c'est une bagatelle;
A l’entendre, le Ciel permet tons les plaiſirs, Il en ſpait diſpoſer au gre de ſes deſirs, Et quoy qu’il puiſſe faire, il ſe le rend traitable.	À l'entendre, le Ciel permet tons les plaisirs, Il en spait disposer au gré de ses désirs, Et quoi qu’il puisse faire, il se le rend traitable.
Pendant ces beaux diſcours, Orgon ſous vne Table Incredule toûjours, pour eſtre conuaincu, Semble attendre en repos, qu’on le faſſe Cocu:	Pendant ces beaux discours, Orgon sous une Table Incredule toujours, pour être convaincu, Semble attendre en repos, qu'on le fasse Cocu:
Il ſe détrompe enfin, & comprend ſa d ſerace.	Il se détrompe enfin, et comprend sa d érace.
Deteſte le Tartuffe, & pour iamais le chaſſeApres que l’Impoſleur a fait voir ſon ceuroux Apres qu’on a jure de le rouer de coups, Et d’autres incidens de cette meſme eſpece, Le cinquiéme Aête viont, il faut finir lu Piece, Moliere la finit, & nous fait auoüer, Qu’ilen tranche le nœu, qu’iln’a ſçeu dénoüer.	Dettes le Tartuffe, et pour jamais le chasseAprès que l'Imposleur a fait voir son curoux Après qu'on a jure de le rouer de coups, Et d'autres incidents de cette même espèce, Le cinquième Aête viont, il faut finir lu Pièce, Molière la finit, et nous fait auoüer, Qu'en tranche le nœu, qu'il avait su dénoüer.
Moliere plaiſt aſſez, ſon genie eſt folaitre, Ila quelque talent pour le jeu du Theatre, Et pour en bien parler, c’eſt vn Bouſſon ploiſant, Qui diuertit le monde, en le contrefaiſant;	Molière plaît assez, son génie est folaitre, Ila quelque talent pour le jeu du Théâtre, Et pour en bien parler, c'est un Bousson plaisant, Qui divertit le monde, en le contrefaisant;
Ces grimaces ſouuent cauſent quelques ſurpriſes, Toutes ces Pieces ſont d’agreables ſottiſes, Il eſt mauuais Poëte, & bon Comedien, Il fait rire, & de vray, c’eſt tout ce qu’il fait bien.	Ces grimaces souvent causent quelques surprises, Toutes ces Pièces sont d'agréables sottises, Il est mauvais Poète, et bon Comédien, Il fait rire, et de vrai, c'est tout ce qu'il fait bien.
Moliere a ſon bonheur doit tous ces auantages, C’eſt ſon bonheur qui ſait le prix de ſes Ouurages;	Molière à son bonheur doit tous ces avantages, C'est son bonheur qui sait le prix de ses Ouvrages;
Ie ſçay que le Tartuffe a paßé ſon eſpoir, Ne romn enris en foule a couru pour le voir;	Je sais que le Tartuffe a passé son espoir, Ne romn enris en foule a couru pour le voir;
