LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
HISTOIRE VERITABLE & arriuée de ce temps I pendant le Siege de Thurin.	HISTOIRE VÉRITABLE et arrivée de ce temps I pendant le Siège de Theurin.
ADVERTISSEMEN au dttlent?	ADVERTISSEMEN au dttlent?
4	4
J Ecteur quoy que le * tiltre de cette Tragin comedie ſemble tenir quelque choſe du Romant, apprens toutesfois que ie te donne vne Hiſtoire ſi veritable & ſi recente, que i’ay eſté contraint de changer les noms de la Scene & des Acteurs, pour eſpargner la modeſtie des vns & la honte des autres;	 Jeteur quoi que le * titre de cette Tragin comédie semble tenir quelque chose du Romant, apprends toutefois que sans te donne une Histoire si véritable et si récente, que j'ai été contraint de changer les noms de la Scène et des Acteurs, pour épargner la modestie des uns et la honte des autres;
Toutesfois pour ne te point laiſſer ſans lumiere dans los mongueoque tu y verras repreſentez;	Toutefois pour ne te point laisser sans lumière dans los mongueoque tu y verras représentez;
tu ſçauras que Monſieur le Mareſchal de la Force, allant au deuant du Duc de Feria la plus belle Nobleſſe de France qui l’accompagnoit, ſejourna quelque temps à Remiremont en Lorraine, où cette Hiſtoire ſe paſſa, & quelques temps apres ſes Caualiers qui en auoient formé les Incidens paſlerent en Italie pour reparer aupres de Mars le temps qu’ils auoient perdu prés de l’Amour.	tu sauras que Monsieur le Maréchal de la Force, allant au devant du Duc de Féria la plus belle Noblesse de France qui l'accompagnait, séjourna quelque temps à Remiremont en Lorraine, où cette Histoire se passa, et quelques temps après ses Cavaliers qui en avaient formé les Incidents paslèrent en Italie pour réparer auprès de Mars le temps qu'ils avaient perdu près de l'Amour.
A MONSIEVR MONSIEVR D’IMBERT, Conſeilleir & Secretaire du de France, & Commiflaire general des armes d’Italie, &C.	À MONSIEUR MONSIEUR D'IMBERT, Conseilleir et Secrétaire du de France, et Commiflaire général des armes d'Italie, ETC.
ONSIVER, Uoicy trois Caualiers Francois a qui n’agueres vois aueZ donné eſcorte pour paſſer en Italie qui vous Ie viennent demander de nouueau pour aller Par tout le monde, quelque generoſité qui Pit attachée à tous ceux de leur naiſſance & de leur nation.	ONSIVER, Uoici trois Cavaliers Francais à qui n'aguère vois avez donné escorte pour passer en Italie qui vous Je viennent demander de nouveau pour aller Par tout le monde, quelque générosité qui Pit attachée à tous ceux de leur naissance et de leur nation.
Ils ont beſoin de	Ils ont besoin de
ETTOIRL.	ETTOIRL.
voſtre faueur, dont l’authorité ſera capa.	votre faveur, dont l'autorité sera capa.
ble d’impoſer ſilence à leurs ennemis, & de proteger contre la malice des médiſans Ces deux belles GALANTES qui ont eſté cy-deuant les plus chers objets de leurs inclinations;	blé d'imposer silence à leurs ennemis, et de protéger contre la malice des médisans Ces deux belles GALANTES qui ont été cy-deuant les plus chers objets de leurs inclinations;
mais qui ſont encore irreſoluës du choix qu’elles doiuent faire ne trouuent pas moins de qualité à craindre à ces trois Amans que de perfections à deſirer.	mais qui sont encore irresoluës du choix qu'elles doivent faire ne trouvent pas moins de qualité à craindre à ces trois Amants que de perfections à désirer.
Vous pouuez ayſement MONSIEVR, les tirer de cette incertitude, ſi vous daignez leur témoigner autant de bien-veillance qu’elles vous feront paroiſtre de diſpoſition & de Zele à vous aymer, car rencontrant en vous ſeul tout le merite qu’elle n’ont trouué que ſeparement aux autres;	Vous pouvez aisément MONSIEUR, les tirer de cette incertitude, si vous daignez leur témoigner autant de bienveillance qu'elles vous feront paraître de disposition et de Zèle à vous aimer, car rencontrant en vous seul tout le mérite qu'elle n'ont trouvé que séparément aux autres;
L’vne quittera volontiers le cloiſtre pour auoir l’honneur de vous entretenir, & l’autre ne ſe conſeruera la vie que pour prendre part à ce bon-heur apres lequel ſa mort luy ſemblera douce ſi vous l’honnorez ſeulement d’vn ſouſpir, ou de quelque ſentiment de compaſſion & de pitié.	L'une quittera volontiers le cloître pour avoir l'honneur de vous entretenir, et l'autre ne se conservera la vie que pour prendre part à ce bonheur après lequel sa mort lui semblera douce si vous l'honorez seulement d'un soupir, ou de quelque sentiment de compassion et de pitié.
Bien qu’elles ayent le tiltre de GALANTES, ne les croyeZ pas vagabondes, vne paſſion déreglée ne les a pas tiré de leur pays, & ie ne ſuis pas aſſez effronté pour employer la vertu à la protection des crimes;	Bien qu'elles aient le titre de GALANTES, ne les croyeZ pas vagabondes, une passion déréglée ne les a pas tiré de leur pays, et ainsi ne suis pas assez effronté pour employer la vertu à la protection des crimes;
Elles ſont UERTUEUSES, (MONSIEVR) & par cette qualité elles ſe promettent beaucoup de cette courtoiſie qui vous eſt ſi naturelle, vous estes trop genereux pour ne les pas receuoir fauorablement bien qu'elles vous ſoient preſentées par la perſonne du monde qui merite le moins, mais qui deſire plus paſſionnement d’estre toute ſa vie.	Elles sont UERTUEUSES, (MONSIEUR) et par cette qualité elles se promettent beaucoup de cette courtoisie qui vous est si naturelle, vous êtes trop généreux pour ne les pas recevoir favorablement bien qu'elles vous soient presentées par la personne du monde qui mérite le moins, mais qui désire plus passionnément d'être toute sa vie.
MONSIEVR,	MONSIEUR,
LES ACLEVRO.	LES ACLEURO.
CLARIGENE, Gentil-homme François, Amoureux de Dorante & de Liliane.	CLARIGENE, Gentilhomme Français, Amoureux de Dorante et de Liliane.
ARIOMANT, Son Riual, bien fait, mais peu accommodé de biens.	ARIOMANT, Son Rival, bien fait, mais peu accommodé de biens.
TYRINTHE, Leur concurrent riche, mais ſtupide.	TYRINTHÉ, Leur concurrent riche, mais stupide.
DORANTE, & LILIANE, Les Galantes.	DORANTE, et LILIANE, Les Galantes.
NERINE, Confidente de Dorante.	NERINE, Confidente de Dorante.
ARBANE, Pere de Dorante.	ARBANE, Père de Dorante.
PHILISTE, & CLEORESTE, Parens de Dorante.	PHILISTE, et CLEORESTE, Parents de Dorante.
La Scene eſt à Florence,	La Scène est à Florence,
LES GALANTES VERTVEVSES.	LES GALANTES VERTUEUSES.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
NERINE, TYRINTHE, Mais Dorante aujourd’huy triomphe des plus braues, Et ſon bel œil attire aux pieds de ſes autels, Ausant d’adorateurs que l’on void de mortels.	NERINE, TYRINTHÉE, Mais Dorante aujourd'hui triomphe des plus braves, Et son bel œil attire aux pieds de ses autels, Ausant d'adorateurs que l'on voit de mortels.
TYRINTHE.	TYRINTHÉ.
Nerine, il eſt certain que Dorante eſt aymable, Que mille qualitez la rendent adoroble, Mais tu dois maintenant aduouer à tontour;	Nerine, il est certain que Dorante est aimable, Que mille qualités la rendent adoroble, Mais tu dois maintenant avouer à tontour;
Pour auoir tãt d’appas qu’elle a biẽ peu d’amour.	Pour avoir toujours d'appas qu'elle a bien peu d'amour.
NERINE.	NERINE.
D’Amour, ah!	D'Amour, ah!
rejettez certe iniuſte créance, Que vous auez conceuë auec peu d’apparence, Et pour vous détromper accordez moy ce point;	rejettez certte injuste créance, Que vous avez conçue avec peu d'apparence, Et pour vous détromper accordez moi ce point;
Qu on ne donne iamais vn threſor qu’on n’a point:	Qu on ne donne jamais un trésor qu'on n'a point:
Ces aſtres dont les feux paſſent iuſques aux ames, Sont reciproquement ſuſceptibles de flames Et leur eſclat ſeroit ſans force & ſans pouuoir, Si celuy de l’Amour ne les faiſoit mouuoir, Luy ſeul les fait agir, leur ſert d’intelligence, Dans ces globes d’Azur il fait ſa reſidence;	Ces astres dont les feux passent jusques aux âmes, Sont réciproquement susceptibles de flammes Et leur éclat serait sans force et sans pendant, Si celui de l'Amour ne les faisait mouvoir, Lui seul les fait agir, leur sert d'intelligence, Dans ces globes d'Azur il fait sa résidence;
Et comme ilveut par tout ſe rendre le vainqueur:	Et comme ilvut par tout se rendre le vainqueur:
