LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
ET CARICLEE, seeunites au once uc tIliſtout a IRetiouure en huict poëmes dragmariques, on Iueatres conjechiſ-.	ET CARICLE, seeunites au once ÎListout a IRetiouure en huit poèmes dragmariques, on Juatres conchis-je.
A CONSIEVT MONSIEVR PAYEN, CONSEILLER DV ROY, EN SA Cour de Parlement de Paris, & Sieur des Landes.	À CONSIEUT MONSIEUR PAÏEN, CONSEILLER DU ROY, EN SA Cour de Parlement de Paris, et Sieur des Landes.
ONSIEVR, Encor que les premiers fruits n’atteignent pas ceſte perfection de bontè, que leur apporte le tems, on les conſacroit anciennement aux Dieux par vne preference d’honneur qui ſe rendoit agreable, ſemblant la nouucauté ſupléer à ce qui d’ailleurs eſtoit defectueux, ainſi ceſte inimitable hiſtoire d’Heliodore, à laquelle i’ay fait prendre le cothurné François écloſe pendant les boüillons d’vne jeuneſſe, s’oſe ietter enl azile de voſtre protection, comme ſeul qui dans la France auez reçeu ma pauure Muſe à bras ouuerts en ſon affliction, & vii de bon œil ce peu de fleurs qu’elle a pu produire entre les eſpines de toutes d’incõmoditez, ſortes:	ONSIEUR, Encor que les premiers fruits n'atteignent pas cette perfection de bontète, que leur apporte le temps, on les consacrait anciennement aux Dieux par une préférence d'honneur qui se rendait agréable, semblant la nouucauté supléer à ce qui d'ailleurs était défectueux, ainsi cette inimitable histoire d'Héliodore, à laquelle j'ai fait prendre le cothurné Français éclose pendant les boutons d'une jeunesse, s'ose jeter enl acyle de votre protection, comme seul qui dans la France avez ave ma avez Avez a vez avez a vez ave, a vez ave bon a ce peu avez avez auelle avez produire entre pas ce de tte incõmoditez, sortes:
or ne doutay ie point qu'aſſez de Momes plus louches d’enuie que ſubtils de iugemẽt ne dõy nent icy force coups de dents, mais en cela me ſuffit la conſolation d’auoir pour compagnons les meilleurs Poëtes de nostre France, à qui les rumeurs d’auiourd huy font encore la guerre dans le tombeau.	or ne douta ie point qu'assez de Momes plus louches d'envie que sujet de jugement ne donny nent ici force coups de dents, mais en cela me suffit la consolation d'avoir pour compagnons les meilleurs Poètes de notre France, à qui les rumeurs d'aujourd ' enivre la guerre dans le tombeau.
Mon anibition ne fut ne ſera iamais ſi làche que de leur vouloir complaire, ne mon courage ſi bas que de les craindre, & quant au theatre François chacun ſçait s’il m'eſt redeuable ou non.	Mon anibition ne fut ne sera jamais si làche que de leur vouloir complaire, ne mon courage si bas que de les craindre, et quant au théâtre Français chacun sait s'il m'est redevable ou non.
Vne preſomptueuſe vanité ne m'emportera pas auſſi à dire qu'entre cinq cens e bomos tuligmatiques tout marche d'vn pas égal, le cours de la vie humaine y contredit, ioint que ma fortune ſe peut aparier l’embléme d’Alciat, où les fers de la pauureté empéchent l’eſprit de voler dans les Cieux.	Une présomptueuse vanité ne m'emportera pas aussi à dire qu'entre cinq cens eû bomos tuligatiques tout marche d'un pas égal, le cours de la vie humaine y contredit, joint que ma fortune se peut apparier l'emblème d'Alciat, où les fers de la pauvreté empêchent l'esprit de voler dans les Cieux.
Jl me ſuſſit aſſez que parmy ce nombre incroyable lebien emporte le mal, & que ceste telle quelle vigueur de genie apres trente ans, ne reçoiue aucune diminu ion, plus preſt que iamais de preſter le collet à ceux qui en douteront.	Il me sussit assez que parmi ce nombre incroyable lebien emporte le mal, et que cette telle quelle vigueur de génie après trente ans, ne reçoive aucune diminu ion, plus prêt que jamais de prêter le collet à ceux qui en douteront.
Ie ſçay bien que beaucoup de ces frélons qui ne ſeruent qu’à manger le miel, incapables d’en faire, trouueront à cenſurer ſur ce qu’autres deuant moy n’ont enchainé tels poemes à vne ſuitte directement contraire aux loix qu'Horace preſcrit en ſon art poëtique, mais que ceux là ſe repreſentẽt que tout ce qu’aprouus l'vſage & qui plait au public deuient plus que legitime, car qu'eſt-ce außi de l'Eneide qu'vn poeme continue où les perſonages s’introduiſent tour à tour?	Je sais bien que beaucoup de ces frêlons qui ne servent qu'à manger le miel, incapables d'en faire, trouveront à censurer sur ce qu'autres devant moi n'ont enchaîné tels pauvre à une suitte directement contraire aux lois qu'Horace prescrit en son art poëtique, mais que ceux -là se representẽt que tout ce qu'aprouvus l'vsage et qui plaît au public dévient plus que légitime, car qu'est-ce aussi de l'Eneide qu'une poème continue où les personages s'introduisent tour à tour?
& ſauf la diſtinction des Scenes tout ſemblable à celuy-cy qui pourtant ne le ſuit que de loing, & ne voudroit offencer ce diuin chef d’œuure d’vne profane comparaiſon.	et sauf la distinction des Scène tout semblable à celui-cy qui pourtant ne le suit que de loin, et ne voudrait offenser ce divin chef d'œuvre d'une profane comparaison.
Telles excuſes ſuperflues, il me ſuffit MONSIEVR) ſi ce petit ouurage vous plaiſt qui me tenez le lieu qu'vn ancien diſoit de Platon, voſtre aueu luy pare les coups de la mediſance, & enfle le courage de l’Autheur pour témoigner vn iour en quelqu’autre mieux étoffe que ie ſuis,	Telles excuses superflues, il me suffit MONSIEUR) si ce petit ouvrage vous plaît qui me tenez le lieu qu'un ancien disait de Platon, votre aveu lui pare les coups de la médisance, et enfle le courage de l'Auteur pour témoigner un jour en quelqu'autre mieux étoffe que sans suis,
MONSIEVR, Voſtre plus humble, redeuable, & affectionné ſeruiteur, A.	MONSIEUR, Votre plus humble, redevable, et affectionné serviteur, A.
HARDY.	HARDY.
AV LECTEVR.	AU LECTEUR.
EVX de ma profeſſion qui commencent à faire ſortir leur nom en public par quelque foible ouurage, ſemblent donner eux meſmes le coup mortel à leur reputation, & imitent ces mauuais Pilotes, qui faute d’experience feront naufrage au ſortir du port;	EUX de ma profession qui commencent à faire sortir leur nom en public par quelque faible ouvrage, semblent donner eux mêmes le coup mortel à leur réputation, et imitent ces mauvais Pilotes, qui faute d'expérience feront naufrage au sortir du port;
ainſi Lecteur, l’inſuportable auarice de certains Libraires faisãt paſſer ce poëme de l’hiſtoire Ethiopique ſous la preſſe, à mon déçeu, tout incorrect, force ma reſolution, reduit à choiſir de deux maux le moindre, s’ẽtẽd à ſouffrir imprimer ce que ie deſiroy plutoſt ſupprimer, & apres quelque reueuë te le donner vn peu mieux poly:	ainsi Lecteur, l'insuportable avarice de certains Libraires faisant passer ce poème de l'histoire Ethiopique sous la presse, à mon déçu, tout incorrect, force ma résolution, réduit à choisir de deux maux le moindre, s'enfin à souffrir primer ce que ie pro plutôt supprimer, et après quelque reueuë votre le donner un peu mieux poli:
que ſi tu es de ces critiques du tẽps, qui cherchẽt la perfection de la poëſie en ne ſçay quelle douceur ſuperficielle;	que si tu es de ces critiques du temps, qui cherchent la perfection de la poésie en ne sais quelle douceur superficielle;
& chaſtrent le parterre des muſes de ſes plus belles fleurs, ſache que mes eſcrits ne te plairont iamais comme de celuy qui a touſiours creu.	et châtrent le parterre des muses de ses plus belles fleurs, sache que mes écrits ne te plairont jamais comme de celui qui a toujours cru.
Qu'Homere, Virgile, & Ronſart, Sont les trois démons de cét art.	Qu'Homère, Virgile, et Ronsart, Sont les trois démons de cet art.
Conſidere au ſurplus que ce ne ſont pas icy Stances, Sonnets, ou Elegies, qui deſirent des anrithetes, des pointes, & des mots affectez à la Courtiſane, mais des tragedies, peinture laborieuſe, pleine de racourciſſemens & capable d’épuiſer les plus feconds eſprits.	Considère au surplus que ce ne sont pas ici Stances, Sonnets, ou Élégies, qui désirent des anrithètes, des pointes, et des mots affectez à la Courtisane, mais des tragédies, peinture laborieuse, pleine de racourcissements et capable d'épuiser les plus féconds esprits.
I'oſe au demeurant auec vne rodomontade Françoiſe & pleine d’effets, te dire que deux cens poëmes dragmatiques, ſont coulez de ma plume depuis ceux- cy, de meilleure trempe contre l’injure des ans, & que preſque tu méconnoiſtras lors que (ſi l’eſſay de ta bienveil.	J'ose au demeurant a p rodomontade Française et pleine d'effets, te dire que deux cens poèmes dragmatiques, sont coulez de ma plume depuis ceux- cy, de meilleure trempe contre l'injure des ans, et que presque tu méconnaîtras lors que (si l'essai de ta bienveil.
lãce m’oblige à cela i’en auray choiſy vn bouquet plus digne de ta curioſité, cependant remarque quelques chaleurs de jeuneſſe paſſablement bonnes, & iouy de ce petit labeur attendant mieux, ſans t’offençer de ce preſque inéuitable malheur d’vne infinité de fautes coulées ſous la preſſe à ceſte premiere edition, & en l’ortographe & au vers, tant par l’inſuffiſance des Correcteurs que pour le peu de loiſir qu’à mon plus grand regret i’ay eu d’y remedier à tems:	lansce m'oblige à cela j'en aurai choisi un bouquet plus digne de ta curiosité, cependant remarque quelques chaleurs de jeunesse passablement bonnes, et joui de ce petit labeur attendant mieux, sans t'offensé de ce presque inéuitable malheur d'une infinité de fautes coulées sous la presse à cette première édition, et en l'ortographe et au vers, tant par l'insuffisance des Correcteurs que pour le peu de loisir qu'à mon plus grand regret yay à t'y remédier à témoignées:
vne ſeconde Impreſſion accompagnée de quelque meilleur ouurage paſſera l’eſponge ſur tous les deffauts precedens.	une seconde Impression accompagnée de quelque meilleur ouvrage passera l'éponge sur tous les défauts précédents.
IN DOM.	IN DOM.
HARDY THEAGEReſ a ennlererE AM.	HARDY THÉGERes a ennlererE AM.
OCTOSTICON.	OCTOSTICON.
Ngenij fama quamuis circum ſonet orbem, T Sublimis patrijs Heliodorus equis.	Négénij ama quamuis circum son orbem, T Ublimis patrijs Éliodorus équis.
Componi tamen ad numeros encomia dudùm Et ſibi Theagenes, & Chariclea petunt.	Componi tamen ad numéros encomia dudùm Et sibi Theagenes, et Chariclea petunt.
Annuit Aonio de vertice Gallus Apollo, Et genium Audacem carmina ad iſta ded.	Hannuit Aonio de vertice Gallus Apollo, Et génium Audacem carmina ad ista ded.
d ettees unbinee, qui necporuſeis timdre, Nec Græco aut Gallo, dignius ore cani.	d ettes unbinée, qui necporuse timdre, Néc Ræco aut Gallo, dignius ore cani.
DISTICON.	DISTICON.
Maieſtas & amor ne quid deſideret artis, Aemula diuino eſt muſa reperta ſtylo.	Majestas et amor ne quid déideret artis, Aemula divino est musa reperta stylo.
AYM.	AYM.
MONETVS.	MONETUS.
in Curia Pariſ.	in Curia Paris.
Aduocatus.	Aduocatus.
Επιγραμμα.	§.
Πέτρῦ Βερτράνδς Μεριγόνς πῆς γλώτιης Ελλάθος ομο κ ΕGραἰνης ἐξηχτε.	Πέτρῦ Βερτράνδς Μεριγόνς πῆς γλώτιης Ελλάθος ΕGραἰνης ἐξηχτε.
Σὲ σκήνη μελίγηρυν ἀποόνα, κόσμον ἀοιθυον, Είναι τοις Κέλταις, APAIE, πας αῦει.	 σκήνη μελίγηρυν ἀποόνα, κόσμον ἀοιθυον, Είναι τοις Κέλταις, APAIE, πας αῦει,
Σὸ τραγικον φώνημα, κ ὁφρυόεσσαν ἀοιδην, Ilb́ργωσας σιθαρη κομγος εν ἐυεπmι.	„ été φώνημα, Çà été ἀοιδην, Ilb́ργωσας σιθαρη κομγος „ ἐυεπmι.
Oύτω δ' εν τάυταις σελίσι φανερῶς αναφαίνει, Νὺν πνέιοντα μέλη της τραγικης χέριτος.	Oύτω τάυταις σελίσι φανερῶς αναφαίνει, Νὺν πνέιοντα μέλη τραγικης χέριτος.
Τύνεκα ἰδ' ὀτι σοι κλέος ἀφθητον ἐσσεται, ισων, Αιοχύλο ἀενάοις οὐ βοφοκλος χαεισι.	Τύνεκα ἰδ' ὀτι κλέος ἀφθητον ἐσσεται, ισων, Αιοχύλο ἀενάοις βοφοκλος χαεισι,
EIE THN IXTOPIAN AIOIOHIKHN Αλέξάνδρς APAAIOT ANAPOΣ λομωτατο, ποιητο Βασιλικο, κ̀ ο ἐί τραnκoις ωρωτευoντος.	EYE -THN IXTOPIAN AIOIOHIKHN Αλέξάνδρς APAIEIOT ANAPO λομωτατο, ποιητο Βασιλικο, ἐί τραnκoις ωρωτευoντος.
Αῦμα μέγα γέγονεν.	Αῦμα μέγα été.
φύσεως κ̀ γνήσιον έργον, Αμβρόσιος τέχνης μυ θεθεμηκ πονος.	φύσεως γνήσιον έργον, Αμβρόσιος τέχνης θεθεμηκ πονος,
Σωγράφος εὔσνμος (ἀρρητον ωραγμα) τοκίων, Ε'ν τῳ τος παιδας ποίέμαναι κρατέδ.	Σωγράφος εὔσνμος (ἀρρητον ωραγμα) τοκίων, „ été ( παιδας ) §,
Τίς παραονξα γελα;	Τίς παραονξα § ;
εν ενι παραδεί γματι τοτο, Αέίξ͂ι χ Αρδαίος χ' Hλιόθωρος ερει.	 παραδεί γματι τοτο, Αέίξ͂ι Αρδαίος Hλιόθωρος ερει.
Αρομιος ποιει, τικτει δὲ κ̓ Πλιόθωρος.	Αρομιος ποιει, τικτει δὲ κ̓ Πλιόθωρος.
Πoιητνς νικα ωειαγεῖ roκéα.	Πoιητνς νικα ωειαγεῖ roκéα.
Σ̓μλυχν μέν γερ ΠOΙΠTωῦ λαμπρς θέατεα, Α'λχν TOΚΕ9E, Qμαγεμό θε θλέπεί.	Σ̓μλυχν μέν ΠOΙΠTωῦ λαμπρς θέατεα, „ TOME, Ô UT θλέπεί.
AD INSIGNE HELIODORI OPVS OCTO TRAGEDIIS REDDITVM & admirando artificio expreſſum à Clariſſ.	AD INSIGNE HÉLIODORI OPUS OCTO TRAGEDIS REDDITVM et admirando artificio expressum à Clariss.
V.	V.
ALE	ALE
XAN.	XAN.
HARDY, REGIO POETA.	HARDY, RÉGIO POTA.
TT Heagenes iuuenis, pulchraque Cariclea forma, T Elyſium nuper cùm ſubiere nemus:	TT Heagenes juenis, pulchraque Cariclea forma, T Lysium nuper cùm bière nemus:
Ceſſanti ex templo ſeſe per amœna vireta, Iunxerunt comites, Heliodore, tibi, Viſne, aïunt, quoniam ceſſas, vt & otia noſtra, Iam fallat lepidis fabula mixta Iocis.	Cessanti ex templo zée per amœna vireta, Iunxerunt comités, Héliodore, tibi, Visne, aïunt, quoniam cessas, ut et otia nostra, Iam fallat lepidis fabula mixta Jocis.
Præſtat, & eſt melius nostros euoluere amores:	Prætat, et est mélius nostros euoluere amores:
Nam tuus ille labor, noſter & ille dolor.	Nam tuus ille labor, noster et ille dolor.
Ordine cœperunt varios percurrere caſus!	Ordine pœpérunt varios percurre casus!
Quos memor es Græcã te poſuiſſe manu.	Quos mémor es Græcand te possse manu.
Vix dum finierant, aliud cùm pumice cultum, E caſto votumenrepuicuere ſihite.	Vix dum finierant, aliud cuim pumice cultum, E asto votumenrepuicuere sihite.
En noſtras referunt, non vnica Græcia curas, Sed grauis eloquio Gallia tota legit.	En nostras reférunt, non unica Græcia curas, Sed gravis éloquio Gallia tota légit.
Aspice te grandi vinctum ſplendere cothurno:	Aspice te grandi vinctum splendère cothurno:
Et quâ RES TRAGICAE fulgere veſte ſolent.	Et qua RÉS TRAGICAE fulgère vête solent.
Atque, vt ſtent ibi cuncta locum ſortita decenter:	Atque, ut stent ibi cuncta locum sortita décenter:
Verborum & quàn ſit vis animata, vide.	Verborum et quàn sit vis animata, vide.
Quid, Paranimphe ſtupes, quid terras lumine figis?	Quid, Paranimphe stupes, qui terras lumine figis?
Dic, age, ſi fas eſt, quàm placet iſlud opus.	Dic, age, si sas est, quàm placet islud opus.
Tum, Tu equidem breuiter, quæ nunc ſententia ſurgit, Anxietas cùm Vos mordeat iſta dabo.	Tum, Tu equidem breviter, quæ nunc sententia surgit, Anxiétas coum Vos morde ista dabo.
Nam mihi Pontifici qualis fiet Optio dicta, Et quali noſtris conditione data.	Nam mihi Pontifici qualis fiet Optio dicta, Et quali nostris conditione data.
Græca vt ſeruarem, quæ ſola extare liquebat:	Græca vt servarem, quæ zola extare liquebat:
Perdere tum volui Pontificale pedum.	Perdère tum volui Pontificale pedum.
Sed mihi apud Manes nunc Optio ſi noua fiat, Gallica vti ſeruem, perdere Græta velim.	Sed mihi apud Manes nunc Optio si noua fiat, Gallica vti seruem, perde Græta velim.
I.	I.
IOLIVS.	JOLIVS.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
STANCES.	STANCES.
Ardy c'eſt eſtre vain au delà du trépas, IIQue de chercher ſans ceſſe en écriuant vn liure Le moyen de ſe faire viure, Apres que nous ne ſommes pas.	Ardi c'est être vain au delà du trépas, IQue de chercher sans cesse en écrivant un livre Le moyen de se faire vivre, Après que nous ne sommes pas.
Celuy là qui pourchaſſe vn bien ſi deçeuant, Semble tendre des rets pour arreſter la vie, Que chaque moment nous enuie Et qui n’est qu’vn ſoupir de vent.	Celui là qui pourchasse un bien si deçeuant, Semble tendre des rets pour arrêter la vie, Que chaque moment nous envie Et qui n'est qu'un soupir de vent.
Mais außi celuy la ne ſe trompe pas moins, Qui viuant icy bas ſe dérobe la gloire, Et ne veut pas que la memoire, En ait ſes eſcrits de témoins.	Mais aussi celui la ne se trompe pas moins, Qui vivant ici bas se dérobe la gloire, Et ne veut pas que la mémoire, En ait ses écrits de témoins.
Au lieu que c'eſt au ſage vn modeſte ſoucy;	Au lieu que c'est au sage un modeste souci;
De flairerl es odeurs d’vne douce fumée, Que nous donne la renommée, Tandis que nous ſommes icy.	De flairerl es odeurs d'une douce fumée, Que nous donne la renommée, Tandis que nous sommes ici.
Toy qui de nos François écris ſi doctement, Veux-tu cacher au iour les honneurs de la ſcene, Sans gouter apres tant de peine, Quelque peu de contentement.	Toi qui de nos Français écris si doctement, Veux-tu cacher au jour les honneurs de la scène, Sans goûter après tant de peine, Quelque peu de contentement.
Ce que la tragedie a de rare & de beau, Mourra t’il ſans honneur parton ingratitude, A qui la poudre d'vne eſtude Sert deſia comme de tombeau.	Ce que la tragédie a de rare et de beau, Mourra t'il sans honneur parton ingratitude, A qui la poudre d'une étude Sert déjà comme de tombeau.
Tout le monde eſt aigry de ta ſeuerité, Et le bois d’vne biere, ou l’airain d’vne lame Ne pourront te couurir du blâme De toute la poſterité.	Tout le monde est aigri de ta sévérité, Et le bois d'une bière, ou l'airain d'une lame Ne pourront te couvrir du blâme De toute la postérité.
