A v	À v
LECTEVR.	LECTEUR.
VIS que ma conuerſation eſt publique, & que mon nom ne ſe peut cacher;	VIS que ma conversation est publique, et que mon nom ne se peut cacher;
ie ſuis bien aiſe de.	On suis bien aise de.
faire publier ſes eſcrits, qui ſe trouueront aſſez conformes à ma vie, & tres-eſloignez du bruit qu’on a faict courir de moy:	faire publier ses écrits, qui se trouveront assez conformes à ma vie, et très-éloignez du bruit qu'on a fait courir de moi:
Ie ſçay bien que dans l’aueugle confuſion d’vne reputation ignorante, on a parlé de moy comme d’vn homme à perir pour exemple, tun que iamais l’Egliſe, ny le Palais, ayent reprins, ny mon diſcours, ny mes actions.	Je sais bien que dans l'aveugle confusion d'une réputation ignorante, on a parlé de moi comme d'un homme à périr pour exemple, tun que jamais l'Église, Seigneur le Palais, aient reprins, ni mon discours, ni mes actions.
Et depuis qu’il me ſouuient d’auoir veſcu parmy les hommes, ie n’en ay iamais pratiqué qui ne me ſoient encore amis.	Et depuis qu'il me souvient d'avoir vécu parmi les hommes, notre n'en ai jamais pratiqué qui ne me soient encore amis.
Tous ceux qui parlent mal de moy ne ſont, ny de ma conuerſation, ny de ma cognoiſſance.	Tous ceux qui parlent mal de moi ne sont, ni de ma conversation, ni de ma connaissance.
Ie me puis vanter d’auoir aſſez de vertu pour imputer à l’enuie les meſdiſances qui m’ont perſecuté.	Je me puis vanter d'avoir assez de vertu pour imputer à l'envie les médisances qui m'ont persécuté.
Ces outrages ne m’ont point affligé l’eſprit, ny deſtourné le train de ma vic.	Ces outrages ne m'ont point affligé l'esprit, ni détourné le train de ma vic.
Ie ſçay que les iniures de ma fortune on faict celles de ma reputation en mon banniſſement.	Je sais que les injures de ma fortune on fait celles de ma réputation en mon bannissement.
I’eſtois infame & criminel, depuis mon rappel innocent, & homme de bien;	J'étais infâme et criminel, depuis mon rappel innocent, et homme de bien;
& la meſme façon de viure, qui s’appelloit autresfois deſbauche, s’appelle auiourd’huy reformation.	et la même façon de vivre, qui s'appelait autrefois débauche, s'appelle aujourd'hui réformation.
Les eſprits des hommes ſont foibles & diuers par tout, principalement à la Cour, où les amitiez ne ſont que d’intereſt, ou de fantéſie:	Les esprits des hommes sont faibles et divers par tout, principalement à la Cour, où les amitiés ne sont que d'intérêt, ou de fantésie:
le merite ne ſe iuge que par la proſperité, & la vertu n’a point d’éclat que dune les orneiens du vice:	le mérite ne se juge que par la prospérité, et la vertu n'a point d'éclat que dune les orneiens du vice:
l’eloquence n’a plus de grace qu’à perſuader la liberté, & les mauuaiſes mœurs:	l'éloquence n'a plus de grâce qu'à persuader la liberté, et les mauvaises mœurs:
la pointe & la facilité de l’eſprit ne paroiſt plus qu’à meſdire;	la pointe et la facilité de l'esprit ne paraît plus qu'à médire;
habile, c’eſt bien trahir:	habile, c'est bien trahir:
la raiſon eſt incognuë, la Religion encores plus:	la raison est inconnue, la Religion es plus:
le Roy ne void que des reuoltes:	le Roi ne voit que des révoltes:
Dieu n’entend que des impietéz, tant le ſiecle eſt maudit du Ciel & de la terre:	Dieu n'entend que des impiétés, tant le siècle est maudit du Ciel et de la terre:
les gens de lettres ne ſçauent rien:	les gens de lettres ne savent rien:
la pluſpart des Iuges ſont criminels, paſſer pour honneſte homme, c’eſt ne l’eſtre point.	la plupart des Juges sont criminels, passer pour honnête homme, c'est ne l'être point.
Dans ce rebours de toutes choſes, i’ay de l’obligation à mes infamies, qui au vray ſens ſe doiuent expliquer des faueurs de la renommee.	Dans ce rebours de toutes choses, j'ai de l'obligation à mes infamies, qui au vrai sens se doivent expliquer des faveurs de la renommée.
Sur ceſte foy ie ne changeray, ny mon nom, ny mes penſees;	Sur cette foi Madame ne changerai, ni mon nom, ni mes pensées;
& veux ſortir ſans maſque deuant les plus cenſeurs des écoles les plus Chreſtiennes.	et veux sortir sans masque devant les plus censeurs des écoles les plus Chrétiennes.
Ie ne ſçache, ny Latin, ny François, ny Vers, ny Proſe, qui redoute la preſſe, ny la lecture des plus delicats.	Je ne sache, ni Latin, Seigneur Français, ni Vers, ni Prose, qui redoute la presse, Seigneur la lecture des plus délicats.
Ie parle pour la conſcience, car du ſtile & de l’imagination, ie ne ſuis, ny fort, ny preſomptueux:	Je parle pour la conscience, car du style et de l'imagination, personne ne suis, ni fort, notre présomptueux:
& ceſte publication eſt pluſtoſt de l’humilité de mon ame, que de la vanité de mon eſprit.	et cette publication est plutôt de l'humilité de mon âme, que de la vanité de mon esprit.
VR	VR
SVR LE TRAICTÉ DE l’Immortalité de l’Ame de Monneul Theopnſie de viau.	SUR LE TRAICTÉ DE l'Imortalité de l'Âme de Monneul Théopnsie de viau.
6 Sprits qui cher chez curieux L& Comment ſe meuuent tous les Cieux, Et qui meſurez les Planettes:	6 Sprits qui che chez curieux LETTES Comment se meuvent tous les Cieux, Et qui mesurés les Planètes:
Hommes debiles de pouuoir, Qui dans le ſoin de tout ſçauoir Encore ignorez qui vous estes.	Hommes débiles de pouvoir, Qui dans le soin de tout savoir Encore ignorez qui vous êtes.
Ne portez plus vos yeux ſi haut, Conſiderez en leur défaut Vos curioſitez extremes, Quittez le ſoin que vous prenez, Et dans ce diſcours apprenez, A vous bien cognoiſtre voüs-meſmes.	Ne portez plus vos yeux si haut, Considérez en leur défaut Vos curiosités extrêmes, Quittez le soin que vous prenez, Et dans ce discours apprenez, À vous bien connaître voüs-mêmes.
S'eſt en vain que vous recherchez Les ſecrets qui vous ſont cachez:	S'est en vain que vous recherchez Les secrets qui vous sont cachez:
Si par cét air meſté de flame, Et par ces eternels reſſorts, Qui ſont mouuoir tout vostre corps,	Si par cet air mesté de flamme, Et par ces éternels ressorts, Qui sont mouvoir tout vôtre corps,
Vous ne recognoiſſez voſtre ame.	Vous ne reconnaissez votre âme.
C’eſt par elle que nous viuons, C’eſt par elle que nous ſçauons Nostre bien & noſtre dommage:	C'est par elle que nous vivons, C'est par elle que nous savons Notre bien et notre dommage:
C’eſt elle qui dans ce bas lieu S’oſe dire ſemblable à Dieu, Comme estant ſa viuante image.	C'est elle qui dans ce bas lieu S'ose dire semblable à Dieu, Comme étant sa vivante image.
Bien qu'elle ſoit ſans liberté Dans ce pauure corps agité Qu'elle ſouſtient, & qui la porte, Elle ayme ſi fort ſa priſon, ou'elle défend à ſa raiſon De iamais en ouurir la porte.	Bien qu'elle soit sans liberté Dans ce pauvre corps agité Qu'elle soutient, et qui la porte, Elle aime si fort sa prison, ou il défend à sa raison De jamais en ouvrir la porte.
C’eſt ce que vous en pouuez voir:	C'est ce que vous en pouvez voir:
Mais ſi vous deſirez ſçauoir, Comme pors de ſon domicie Elle vit eternellement A la gloire, ou dans le tourment,	Mais si vous désirez savoir, Comme pors de son domicie Elle vit éternellement A la gloire, ou dans le tourment,
Apprenez le de THEOPHILE.	Apprenez le de THÉOPHILE.
Ce diſcours qu'il en ariute, Si docte, & ſi bien agencé, Montre qu’il ſçait bien ſon eſſence, Sa gloire, & ſon eternité,	Ce discours qu'il en arjute, Si docte, et si bien agencé, Montre qu'il sait bien son essence, Sa gloire, et son éternité,
A MONSIEVR THEOPHILE DE VIAV.	À MONSIEUR THÉOPHILE DE VIAU.
Sprits du feu, ſçauans Genies, Qui charmez de vos harmonies Tout ce qui vous peut écouter, Et qui pouuez faire reſoudre L'ire meſme de Iupiter A n’vſer iamais de la foudre.	Sprits du feu, savants Génies, Qui charmés de vos harmonies Tout ce qui vous peut écouter, Et qui pouvez faire résoudre L'ire même de Jupiter À n'user jamais de la foudre.
Poëtes qui nous enchantez par les doux airs que vous chantez Quand Amour en fait les paroles, Qui ne viuez que de plaiſirs, Et n’adorez que les Idoles De vos agreables deſirs.	Poètes qui nous enchantez par les doux airs que vous chantez Quand Amour en fait les paroles, Qui ne vivez que de plaisirs, Et n'adorez que les Idoles De vos agréables désirs.
Vous qui d’vne façon hardie Punes marcher la tragedie En ſa ponpeuſe grauité, Et qui d’vn los tout magnifique Conſacrez à l’eternité	Vous qui d'une façon hardie Punes marcher la tragédie En sa ponpeuse gravité, Et qui d'un los tout magnifique Consacrez à l'éternité
Peintres dont les pinceaux parlans Auecques des traicts excellens Tirent choſes inuiſibles, Les vents courroucez, où paiſibles, Et l’Ame au trauers de ſon corps.	Peintres dont les pinceaux parlants Avec des traits excellents Tirent choses invisibles, Les vents courroucés, où paisibles, Et l'Âme au travers de son corps.
Vous qui dedans la ſolitude D’vn bois, d’vn antre, ou d’vn eſtude, Imaginez vos beaux eſcrits, Lors que la ſaincte Poëſie Vous anime, & vous rend épris De ſa plus douce freneſie.	Vous qui dedans la solitude D'un bois, d'un antre, ou d'un étude, Imaginez vos beaux écrits, Lors que la sainte Poésie Vous anime, et vous rend épris De sa plus douce frénésie.
Venez rendre hommage en ce lieu A cét eſprit que voſtre Dieu Recognoit meſme pour ſon maiſtre:	Venez rendre hommage en ce lieu A cet esprit que votre Dieu Reconnait même pour son maître:
Ployez tous icy les genoux, Vous deuez bien le recognoiſtre, Puis qu’vn Dieu l’a ſaict deuant vous.	Ployez tous ici les genoux, Vous devez bien le reconnaître, Puis qu'un Dieu l'a sais devant vous.
Tirez à ce coup des merueilles De vos laborieuſes veilles, Pour honorer d’vn iuſte los Ce grand, & ce diuin Oracle,	Tirez à ce coup des merveilles De vos laborieuses veilles, Pour honorer d' Hôte los Ce grand, et ce divin Oracle,
Qui faict voir en tous ces propos Les effets de quelque miracle.	Qui fait voir en tous ces propos Les effets de quelque miracle.
C’eſt vous acquerir du bon-heur, C’eſt trauailler à voſtre honneur, Que de chanter à ſa loüange, Puis qu’ainſi vos noms & le mien Seront placez en tiltre d’Ange Pour iamais auecque le ſien.	C'est vous acquérir du bonheur, C'est travailler à votre honneur, Que de chanter à sa louange, Puis qu'ainsi vos noms et le mien Seront placez en titre d'Ange Pour jamais avec le sien.
Ie mets pour viure en la memoire Le plus riche habit de ma gloire Dedans ce Liure tout exprés, En recognoiſſant la nature, Comme en vn coffre de Cyprés Pour le garder de pourriture.	Je mets pour vivre en la mémoire Le plus riche habit de ma gloire Dedans ce Livre tout exprès, En reconnaissant la nature, Comme en un coffre de Cyprès Pour le garder de pourriture.
Mais vray'ment c’eſt bien ſans raiſon, Que i’en fais la comparaiſon, Puis qu'en ces choſes l’on remarque Vne contraire qualité:	Mais vraiment c'est bien sans raison, Que j'en fais la comparaison, Puis qu'en ces choses l'on remarque Une contraire qualité:
Car l’vn ſe dedie à la Parque, Et l’autre à l’Immortalité.	Car l'un se dédie à la Parque, Et l'autre à l'Imortalité.
Beaux Vers, les Demons de ma ioye, Qui par vne ſecrette voye Emportez mon ame en des lieux Ie parlerois de THEOPHILE.	Beaux Vers, les Demons de ma joie, Qui par une secrète voie Emportez mon âme en des lieux Je parlerais de THÉOPHILE.
Arrestons nous doncques icy, Et ne ſoyons plus en ſoucy Comme i’accorderay ma Lire, Puis qu'à ce coup ſans en parler, Ie diray ce qu’on ne peut dire, Et que l’on ne doit pas celer.	Arrêtons nous doncques ici, Et ne soyons plus en souci Comme j'accorderai ma Lire, Puis qu'à ce coup sans en parler, Je dirai ce qu'on ne peut dire, Et que l'on ne doit pas celer.
Où vont les plus hautes penſees, Demander audiance aux Dieux Pour en eſtre recompenſees.	Où vont les plus hautes pensées, Demander audience aux Dieux Pour en être recompensees.
Que le Ciel ne m'a-t il doüé D’vn eſprit qui fut aduoüé Du iugement le plus ſeuere, I’ecrirois les perfections De vostre Autheur que ie reuere, Sans me ſeruir de fictions.	Que le Ciel ne m'a-t -il doüé D'un esprit qui fut avoué Du jugement le plus sévère, J'écrirais les perfections De votre Auteur que sans révère, Sans me servir de fictions.
Muſe, aurois-tu bien le courage D’entreprendre vn ſi grand ouurage?	Muse, aurais-tu bien le courage D'entreprendre un si grand ouvrage?
Sonde ta force, éprouue toy, Où l’on diroit voyant mon ſtile, Que pour faire parler de moy,	Sonde ta force, éprouve toi, Où l'on dirait voyant mon style, Que pour faire parler de moi,
A MON	À MON
A MONSIEVR PIILOTLIREDE MIIIV.	À MONSIEUR PILOTLIREDE MIIV.
Oy qui te ſens louër, qui reçois de la vie eſte ſeule faueur, qui vient apres la mort, THEOPHILE, iouy librement de ce ſort, Qui te met au deſſus du pair & de l’enuie.	Oi qui te sens louer, qui reçois de la vie este seule faveur, qui vient après la mort, THÉOPHILE, joui librement de ce sort, Qui te met au dessus du pair et de l'envie.
quand ton ame ſera de la Parque rauie, Dés qu’elle aura franchy ce naturel effort, Vn ſoucy plus diuin la ſaiſira d’abord, Et ta ioye en ſera pleinement aſſouuie.	quand ton âme sera de la Parque ravie, Dès qu'elle aura franchi ce naturel effort, Un souci plus divin la saisira d'abord, Et ta joie en sera pleinement assouuie.
Tu foleras aux pieds les feux & les deſtin, Tous les Dieux à l’envy te feront des feſtins:	Tu foleras aux pieds les feux et les destin, Tous les Dieux à l'envi te feront des festins:
Mais ſi la ſoif te prẽd, ſi ta bouche s’allume, Quel breuage aſſez doux fera rire tes yeux, Puis qu'estant icy bas, tu fais boirc à ta plume Ce qui ſe boit au Ciel de plus delicieux?	Mais si la soif te prend, si ta bouche s'allume, Quel breuage assez doux fera rire tes yeux, Puis qu'étant ici bas, tu fais boirc à ta plume Ce qui se boit au Ciel de plus délicieux?
A MON	À MON
A MONSIEVR THEOPHILE DE VIAV, Sur ſa Paraphraſe de la mort de Socrate, ou de l’Immortalité de l’Ame.	À MONSIEUR THÉOPHILE DE VIAU, Sur sa Paraphrase de la mort de Socrate, ou de l'Imortalité de l'Âme.
DDE.	DDE.
OY qui leuant le cœur aux Cieux, ladis remercias les Dieux, D'estre HOMME, d’eſtre REC, & SAGE:	OY qui levant le cœur aux Cieux, ladis remercias les Dieux, D'être HOME, d'être REC, et SAGE:
PLATON, grand Demon de ſçauoir, Si ton ombre peut conceuoir L’honneur qu’on te faict en noſtre âge, Il t'apprend que c’eſt ton deuoir De rendre aux Dieux vn autre hommage.	PLATON, grand Démon de savoir, Si ton ombre peut concevoir L'honneur qu'on te fait en notre âge, Il t'apprend que c'est ton devoir De rendre aux Dieux un autre hommage.
Peu s'en falloit que le plus beau De tes enfans dans le tombeau N’accreuſt le rang des ombres vaines:	Peu s'en fallait que le plus beau De tes enfants dans le tombeau N'accreust le rang des ombres vaines:
Ta gloire alloit perir auſſi, Dont tous les Dieux en grand ſoucy, T’ont conſacré les doctes peines D’vn grand eſprit qui eſt icy, Ce ique tu eſton dans Athenes.	Ta gloire allait périr aussi, Dont tous les Dieux en grand souci, T'ont consacré les doctes peines D'H grand esprit qui est ici, Ce que tu eston dans Athènes.
Tu dois à tes diuins eſcrits L’honneur d’auoir rauy le prix A tous les ſages de ta ville, A parler comme vn homme fait:	Tu dois à tes divins écrits L'honneur d'avoir ravi le prix À tous les sages de ta ville, À parler comme un homme fait:
Ariuia ores ſl la tangue ſpail Des Dieux le parler & le ſtile, Il faut aduouër en effect	Ariuia ores sl la tangue spail Des Dieux le parler et le style, Il faut avouer en effet
ue tu le dois à THEOPHILE.	Que tu le dois à THÉOPHILE.
Oyant le parler des mortels, Ioinct à celuy des immortels Dedans ces cahiers:	Oyant le parler des mortels, Joint à celui des immortels Dedans ces cahiers:
