A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
NSEIGNEVR, gneur en France à qui plus iuſtement qu’à vous ie puiſſe preſenter comme ie fais les premiers fruicts de mon Eſtude.	NSEIGNEUR, gneur en France à qui plus justement qu'à vous ie puisse présenter comme tu fais les premiers fruits de mon Étude.
Si i’estois aſſeuré de leur bonté, ie ne douterois point qu’ils vous fuſſent agreables, & n’importunerois pas voſtre Grandeur en la priant de les receuoir:	Si j'étais assuré de leur bonté, je ne douterais point qu'ils vous fussent agréables, et n'importunérais pas votre Grandeur en la priant de les recevoir:
la facilité qu'elle a touſiours euë a pratiquer les bonnes choſes eſt vne marque infaillible de ſon inclination à les aimer.	la facilité qu'elle a toujours eue a pratiquer les bonnes choses est une marque infaillible de son inclination à les aimer.
I’oſeray dire, MONSEIGNEVR, ſans vous flatter, que vous eſtes peut eſtre le ſeul de vostre condition en qui l’on remarque aujourd’huy plus de perfections & moins de defauts, & de qui les honneſtes gens ont touſiours eu plus de ſujet de ſe loüer.	J'oserai dire, MONSEIGNEUR, sans vous flatter, que vous êtes peut être le seul de votre condition en qui l'on remarque aujourd'hui plus de perfections et moins de défauts, et de qui les honnêtes gens ont toujours eu plus de sujet de se louer.
Ie laiſſe à part les actions de courage, qu’on ne ſçauroit mieux releuer que par la comparaiſon de celde-catæue les de vos Ancestres.	Je laisse à part les actions de courage, qu'on ne saurait mieux relever que par la comparaison de celde-catæue les de vos Ancêtres.
Où treuuera-t’on vn Seigneur apres vous qui dans la corruption du ſiecle ait conſerué de l’amour pour les bonnes lettres, iuſqu’au point de leur establir des penſions ſur le plus clair de ſon reuenu?	Où trouvera-t’-on un Seigneur après vous qui dans la corruption du siècle ait conservé de l'amour pour les bonnes lettres, jusqu'au point de leur établir des pensions sur le plus clair de son revenu?
Toute la France eſt teſmoin de ce que vous auez faict pour vn de ſes plus beaux Eſprits, à qui vostre ſeule protection a donné lieu de teſmoigner ſon innocence.	Toute la France est témoin de ce que vous avez fait pour un de ses plus beaux Esprits, à qui votre seule protection a donné lieu de témoigner son innocence.
Il a pluſtoſt manqué de vie que de recognoiſſance:	Il a plutôt manqué de vie que de reconnaissance:
& ie m’aſſeure que le plus grand regret qu’il ait encor dans le tombeau, c’eſt de n’auoir pas laißé dans ſes Eſcrits de quoy repouſſer la calomnié de ceux qui voudroient l’accuſer d’ingratitude en vostre endroit.	et petit m'assure que le plus grand regret qu'il ait encor dans le tombeau, c'est de n'avoir pas laissé dans ses Écrits de quoi repousser la calomnié de ceux qui voudraient l'accuser d'ingratitude en votre endroit.
De moy qui cheris ſa memoire parfaitement, pluſtoſt que de ſouffrir qu’on l’obſcurciſſe d’vne ſi noire tache, ie meſleray ſon intereſt auec le mien, & m’efforceray de tout mon pouuoir de m’acquitter d’vne debte commune, que la mort ne luy permit pas de vous payer.	De moi qui chéris sa mémoire parfaitement, plutôt que de souffrir qu'on l'obscurcisse d'une si noire tache, je mêlerai son intérêt avec le mien, et m'efforcerai de tout mon pouvoir de m'acquitter d'une de commune, que la mort ne lui permit pas de vous payer.
Cependant receuez s’il vous plaiſt ces premices de ma ieuneſſe:	Cependant recevez s'il vous plaît ces prémices de ma jeunesse:
c’eſt tout ce que ie puis rendre aujourd’huy à voſtre Grandeur, en recognoiſſance de tant de bien-faits que i'ay receu d’elle depuis deux ans que i’ay la gloire d’estre,	c'est tout ce que je puis rendre aujourd'hui à votre Grandeur, en reconnaissance de tant de bienfaits que j'ai reçu d'elle depuis deux ans que j'ai la gloire d'être,
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres-humble, tres-obeïſſant & tres-obligé ſeruiteur, MAIRET.	Votre très-humble, très-obeïssant et très-obligé serviteur, MAIRET.
ARGVMENT M0	ARGUMENT M0
Lſc Gy LORESTAN Prince de Candie deuient amoureux de la Princeſſe Meliphile apres P en auoir veu le portrait dans vn Eſcu que Thyrſis Cheualier errãt auoit rapporté:	Lsc Gy LORESTAN Prince de Candie devient amoureux de la Princesse Meliphile après PÈRE en avoir vu le portrait dans un Escu que Thyrsis Chevalier errant avait rapporté:
Il s’embarque ſecrettement à deſſein de l’aller treuuer en Sicile, où Thelame frere de la Princeſſe Meliphile prend tous les iours l’habit de Berger pour viure plus librement auec la Bergere Syluie, dont l’eſprit ne le rauit pas moins que la beauté.	Il s'embarque secrètement à dessein de l'aller trouver en Sicile, où Thelame frère de la Princesse Meliphile prend tous les jours l'habit de Berger pour vivre plus librement avec la Bergère Syluie, dont l'esprit ne le ravit pas moins que la beauté.
Elle eſt importunce des pourſuittes de Philene, qui voyant que ſes longs ſeruices ne pourroient iamais l’obliger tant qu’elle auroit de l’amour pour ce Prince, apres en auoir aduerty ſon pere le vieil Damon, qui luy fait vne reprimende, ſe ſert de l’inue tion d’vn mouſcheron pour faire cro à Syluie que Thelame la trahit;	Elle est importunée des poursuittes de Philène, qui voyant que ses longs services ne pourraient jamais l'obliger tant qu'elle aurait de l'amour pour ce Prince, après en avoir averti son père le vieil Damon, qui avait fait une reprimende, se sert de l'inue tion d'un mouscheron pour faire cro à Syluie que Thelme la trahit;
pour nir à bout de ſa ruſe il ſe ſert de la ſim cité de Doriſe, Bergere qui l’aimoit a tant comme luy la meſpriſoit.	pour nir à bout de sa ruse il se sert de la si cité de Dorise, Bergère qui l'aimait à tant comme lui la méprisait.
Cepe dant le Roy de Sicile aduerti des Amor de ſon fils, delibere de le marier auec l’I fante de Chypre:	Cepe dant le Roi de Sicile averti des Amor de son fils, délibère de le marier avec l'I santé de Chypre:
il propoſe ce maria au ieune Prince, & luy en fait encore pa ler par Timaphere homme perſuaſif Capitaine de ſes Gardes, qui toutesfe ne gaigne rien ſur ſon eſprit.	il propose ce maria au jeune Prince, et lui en fait encore paiser par Timaphère homme persuasif Capitaine de ses Gardes, qui toutesfe ne gagne rien sur son esprit.
Le Roy c gnoiſſant bien que l’auerſion qu’il auc du mariage eſtoit vn effect de la paſſic qu’il auoit pour Syluie, ſe reſout de la fa re mourir:	Le Roi ç gnoissant bien que l'aversion qu'il auc du mariage était un effet de la passic qu'il avait pour Syluie, se résout de la fa re mourir:
ſon Chancelier luy remonſt les malheurs qui en pourroient arriuer:	son Chancelier Seigneur remonst les malheurs qui en pourraient arriver:
chãge en fin de deſſein, & punit ces deu Amans par vn enchantement meruei leux.	chãge en fin de dessein, et punit ces dev Amants par un enchantement merve leux.
Floreſtan quelque temps apres arr - – ue en Sicile par vn naufrage, il apprend de Philene & de Doriſe les circonſtances de cette auanture;	Florêtan quelque temps après arrès -là é ue en Sicile par un naufrage, il apprend de Philène et de Dorise les circonstances de cette aventure;
& comme le Roy ſe repentant de ſa cruauté auoit promis ſolennellement ſa fille en mariage à quiconque viendroit à bout de cet Enchantement, qui ne pouuoit eſtre rompu que par vn Cheualier extremement vaillant, il tente l’auanture, chaſſe les Demons, caſſe le Miroir enchanté, & deliure les deux Amanrs, qui ſont mariez par le commandement de l’Oracle, & le conſentement du Roy;	et comme le Roi se repentant de sa cruauté avait promis solennellement sa fille en mariage à quiconque viendrait à bout de cet Enchantement, qui ne pouvait être rompu que par un Chalier extrêmement vaillant, il tente l'aventure, chasse les Demons, casse le Miroir enchanté, et délivre les deux Amanrs, qui sont mariés par le commandement de l'Oracle, et le consentement du Roy;
Floreſtan eſpouſe Meliphile;	Florétan épouse Méliphile;
& Philene hors d’eſpoir de poſſeder Syluie, recognoiſt la fidelité de ſa Doriſe, la prenant en mariage.	et Philène hors d'espoir de posséder Syluie, reconnaît la fidélité de sa Dorise, la prenant en mariage.
ADVERTISSEMENT AV LECTEVR.	ADVERTISSEMENT AU LECTEUR.
My Lecteur, tu treuueras deux ſortes de I Afautes en ce Liure, que la curioſité de mes amu fait voir au iour malgré moy, n’ayant iamais eu deſſein de rendre mon ignorance publique:	Mi Lecteur, tu trouveras deux sortes de I Fautes en ce Livre, que la curiosité de mes amu fait voir au jour malgré moi, n'ayant jamais eu dessein de rendre mon ignorance publique:
les vnes ſont de l’Imprimeur, & les autres viennent de moy;	les unes sont de l'Imprimeur, et les autres viennent de moi;
pour celles-cy ie les abandonne d’außibon cœur à ta cenſure, que ie te prie de pardonner à celles-là, & d’en remettre le chaſtiment à la ſeconde Edition.	pour celles-cy ie les abandonne d'aussibon cœur à ta censure, que ie te prie de pardonner à celles-là, et d'en remettre le châtiment à la seconde Édition.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
E Roy par ſes Lettres de Priuilege donLnees à Paris le 17.	E Roi par ses Lettres de Privilège donLées à Paris le 17.
Septembre 1627.	Septembre 1627.
ſignees LAMY, & ſeellees, a permis à FRANÇOIS TARGA Marchand Libraire à Paris, d’imprimet ou faire imprimer, vendre & diſtribuer vn Liure intitulé, La Syluie du Sieur MAIRET, Tragi-Comedie-Paſtorale.	signe LAMY, et scellées, a permis à FRANOIS TARGA Marchand Libraire à Paris, d'imprimet ou faire imprimer, vendre et distribuer un Livre intitulé, La Syluie du Sieur MAIRET, Tragi-Comédie-Pastorale.
