trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
TNEI IIOR	TNEI IIOR
E ſujet de cette Tragedie eſt encierement tiré de l’Hiſtoire Romaine, & j’ay eu ſoin de ne mettre dans la bouche de mes principaux Perſonnages que les diſcours qu’ils ont tenu eux-mêmes, au rapport de tous les Auteurs anciens.	E sujet de cette Tragédie est encièrement tiré de l'Histoire Romaine, et j'ai eu soin de ne mettre dans la bouche de mes principaux Personnages que les discours qu'ils ont tenu eux-mêmes, au rapport de tous les Auteurs anciens.
J’en ay même conſervé le caractere autant que la bienſeance & les regles du Théatre ont pû me le permettre;	J'en ai même conservé le caractère autant que la bienséance et les règles du Théâtre ont pu me le permettre;
& je croy qu’il ne ſera pas difficile à ceux qui ont quelque intelligence de l’Antiquité de reconnoître Veſpaſien, Domitie, Eponine, Sabinus & Mucien.	et je crois qu'il ne sera pas difficile à ceux qui ont quelque intelligence de l'Antiquité de reconnaître Vespasien, Domitie, Éponine, Sabinus et Mucien.
On ſçait l’aſcendant que ce dernier avoit ſur l’eſprit de l’Empereur, & comme c’étoit par ſes conſeils & par ſon ſecours que, d’un état aſſez vil, Veſpaſien ſe voyoit at faite de la grandeur, il ne faut pays ctonner s’il recevoit avec indulgence les aigres remontrances d’un homme à qui il êtoit redevable de l’Empire.	On sait l'ascendant que ce dernier avait sur l'esprit de l'Empereur, et comme c'était par ses conseils et par son secours que, d'un état assez vil, Vespasien se voyait at faite de la grandeur, il ne faut pays ctonner s'il recevait avec indulgence les aigres remontrances d'un homme à qui il était redevable de l'Empire.
L’ambition de Domitie ne lui pouvoit inſpirer que des reſolutions violentes, & ’ay ſupoſé là-deſſus qu’elle ſe ſeroit facilement portée aux dernieres extrêmitez, plûtôt que de ſouffrir qu’une autre l’eût éloignée du Prone;	L'ambition de Domitie ne lui pouvait inspirer que des résolutions violentes, et ay suposé -dessus elle se seroit facilement portée aux dernières et, plûtôt que de souffrir une autre eût éloignée du Prone;
ou le marlage de Domitius la pouvoit élever un jour.	ou le marlage de Domitius la pouvait élever un jour.
J’ay crû devoir adoucir la ſeule cruauté que l’on peut reprocher à Veſpaſien, dans Ia penſée qu’en un Poëme Dramatique, il eſt permis de changer quelques circonſtances à l’Hiſtoire, quand elles jettent trop ermonncundutis perprle au Opectateur, ec ſur tout lorſque l’on peut introduire à leur place des incidens juſtes & vrayſemblables.	J'ai cru devoir adoucir la seule cruauté que l'on peut reprocher à Vespasien, dans Ja pensée qu'en un Poème Dramatique, il est permis de changer quelques circonstances à l'Histoire, quand elles jettent trop ermonncundutis perprle au Opectateur, ec sur tout lorsque l'on peut introduire à leur place des incidents justes et vraisemblables.
Il eſt certain qu’il fit impitoyablement mourir Sabinus & ſa femme, malgré les larmes de leurs enfans & les prieres de cette Heroïne.	Il est certain qu'il fit impitoyablement mourir Sabinus et sa femme, malgré les larmes de leurs enfants et les prières de cette Héroïne.
Mais comme cette action tient un peu trop du Barbare, j’ay feint que Veſpaſien amoureux d’Eponine, pour ſe diſculper aux yeux du monde, & éviter les reproches qu’on lui pourroit faire s’il condamnoit à la mort le Mari de ſa Maîtreſſe, en avoit renvoyé le jugement au Senat, & qu’aprés l’execution de l’infortuné Sabinus, ſon Epouſe toûjours conſtante & vertueuſe s’étoit elle-même immolée à ſon devoir en ſe tuant ſur le corps de ce Gaulois, aux yeux de tout le peuple.	Mais comme cette action tient un peu trop du Barbare, j'ai feint que Vespasien amoureux d'Éponine, pour se disculper aux yeux du monde, et éviter les reproches qu'on lui pourrait faire s'il condamnait à la mort le Mari de sa Maîtresse, en avait renvoyé le jugement au Sénat, et qu'après l'exécution de l'infortuné Sabinus, son Épouse toujours constante et vertueuse s'était -elle avait immolée à son devoir en se tuant sur le corps de ce Gaulois, aux yeux de tout le peuple.
Je ne ſçay ſi l’on approuvera ma conduite;	Je ne sais si l'on approuvera ma conduite;
mais, quoy qu’il en puiſſe être, le ſuccés ſemble déja l’avoir juſtifiée:	mais, quoi qu'il en puisse être, le succès semble déjà l'avoir justifiée:
