A PARIO, Chez l’Autheur, dans la Cour du Palais, à l’Enſeigne de la Couronne, chez vn Orlogier.	À PARIO, Chez l'Auteur, dans la Cour du Palais, à l'Enseigne de la Couronne, chez un Orogier.
Imprimez, chez PIERRE D V PONT, ruë d’Eſcoſſe, proche Saint Hilaire.	Imprimez, chez PIERRE DE V ONT, rue d'Écosse, proche Saint Hilaire.
ACTERVS.	ACTEUS.
LE CONSVL.	LE CONSUL.
MANLIVS Fils du Conſul, & Amant de Sulpicie.	MANLIVS Fils du Consul, et Amant de Sulpicie.
LIVIE,Dame Romaine, Tante de Sulpicie & amoureuſe de Procule.	LIVIE,Dame Romaine, Tante de Sulpicie et amoureuse de Procule.
SVLPICIE qui aime Manlius, & en eſt aimée.	SULPICIE qui aime Manlius, et en est aimée.
SABINE vraye confidente de Sulpicie, & fauſſe confidente de Liuie, & de Procule.	SABINE vraie confidente de Sulpicie, et fausse confidente de Livie, et de Procule.
PROCVLE Amant de Sulpicie & aimé de Liuie.	PROCULE Amant de Sulpicie et aimé de Livie.
ARISTE vray confident de Manlius, & faux confident du Conſul.	ARISTE vrai confident de Manlius, et faux confident du Consul.
AGIS valet de Procule.	AGIS valet de Procule.
LE PRETOST.	LE PRETOST.
VN PAGE.	UN PAGE.
La Scene eſt à Rome.	La Scène est à Rome.
MANLIVS TORQVATVS TRAGEDIE	MANLIUS TORQUATUS TRAGÉDIE
ACTE I SCENE PREMIERE SVLPICIE, SABINE,	ACTE I CÈNE PREMIÈRE SULPICIE, SABINE,
Ml SVLPICIE.	Ml SULPICIE.
Abine ie ne puis diſſimuler la flame Que ie ſens chaque iour s’allumer dans mon ame Manlius dont le cœur a ſi fort eſclaté Fait que de cent façons le mien eſt agité Le trouble eſt dans mes ſens, & la raiſon me quitte Depuis que i’ay connu ſa gloire, & ſon merite M on ame eſt abbatuë, & n’a plus de vigueur Pour reſiſter aux coups de ce ieune vainqueur De mon eſprit troublé la raiſon confonduë Eſt l’effet de ſa gloire en tous lieux répanduë Ma v olonté ſoumiſe eſt l’honneur le plus grand Que reçoiue auiourd huy ce ieune conquerant;	Abine femme ne puis simuler la flamme Que ie sens chaque jour s'allumer dans mon âme Manlius dont le cœur a si fort éclaté Fait que de cent façons le mien est agité Le trouble est dans mes sens, et la raison me quitte Depuis que j'ai connue sa gloire, et son mérite M on a est abattue, et n'a plus de vigueur Pour résister aux coups de ce jeune vainqueur De mon esprit troublé la raison confonduë Est l'effet de sa gloire en tous lieux répanduë Mase est soumise et l'honneur le plus grand Que reçoive a ce ieune conquérant;
Quand ie ſonge combien dans la derniere guerre Ce genereux Heros a mis d’hommes par terre.	Quand ici songe combien dans la dernière guerre Ce généreux Héros a mis d'hommes par terre.
Comme ſon bras vainqueur s’eſt porté vaillamment Ie ſens ie ne ſçay quoy de doux & de charmant Ie trouue du plaiſir dairs ma prus granide peine Le voyant ſi bien né pour la grandeur Romaine.	Comme son bras vainqueur s'est porté vaillamment Je sens sens sens sçay quoi de doux et de charmant Je trouve du plaisir dairs ma prus granide peine Le voyant si bien né pour la grandeur Romaine.
Sabine.	Sabine.
Madame c’eſt pour moy vn peu trop de faueur Quand vous me faites voir le fond de voſtre cœur, Ses nobles ſentimens marquent ſon origine Si le braſier eſt grand la flame en eſt diuine Manlius eſt connu pour l’honneur de la Cour Des vns il a l’eſtime, & des autres l’amour Mais chacun eſt d’accord de ſa vertu qui brille Dans la luperbe Rome il n'eſt point de famille, Qui ne prenne des ſoins pour en auoir l’appuy Ainſi c’eſt iuſtement que vous bruſlés pour luy.	Madame c'est pour moi un peu trop de faveur Quand vous me faites voir le fond de votre cœur, Ses nobles sentiments marquent son origine Si le brasier est grand la flamme en est divine Manlius est connu pour l'honneur de la Cour Des uns il a l'estime, et des autres l'amour Mais chacun est d'accord de sa vertu qui brille Dans la luperbe Rome il n'est point de famille, Qui ne prenne des soins pour en avoir l'appui Ainsi c'est justement que vous brûliez pour lui.
Sulpicie.	Sulpicie.
prars babme le eranis quir ne loit lore le maiſtre De ce feu violent qu’il fait ſi bien paraiſtre Ie crains que ſon diſcours ſoit vn appas flatteur Et que ſa foy ne ſoit la foy d’vn impoſteur.	prars babîme le eranis qui ne loit lore le maître De ce feu violent qu'il fait si bien paraître Je crains que son discours soit un appas flatteur Et que sa foi ne soit la foi d'un imposteur.
Sabine.	Sabine.
Madame vous l’aimez, & vous eſtes en crainte.	Madame vous l'aimez, et vous êtes en crainte.
Que tant de paſſion ne ſoit rien qu’vne fainte re couy puis anrurer qu'ir amie plus que vous?	Que tant de passion ne soit rien qu'une feinte re couy puis anrurer qu'ir amie plus que vous?
Mais l’amour a touſiours des ſentimens jalous Examinez vn peu vos ardeurs mutuelles Vous verrés bien qu’il a des ſentimens fidelles Et que ſi vous aimés il aime encore mieux.	Mais l'amour a toujours des sentiments jalous Examinez un peu vos ardeurs mutuelles Vous verrez bien qu'il a des sentiments fidèles Et que si vous aime il aime encore mieux.
Sulpicie.	Sulpicie.
Si la choſe eſt ainſi ie rends graces aux Dieux.	Si la chose est ainsi ici rends grâces aux Dieux.
Sabine i’ay beaucoup de foy pour ta parole A t’ouyr ſeulement mon eſprit ſe conſole Et ie penſe trouuer dans ta fidelité D’vne parfaite amour toute la ſureté.	Sabine j'ai beaucoup de foi pour ta parole A t'ouïr seulement mon esprit se console Et te pense trouver dans ta fidélité D'une parfaite amour toute la sûreté.
Sabine ſeule Sulpicie s’en va ne chagrin des Amans donne bien de la peine M anlius entre auec Ariſte	Sabine seule Sulpicie s'en va ne chagrin des Amans donne bien de la peine M anlius entre avec Ariste
SCENE II.	SCÈNE II.
Sabine, Manlius, Ariſte, Maulius parlant à Ariſte.	Sabine, Manlius, Ariste, Maulius parlant à Ariste.
Riſte quoy touſiours la fortune inhumaine A Me viendra propoſer vn obſtacle nouueau Qui me priue des yeux de cet objet ii Beau A des nouueaux emplois mon pere me deſtine Ah mal-heureux!	Riste quoi toujours la fortune inhumaine A Me viendra proposer un obstacle nouveau Qui me prive des yeux de cet objet ji Beau À des nouveaux emplois mon père me destine Ah malheureux!
Ariſte Seigneur voyés vous pas Sabine	Ariste Seigneur voyez -vous pas Sabine
Manlius.	Manlius.
Ie n’oſe l’aborder.	Je n'ose l'aborder.
Ie veux ie ne veux pas Et le crains de lçauoir TArrelt de mon cre pas, Et bien me diras-tu quelque grande nouuelle L’aimable Sulpicie eſt elle auſſi cruelle Parmi tant de froideurs dy moy puis ie eſperer?	Je veux ici ne veux pas Et le crains de lavoir TArrelt de mon cre pas, Et bien me diras-tu quelque grande nouvelle L'aimable Sulpicie est elle aussi cruelle Parmi tant de froideurs dy moi puis ie espérer?
Sabine.	Sabine.
Oüy, Mais il faut Seigneur touſiours perſeuerer On ne peut vous donner d’auis plus ſalutaire Ie croy que vous pouués trouuer l’art de luy plaire Si vous eſtabliſſez voſtre felicité A ſuiure ſes deſtins & ſeruir ſa beauté Son air froid, ſa façon, dont voſtre ame eſt troublée Ne pourront ſouſtenir vne ardeur redoublée Les cœurs comme le ſien qui ſont nez glorieux Ne ſe rendent iamais qu’aux ſoins laborieux	Oui, Mais il faut Seigneur toujours persévérer On ne peut vous donner d'avis plus salutaire Je crois que vous pensez trouver l'art de Seigneur plaire Si vous établissez votre félicité A suivre ses destins et servir sa beauté Son airait froid, sa façon, dont votre âme est troublée Ne pourront souptenir ardeur redoublée Les cœurs comme le sien qui sont nés glorieux Ne se rendent jamais qu'aux soins laborieux
A iij Les peines, les trauaux, les vertus militaires Dans ces occaſions ſont touſiours neceſſairès Et vous ſçauez Seigneur qu’aux projets importans Vous autres grands Heros auez beſoin du temps.	À jij à peines, les travaux, les vertus militaires Dans ces occasions sont toujours necessairès Et vous savez Seigneur qu'aux projets importants Vous autres Héros Heros auez besoin du temps.
Manlius.	Manlius.
Si comme tu le dis elle m’eſt fauorable A quoy te ſuis ie bon, de quoy ſuis ie capable minprope mon credit propoſe librement Tout ce qui peut ſeruir à ton auancement.	Si comme tu le dis elle m'est favorable À quoi te suis apprendre bon, de quoi suis apprendre capable minpropé mon dit propose librement Tout ce qui peut servir à ton avancement.
Sabine.	Sabine.
Seigneur c’eſt trop pour moy, ie n’ay dans cét affaire De bien à ſouhaitter que celuy de vous plaire Le but de mes deſſeins & de mes grands projets O en de vos deux maſfons vnir les intereſts De Sulpicie & vous ſi ie fais l’alliance Ce ſuccez glorieux ſera ma recompence	Seigneur c'est trop pour moi, je n'ai dans cet affaire De bien à souhaiter que celui de vous plaire Le but de mes desseins et de mes grands projets Ô en de vos deux masfons unir les intérêts De Sulpicie et vous si on fais l'alliance Ce succès glorieux sera ma récompense
Manlius.	Manlius.
Dis moy, vis tu iamais de ſi beaux ſentimens Ie ſens que mon amour a des redoublemens Ie ſens dans mon amour vne chaleur nouuelle Voyant de ces deux cœurs vne amitié ſi belle Fecœurde dipicie ainſi bien aſſorty Sans ſe tromper iamais a pris le bon party L’Efclat de ſa vertu l’a charmé cher Ariſte Et ſur ce fondement leur amitié ſubſiſte.	Dis -moi, vis tu jamais de si beaux sentiments Je sens que mon amour a des redoublements Je sens dans mon amour quelque chaleur nouvelle Voyant de ces deux cœurs une amitié si belle Fecœurde diicie ainsi bien assorti Sans se tromper jamais a pris le bon parti L'Efclat de sa vertu l'a charmé cher Ariste Et sur ce fondement leur amitié subsiste.
Sabine.	Sabine.
Cet excés obligeant de vos ciuilités Ne ſe peut imputer qu’à vos grandes bontez Ie vous quitte Seigneur craignant que Sulpicie De mon retardement iuſtement ne s’ennuye.	Cet excès obligeant de vos civilités Ne se peut imputer qu'à vos grandes bontés Je vous quitte Seigneur craignant que Sulpicie De mon retardement justement ne s'ennuie.
Mais dy moy franchement qu’eſt- ce qu’il s’imagine Le Conſul de l’employ auquel il me deſtine, Me faire propoſer de quitter ſa maiſon D’aſſembler nos quartiers, & dans cette ſaiſon, Où tout eſt contre nous, où le froid fait la guerre A tous les animaux, aux cieux & à la terre, Me faire propoſer d’oſter mal-à-propos Aux ſoldats harraſſez leur ſolde & leur repos, Bien que ſes legions ſoient fortes & ſoient bonnes Pourront elles iamais me gagner des couronnes, Auront-elles creance à mes commandemens Si d’abord elles font de pareils mouuemens:	Mais dis moi franchement qu'est- ce qu'il s'imagine Le Consul de l'emploi auquel il me destine, Me faire proposer de quitter sa maison D'assembler nos quartiers, et dans cette saison, Où tout est contre nous, où le froid fait la guerre A tous les animaux, aux cieux et à la terre, Me faire proposer d'ôter mal-à-propos Aux soldats harrassez leur solde et leur repos, Bien que ses légions soient fortes et soient bonnes Pourront elles iamais ce gagner des couronnes, Auront-elles créance à mes commandements Si d'abord elles font de pareils m:
An!	An!
Ie Conſulm'en vout punqu’il me decrédite, Si ie pars, ie me pers, ſi ie reſte, il s’irrite.	Je Consulm'en vout punqu'il me décrédite, Si tu pars, était me pers, si ie reste, il s'irrite.
Ariſte.	Ariste.
Il ſeroit mal-aiſé de ſçauoir ſon deſſein, Il voudroit vous tirer tous vos feux hors du ſein :	Il serait malaisé de savoir son dessein, Il voudrait vous tirer tous vos feux hors du sein :
Cét amour luy déplaiſt, ſon humeur ſe chagrine De l’aimable plaiſir où voſtre cœur encline, Il veut adroitement détruire vos amours, Il croit pour ſon deſſein tirer vn grand ſecours;	Cet amour lui déplaît, son humeur se chagrine De l'aimable plaisir où votre cœur encline, Il veut adroitement détruire vos amours, Il croit pour son dessein tirer un grand secours;
Des autres paſſions qu’il veut mettre en vſage, Il penſe en chatoüillant vn peu voſtre courage, Que vous ſerez tout preſt à partir dans huict iours, Sans attendre à meurir le fruit de vos amours:	Des autres passions qu'il veut mettre en usage, Il pense en chatoüillant un peu votre courage, Que vous serez tout prêt à partir dans huit jours, Sans attendre à mûrir le fruit de vos amours:
Voilà comme à peu prés le bon homme raifonne Dans ce libre diſcours ſi mon cœur s’abandonne, Et ſans precaution s’ouure ſi librement, Vous en ſçaurez, Seigneur, vſer diſcrettement:	Voilà comme à peu près le bon homme raifonne Dans ce libre discours si mon cœur s'abandonne, Et sans précaution s'ouvre si ment, Vous en saurez, Seigneur, user discrettement:
Cependant tout cecy n’eſt qu’vne coniecture.	Cependant tout ceci n'est qu'une conjeture.
Que tire mon eſprit de cette nuict obſcure:	Que tire mon esprit de cette nuit obscure:
Parlant de voſtre amour, il me dit ſeulement Qu’il en viendroit à bout, & fort adroitement, Que les vieux comme luy ſçauoient vne fineſſe, Dont fort mal-aiſément ſe paroit la ieuneſſe, Au moins de mes auis taſchez à profiter;	Parlant de votre amour, il me dit seulement Qu'il en viendrait à bout, et fort adroitement, Que les vieux comme lui savaient été finesse, Dont fort malaisément se parait la jeunesse, Au moins de mes avis tâchés à profiter;
Connoiſſant ſon deſſein vous pourrez l’éuiter.	Connaissant son dessein vous pourrez l'éviter.
Manlius.	Manlius.
Ie te puis aſſeurer, quoy qu’il die & qu’il face que s’il faut obeïr ce ſera par grimace;	Je te puis assurer, quoi qu'il die et qu'il face que s'il faut obéir ce sera par grimace;
Mais ie le vois venir qui marche grauement, Approche toy de luy, apprens tout finemeut.	Mais ie le vois venir qui marche gravement, Approche toi de lui, apprends tout finemut.
ASENEIII.	ASENEII.
Le Conſul, Ariſte,	Le Consul, Ariste,
Le Conſul.	Le Consul.
S-tu dit à mon fils quelle eſtoit ma penſée A Combien me déplaiſoit cette ardeur inſenſée Qui fait ainſi languir ſon courage naiſſant Dans mon ieune printemps i’eſtois plus agiſſant:	Stu dit à mon fils quelle était ma pensée À Combien me déplaisait cette ardeur insensée Qui fait ainsi languir son courage naissant Dans mon jeune printemps j'étais plus agissant:
Il deuroit pour le bien de cette Republique Changer de nos voiſins la forme tyrannique, Porter dans leurs Eſtats la douceur de nos loix, Et ramener vaincus dedans Rome leurs Roys:	Il devrait pour le bien de cette République Changer de nos voisins la forme tyrannique, Porter dans leurs États la douceur de nos lois, Et ramener vaincus dedans Rome leurs Rois:
Son ame à nul obiect ne doit eſtre engagée Qu’à voir nos ennemis en bataille rangée, Qu'à donner à propos les ordres du combat Et bien recompenſer la vertu du Soldat:	Son âme à nul objet ne doit être engagée Qu'à voir nos ennemis en bataille rangée, Qu'à donner à propos les ordres du combat Et bien récompenser la vertu du Soldat:
118048 Qu’à marcher dans les rangs d’vne ſi bonne grace, Que ſon feu des poltrons fonde toute la glace;	118048 Qu'à marcher dans les rangs d'une si bonne grâce, Que son feu des poltrons fonde toute la glace;
Vn Chef doit froidement voir perir ſes amis Sans ſe troubler iamais du choc des ennemis, Que ſi du premier rang la ligne eſtoit battuë, Au lieu de s’attriſter il faut qu’il s’éuertuë, Qu’il raſſemble les corpa nouuellement défaits Et remene au combat les autres qui ſont frais:	Un Chef doit froidement voir périr ses amis Sans se troubler jamais du choc des ennemis, Que si du premier rang la ligne était battue, Au lieu de s'attrister il faut qu'il s'évertue, Qu'il rassemble les corpa nouvellement défaits Et remène au combat les autres qui sont frais:
De De cette façon-là gouuernant ſon courage, Il peut tirer l’eſpée auec grand auantage, Pour donner à l’armée vn General parfait, Il faut vn cœur bien franc, & vn eſprit bien fait.	De De cette façon-là gouvernant son courage, Il peut tirer l'épée avec grand avantage, Pour donner à l'armée un Général parfait, Il faut un cœur bien franc, et un esprit bien fait.
Ariſte.	Ariste.
Il ſçaura mot pourmot, tout ce que vous me dites, Vos diſcours appuyez d’exemple & de merites, Oongeront, aeigneur, cet cinant n pien ne, D’obeir aux aduis que vous aués donné,	Il saura mot pourmot, tout ce que vous me dites, Vos discours appuyez d'exemple et de mérites, Oongeront, aeigneur, cet cinant n yen ne, D'obéir aux avis que vous avez donné,
Le Conſul.	Le Consul.
Ariſte, mais ſur tout, qu’il apprenne à bien viure, Qu’il ne s’engage pas preſentement à ſuiure Les charmes dangereux d’vne funeſte amour Apres cela, grands Dieux, ie meſpriſe le iour;	Ariste, mais sur tout, qu'il apprenne à bien vivre, Qu'il ne s'engage pas présentement à suivre Les charmes dangereux d'une funeste amour Après cela, grands Dieux, ainsi méprise le jour;
Ie connois les mal-heurs dans vn âge ſi tendre, D’vn cœur imprudemment, qui s’y laiſſe ſurprendre?	Je connais les malheurs dans un âge si tendre, D'un cœur imprudemment, qui s'y laisse surprendre?
L’auerſion que i’ay pour ces folles amours, – L’obligera ſans doute, à partir dans huit iours.	L'aversion que j'ai pour ces folles amours, obligera sans doute, partir dans huit iours.
2	2
Ariſte.	Ariste.
Il eſt tout preſt auſſi.	Il est tout prêt aussi.
