FAVTES SVRVENVES EN L’IMESSION.	FAUTES SURVENVES EN L'IMESION.
Page3 Vers 4.	Page3 Vers 4.
ſi hay, liſés ſi hây.	si haï, lisez si hâi.
Page 8.	Page 8.
Vers 18 craignez, liſés craigniés.	Vers 18 craignez, lisez craigniés.
Page 13.	Page 13.
Vers 6.	Vers 6.
fut mit, lilés fut mis.	fut mit, lilés fut mis.
Page 21.	Page 21.
Vers 1.	Vers 1.
ie en, liſés ie t’en dois.	Elle en, lisez ici t'en dois.
Page 21 treuue, liſés treuué.	Page 21 trouve, lisez trouvé.
Page 30.	Page 30.
Vers 16.	Vers 16.
és lieux, lilés les lieux.	ès lieux, lilés les lieux.
Pag 40.	Pag 40.
Vers 11.	Vers 11.
bien ſenſe, liſés bien ſenſé.	bien sensé, lisez bien sensé.
Page 76.	Page 76.
Vers 9.	Vers 9.
qu’ils me, liſés qu’ils ne.	qu'ils me, lisez qu'ils ne.
Page 87.	Page 87.
Vers 8.	Vers 8.
ſon Eſtat, li, ſés ton Eſtat.	son État, li, sez ton État.
1 BOLINEZIIV A LA FRANCE.	1 BOLINEZIIV À LA FRANCE.
RANCE, aymable ſejour, vaſte & ſuperbe Empire, Pte eratus puint, ſriu vois te Grana Seigneur chez toy.	RANCE, aimable séjour, vaste et superbe Empire, Pe ratus puint, sriu vois te Grana Seigneur chez toi.
Tes Villes, tes Treſors, ce n'est pas où j’aſpire, Ny ie ne pretends pas te ranger ſous ma Loy.	Tes Villes, tes Trésors, ce n'est pas où j'aspire, Ny apprendre ne prétends pas te ranger sous ma Loi.
2638 Content de mon Eſtat, content de ma puiſſance, Un plus juſte deſſein porte mes pas icy;	2638 Content de mon État, content de ma puissance, Un plus juste dessein porte mes pas ici;
C’est que j’y veux apprendre vn haute ſcience, Sous vn MAISTRE bien jeune, & bien capable außi.	C'est que j'y veux apprendre un haute science, Sous un MAÎTRE bien jeune, et bien capable aussi.
LOUTS eſt ce grand MAISTRE, & c’eſt à ſon Eſchole, Que ie viens aujourd’huy pour me faire enſeigner;	LOUTS est ce grand MAÎTRE, et c'est à son Échole, Que ie viens aujourd'hui pour me faire enseigner;
S’il daigne ſeulement me dire vne parolle, Qu’il me rendra ſçauant en l’Art de bien reigner!	S'il daigne seulement me dire une parole, Qu'il me rendra bravant en l'Art de bien reigner!
ACTEVN SOLIMAN, Empereur des Turcs.	ACTEUN SOLIMAN, Empereur des Turcs.
ROXELANE, Sultane Reyne.	ROXELANE, Sultane Reine.
BAIASET, leur fils.	BAIASET, leur fils.
LE MVFTY.	LE MUFTI.
ACHOMAT, Grand Viſir.	ACHOMAT, Grand Visir.
ASASPIE, Eſclaue.	ASASPIE, Esclave.
HAZAN.	HAZAN.
IBRAHIM.	IBRAHIM.
N CAPIGI.	 NAPIGI.
La Scene eſt à Conſtantinople.	La Scène est à Constantinople.
S V HENIIAI LESCLAVE AENENEVSE TRAGEDIE.	S V HENIIAI LESCLAUE AENENEUSE -TRAGÉDIE.
TASTE I SCENE PREMIERE.	TÂTE I CÈNE PREMIÈRE.
SOLIMAN, BAIASET.	SOLIMAN, BAIASET.
BAIASET.	BAIASET.
AR ton ordre Seigneur tu me vois à tes piés, Y Ou mes deportemens ſeront iuſtifiés, && J’y viens pour dißiper, la noire calomnie, Dont ma vertu s’offence, & ma gloire eſt ternie;	AR ton ordre Seigneur tu me vois à tes piés, Y Ou mes déportements seront justifiés, ton J'y viens pour dissiper, la noire calomnie, Dont ma vertu s'offense, et ma gloire est ternie;
A Te declarer le but de mes intentions, Et te faire appreuuer par la mes actions.	À Te déclarer le but de mes intentions, Et te faire approuver par la mes actions.
SOLIMAN.	SOLIMAN.
Mon fils, ie veux parler, auant que vous entendre, Aprés ſur chaque point, vous vous pourrés deffendre, Vous aurés tout loiſir, & ſerez eſcouté.	Mon fils, Seigneur veux parler, avant que vous entendre, Après sur chaque point, vous vous pourrez défendre, Vous aurez tout loisir, et serez écouté.
BAIASET.	BAIASET.
C’eſt ce que i’attendois Seigneur de ta bonté.	C'est ce que j'attendais Seigneur de ta bonté.
OLIMAN.	OLIMAN.
C’eſt auec grand regret, puis qu’il faut vous le dire, Que ie vous vois mon fil, deſchirer mon Empire;	C'est avec grand regret, puis qu'il faut vous le dire, Que tu vous vois mon fil, déchirer mon Empire;
Moy Seigneur.	Moy Seigneur.
BAIASET.	BAIASET.
OLIMAN.	OLIMAN.
Eſcoutez, ie ne vous diray rien, Qui ne ſoit veritable, & qu’on ne ſçache bien;	Écoutez, Madame ne vous dirai rien, Qui ne soit véritable, et qu'on ne sache bien;
Dans le gouuernement du Prince voſtre frere Entrer à main armée, en mortel aduerſaire, Deſoler le païs, bruſler, & piller tout, Enfin le ſaccager de l’vn à l’autre bout;	Dans le gouvernement du Prince votre frère Entrer à main armée, en mortel adversaire, Désoler le pays, brûler, et piller tout, Enfin le saccager de l'un à l'autre bout;
Si ce n’eſt là mon fils deſchirer mon Empire, Certes, c'eſt faire encor quelque choſe de pire.	Si ce n'est là mon fils déchirer mon Empire, Certes, c'est faire encor quelque chose de pire.
Vous pouſſez plus auant voſtre iniuſte deſſein, Vous commetteZ des gens pour luy percer le ſein, Et ſi vostre fureur euſt eſté bien ſeruie, Ce frere ſi hayne ſeroit plus en vie.	Vous poussez plus avant votre injuste dessein, Vous commettez des gens pour lui percer le sein, Et si votre fureur eût été bien servie, Ce re si haine serait plus en vie.
Ce ſont là de beaux traits de generoſité, Pour vous faire connoiſtre à la poſterité, Et par eux vostre nom tout reluiſant de gloire Vous rendra pour iamais l’ornement de l’hiſloire.	Ce sont là de beaux traits de générosité, Pour vous faire connaître à la postérité, Et par eux votre nom tout reluisant de gloire Vous rendra pour jamais l'ornement de l'hisloire.
Infames actions d’vn fils de Soliman, Prince indigne de viure, & du nom Ottoman.	Infames actions d'une fils de Soliman, Prince indigne de vivre, et du nom Ottoman.
I’auois conçeu de vous vne plus haute eſtime, Ie ne vous croyois pas capable d’vn tel crime, Ie vous penſois plus iuſte, & bien plus retenu, Mais voſtre interieur ne m'eſtoit pas connu.	J'avais conçu de vous une plus haute estime, Je ne vous croyais pas capable d'un tel crime, Je vous pensais plus juste, et bien plus retenu, Mais vôtre intérieur ne m'était pas connu.
C’eſt ainſi, que ſouuent ſous vn maſque hypocrite Se deſguiſe le vice, & tient lieu de merite, Qu'vn cœur lâche, & cruel paſſe pour vn grand cœur;	C'est ainsi, que souvent sous un masque hypocrite Se déguise le vice, et tient lieu de mérite, Qu'un cœur lâche, et cruel passe pour un grand cœur;
Mais on apprend enfin, que ce n'eſt qu’vn trompeur, Et pour auoir d’vn homme entiere connoiſſance, Que l’on n’en doit iamais iuger ſur l’apparence.	Mais on apprend enfin, que ce n'est qu'un trompeur, Et pour avoir d'un homme entière connaissance, Que l'on n'en doit jamais juger sur l'apparence.
Vous m’auez eſblouy d’vne fauſſe vertu;	Vous m'avez ébloui d'une fausse vertu;
Mais dans tous mes Estats l’eſclat qu’elle auoit eu, La reputation, qu’elle s’eſtoit acquiſe, Peut bien iuſtifier vne telle ſurpriſe, Et l’aueugle amitié, qu’vn pere auoit pour vous, Conforma ſon estime à l’eſtime de tous.	Mais dans tous mes États l'éclat qu'elle avait eu, La réputation, qu'elle s'était acquise, Peut bien justifier une telle surprise, Et l'aveugle amitié, qu'un père avait pour vous, Conforma son estime à l'estime de tous.
A ij	À ij
Mais, qu’on croit de leger les choſes qu’on Pouhaite;	Mais, qu'on croit de léger les choses qu'on Pouhaite;
Je deſirois en vous vne vertu parfaite, De nobles ſentimens d’honneur, de probité, I'en ay veu, quelque effet, ie m'y ſuis arreſté, Et i’ay pris iuſque icy pour grandeur de courage, Ce que ie reconnois n'en estre que l’image.	Je désirais en vous une vertu parfaite, De nobles sentiments d'honneur, de probité, J'en ai vu, quelque effet, on m'y suis arrêté, Et j'ai pris jusque ici pour grandeur de courage, Ce que je reconnais n'en être que l'image.
Il faut, il faut mon fils viure d’autre façon;	Il faut, il faut mon fils vivre d'autre façon;
Jl faut auant qu’agir conſilter la raiſon, Et la rendant du cœur maiſtreſſe ſouueraine, Ne iamais eſcouter les conſeils de la haine;	Il faut avant qu'agir consilter la raison, Et la rendant du cœur maîtresse souveraine, Ne jamais écouter les conseils de la haine;
A ſurmonter la haine il y va de l’honneur, Et pour vous il y va de tout voſtre bon- heur.	A surmonter la haine il y va de l'honneur, Et pour vous il y va de tout votre bon- heur.
Je ne ſouffriray pas außi qu'elle vous dure, Elle eſt trop oppoſee aux loix de la nature, Et ie ne vous veux plus aduoüer pour mon fils, Si vous contez Selin entre vos ennemis.	Je ne souffrirai pas aussi qu'elle vous dure, Elle est trop oppose aux lois de la nature, Et Seigneur ne vous veux plus avouer pour mon fils, Si vous contez Selin entre vos ennemis.
Ce Prince a trop ſouffert de voſtre humeur altiere, Ie veux, que deſormais vous le traittiez en frere, Que vous luy demandiez pardon de voſtre erreur, Auec tous les reſpects deus à mon ſucceſſeur, Et que vous mettiez fin à ces guerres ciuiles, Qui ruinent l’Empire, & vous ſont inutiles.	Ce Prince a trop souffert de votre humeur altière, Je veux, que désormais vous le traitiez en frère, Que vous lui demandiez pardon de votre erreur, Avec tous les respects deus à mon successeur, Et que vous mettiez fin à ces guerres civiles, Qui ruinent l'Empire, et vous sont inutiles.
Mais enfin dites moy, qui vous a fait armer, Et contre voſtre Sang, qui vous peut animer?	Mais enfin dites -moi, qui vous a fait armer, Et contre votre Sang, qui vous peut animer?
Soliman regne encor, voſtre frere vous ayme, Ie vous cheris außi, l’Eſtat en fait de meſme,	Soliman règne encor, votre frère vous aime, Je vous chéris aussi, l'État en fait de même,
Et dans vostre Prouince en toute ſeureté, Vous estes abſolu ſous mon authorité.	Et dans votre Province en toute sûreté, Vous êtes absolu sous mon autorité.
Qu'eſt-ce, que vous pouuez ſouhaiter dauantage, Deſirez vous mon fils monſtrer voſtre courage, Par d'Illuſtres exploits aggrandir voſtre nom?	Qu'est-ce, que vous pouvez souhaiter davantage, Désirez -vous mon fils montrer votre courage, Par d'Illustres exploits aggrandir votre nom?
I'y conſens, combatez, Mais hors de ma maiſon;	J'y consens, combattez, Mais hors de ma maison;
