A PARIS Chez CARDIN BESONGNE, au haut de la montée de la S.	À PARIS Chez CARDIN BESONGNE, au haut de la montée de la S.
Chapelle, aux Roſes vermeilles.	Chapelle, aux Roses vermeilles.
M DC.	M MCC.
XLVIII.	XLVIII.
CATON.	CATON.
STATILLIVS, Seigneur Romain.	STATILLIUS, Seigneur Romain.
MARTIA, femme de Caton.	MARTIA, femme de Caton.
La Scene est dans Vtique, au Palais de Caton.	La Scène est dans Vtique, au Palais de Caton.
LA M RE DE CATON V L’ILLVSTRE DESESPERE!	LA MA ME DE CATON V L'ILLUSTRE DÉSESPÉRÉ!
TRAGEDIE.	TRAGÉDIE.
AULE I.	AULE I.
SCLNE TREMIERE.	SCLNE TREMIERE.
CORNELIE, IVLIE, CATON.	CORNELIE, IVLIE, CATON.
a CORNELIE.	à CORNELIE.
Nfin Pompée eſt mort par la main d'vn perfide, Et ſa femme a ſouffart ce cruel patricide, Sans pouuoir l’empeſcher & meſme ſans moutir, par les cruelles mains qui nous l’ont fait perir.	Nfin Pompée est mort par la main d'un perfide, Et sa femme a souffart ce cruel patricide, Sans pouvoir l'empêcher et même sans moutir, par les cruelles mains qui nous l'ont fait périr.
Toninfortune, ô Rome!	Tonfortune, ô Rome!
apres ces grands deſaſtres Ne doit rien eſperer ny du ſort, ny des aſtres, Ton malheur procedant des plus cruels deſtins Te fera bien toſt voir la perte des Latins;	après ces grands désastres Ne doit rien espérer ni du sort, ni des astres, Ton malheur procédant des plus cruels destins Te fera bien tôt voir la perte des Latins;
Tu t'en dois aſſurer, puis que le cœur d’vn homine N'eſt plus pour ſouſtenir les intereſts de Rome, Et le mal qui me tue en ces communs malheurs, C’oſt que pour me vanger c’eſt trop peu que mes pleurs.	Tu t'en dois assurer, puis que le cœur d'un homine N'est plus pour soutenir les intérêts de Rome, Et le mal qui me tue en ces communs malheurs, C'ost que pour me venger c'est trop peu que mes pleurs.
CATON.	CATON.
Vous auez vn Caton qui iour & nuict ſoûpire, Pour la moit de Pompée & l’honneur de l’Empiré Et pendant qu’il viura, Rome a droict d’eſperer, Que de tous ſes malheurs il la peut retirer:	Vous avez un Caton qui jour et nuit soupire, Pour la moit de Pompée et l'honneur de l'Empiré Et pendant qu'il vivra, Rome a droit d'espérer, Que de tous ses malheurs il la peut retirer:
pour abatre l’orgueil d’vn ſuperbe aduerſaire.	pour abattre l'orgueil d'un superbe adversaire.
Il n’eſt pas à ſçauoir ce que ſa main doit faire.	Il n'est pas à savoir ce que sa main doit faire.
CORNELIE.	CORNELIE.
Ie croy que tous les Dieux s’irritent contre nous, Et qu’il faut ſe reſoudre à ſouffrir leur courroux?	Je crois que tous les Dieux s'irritent contre nous, Et qu'il faut se résoudre à souffrir leur courroux?
Ceſar à ſes deſirs a le deſtin proſpere, La victoire le ſuit où ſon courage eſpere;	César à ses désirs a le destin prospère, La victoire le suit où son courage espère;
e herrne à deſià veu quelle eſtoit ſa valeur, Il braue la fortune autant que le malheur;	eu herrne à déjà vu quelle était sa valeur, Il brave la fortune autant que le malheur;
Et Rome a peu d’eſpoir parmy ce triſte orage, De pouuoir s’exempter de ſon prochain naufrage.	Et Rome a peu d'espoir parmi ce triste orage, De pouuoir s'exempter de son prochain naufrage.
CATON.	CATON.
Ie feray recognoiſtre auec combien de ſoin, I'embraſſe ſa deffence & la ſers au beſoin:	Je ferai reconnaître auec combien de soin, J'embrasse sa défense et la sers au besoin:
Deſià des bons ſoldats la campagne eſt ſemée, svous eiperons beaucoup des Cners de nontle armée.	Déjà des bons soldats la campagne est semée, s' ipérons beaucoup des Cners de nontle armée.
Scipion & Iuba ſecondent nos deſſeins, Vne belle elperance aiine les ſeomains;	Scipion et Juba secondent nos desseins, Une belle elperance aiine les seomains;
Vuidant vn different qui nous retient en doute, Pour combatre Ceſar ils vont prendre leur route.	Vidant un différend qui nous retient en doute, Pour combattre César ils vont prendre leur route.
CORNELIE.	CORNELIE.
Dieux!	Dieux!
quel empeſchemeit tient encor nous trouble	quel empêchemeit tient encor nous trouble
CATON.	CATON.
de conſequence, & l’on le doit celer:	de conséquence, et l'on le doit celer:
Vne heure & tout du plus demande mon ſilence;	Une heure et tout du plus demande mon silence;
Et pout laller vuider donnez-m’en la licence.	Et pout laller vider donnez-m'en la licence.
CORNELIE.	CORNELIE.
prenez-la de vous meſme & d’vn cœur genereux.	prenez-la de vous -même et d'un cœur généreux.
Rendez nous, s’il ſe peur, noſtre eſtat plus heureux, Que chacun prenne peine à faire des miracles Malgré tous les enoito dus plas puinam obſtacles;	Rendez nous, s'il se peur, notre état plus heureux, Que chacun prenne peine à faire des miracles Malgré tous les enaito dus plas puinam obstacles;
Et penſez que pompée eſt encor parmy vous.	Et pensez que pompée est encor parmi vous.
CATON.	CATON.
