I v LECIEVN	I v LECIEUN
& ECTEVR, Ie te donne ceſte piece que le mauuais temps & l’oiſiueté m’ont faict mettre au iour:	et ECTEUR, Je te donne cette pièce que le mauvais temps et l'oisiveté m'ont fait mettre au jour:
Si voyant ſon tiltre la curioſité te porte à lire ſon commencement, & qu’il te contente, continuë iuſques à la fin, du moins iuſques au degouſt, ſinon faicts diuorce & romp ton deſſain dés ſon entrée;	Si voyant son titre la curiosité te porte à lire son commencement, et qu'il te contente, continue jusques à la fin, du moins jusques au dégoût, sinon faits divorce et rompt ton dessain dès son entrée;
tu n’auras de l’vn ou de l’autre à qui te reſiouyr ou te plaindre, car l’Imprimeur a ſupprimé mon nom exprés puiſque ie meſpriſe le reproche de l’vn comme ie rejette la douceur de l’autre, Auſſi n’eſt-ce honneur ny des honneur de bien ou mal faire en vers, Eſtimer vn honneſte homme pour le premier, c’eſt louer vn Caprtaine de toucher bien le Luth, Le deſeſtimer pour l’autre, c’eſt l’auoir en eſtime:	tu n'auras de l'estimer ou de l'autre à qui te réjouir ou te plaindre, car l'Imprimeur a supprimé mon nom exprès puisque mon méprise le reproche de l'un comme il rejette la douceur de l'autre, Aussi n'est-ce honneur ni de honneur de bien ou mal faire en vers, Estimer un honnête homme pour le premier, c'est louer un Capraine de toucher bien le Luth, Le premier pour l'autre, c'est l'avoir en estime:
Car l’on tient que iamais grand Poëte ne fut grand homme d’affaires, & le commun dit que tous les Poëtes ſont fouls, auquel ie reſponds ſans les deſmentir & comme tu le ſçais, que tous les fols ne ſont pas Poëtes, ie te laiſſe donc (LECTEVR) dans ta liberté, & te dis A Dieu dans l’indifference,	Car l'on tient que jamais grand Poète ne fut grand homme d'affaires, et le commun dit que tous les Poètes sont fouls, auquel Seigneur réponds sans les démentir et comme tu le sais, que tous les fols ne sont pas Poètes, avec te laisse donc (LECTEUR) dans ta liberté, et te dis A Dieu dans l'indifférence,
SVBIECT DE L'ACTE PREMIER.	SUBICT DE L'ACTE PREMIER.
S9 N Sage & prudent Gentilhomme nommSe Demonax fera l’ouuerture du Theatre, repreſentant la fortuite rencontre du corps de  ſon amy Tanafile, qu’il croit eſtre homicidé dans le combat, en ſpectacle à l’aſſiſtance, deteſtera la rage des Duels:	S9 N Age et prudent Gentilhomme nommée Démonax fera l'ouverture du Théâtre, représentant la fortuite rencontre du corps de son ami Tanfile, qu'il croit être homicidé dans le combat, en spectacle à l'assistance, détestera la rage des Duels:
Puis entreront trois Caualiere Officiers de la maiſon du Roy, ſçauoir vn Eſeuyer, vn Ordinaire & vn Maiſtre d’Hoſtel, nommez Onomaſte, Arimand & Majordome, preparez pour la Chaſſe Royalle, Sur le point de laquene, vir ſeune Cadet nouuenenient afriue en Cour grand Duelliſte nommé Brizelance picqué des regards de l’Eſcuyer Onomaſte, luy enuoyera vn Cartel par Duracier ſon ſecond, dont s’enſuiura le Combat ſeul à ſeul, où le Duelliſte ſera bleſſé.	Puis entreront trois Cavalière Officiers de la maison du Roi, Savoir un Eseuyer, un Ordinaire et un Maître d'Hôtel, nomme Onomte, Arimand et Majordome, préparés pour la Chasse Royalle, Sur le point de laquène, vir seune Cadet nouuenenient afrive en Cour grand Duelliste nommé Brizélance piqué des regards de l'Escuyer Onomacte, Seigneur envoyera un Cartel par Duracier son second, dont s'un le Combattrès à seul, où le Duelliste sera blessé.
Enſuitte Glycere Maiſtreſſe de Majordome contre laquelle le Poëte Parnaſſin aura eſcript, viendra plaine de vengeance faire ſa plainte, deſireuſe de le faire affronter, à quoy s’offrira le Duelliſte deuenu Amoureux d’elle, lequel rencontrant le Poëte, penſant l’offencer en ſera battu de ſon propre baſton.	Ensuite Glycère Maîtresse de Majordome contre laquelle le Poète Parnassin aura écript, viendra plaine de vengeance faire sa plainte, désireuse de le faire affronter, à quoi s'offrira le Duelliste devenu Amoureux d'elle, lequel rencontrant le Poète, pensant l'offenser en sera battu de son propre bâton.
ACTE PREMIER SCENE PREMTERE.	ACTE PREMIER SCÈNE PREMTERE.
Tanafile homicidé en ſpectacle ſur le Theatre.	Tanfile homicidé en spectacle sur le Théâtre.
LE PRVDENT.	LE PRVDENT.
