LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
NOUVELLE COMEDIE EN TROIS ACTES.	NOUVELLE COMÉDIE EN TROIS ACTES.
UI DEVOIT ESTRE joüée ſur le Theatre de l’Hôtel de Bourgogne lors de la reforlmation des Comediens It aliens.	VI DEUOIT ÊTRE jouée sur le Théâtre de l'Hôtel de Bourgogne lors de la réforlémation des Comédients It aliens.
PERSONNAGES.	PERSONNAGES.
ARLEQUIN valet du Docteur.	ARLEQUIN valet du Docteur.
COLOMBINE couſine de Spinette.	COLOMBINE cousine de Spinette.
LEANDRE Notaire.	LÉANDRE Notaire.
I OLICHINEL.	I OLICHINEL.
PIERROT fils de Polichinel, premier Amant de Spiſiette.	PIERROT fils de Polichinel, premier Amant de Spisiette.
OCTAVE, Gaſcon, ſecond Amant de Spit, Hettes	OCTAVE, Gascon, second Amant de Spit, Hètes
PASCARIEL Capitaine de Dragons troiſiéme Amant de Spinette.	PASCARIEL Capitaine de Dragons troisième Amant de Spinette.
ME ZETIN Dragon & valet de Paſcariel quatriéme Amant de Spinette.	ME ZETIN Dragon et valet de Pascariel quatrième Amant de Spinette.
ARLEQUIN gardien du feu immortel.	ARLEQUIN gardien du feu immortel.
SCARAMOUCHE.	SCARAMOUCHE.
COLOMBINE fille de Scaramouche.	COLOMBINE fille de Scaramouche.
MARINETTE fille d’un Procureur.	MARINETTTE fille d'un Procureur.
OLARIA vieille fille Marchande.	OLARIA vieille fille Marchande.
SPINETTE payſane.	SPINETTE paysane.
A( STD T.	A( STD T.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE DOCTEUR, POLICHINELLE, du ſueuere ceprefente nn piâge, & des Bois.	LE DOCTEUR, POLICHINELLE, du sueuere ceprefente nour piâge, et des Bois.
V Mn LE DOCTEUR ſeul.	V MOn LE DOCTEUR seul.
niiumiadune enoie que des Filles, POLICHINELLE caché derriere un Arbre.	niiumiadune enoie que des Filles, POLICHINELLE caché derrière un Arbre.
rour cela on n'en devroit jamais faire.	rour cela on n'en devrait jamais faire.
LE DOCTEUR.	LE DOCTEUR.
Vive les Garçons ils ſe pouſſent d’eux même, ma Fille à quatorze ans vouloit ſe marier.	Vive les Garçons ils se poussent d'eux -même, ma Fille à quatorze ans voulait se marier.
YONTOMINEELL.	YONTOMINELLL.
Pargoüé il y a bian dequoy s’étonner, il y a deux ans tous brandis qu’elle devroit l’être!	Pargoüé il y a bian dequoy s'étonner, il y a deux ans tous brandis qu'elle devrait l'être!
helas la pauvre Fille s’eſt autant de pardu pour elle.	hélas la pauvre Fille s'est autant de pardu pour elle.
LE DOCTEUR.	LE DOCTEUR.
Il faut que quelque Godeleureau lui ſifle aux oreilles.	Il faut que quelque Godeleureau lui sifle aux oreilles.
POLICHINELLE.	POLICHINELLE.
Se ſeroit ma foy en vain, car elle en ſçait aſſez.	Se serait ma foi en vain, car elle en sait assez.
LE DOCTEUR, orje le connoiſſois, il n’auroit qu’à ſe bien tenir.	LE DOCTEUR, orje le connaissais, il n'aurait qu'à se bien tenir.
POLICHINELLE.	POLICHINELLE.
Qu’eſt-ce qu’il lui feroit ?	Qu'est-ce qu'il lui ferait ?
la moüe, que n’enferme-t-il ſa Poule quand les Coqs ſont lachés.	la moue, que n'enferme-t-il sa Poule quand les Coq sont lachés.
LE DOCTEUR.	LE DOCTEUR.
Cependant tout franc je voudrois bien en eſtre debarraſſé.	Cependant tout franc je voudrais bien en être débarrassé.
POLICHINELLE.	POLICHINELLE.
Il y en à bien d’autres qui le ſont de pareille marchandiſe, j’enrage que mon Fils en ſoit amoureux, il eſt dêja aſſés ſot ſans l’être encor par elle:	Il y en a bien d'autres qui le sont de pareille marchandise, j'enrage que mon Fils en soit amoureux, il est dêjà assez sot sans l'être encor par elle:
mais je vois ſon Valet qui accourt, retirons nous.	mais je vois son Valet qui accourt, retirons nous.
