1101 A MONSEIGNEVR E MARQVI C 108 DE MONTAVSIER.	1101 À MONSEIGNEUR E MARVI Ç 108 DE MONTAUSIER.
VERNEVR ET LIEVTENANT GENERAL pour ſa Majeſté és Prouinces de Axainconge, Angoulmois, haute & baſſe Alſace, Lieutenant General en ſes Armées.	VERNEUR ET LIEUTENANT GÉNÉRAL pour sa Majesté ès Provinces de Axainconge, Angoulmois, haute et basse Alsace, Lieutenant Général en ses Armées.
1 ONSEIGNEVR, 10 limi m i ron le prends la liberté de vous preſenter ce Poëme, qui ne paroiſtroit qu’à ma honte, ſi ſa foibleſſe n’eſtoit ſouſtenuc par rne pumante protection, & qui ne peut manquer de bon-heur ſi vous le fauoriſez de la voſtre.	1 1NSEIGNEUR, 10 limi m ' on le prends la liberté de vous présenter ce Poème, qui ne paraîtrait qu'à ma honte, si sa faiblesse n'était soutenuc par rène pumante protection, et qui ne peut manquer de bonheur si vous le favorisez de la vôtre.
Ceux qui ne liroient point, s’ils n’eſperoient de trouuer des choſes indignes d’eſtre leuës, & dont les yeux déreglez ne s’attachent qu’au mal, n’oſeront mettre mes Vers à l’inquiſition apres auoir veu qu’ils vous ſont dediez;	Ceux qui ne liraient point, s'ils n'espéraient de trouver des choses indignes d'être lues, et dont les yeux déreglez ne s'attachèrent qu'au mal, n'oseront mettre mes Vers à l'inquisition après avoir vu qu'ils vous sont dédiez;
l'accueil que vous leur ferez les fera receuoir de tout le monde, & leurs plus groſſieres fautes ceſſeront de l’eſtre ſi vous faites ſemb’ant de les excuſer.	l'accueil que vous leur ferez les fera recevoir de tout le monde, et leurs plus grossières fautes cesseront de l'être si vous faites semb'ant de les excuser.
Il n’y a point de termes ſi barbares qui ne deuiennent François quand vous voudrez les naturaliſer, & lés façons de parler les moins pratiquées ſeront à couuert de toutes les cenſures ſi vous leur donnez vôſtre approbation.	Il n'y a point de termes si barbares qui ne deviennent Français quand vous voudrez les naturaliser, et lès façons de parler les moins pratiquées seront à couvert de toutes les censures si vous leur donnez vôstre approbation.
Car il eſt vray, MONSEIGNEVR, que vous pouuez commander au langage auſſi bien qu’aux armées, & Minerue toute entiere s’eſt tellement donnée à vous, que vous poſſedez tout ſon ſçauoir & tout ſon courage.	Car il est vrai, MONSEIGNEUR, que vous pouvez commander au langage aussi bien qu'aux armées, et Minerve toute entière s'est tellement donnée à vous, que vous possédez tout son savoir et tout son courage.
Ainſi ma Tragedie attend le jugement vniuerſel du particulier que vous en ferez, & ſi ie ſuis aſſez heureux pour contribuër par ion moyen à voitre diuertiſſement, ie croiray n’auoir pû faire vn meilleur employ de mon temps & de mon trauail.	Ainsi ma Tragédie attend le jugement universel du particulier que vous en ferez, et si tu suis assez heureux pour contribuer par ion moyen à voixtre divertissement, Seigneur croirai n'avoir pu faire un meilleur emploi de mon temps et de mon travail.
trauail.	travail.
Peut-eſtre que mes Vers n’auront pas aſſez de bon-heur pour vous plaire, mais ie m’aſſeure que la paſſion que i’ay pour votre ſeruice ne vous déplaira pas, & que vous vous ne ferez pas moins d’accueil à ce petit eſſay, par lequel ie deſire vous en donner le premier teſmoignage qu’à des ouurages plus acheuez, puiſque ce que luuompreſente eſt tout ce que ie puis, & que pour eſtre mauuais verſificateur, ie n’en ſuis pas moins J 3 30 280	Peut-être que mes Vers n'auront pas assez de bonheur pour vous plaire, mais ie m'assure que la passion que j'ai pour votre service ne vous déplaira pas, et que vous vous ne ferez pas moins d'accueil à ce petit essai, par lequel Seigneur désire vous en donner le premier témoignage qu'à des ouvrages plus achevez, puisque ce que luomprésente est tout ce que je suis, et que pour être mauvais versificateur, ie en suis pas moinsUR 3 30 280
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres humble & tresobeiſſant ſeruiteur.	Votre très humble et tresobeissant serviteur.
MONTGAVDIER.	MONTGAUDIER.
ACIEVNO.	ACIEUNO.
Abieinre, rvir des premiers Officiers de Maximian.	Abieinre, rvir des premiers Officiers de Maximian.
NATALIE, femme d’Adrian.	NATALIE, femme d'Adrian.
CITUTE, Valet de Chambre d’Adrian	CITUTE, Valet de Chambre d'Adrian
THEODORE, couſine de Natalie.	THÉODORE, cousine de Natalie.
MinxiMinit, Eipencar Roaute.	MinxiMinit, Éipencar Roaute.
APOLLINAIRE (Capitaines des Gardes de l’EmPLACIDE,, pereur.	APOLLINAIRE (Capitaines des Gardes de l'EmPLACIDE, pereur.
MARTIAN, Maiſtre de Camp, amoureux de Natalis	MARTIAN, Maître de Camp, amoureux de Natalis
La Scene eſt dans Niçomedie.	La Scène est dans Niçomedie.
AVTTT A2 OVLA A2 L GEN EROSITECHRESTIEN NE	AUTT A2 OULA A2 L EN EROSITECHRESTIEN NE
IACIE ILIIIEI SCENE PREMIERE.	IACIE ILIIIEI SCÈNE PREMIÈRE.
NATALIE.	NATALIE.
SQVESa quand Seigneur verrons nous des eſpees Dansie ſang des Cureſtiens cruellement trempées, MNS Et leurs membres pourris ſous la charge des fers Seruirauant la mortde nourriture aux vers?	SQUESa quand Seigneur verrons nous des espères Dans sang des Curétiens cruellement trempées, MNS Et leurs membres pourris sous la charge des fers Serviravant la mortde nourriture aux vers?
Et ne verray-je point vos bras armez de foudre Donner ſur les faux dieux & les reduire enpoudre,	Et ne verrai-je point vos bras armés de foudre Donner sur les faux dieux et les réduire enpoudre,
Verray-je point crouler par monceaux eſcartez Les temples abbatus ſur leurs diuinitez, A l’eſclat de la Foy lidolatrie eſteinte, Et l’Vniners ſoumis la profeſſer ſans crainte?	Verrai-je point crouler par monceaux écartés Les temples abattus sur leurs divinités, À l'éclat de la Foi lidolâtrie éteinte, Et l'Uniners soumis la professer sans crainte?
Que ſi pour l’eſtablir il faut encor du ſang, A quelle fin Seigneur eſpargnez vous mon flanc, Pourquoy retenez vous mon ame infortunée Dans les triſtes liens d’vn cruel Himenée?	Que si pour l'établir il faut encor du sang, À quelle fin Seigneur épargnez -vous mon flanc, Pourquoi retenez vous mon âme infortunée Dans les tristes liens d'un cruel Hyménée?
Car enfin tout ſupplice a pour moy de s'appas Au reſpect d’vn eſpoux qui ne vous aime pas.	Car enfin tout supplice a pour moi de s'appas Au respect d'un époux qui ne vous aime pas.
Quelque haute vertu dont l’eſclat l’enuironne, Son erreur à mes yeux derobe ſa perſonne, Et ce faſcheux object qui me ſuit en tout lieu Ne me deſcouure en luy qu’vn ennemy de Dieu.	Quelque haute vertu dont l'éclat l'environne, Son erreur à mes yeux derobe sa personne, Et ce fâcheux object qui me suit en tout lieu Ne me découvre en lui qu'un ennemi de Dieu.
Source des veritez, Ocean de lumieres, Seigneur, vons luypouuez faire ouurir les paupieres, Vous pouuez l’eſclairer de ces rayons d’amour Qui diſsipent la nuict & ramenent le iour, Qui portent nos eſprits au deſſus de nous meſmes Qui nous traiſnent à vouspar des douceurs extremes Et ſans nous aduertir ſe gliſſants dans nos cœurs Font ſouuent des martyrs de nos perſecuteurs.	Source des vérités, Ocean de lumières, Seigneur, vont assez faire ouvrir les paupières, Vous pouvez l'éclairer de ces rayons d'amour Qui dissipent la nuit et ramèrent le jour, Qui portent nos esprits au dessus de nous mêmes Qui nous traînent à vouspar des douceurs extrêmes Et sans nous avertir se glissants dans nos cœurs Font souvent des martyrs de nos persécuteurs.
Ie vous prie, ô Grand Dieu, Pere de toute choſe De faire en Adrian cette Metamorphoſe, Qu'il ſoit Chreſtien, Seigneur, car apres cet effort Ie verray d’vn meſme œil & ſa vie & ſa mort:	Je vous prie, ô Grand Dieu, Père de toute chose De faire en Adrian cette Métamorphose, Qu'il soit Chrétien, Seigneur, car après cet effort Je verrai d'un même œil et sa vie et sa mort:
L’vne & l’autre pour moy ſera pleine de charmes On verſera ſon ſang ſans attirer mes larmes, Et tout éuenement me pourra ſembler doux aprenant qu’il expire ou reſpire pour vous.	L'une et l'autre pour moi sera pleine de charmes On versera son sang sans attirer mes larmes, Et tout événement me pourra sembler doux apprenant qu'il expire ou respire pour vous.
Genereux priſonniers inuincibles eſclaues Qui brauez les tyrans au milieu des entraues, Vous dont le Ciel propice entend tous les ſouſpirs ibignez des vœux preſſans à mes iuſtes deſirs, De vos Sainctes ferueurs.	Généreux prisonniers invincibles esclaues Qui bravés les tyrans au milieu des entraves, Vous dont le Ciel propice entend tous les soupirs ibignez des vœux pressants à mes justes désirs, De vos Sainte ferveurs.
DHHiMmI.	DHHyMmI.
NATALIE, & TREODO RE, fournies de lin„& d’Onguents, vont viſiter & panſer les priſonniers Chreſtiens.	NATALIE, et TREODO RE, fournies de lin„ d'Onguents, vont visiter et panser les prisonniers Chrétiens.
THEODORE.	THÉODORE.
A Llons nous ma couſine?	À Llons -nous ma cousine?
NATALIE.	NATALIE.
Allons ie vous attends.	Allons ie vous attends.
T HEDORE.	 TÉDORE.
I'apporte vne eau dinine Dont ie veux faire eſſay, c'eſt vn ſecret nouneau.	J'apporte une eau dinine Dont apprendre veux faire essai, c'est un secret nouvneau.
N ATALIE.	 NATALIE.
Puis qu’il à voſtre aueu ſans doubte il eſt fort beau Ce n'eſt pas d’auiourduy qu’on louë vos receptes On m'a fait grand recit des cures que vous faites, Et voſtre cabinet qu'vn chacun m'a vanté Allume tous les iours ma curioſité;	Puis qu'il à votre aveu sans doute il est fort beau Ce n'est pas d'aujourdui qu'on loue vos receptes On m'a fait grand récit des cures que vous faites, Et votre cabinet qu'un chacun m'a vanté Allume tous les jours ma curiosité;
Ie le veux aller voir on en dit des merueilles,	Je le veux aller voir on en dit des merveilles,
THEODORE.	THÉODORE.
Cent cerre Sjememen en umus ue bouteilles, des vaſes & ſachets placez confuſement;	Cent cerre Sièmemen en umus ue bouteilles, des vases et sachets placés confusément;
S’il vous plaiſt toutesfois d’y paſſer vn moment Au ſortir des priſons vous ſerez ſatisfaicte.	S'il vous plaît toutefois d'y passer un moment Au sortir des prisons vous serez satisfaite.
NATALIE.	NATALIE.
Ma ſatis faction ſeroit bien plus parfaiste Et ie receurois bien des plaiſirs plus entiers Si vous marchieZvn iour parde meilleurs ſentiers Vn motif different dans la priſon nous meine, Vous ſuiuez les appas d’vne tendreſſe humaine, Et la compaſsion, qui vous touche le cœur Auroit deſ-ja ceſſé ſi vous n’eſtiez plus ſœur, Tous ces empreſſements naiſſent de la nature;	Ma satî faction serait bien plus parfaiste Et ieprès bien des plaisirs plus entiers Si vous marchieZvn jour parde meilleurs sentiers Un motif différent dans la prison nous mène, Vous suivez les appas d'une tendresse humaine, Et la compassion, qui vous touche le cœur Aurait déjà cessé si vous n'étiez plus sœur, Tous ces empressements naissent de la nature;
La mienne a pour agir vne cauſe plus pure Au deſſus des attraits de la chair & du ſang, Elle à le çœur trop bon pour marcher en ce rang, Et tiendroit à meſpris d'eſtre eſtimec eſgale Au plus haut ſentiment d’vne vertu mordle, Elle eſt Chreſtienne enfin, & voyant les liens Qui preſſent voſtre frere & les auttes Chreſtiens, Elle n’a pas pour luy de plus fortes atteintes, 13 Tous luy ſont auſsichers, tous reſueillent ſes crainCes linges ſont pour tous & tous eſgalement Vont eſtre ſecourus de ſe medicament.	La mienne a pour agir une cause plus pure Au dessus des attraits de la chair et du sang, Elle à le çœur trop bon pour marcher en ce rang, Et tiendrait à mépris d'être estimec égale Au plus haut sentiment d'une vertu mordle, Elle est Chrétienne enfin, et voyant les liens Qui pressent votre frère et les auttes Chrétiens, Elle n'a pas pour lui de plus fortes atteintes, 13 Tous lui sont aussichers, tous réveillent ses crainCes linges sont pour tous et tous également Vont être secourus de se médicament.
THEODORE.	THÉODORE.
Ainſi mes ſentimens ſont conformes aux voſtres, Mon frere plus ſoigneux de la ſante des autres Que de la ſienne propre eſtoit inceſſammant Ame ſolliciter pour leur ſoulagement, malgrè la pourriture & puanteur extreme Ie le, ſeruis en ſœur& depuis ie les aime, Et ne puis ſans douleur perdre leur entretien.	Ainsi mes sentiments sont conformes aux vôtres, Mon frère plus soigneux de la santé des autres Que de la sienne propre était incessammant Ame solliciter pour leur soulagement, malgrés la pourriture et puanteur extrême Je le, servis en sœur depuis avec les aime, Et ne puis sans douleur perdre leur entretien.
ATALIE.	ATALIE.
Courage cette humeur tient beaucoup du Chreſtien il ne vous manque plus que d’eſtre baptiſée,	Courage cette humeur tient beaucoup du Chrétien il ne vous manque plus que d'être baptisée,
Railleuſe.	Railleuse.
THEODORE.	THÉODORE.
ATALIE.	ATALIE.
Ie dis vray.	Je dis vrai.
THEODORE.	THÉODORE.
Si i’eſtois moins ruſée Vous pourriez me ſeduire;	Si j'étais moins rusée Vous pourriez me séduire;
helas c’eſt bien enuain Si vous auez conceu ce criminel deſſein, Mon frere a m’en parler a perdu ſes eſcrimes, Ie ris de ces leçons, ie raille ſes maximes;	hélas c'est bien enuain Si vous avez conçu ce criminel dessein, Mon frère a m'en parler a perdu ses escrimes, Je ris de ces leçons, Seigneur raille ses maximes;
Car vos ſonges plaſtrez ont tropt de vanité Pour abuſer iamais de ma credulité.	Car vos songes plâtrez ont tropt de vanité Pour abuser jamais de ma crédulité.
NAMIDIE.	NAMIDIE.
Vn iour ces veritez que vous nommez des ſonges Et qui paſſent chez vous pour de foibles menſonges Seront entierement l’obiect de veſtre amour.	Un jour ces vérités que vous nommez des songes Et qui passent chez vous pour de faibles mensonges Seront entièrement l'objet de vêtre amour.
THEODORE.	THÉODORE.
Ie croy que de long temps ie ne verrayce iour;	Je crois que de long temps ie ne verraice jour;
NATALIE.	NATALIE.
Non non quand Dieu nous veut, quelque combat qu’on faſſe, eſt enuain qu’on reſiſte aux efforts de ſa grace.	Non non quand Dieu nous veut, quelque combat qu'on fasse, est enuain qu'on résiste aux efforts de sa grâce.
C’eſt peut eſtre auiourd’huy, c’est peut estre demain Qu’il a determiné de vous tendre la main, Mais Fauſte vient à nous & paſlit ce me ſemble.	C'est peut être aujourd'hui, c'est peut -être demain Qu'il a déterminé de vous tendre la main, Mais Fauste vient à nous et pâlit ce me semble.
CENE III NATALIE, THEODORE, FAVSTE,	CÈNE III NATALIE, THEODORE, FAUSTE,
NATALIE.	NATALIE.
U’elle nouuelle Fauſte?	U'elle nouvelle Fauste?
TE.	TE.
Ha Madame ie tremble, La grandeur du peril estonne ma raiſon, Mon Maistre ne vit plus ou reſpire en priſon, Madame il eſt Chrestien, mais.	Ha Madame ie tremble, La grandeur du péril étonne ma raison, Mon Maître ne vit plus ou respire en prison, Madame il est Chrétien, mais.
NATALIE.	NATALIE.
Quei muis peus tu dire?	Quej mer puis -tu dire?
Qu'apreſent tout le monde aßemblé pour nuire Ioigne effort ſur efforts, Adrian est Chrestien, Ie n'ay plus rien àcraindre & ne prerends plus rien, L’exez de ce bon-heur a mon ame rauie;	Qu'aprèsent tout le monde assemblé pour nuire Joigne effort sur efforts, Adrian est Chrétien, Je n'ai plus rien àcraindre et ne prends plus rien, L'exez de ce bonheur a mon âme ravie;
Ha mon cher Adrian vous me rendez la vie!	Ha mon cher Adrian vous me rendez la vie!
STE.	SITE.
Ce tranſport me ſurprend, Madame, il va mourir, Et loing de vous en plaindre ou de le ſecourir, Loing de vous emploierenuers l’Imperatrice.	Ce transport me surprend, Madame, il va mourir, Et loin de vous en plaindre ou de le secourir, Loin de vous employerenvers l'Impératrice.
ATALIE.	ATALIE.
Dis plus, ie voudrois meſme aduancer ſon ſupplice, ertver cuntit iuſ mop iecmei Empereur, Et ſice fentiment te donne de l’horreur.	Dis plus, Seigneur voudrais même avancer son supplice, erter cuntit jus mop iecmei Empereur, Et siée sentiment te donne de l'horreur.
THEODORE.	THÉODORE.
Quoy vous doutez encor, cruelle, s’il en donne?	Quoi vous doutez encor, cruelle, s'il en donne?
A TALIE.	À TALIE.
Ouy i’en doubte en effet, & la raïſon l’ordonne, Puiſque ie parle a fauſte, & qu’il ne doubte pas Que l’immortalité ne ſuiue vn tel treſpas, Qu'vn moment de douleurs n'enfante pour le gloire Des treſors infinis.	Oui j'en doute en effet, et la raïson l'ordonne, Puisque sans parle a fauste, et qu'il ne doute pas Que l'immortalité ne suive un tel trépas, Qu'un moment de douleurs n'enfante pour le gloire Des trésors infinis.
AVDTE Madame il le faut croire, Mais quand perdant vn maiſtre on perd tout ſon ſoutien, Celuy la qui le pleure en est il moins Chreſtien?	AUDTE Madame il le faut croire, Mais quand perdant un maître on perd tout son soutien, Celui la qui le pleure en est il moins Chrétien?
NATALIE.	NATALIE.
Ie ſçaybien que la Foy peut fonfprir tu nature,  Mais-qui pour l’affranchir & la rendre plus pure Estouffe des ſouspirs qu’il a droit de former, Arreste des tranſports que nul ne peut blaſmer, Et voit Et voit la mort des ſiens du meſme œil qu’vnvoyage, Ne teſmoigne t’il pas en ſçauoir mieux l’vſage?	Je sais que la Foi peut fonfrir tu nature, Mais-qui pour l'affranchir et la rendre plus pure Étouffe des soupirs qu'il a droit de former, Arrête des transports que nul ne peut blâmer, Et voit Et voit la mort des siens du même œil qu'unoyage, Ne témoigne t'il pas en savoir mieux l'usage?
Eſſuie donc ces pleurs & loing de t’affliger Pour la mort d’Adrian dont tu vois le danger Porte tes yeux au Ciel ſur la gloire eternelle Dont Dieu couronnera ſa conſtance & ſon zele.	Essuie donc ces pleurs et loin de t'affliger Pour la mort d'Adrian dont tu vois le danger Porte tes yeux au Ciel sur la gloire éternelle Dont Dieu couronnera sa constance et son zèle.
THEDORE.	THÉDORE.
Comment s’eſt il rendu?	Comment s'est il rendu?
fais nous en le diſcours.	fais nous en le discours.
AVSTE.	AUSTE.
Maximian, Madame, eſtant ſorti ducours Voulut ſur vn Cbreſtien donner cours à ſa rage;	Maximian, Madame, étant sorti ducours Voulut sur un Cbrestien donner cours à sa rage;
Enuain s’efforça-t’on d’esbranler ſon courage, Plus ferme qu'vn rocher il braue les bourreaux, Il voit ſans s’effrayer, ſon ſang ſoubs leurs couteaux Couler de toutes parts & ſa cher entamee Rendre ſur les charbons vne eſpaiſſe fumee, Toute la cour s’eſtonne,& mon maiſtre ſur tous Semble ſouffrir ſur ſoy le contrecoup des coups, Tant de ſouſpirs preſſez ſortent de ſa poitrine, Tant il verſe de pleurs, tant ſa face chagrine Eſt peinte de douleur, il a l’œil attaché Tantoſt ſur ce beau ſang qui vient d’estre eſpanché Tantoſt ſur l’empeur, & touſiours vn nuage Couure le teint vermeil de ſon triste viſage.	Envrain s'efforça-t-on d'ébranler son courage, Plus ferme qu'un rocher il brave les bourreaux, Il voit sans s'effrayer, son sang sous leurs couteaux Couler de toutes parts et sa cher entamée Rendre sur les charbons une épaisse fumée, Toute la cour s'étonne, mon maître sur tous Semble souffrir sur soi le contre des coups, Tant de soupirs pressez sortent de sa poitrine, Tant il verse de pleurs, tant sa face chagrine Est peinte de douleur, il a l'œil attaché Tant sur ce beau sang qui vient d'être épanché Fan sur empeur, et tousiours nuage Couure le teint vermeil de son triste visage.
Il tient le front panche ſur ſon bras racourer	Il tient le front penche sur son bras racourer
Pendant que ſon eſprit flotte dans le ſouci, Que ſon cœurſe partage, & ce rude diuorce Le briſe de ſouſpirs, & l’eſpuiſe de force.	Pendant que son esprit flotte dans le souci, Que son cœurse partage, et ce rude divorce Le brise de soupirs, et l'épuise de force.
Vne moite ſueur luy court par tout le corps Et le feu qu'il couuoit gaigne enfin le dehors Il embraſe ſes yeux, allume ſon teint paſle, Imprime ſur ſon front vne couleur plus maſle, Luy raſſure le cœur, & l’anime ſi fort, Qu’il braue Iupiter, l’Empereur, & la mort.	Une moite sueur lui court par tout le corps Et le feu qu'il couvait gagne enfin le dehors Il embrase ses yeux, allume son teint pâle, Imprime sur son front quelque couleur plus mâle, Lui rassure le cœur, et l'anime si fort, Qu'il brave Jupiter, l'Empereur, et la mort.
Mais qui peut raporter ſes ardentes paroles?	Mais qui peut rapporter ses ardentes paroles?
Ie ſuis Chrestien, dit-il, i’aborre les Idoles, I'en deteſte le culte, & ie n’ay point de ſang Duquel pour l’abolir ie ne vuide mon flanc;	Je suis Chrétien, dit-il, j'aborre les Idoles, J'en déteste le culte, et notre n'ai point de sang Duquel pour l'abolir rien ne vide mon flanc;
O Genereux martir qui m’en donnez l’exemple Vous que ſur les braſiers le fils de Dieu contemple, Les couronnes en main, iettez les yeux ſur moy Du ſejour de la gloire & ſousteneZ ma ſoy.	Ô Généreux martyr qui m'en donnez l'exemple Vous que sur les brasiers le fils de Dieu contemple, Les couronnes en main, jetés les yeux sur moi Du séjour de la gloire et sousteneZ ma soi.
Cependant que ſans crainte il deſcouure ſa flamme Maximian l’entend & enrage dans l’ame, Il feint:	Cependant que sans crainte il découvre sa flamme Maximian l'entend et enrage dans l'âme, Il feint:
mais le voicy qui vous apprendra tout.	mais le voici qui vous apprendra tout.
SCENE IVADRIAN, FAVSTE, l’HEODORE APOLLINAIRE.	SCÈNE IVADRIAN, FAUSTE, l'HÉODORE APOLLINAIRE.
ADRIAN.	ADRIAN.
Nfin voſtre conſtance en eſt venuë a bout, E i’abandonne les dieux & le ſoing de ma vie.	Nfin votre constance en est venue a bout, E j'abandonne les dieux et le soin de ma vie.
NATALIE.	NATALIE.
Ha mon cher Adrian!	Ha mon cher Adrian!
A DRIAN.	À DRIAN.
Ma chere Natalie!	Ma chère Natalie!
NATALIE.	NATALIE.
Source de mes pleſirs que ce nouuel eſtat A vos yeux detrompez donne vn aimable eſclat, Et que ſur vous le grace a reſpandu de charmes;	Source de mes plésirs que ce nouvel état À vos yeux détrompez donne un aimable éclat, Et que sur vous le grâce a répandu de charmes;
C’est vous, c’eſt vous Seigneur qui tariſſez mes larmes, Qui m’auez exaucée & n’auez peû ſouffrir Qu'vn mari tant pleuré vint enfin a perir.	C'est vous, c'est vous Seigneur qui tarissez mes larmes, Qui m'avez exaucée et n'avez pu souffrir Qu'un mari tant pleuré vint enfin a périr.
Vous priſez trop les pleurs d’vne ame qui ſouſpire, Et ſur vous nos douleurs exercent tropt d'empire - Pour eſtre inexorable a mes iuſtes deſirs Quand voſtre ſeul amour enfantoit mes ſouſpirs.	Vous prisez trop les pleurs d'une âme qui soupire, Et sur vous nos douleurs exercent tropt d'empire - Pour être inexorable à mes justes désirs Quand votre seul amour enfant mes soupirs.
Enfin il eſt Chreſiien, enfin l’enfer enrage De le voir deſormais hors de ſon eſclauage, Et le Ciel & la terre au ſeul bruict de ſa foy Prendront part a ma ioye & diront auec moyBeni ſoit le Seigneur que tout Chreſtien adore, Que depuis l’aſtre froid iuſque au riuage more, Et de la merd’eſpagne aux peuples du leuant Echo porte ſon nom ſur les aiſles du vent, Pour aprendre aux mortels que Dieu nous a fait grace Que tous nos ennemis ont fui deuant ſa face, Qu'il à leue le bras e briſe nos liens, Et qu’il n’eſt point de Dieu que le Dieu des Chreſtiens Qu'il eſt Dieu d'Adrian & de ſa Natalie, Qu'il eſt le Dieu de Rome & de Nicomedie.	Enfin il est Chésiien, enfin l'enfer enrage De le voir désormais hors de son esclavage, Et le Ciel et la terre au seul bruit de sa foi Prendront part à ma joie et diront avec moiBeni soit le Seigneur que tout Chrétien adore, Que depuis l'astre froid jusqu' au du monde, Et de la merd'espagne aux peuples du lèvant Écho porte son nom sur les ailes du aisé, Pour apprendre aux mortels que Dieu nous a fait grâce Que tous nos ennemis ont fui devant sa face, Qu'il à lève le bras brise nos liens, Et qu'il n'est point de Dieu que le Dieu des Chrestiens Qu'il est Le d'Adrian et de sa Natalie, Qu'il est le Des deRome et de Nicomedie.
APOLLINAIRE, Monſieur ie vous ay dit auec ſincerité Tout ce qu’vn amy peut en cette extremité, Et vous iugez aſſez que Maximian meſme Tout irrite qu'il eſt vous honore & vous aime, Et, ſçachant a quel point ie vous ſuis ſeruiteur, Qu’il ne m’auroit iamais fait voſtre conducteur Sans l'eſpoir qu’il at heu qu’enfin ie vous rameine Et qu'vn prompt repentir vous derobe à ſa haine	APOLLINAIRE, Monsieur ie vous ai dit avec sincérité Tout ce qu'un ami peut en cette extrémité, Et vous jugez assez que Maximan même Tout irrite qu'il est vous honore et vous aime, Et, sachant a quel point été vous suis serviteur, Qu'il ne m'aurait jamais fait vôtre conducteur Sans l'espoir qu'il at heu qu'enfinaire vous ramène Et qu'un prompt repentir vous derobe à sa haine
ADRIAN.	ADRIAN.
Monſieur n'en parlons plus, ie veux mourir Chreſtien.	Monsieur n'en parlons plus, Seigneur veux mourir Chrétien.
APOLLINAIRE.	APOLLINAIRE.
Monſieur encor vn coup ne pracipitez rien, Cette mort genereuſe ou vous trouuez des charmes Vous paroistra bien toſt comme vn ſubject de larmes, Et cet te prompte ardeur s'eſteignant peu a peu, Plus elle approchera moins vous aurez de feu, Vous la verrez alors dans ſes atours funebres Dans l’effroy du ſilence & l’horreur des tenebres, Dans le trouble, la crainte, & la confuſion, L’oubly, le deſeſpoir & la priuation.	Monsieur encor un coup ne pracipitez rien, Cette mort généreuse ou vous trouvez des charmes Vous paraîtra bien tôt comme un sujet de larmes, Et cet te prompte ardeur s'éteignant pu a pu, Plus elle approchera moins vous aurez de feu, Vous la verrez alors dans ses atours funèbres Dans l'effroi du silence et l'horreur des ténèbres, Dans le trouble, la crainte, et la confusion, Loubli, le désespoir et la privation.
Eſt il a ces objects fermeté qui ne plie?	Est -il a ces objects fermeté qui ne plie?
Iugement qui reſiſte a la melancolie, Conſtance qui ne branle & courage aſſez fort Pour oſerſans fraieur enuiſager la mort?	Jugement qui résiste a la mélancolie, Constance qui ne branle et courage assez fort Pour osersans frayeur envisager la mort?
Non il n'en fuſt iamais, cette funeſte image Ne frappe point les ſens ou change le courage.	Non il n'en fut jamais, cette funeste image Ne frappe point les sens ou change le courage.
ADRIAN.	ADRIAN.
Ie pores ma penſee encor plus loing que vous, Et ſans faire à la mort vn viſage tropt doux, Sans preſumer de moy v’aduoue ma foibleſſe, Et cognois ſa rigueurſans quemon zele ceße;	Je pores ma pensée encor plus loin que vous, Et sans faire à la mort un visage tropt doux, Sans présumer de moi v'avoue ma faiblesse, Et connais sa rigueurs quemon zèle cesse;
Ouy, quelque cruauté qu'on forge en mon trepas, Si Ieſus me ſouſtient ie ne trembleraypas, Puiſqu'il eſt ma valeur ie dois eſtre inuincible, Et s’il est mon appuy ma cheute eſt impoſtible.	Oui, quelque cruauté qu'on forge en mon trépas, Si Jésus me soutient ie ne trembleraipas, Puisqu'il est ma valeur ie dois être invincible, Et s'il est mon appui ma chute est impostible.
APOLLINAIRE.	APOLLINAIRE.
Voſtre ardeur vous ſeduit	Votre ardeur vous séduit
ADRIAN.	ADRIAN.
Ma puiſſance eſt mon Dieu.	Ma puissance est mon Dieu.
APOLLINAIRE.	APOLLINAIRE.
Et conte Iupiter croiriez vous qu'elle eut lieu?	Et conte Jupiter croiriez -vous qu'elle eut lieu?
ADRIAN.	ADRIAN.
Iupiter fust vn homme & le poids de ſes crimes L’accable ſans repos dans le fond des abyſmes, Gemiſant ſoubs la main du Seigneur que ie ſers Sans que tous vos encens adouciſſent ſes fers.	Jupiter fût un homme et le poids de ses crimes L'accable sans repos dans le fond des abîmes, Gémisant sous la main du Seigneur que je sers Sans que tous vos encens adoucissent ses fers.
APOLLINAIRE.	APOLLINAIRE.
