AVERTISSEMENT.	AVERTISSEMENT.
Omme les François en parlant de leur conquête de Namur, l’appelloient un Impromptu, pour donner à entendre, qu’ils en ẽtoient bien-tôt venus à bout, & les Alliez leur ayant aprés repris cette Place, en aſſez peu de temps pour pouvoir A 2 dondonner auſſi à leur priſe le nom de d’Impromptu.	Omme les Français en parlant de leur conquête de Namur, l'appelaient un Impromptu, pour donner à entendre, qu'ils en ẽtoient bientôt venus à bout, et les Allié leur ayant aprés repris cette Place, en assez peu de temps pour pouvoir A 2 donner aussi à leur prise le nom de d'Impromptu.
On a pris de là ocaſion de faire cette Comedie, & de l’intituler le Contr’Impromptu de Namur;	On a pris de là ocasion de faire cette Comédie, et de l'intituler le Contr'Impromptu de Namur;
On y fait voir par des intrigues amoureuſes, la priſe de cette Place par les François, en introduiſant un Cavalier de cette Nation, qui ſe rend maître par ſon adreſſe & par ſa ſubtilité du cœur d’une jeune Dame de Namur quí repreſente la Ville, quoi qu’elle ſoit attachée à un Seigneur Eſpagnol enſuite, un Cavalier Anglois ſecondé de deux confidens, dont l’un eſt Alleman & l’autre Hollandois ſupplente le François, & luy ôte ſa maîtreſſe, repreſantans tous trois les Alliez reprenent la fortereſſe de Namur.	On y fait voir par des intrigues amoureuses, la prise de cette Place par les Français, en introduisant un Cavalier de cette Nation, qui se rend maître par son adresse et par sa subtilité du cœur d'une jeune Dame de Namur qu' represente la Ville, quoi qu'elle soit attachée à un Seigneur Espagnol ensuite, un Calier Anglais secondé de deux confidents, dont l'un est Alleman et l'autre Hollandais supplente le Français, et lui ôte sa maîtresse, represantans tous trois les Alliez reprenent de forteresse de Namur.
ACTEURS,	ACTEURS,
JUNIE, riche Bourgeoiſe de NamuCLAUDINE, ſuivante de Junie.	JUNIE, riche Bourgeoise de NamuCLAUDINE, suivante de Junie.
CHRISTINE, Tante de Junie.	CHRISTINE, Tante de Junie.
Le Chevalier de LISSAC, Cavalie François & amant de Junie.	Le Chevalier de LISSAC, Cavalie Français et amant de Junie.
L’EPINE, Laquais du Chevalier, Le Comte de SCELTON Anglois, a mant de Junie.	L'ÉPINE, Laquais du Chevalier, Le Comte de SCELTON Anglais, a mant de Junie.
LISIDOR, Cavalier Aleman confident du Comte.	LISIDOR, Cavalier Alleman confident du Comte.
PYRAME, Cavalier Holandois, confident du Comte.	PYRAME, Cavalier Holandais, confident du Comte.
CRISPIN, Domeſtique du Comte.	CRISPIN, Domestique du Comte.
La Scene eſt à Namur.	La Scène est à Namur.
ACTE I.	ACTE I.
DCENM IO JUNIE, CLAUDINE.	DCEN JO JUNIE, CLAUDINE.
CLAUDINE.	CLAUDINE.
Vés vous remarqué Malemoiſelle ce jeune Cavalier qui a paſſe lors que nous étions à la fenêtre de vôtre chambre, il m’a la tournure aſſés Françoiſe.	Vez -vous remarqué Malemaiselle ce jeune Cavalier qui a passe lors que nous étions à la fenêtre de votre chambre, il m'a la tournure assez Française.
JUNIE.	JUNIE.
Ouy, qu’en veux tu dire Claudine?	Oui, qu'en veux tu dire Claudine?
CLAUDINE.	CLAUDINE.
J’en veux dire que c’eſt un homA 4 me me bien fait, qu’il me revient fort, & que ſur ma parole il vous plaît autant ou plus qu’à moy.	J'en veux dire que c'est un homA 4 me me bien fait, qu'il me revient fort, et que sur ma parole il vous plaît autant ou plus qu'à moi.
JUNIE.	JUNIE.
quolle impuremenee de juger de mon goût par le tien.	quolle impuremène de juger de mon goût par le tien.
CLAUDINE.	CLAUDINE.
Croyez moy Mademoiſelle je ſuis fille, & je ſais à coup ſur le ſentiment de toutes les Filles ſur cette matiere, elles ont contracté une ſotte habitude de diſſimulation aff ctée, qui eit imaportaple a la dronte raiſon, & telle eſt amoureuſe à la folie, qui paroit plus indifferente du monde.	Croyez moi Mademoiselle je suis fille, et je sais à coup sur le sentiment de toutes les Filles sur cette matière, elles ont contracté une sotte habitude de dissimulation as ctée, qui eit imaportaple à la dronte raison, et telle est amoureuse à la folie, qui parait plus indifférente du monde.
JUNIE.	JUNIE.
Ne voudrois tu point me faire acroire auſsi que je ſuis déja amou reuſe de cet inconnu.	Ne voudrais tu point me faire acroire aussi que je suis déjà amou reuse de cet inconnu.
CLAUDINE Je ne dis pas encore cela, mais je le pourrai dire avec le temps, & quoi que ma profeſsion ne ſoit point de fouiller dans l’avenir, je gagerois ma vie que vous vous aimerez bientôt, s’il n’en eſt déja quelque choſe, je ſuis clairvoyante, il vous a ſaluée en paſſant avec un certain air d’admiration, qui me donne beaucoup à penpenſer, il a tourné la tête cinq ou ſix fois, pour vous regarder, & vous l’avez conduit des yeux juſques a une maiſon où il eſt entré, vous ne ſauriez m’empêcher de m’imaginer que ce ſont là les effets d’une ſecrette ſimpatie, & non d’une miple curioſité.	CLAUDINE Je ne dis pas encore cela, mais je le pourrai dire avec le temps, et quoi que ma profession ne soit point de fouiller dans l'avenir, je gagerais ma vie que vous vous aimerez bientôt, s'il n'en est déjà quelque chose, je suis clairvoyante, il vous a salée en passant avec un certain entrer d'admiration, qui me donne beaucoup à penpenser, il a tourné la tête cinq ou six fois, pour vous regarder, et vous l'avez conduit des yeux jusques à une maison il est entré, vous ne sauriez m'empêcher de m'imaginer que ce sont là les effets d'une secrète simpatie, et non une miple curiosité.
JUNIE Tu es folle ma pauvre amie, & tu veux que ta maîtreſſe le ſoitautant que toy, ce ſont là les imaginations creuſes d’un cerveau bleſſé.	JUNIE -Tu es folle ma pauvre amie, et tu veux que ta maîtresse le soitautant que toi, ce sont là les imaginations creuses d'un cerveau blessé.
CLAUDINE Dites en ce qui vous plaira vous ne me convaincrez jamais du contraire, de plus j’ay remarqué dans vôtre maniere de regarder ce Cavalier, je ne ſçai quel air de bienveillance qui ne lui préſage rien de mauvais.	CLAUDINE Dites en ce qui vous plaira vous ne me convaincrez jamais du contraire, de plus j'ai remarqué dans votre manière de regarder ce Cavalier, je ne sais quel air de bienveillance qui ne lui présage rien de mauvais.
omin hoſ in (eom	omin hos in (éom
JUNIE Te voila ſur le ton prophetique, as tu encore quelque nouyelle découte ſur cette matiere.	JUNIE -Te voilà sur le ton prophétique, as tu encore quelque nouvelle découte sur cette matière.
CLAUDINE Vous tournez en railleries ce qui n’eſt que trop veritable, mais, adieu, vôtre Tante m’appelle.	CLAUDINE Vous tournez en railleries ce qui n'est que trop véritable, mais, adieu, votre Tante m'appelle.
SCENE II.	SCÈNE II.
JUNIE, ſeule.	JUNIE, seule.
auroit-il quelque choſe de vrar dans ce que cette folle vient de me conter, ſerois-je d’un tempement aſſés ſenſible pour aimer déj cet inconnu, non, ce ſoht pures révéries, il eſt vray qu’lil a un air a charmer & que mes yeux l'ont regardé avec quelque plaiſir.	aurait-il quelque chose de vrar dans ce que cette folle vient de me conter, serais-je d'un tempement assez sensible pour aimer déj cette inconnu, non, ce soheût pures révériez, il est vrai qu'lil a un air a charmer et que mes yeux l'ont regardé avec quelque plaisir.
mais qu’elle conſequence peut-on tirer de-là, ne voyons nous pasavec plaiſir tout ce qui nous paroit aimable, deplus mon cœur n’eſt point a moy, n’ay-je pas un cavalier Eſpagnol pour amant à qui je prétens étre fidelle, quoi qu’un malheureux ſort nous ſepare depuis longtemps, ne nous aimons nous pas reciproquement & n’a legeons nous pas les cruels chagrins de l’abſence par un commerce aſſés frequent de lettres tendres & paſsionnées;	mais qu'elle conséquence peut-on tirer de-là, ne voyons nous pasavec plaisir tout ce qui nous parait aimable, déplus mon cœur n'est point à moi, n'ai-je pas un cavalier Espagnol pour amant à qui je prétends être fidèle, quoi qu'un malheureux sort nous sépare depuis longtemps, ne nous aimons nous pas réciproquement et n'a legeons nous pas les cruels chagrins de l'absence par un commerce assez fréquent de lettres tendres et passionnées;
non, je ſuis incapable d’un autre attachement.	non, je suis incapable d'un autre attachement.
SCE	SCE
SCENE III.	SCÈNE III.
CHRISTINE, JUNIE, CLAUDINE.	CHRISTINE, JUNIE, CLAUDINE.
CHRISTINE.	CHRISTINE.
QU’avez-vous ma Niece, je recmarque un certain air ſombre & melancolique ſur vôtre viſage, qui m’inquiete, quel ſujet de mécontentement avez vous, vous ſavez combien vos intérets me ſont chers & que depuis la mort de vôtre mere j’ay voulu vous avoir chez moy, pour vous donner des marques plus convaincante de ma tendreſſe, découvrez moy le ſujet de voſtre chagrin.	QU'avez-vous ma Nièce, je remarque un certain air sombre et mélancolique sur votre visage, qui m'inquiète, quel sujet de mécontentement avez vous, vous savez combien vos intérets me sont chers et que depuis la mort de votre mère j'ai voulu vous avoir chez moi, pour vous donner des marques plus convaincante de ma tendresse, découvrez moi le sujet de votre chagrin.
JUNIE.	JUNIE.
Ce neit rien ilia r'aute, veus ſavez que dans la vie on a de certains momens melancoliques, dont on ne ſauroit rendre raiſon.	Ce neit rien ilia riate, veux savez que dans la vie on a de certains contents mélancoliques, dont on ne saurait rendre raison.
CHRISTINE Eh!	CHRISTINE Eh!
bien, paſſons là-deſſus, il me ſemble qu’il y a déja long-temps que Don Alvaros ne vous à écrit.	bien, passons là-dessus, il me semble qu'il y a déjà longtemps que Don Alvaros ne vous à écrit.
