SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
R.	R.
NSIEVR MON CHER AMY, Eſtant ſur le poinct de vous eſcrire, & de vous enuoyer les nouueautez de Paris pour vous diuertir en voſtre ſolitude, i’ay penſé que vous ne pouuiez rien voir qui vous fuſt plus agreable qu’vne Paſtoralle de Monſieur le Cheualier de Bauſſays;	NSIEUR MON CHER AMY, Étant sur le point de vous écrire, et de vous envoyer les nouveautés de Paris pour vous divertir en votre solitude, j'ai pensé que vous ne pouviez rien voir qui vous fût plus agréable qu'une Pastoralle de Monsieur le Chevalier de Baussays;
non pas meſme quand ie vous enuoyerois le portrait de voſtre Maiſtreſſe, qui donne icy de l’amour à tout le monde.	non pas même quand je vous envoyerais le portrait de votre Maîtresse, qui donne ici de l'amour à tout le monde.
L’eſtime que vous faites de ſon eſprit vous en fera conceuoir vne bonne opinion;	L'estime que vous faites de son esprit vous en fera concevoir une bonne opinion;
mais vous ſerez eſtonné de voir vn ouurage ſi rare, ſory des mains d’vn homme dont l’humeur & la profeſſion ne ſemblent pas pouuoir ſouffrir deux heures d’eſtude.	mais vous serez étonné de voir int ouvrage si rare, sori des mains d'un homme dont l'humeur et la profession ne semblent pas pouvoir souffrir deux heures d'étude.
Et de faict il n’euſt iamais entrepris cette piece ſans vne fieure quarte qui luy dura quelque temps, où il ne pouuoit auoir de plus douces reſueries, ny d’occupations plus loüables.	Et de fait il n'eût jamais entrepris cette pièce sans une fièvre quarte qui te dura quelque temps, où il ne pouvait avoir de plus douces rêveries, Seigneur d'occupations plus louables.
Les plus ſçauans & les meilleurs eſprits de ma connoiſſance l’ont veuë auec eſtonnement.	Les plus sçauans et les meilleurs esprits de ma connaissance l'ont vue avec étonnement.
Le ſujet en eſt merueilleux;	Le sujet en est merveilleux;
l’inuention conduite auec vn grand iugement;	l'invention conduite avec un grand jugement;
les vers doux, ſonnants, delicats & majeſtueux:	les vers doux, sonnants, délicats et majestueux:
& toutes choſes y paroiſſent auec vne grace admirable.	et toutes choses y paraissent avec grâce admirable.
Il ſe vouloit encore occuper quelques iours à polir cét œuure, mais d’autres deſſeins l’en ont deſtourné.	Il se voulait encore occuper quelques jours à polir cet œuvre, mais d'autres desseins l'en ont détourné.
Ie vous ſupplie de m’en faire ſçauoir voſtre ſentiment, & de croire que ie ſuis de tout mon cœur,	Je vous supplie de m'en faire savoir votre sentiment, et de croire que je suis de tout mon cœur,
Monſieur mon cher Amy,	Monsieur mon cher Ami,
Voſtre Seruiteur treshumble T.	Votre Serviteur treshumble T.
R.	R.
F.	F.
LIX VTAETTI DE MONSIEVR LE CHEVALIER DE BAVSSAYS.	LIX VTAETTI DE MONSIEUR LE CHEVALIER DE BAUSAYS.
PASTORALE.	PASTORALE.
PROLOGVE VENVS, en habit de Bergere.	PROLOGUE VENUS, en habit de Bergère.
V’vne profonde nuict d’vn repos nompareil Eſpanche dans le monde vn paiſible ſommeil!	V'une profonde nuit d'un repos nompareil Épanche dans le monde un paisible sommeil!
Que l’Vniuers m'eſtonne en ce morne ſilence!	Que l'Univers m'étonne en ce morne silence!
Tous les vents renfermez calment leur violence;	Tous les vents renfermés calment leur violence;
A iiij	À jijà
La mer paſſe en douceur les plus calmes ruiſſeaux, On ne diſtingue plus les rochers des vaiſſeaux:	La mer passe en douceur les plus calmes ruisseaux, On ne distingue plus les rochers des vaisseaux:
Car l’Empire marin tient l’onde ſi tranquile Qu'vn nauire ſans ancre y demeure immobile.	Car l'Empire marin tient l'onde si tranquille Qu'un navire sans ancre y demeure immobile.
Les cheuaux tenebreux qui remmenent la nuict, Et les ſonges legers volent ſans aucun bruit:	Les chevaux ténébreux qui remmènent la nuit, Et les songes légers volent sans aucun bruit:
Ces phantoſmes ſçauans en miſeres futures Murmurans des mortels les triſtes auantures, Pour rendre auant le tẽps leurs eſprits malheureux.	Ces phantômes savants en misères futures Murmurants des mortels les tristes aventures, Pour rendre avant le temps leurs esprits malheureux.
Les inſpirent ſans bruit aux oiſeaux tenebreux.	Les inspirent sans bruit aux oiseaux ténébreux.
Rien ne ſemble ébranler ces cauernes profondes Que les monſtres marins qui ronflent ſous les ondes, Et d’vn lent mouuement dont reſonnent les flots Au creux de ces rochers réueillant les écots Endorment d’vn doux bruit les filles de Neree Au ſejour tranſparent de la plaine aſuree.	Rien ne semble ébranler ces cavernes profondes Que les monstres marins qui ronflent sous les ondes, Et d'ils lent mouvement dont résonnent les flots Au creux de ces rochers réveillant les écots Endorment d'un doux bruit les filles de Neree Au séjour transparent de la plaine azurée.
Alcyon ſe conſomme en ſouſpirs amoureux, Et conte à ces eſcueils ſon deſtin rigoureux.	Alcyon se consomme en soupirs amoureux, Et conte à ces écueils son destin rigoureux.
Les aſtres augmentans leur flame couſtumiere Font trembler deſſous l’onde vne viue lumiere, Et l’image du Ciel y trompant les oyſeaux Les attire ſouuent ſur la face des eaux.	Les astres augments leur flamme coutumière Font trembler dessous l'onde une vive lumière, Et l'image du Ciel y trompant les oiseaux Les attire souvent sur la face des eaux.
Le vieux Tithon ſommeiile au beau ſein de i’Au	Le vieux Tithon sommeiile au beau sein de j'Au
Le Soleil fermant l’œil dont l’Vniuers ſe dore Cache deſſous les flots ſon viſage éclattant, Où la Lune ſe mire en ſon voile flottant, Augmente ſes attraits, & de ſes regards ſombres Careſſant ſon Amant perce au trauers des ombres.	Le Soleil fermant l'œil dont l'Univers se dore Cache dessous les flots son visage éclattant, Où la Lune se mire en son voile flottant, Augmente ses attraits, et de ses regards sombres Caressant son Amant perce au travers des ombres.
Et vous qui dans les Cieux terminez vos deſirs Sur le comble diuin des ſouuerains plaiſirs, Que le ſoin des mortels rarement vous tourmente, Le nectar vous endort, mais Venus mal contente Reſſent pour des Bergers vne extreme douleur, Dõt le malheur pãchant rẽd ſon teint ſans couleur.	Et vous qui dans les Cieux terminez vos désirs Sur le comble divin des souverains plaisirs, Que le soin des mortels rarement vous tourmente, Le nectar vous endort, mais Venus mal contente Ressent pour des Bergers une extrême douleur, Dont le malheur pouvant rẽd son teint sans couleur.
Pour plaindre mes ennuis l’Aurore a peu de larmes, Ils terniſſent l’eſclat de mes amoureux charmes, de Neus Et m’ont fait conſentir arriuant dans ces lieux A laiſſer aujourd’huy mes habits precieux;	Pour plaindre mes ennuis l'Aurore a pu de larmes, Ils ternissent l'éclat de mes amoureux charmes, de Nus Et m'ont fait consentir arrivant dans ces lieux A laisser aujourd'hui mes habits précieux;
Car de ces beaux threſors ne voulãt point paroiſtre Afin que nul des Dieux ne me puiſſe connoiſtre Aux ornemens luiſans de diuiit cirten Ie feins d’eſtre Bergere en ces bords écartezeaux Moy dont l’entendement connoiſt les deſtinees, Et preuient les effects du long cours des annees, Iende Ie ſçay bien que d’Amour le glorieux flambeau	Car de ces beaux trésors ne voulant point paraître Afin que nul des Dieux ne me puisse connaître Aux ornements luisants de divit cirten Je feins d'être Bergère en ces bords écartezeaux Moi dont l'entendement connaît les destinées, Et prévient les effets du long cours des années, Jende Je sais bien que d'Amour le glorieux flambeau
Doit perdre ſa lumiere en l’ombre du tombeau, Qu'vne trouppe d’Amãts l’eſclat de noſtre Empire Qui de ſa douce flame inceſſamment ſouſpire, Doit finir aujourd’huy d’vn rigoureux treſpas Si le deſtin ne cede à nos puiſſans appas.	Doit perdre sa lumière en l'ombre du tombeau, Qu'une troupe d'Amãts l'éclat de notre Empire Qui de sa douce flamme incessamment soupire, Doit finir aujourd'hui d'Hui rigoureux trépas Si le destin ne cède à nos puissants appas.
C’eſt le preſſant danger dont ie me ſens bleßee, Et le faſcheux object qui trouble ma penſee.	C'est le pressant danger dont je me sens blessee, Et le fâcheux objét qui trouble ma pensée.
En vain de mes attraits ie renflame les Cieux, Ie gaigne ſans profit le ſouuerain des Dieux Qui n'oſe deſtourner cét orage funeſte;	En vain de mes attraits ie renflamme les Cieux, Je gagne sans profit le souverain des Dieux Qui n'ose détourner cet orage funeste;
Mais parmi tant d’ennuis ce reconfort me reſte Que ie penſe eſloigner les outrages du ſort, Et de charme & de traits arreſter ſon effort.	Mais parmi tant d'ennuis ce réconfort me reste Que tu pense éloigner les outrages du sort, Et de charme et de traits arrêter son effort.
