Avec Permiſſion.	Avec Permission.
La Seene eſt proche d’une Foreſt de Thrace.	La Seène est proche d'une Forêt de Thrace.
PRE’FACE.	PRE'FACE.
Eux qui ne cherchent que la politeſſe  & l’exactitude dans un Ouvrage, n’ont que faire de lire celuy-cy:	Eux qui ne cherchent que la politesse et l'exactitude dans un Ouvrage, n'ont que faire de lire celui-cy:
Ils n’y trouveroient rien moins que cette juſteſſe delicate qui fait le principal objet des perſonnes qui écrivent aujourd’huy, & j’avoüe franchement que cette Piece a beaucoup moins de la regularité françoiſe que du Bouffon des Italiens, auſſi n’étoitce, pas pour acquerir de la gloire que je l’a fis dans un âge aſſez jeune, comme ce n’eſt pas aujourd’huy le motif qui me l’a fait mettre au jour, c’eſt pout avoir le plaiſir de la voir condamner à des ignorans qui s’en font un de blâmer des Ouvrages auſquels le plus ſouvent ils ne comprennent rien, à qui la rencontre d’un mot hors de ſa place, ou d’une ſyllabe mal arangée donnent des convulſions, & qui ne cherchent point à ſe divertir en liſant une Piece qui n’eſt faite que pour cela, mais qui cherchent au contraire à avoir matiere de ſe chagriner.	Ils n'y trouveraient rien moins que cette justesse délicate qui fait le principal objet des personnes qui écrivent aujourd'hui, et j'avou franchement que cette Pièce a beaucoup moins de la régularité française que du Bouffon des Italiens, aussi n'était, pas pour acquérir de la gloire que je l'a fis dans un âge assez jeune, comme ce n'est pas aujourd'hui le motif qui me l'a fait mettre au jour, c'est pout avoir le plaisir de la voir condamner à des ignorants qui s'en font un de blâmer des Ouvrages auxquels le plus souvent ils ne comprennent rien, qui la rencontre un mot hors de sa place, ou une syllabe mal arangée donnent des convulsions, et qui ne cherchent point se divertir en lisant une Piece qui est faite que pour cela, mais qui cherchent au contraire avoir matière de se chagriner.
La lecture du Paſtor fido, m’avoit donné extrémement du penchant à faire quelque Ouvrage qui eut de ſa tendreſſe & de ſon en joüement, & celle de l’Amynte changea ce penchant en une demangeaiſon qui ne put ceſſer que je n’euſſe mis la plume à la main;	La lecture du Pastor fido, m'avait donné extrêmement du penchant à faire quelque Ouvrage qui eut de sa tendresse et de son en jeuement, et celle de l'Amînte changea ce penchant en une démangeaison qui ne put cesser que je n'eusse mis la plume à la main;
je l’a pris & fis cette bagatelle en quinze jours de temps ſans en avoir dreſsé aucun plan, & ſans ſçavoir même lorſque je faiſois une Scene ce que je devois mettre dans celle qui ſuivoit:	je l'a pris et fis cette bagatelle en quinze jours de temps sans en avoir dressé aucun plan, et sans savoir même lorsque je faisais une Scène ce que je devais mettre dans celle qui suivait:
Si cette facilité d’écrire ne ſemble pas plus loüable que les fautes qui s’y rencontrent ne ſemblent dignes de blâme:	Si cette facilité d'écrire ne semble pas plus louable que les fautes qui s'y rencontrent ne semblent dignes de blâme:
Je feray comme cet Abbé de Caën de qui l’on voit ſi ſouvent, des Ouvrages, & je diray en me conſolant tout le monde ſe mocque de moy;	Je ferai comme cet Abé de Caèn de qui l'on voit si souvent, des Ouvrages, et je dirai en me consolant tout le monde se moque de moi;
mais qu’importe, j’ay toujours le plaiſir d’écrire.	mais qu'importe, j'ai toujours le plaisir d'écrire.
PROLOGUE, E la Ma Oeley ue Muas,	PROLOGUE, E la Ma Èley ue Muas,
L’AMOUR, E ſuis las d’exercer les Dieux, Et de donner des loix au Maiſtre du Tonnerre?	L'AMOUR, E suis las d'exercer les Dieux, Et de donner des lois au Maître du Tonnerre?
