ARGVMENT DE LA preſente Tragedie.	ARGUMENT DE LA présente Tragédie.
LADIN, Roy de Iudee, ayant eſté aduert y par quelques Courriers que l'armee Ch eſtienns que condu joit God froy, s’app ochoit fort pour venir enceindre les murs de Ieruſalem, fait expres commandement de reparer quelques rumes, où pendant ce labeur Iſmen Enchanteur ſe preſente au Roy & dit, que s’il plaiſoit à ſa Majeſté d’aller prendre au Temple des Chreſtiens, vne Imege faicte à la ſemblance de la Vierge Marie, & la porte luy meſine en leur Moſquee, la ville ne pourroit iamais eſtre priſe, ce que le Roy executte incontenent, mais la D'itmnité ne voulant ſouffrir l’image a vn tel lieu eſt incontinent eſuanouye:	LADIN, Roi de Iudee, ayant été avert y par quelques Courriers que l'armée Ch estienns que condu jait God froi, s'app ochait fort pour venir enceindre les murs de Jérusalem, fait exprès commandement de réparer quelques rumes, où pendant ce labeur Ismen Enchanteur se présente au Roi et dit, que s'il plaisait à sa Majesté d'aller prendre au Temple des Chrétiens, une Âme faite à la semblance de la Vierge Marie, et la porte lui -mène en leur Mose, la ville ne pourrait jamais être prise, ce que le Roy executte incontenent, mais la D'itmnité ce tte souffrir image a n tel mai est incontinent la:
Le Roy aduerty d'vne telle perte, eſtimant que le larcin ne prouient d’au re que des Chreſtiens, proteſte de les faire tous mourir ſi quelqu’vn ne ſe preſente autheur du crime, où eſtant remonſtre par deux de ſes famillers, cuidant rompre le deſſain les fait poignorder en ſa preſence;	Le Roi averti d'une telle perte, estimant que le larcin ne provient d'au re que des Chrétiens, proteste de les faire tous mourir si quelqu'un ne se présente auteur du crime, où étant remonstre par deux de ses famillers, cuidant rompre le dessain les fait poignorder en sa présence;
Sophronie fille de ieruſalem voyant le piteux ſpectacle preparé pour les Chreſtiens, ſe d'lihe e d'adaertir le Roy qu’elle a fait le laxcin ce qu’elle fait, où apres pluſieurs conteſt arions ia condamne à la mors, com mne on apreſtoit le hucher, ſe preſent e Dlen le ieune citadin amoureux de Sophronie, & maintient toir pris l’Im ige, Alidin couroucé d'entendre leurs debas, -.	Sophronie fille de jerusale voyant le piteux spectacle préparé pour les Chrétiens, se d'élihe eût d'adaertir le Roi qu'elle a fait le laxcin ce qu'elle fait, où après plusieurs contest arions ja condamne à la mors, com ne on apprêtait le hucher, se présent é Len le jeune citadin amoureux de Sophronie, et maintient toir pris l'Im ige, Alidin couroucé d'entendre leurs débas, -.
C----- C C- & indigné contr'eux, les condamne à ſouffrir & paſſer par les flames, Clorinde (die la guerriere) fille de Scenap Rey d’Ethiopye arriuée en ia ville pour le ſecours des Sarrazins, veoid ces d'eux amants, commande de ſurſeoir l’execution, ſe preſente au Roy pour ſa deffence, ne demande autre choſe que les deux pauures captifs, pour les ſeruices qu’elle pretend farre pour l’vtilité de la Coy Mahometane, ce qui luy eſt accordé, les deliure, & les conjoinct auß par mariage ayant receu la priere que lny en fit Olinde, qui ferme le ſujet de la preſente Tragedie.	Ç, QUI Ç- et indigné contre eux, les condamne à souffrir et passer par les flammes, Clorinde (die la guerrière) fille de Scenap Rey lesEthiopye arriuée en ja ville pour le secours des Sarrasins, veoid ces d'eux amants, commande de surseoir l'exécution, se présente au Roi pour sa défense, ne demande autre chose que les deux pauvres captifs, pour les services qu'elle prétend sarre pour l’ vtilité de la Coi Mahométane, ce qui lui est accordé, les délivre, et les conjoin par mariage et receu la es que on en fit Olinde, qui ferme le se de la presente Tragedie.
LES ENTATANLEVNO.	LES ENTATANLEUNO.
Aladin Roy de Iudee.	Aladin Roi de Iudee.
Sophronie ieune DaOrcã l’vn de ſes famillers, moiſelle.	Sophronie jeune DaOrcien l'un de ses famillers, moiselle.
Son Conſeiller.	Son Conseiller.
Iſmen Enchanteur.	Ismen Enchanteur.
Le Soldat Payen.	Le Soldat Païen.
Clorinde fille de Scenap Roy d’Ethiopie.	Clorinde fille de Scenap Roi d'Ethiophie.
Le deuxieſme ſoldat Olinde Citadin de Ieru- Payen.	Le deuxième soldat Olinde Citadin de Jerv- Païen.
ſalem.	salem.
LITSOIIRONTE TRAGEDIE FRAN – COISE, TIREE DE Torcato Taſco.	LITSOIIRONTE -TRAGÉDIE FRAN OISE, TIRE DE Torcato Tasco.
ACTE PREMIER.	ACTE PREMIER.
Aladin, Orcan, Iſmen.	Aladin, Oran, Ismen.
3	3
I JV & Y Aladin.	I JV et Y Aladin.
IEVX, habitans du Ciel qui gouuernez l’Empire De tout ceſt vniuers & qui faictes reluire, Tant de petits flambeaux ouurage de vos mains Et tant de biens auſsi ſur le chef des humains, Qui faictes liaiſon de la terre germee Nourriſſant de ces fleurs toute enoie reinte, Qui guides les ſaiſons & ſortir en leur temps Et qui peut rendre l’vn & les autres contens, S’y vous n’ignorez point de noſtre pure eſſence Et que de mon mal-heur vous auez cognoiſſance,	YEUX, habitants du Ciel qui gouvernez l'Empire De tout cet univers et qui faites reluire, Tant de petits flambeaux ouvrage de vos mains Et tant de biens aussi sur le chef des humains, Qui faites liaison de la terre germée Nourrissant de ces fleurs toute enoie reinte, Qui guides les saisons et sortir en leur temps Et qui peut rendre l'un et les autres contents, S'y vous n'ignorez point de notre pure essence Et que de mon malheur vous avez connaissance,
La Sophronte.	La Sophronte.
Et ſi pour eſtre exempts de toutes paſſions Si auez comme on dit ſoing de nos actrons, En quoy ay-ie offencé voſtre grandeur diuine Pour faire de ſi loing armer à ma ruine, Tant de peuples diners, auez vous decreté De perdre de rechef ceſte pauure cité, Ou n’aguere i’auois voſtre loy eſtablie Deſſoubs le ceptre herieu par le monde abolie, A-il eſté conclu par vn fatal deſtin Que le los d’Aladin auiourd’huy preigne fin, Que luy auoit ſe ruy d’auoir en ſa ieuneſſe Tant de fois triomphé du monarque de Perce, D’auoir l’orgueil Chreſtien tant de fois abatu Soubs les effors guerriers de ſa belle vertu, D’auoir ſi ſagement ſa fortune guidee Que de pauure Soldat il ſoit Roy de Iudee, Et ores qu’il ſe ſent vn pied dans le tombeau Que le ſang enujellit ſe glace ſoubs ſa peau, Son heur eſt aſſaill y d’vne nouuelle crainte De veoir en vn moment toute ſa gloire eſteinte, Qu’il euſt bien mieux vallu ſur la terre eſtendu Blecé d’vn coup mortel il euſt l’eſprit rendu, Au milieu d’vn aſſaut au milieu d’vne plaine Errant comme Soldat ou ſimple Capitaine, I’euſſe eſté trop heureux mais i’eſtois reſerué De tomber de plus hault, lors que plus eſleué, I'auois fait d’Idumee vne entiere conqueſte Et verſé de ſon Roy la couronne & ſa teſte, Et nous cauſer le deúil qu’ores nous reſentons Touſiours vient le malheur quand moins nous le doubtons:	Et si pour être exempts de toutes passions Si auez comme on dit soing de nos actrons, En quoi ay-ie offencé vôtre grandeur diuine Pour faire de si loing armer ma ruine, Tant de peuples dîners, auez vous decreté De perdre de rêches ceste pauure cité, Ou aguere auois vôtre loi établie Dessoubs le ceptre herieu par le monde abolie, A-il esté conclu par fatal destin Que le Aladin auiourd’ preigne fin, Que lui auoit se ruy auoir en sa ieunesse Tant de fois triomphé du monarque de Perce, auoir orgueil Chrestien tant de fois abatu Soubs les essors guerriers de sa belle vertu, auoir si sagement sa fortune guidée Que de pauure Soldat il soit Roy de Iudee, Et ores il se sent pied dans le tombeau Que le sang enujellit se glace soubs sa peau, Son heur est assaill y nouuelle crainte De veoir en moment toute sa gloire éteinte, il eût bien mieux vallu sur la terre étendu Blecé coup mortel il eût esprit rendu, Au milieu assaut au milieu plaine Errant comme Soldat ou simple Capitaine, eusse esté trop heureux mais estois reserué De tomber de plus hault, lors que plus esleué, auois Et sy pour être conquêtePat versé de son Roy la couronne et Si ave, Et comme on dit soin dores nos resentons Tousiours En le malheur quand moins ai -je offensé:
