LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
ARGVMENT.	ARGUMENT.
L'iMITATION d’Apollon qui auoit mené paiſtre les troupeaux d’Admete dãs la Theſſalie, les Grads du pays ordonnerent que leurs enfans apres auoir apris chez eux les arts liberaux, s’adonneroient durant trois ans à la vie Paſtorale, c’eſtoit ſoubs la conduite des meſmes perſonnes qui les auoiẽt eleuez.	L'iMITATION d'Apollon qui avait mené paître les troupeaux d'Admète dans la Thessalie, les Grads du pays ordonnèrent que leurs enfants après avoir appris chez eux les arts libéraux, s'adonneraient durant trois ans à la vie Pastorale, c'était soups la conduite des mêmes personnes qui les avaient élevés.
Les filles auoiẽt cela de plusqu’elles eſtoiẽt auec leurs Gouuernantes ſoubs la iuriſdiction du plus ancien Sacrificateur.	Les filles avaient cela de plusqu'elles étaient avec leurs Gouvernantes soubs la juridiction du plus ancien Sacrificateur.
C'eſt là que Thirſis fut ſi fort épris des perfections d’Vranie, que la feſte qui aſſemble auiourd’huy ſes amis, pour taſcher de ſeruir à ſes iuſtes intentions ſemble pluſtoſt les conuier à ſes obſeques:	C'est là que Thyris fut si fort épris des perfections d'Unranie, que la fête qui assemble aujourd'hui ses amis, pour tâcher de servir à ses justes intentions semble plutôt les convier à ses obsèques:
mais parce qu’vne vertu ne peut eſtre contraire à l’autre, la conſtance de Thirſis & la reſolution de ſa Maiſtreſſe ſe trouuent à la fin ſatisfaites ſans que ny l’vne ny l’autre ſouffre aucune diminution.	mais parce qu'une vertu ne peut être contraire à l'autre, la constance de Thyris et la résolution de sa Maîtresse se trouvent à la fin satisfaites sans que ni l'une esprit l'autre souffre aucune diminution.
Les Actes sõt en proſe, & les Chœurs en vers, & a cauſe que le ſujet de céte Bergerie eſt vne Chaſteté inuincible, Honneur fera le Prologue.	Les Actes sont en prose, et les Chœurs en vers, et à cause que le sujet de céte Bergerie est une Chasteté invincible, Honneur fera le Prologue.
MENALQVE, Gouuemneur de Thirſis.	MENALQUE, Gouvemneur de Thyris.
AMARILLE, Gouuernante d'Vranie.	AMARILLE, Gouvernante d'Vranie.
CHORILAS, Intime amy de a ſianaos	CHORILAS, Intime ami de a sianaos
ARISTEE, Cnef de la Compagnlie.	ARISTE, Cnef de la Compagnlie.
HELENOR, Sacrificateur.	HÉLENOR, Sacrificateur.
ADMETE, Deuin.	ADMETE, Deuin.
LICANDRE, Magicien.	LICANDRE, Magicien.
& Berger tres-contens l’vn de Pautle.	et Berger très-contens l'un de Pautle.
SIREINE, Berger inconſtant.	SIREINE, Berger inconstant.
DRIOPE, Malfaiſante.	DRIOPE, Malfaisante.
PHILIS ET PHILIDOR, leus nes enfans.	PHILIS ET PHILIDOR, lus nés enfants.
LE PAISAN.	LE PAYSAN.
ACILIREMEI SCENE PREMIERE.	ACILIREMEI SCÈNE PREMIÈRE.
THIRSIS, ſort de grand matin de l’antre où il a dormy & penſe au ſonge qu’il a eu.	THIRSIS, sort de grand matin de l'antre où il a dormi et pense au songe qu'il a eu.
ASo 3 7 AY donc veu ma felicité malgré l'enuie de mon ſort, i’ay veu durant cette nuit ma belle maiſtreſſe, qui me permettoit de luy offrir l’homage & les ſeruices que ie luy dois rendre.	ASo 3 7 AY donc vu ma félicité malgré l'envie de mon sort, j'ai vu durant cette nuit ma belle maîtresse, qui me permettait de grands offrir l'hommage et les services que ie ans dois rendre.
Elle me monſtroit vn viſage qui ſembloit banir pour jamais les rigueurs qu’elle ma tenuë, & me donnoit tous les regards qui commandent d’eſperer.	Elle me montrait un visage qui semblait banir pour jamais les rigueurs qu'elle ma tenue, et me donnait tous les regards qui commandent d'espérer.
Quelque malin & quelque malfaiſant que ſoit l’aſtre de ma naiſſance, il eſt ſans force auſſi bien que ſans lumiere à la rencontre meſme imaginée de celle qui eſt mon Soleil, & pour le moins elle eſt bonne en ſa repreſentation, attendant qu'elle la ſoit en elle meſme.	Quelque malin et quelque malfaisant que soit l'astre de ma naissance, il est sans force aussi bien que sans lumière à la rencontre même imaginée de celle qui est mon Soleil, et pour le moins elle est bonne en sa représentation, attendant qu'elle la soit en elle -même.
Helas où eſtes vous allez puiſſans charmes de mes ennuis?	Hélas où êtes -vous allez puissants charmes de mes ennuis?
qu’es tu donc deuenu cher objet de ma penſée?	qu'es tu donc devenu cher objet de ma pensée?
il n’y a rien que nous eſtions enſemble, faut il qu'en vn moment cette beauté ſoit diſparuë, & que ie n’aye deſſillé les yeux qu’à fin de ne la voir plus?	il n'y a rien que nous étions ensemble, faut il qu'en un moment cette beauté soit disparue, et que venir n'aie dessillé les yeux qu'à fin de ne la voir plus?
A quoy ſuiſ-je reduit?	À quoi suis-je réduit?
ie ne les ſçaurois ouurir que ie n’en perde le phantoſme, & ie ne les ſçaurois fermer que ie n'en perde la verité.	Ce ne les saurais ouvrir que je n'en perde le phantôme, et ie ne les saurais fermer que ici n'en perde la vérité.
O nuit fauorable aux Amans, que ne m’as tu prolongé la chaſte iouyſſance de ſon idée, ou pluſtoſt que ne prenois tu plaiſir à regarder tant de merueilles:	Ô nuit favorable aux Amants, que ne m'as tu prolongé la chaste jouissance de son idée, ou plutôt que ne prenais tu plaisir à regarder tant de merveilles:
toutesfois ie t excuſe, tu es aueugle, autrement tu te ſerois bien plus arreſtée à la contempler, où peut on eſtre en ſeureté ſi on ne l’eſt pas dedans ſoy?	toutefois ie t excuse, tu es aveugle, autrement tu te serais bien plus arrêtée à la contempler, où peut -on être en sûreté si on ne l'est pas dedans soi?
de quelle poſſeſſion ſe peut on vanter ſi noſtre imagination eſt ſujette à eſtre volée, & ſi dans les plus cachez recoins de noſtre ame, il n’entre point de diſtraction qui n’y commette du larcin?	de quelle possession se peut on vanter si notre imagination est sujette à être volée, et si dans les plus cachez recoins de notre âme, il n'entre point de distraction qui n'y commette du larcin?
Encore aux autres larcins, celuy qui fait le crime gagne ce qu’il vole, icy l’on me priue d’vn bien dont perſonne puis apres ne iouyt.	Encore aux autres larcins, celui qui fait le crime gagne ce qu'il vole, ici l'on me prive d'un bien dont personne puis après ne jouit.
Vranie tout fait pour toy, tout taſche à te cõplaire, il n'eſt pas iuſques à mõ reſueil qui ne flatte ta ſeuerité, tu me refuſes ta preſence, il m’oſte ton image;	Vranie tout fait pour toi, tout tâche à te complaire, il n'est pas jusques à mon réveil qui ne flatte ta sévérité, tu me refuses ta présence, il m'ôte ton image;
ſçait il bien que cette complaiſance eſt vn ſacrilege,pource que l’oſter de mon eſprit c’eſt l’arracher de ſon autel.	sçait -il bien que cette complaisance est un sacrilège,pource que l'ôter de mon esprit c'est l'arracher de son autel.
O rare ſonge, ô doux ſommeil, pourquoy n’as tu pas voulu durer dauantage?	Ô rare songe, ô doux sommeil, pourquoi n'as tu pas voulu durer davantage?
Si ie ne dois eſtre heureux qu’à la deſrobée de peur que mon mauuais deſtin n’ait loiſir d’y prendre garde, il n’y auoit rien à craindre de ce coſté là, qui nous eut aperceus?	Si personne ne dois être heureux qu'à la dérobée de peur que mon mauvais destin n'ait loisir d'y prendre garde, il n'y avait rien à craindre de ce côté là, qui nous eut aperçus?
les tenebres couuroient toutes choſes, toy meſme tu me bandois les yeux, de peur que i’en fuſſe teſmoin oculaire, qui l’eut rapporté;	les ténèbres couvraient toutes choses, toi -même tu me bandais les yeux, de peur que j'en fusse témoin oculaire, qui l'eut rapporté;
il n’y auoit auec nous que la ſolitude & le ſilence;	il n'y avait avec nous que la solitude et le silence;
& le rauiſſement où i’eſtois, m’eut empeſché de le dire, & puis ie n’euſſe eu garde de le reueler de crainte d’offenſer Vranie, qui deſaduoüeroit ſa reſſemblance, ſi elle ſçauoit l’heure & le lieu où elle s’eſt venuë preſenter â moy.	et le ravissement où j'étais, m'eut empêché de le dire, et puis apprendre n'eusse eu garde de le révéler de crainte d'offenser Véranie, qui désavouerait sa ressemblance, si elle savait l'heure et le lieu où elle s'est venue présenter âmes moi.
Non, elle ne me pardonneroit jamais de m’en eſtre vanté, ſe figurant que i’en voudrois tirer quelque auantage où former quelque eſperance.	Non, elle ne me pardonnerait jamais de m'en être vanté, se figurant que j'en voudrais tirer quelque avantage où former quelque espérance.
Belle aurore mere du iour, que ne demeurois tu plus long-temps auec ton Cephale, & que n’auois tu pour cette heure plus de pareſſe ou plus d’amour?	Belle aurore -mère du jour, que ne demeurais tu plus longtemps était ton Céphale, et que n'avais tu pour cette heure plus de paresse ou plus d'amour?
Ie poſſederois vn bien, dont ie n’ay plus que la perte & le ſouuenir de l’auoir perdu.	Je posséderais un bien, dont je n'ai plus que la perte et le souvenir de l'avoir perdu.
Ha!	Ha!
que i’eſtois heureux.	que j'étais heureux.
Ha!	Ha!
que ie ſuis miſerable.	que ici suis misérable.
deux ames n’en font qu’vne, le ſecret n’eſt pas à ſon aiſe, s’il n’eſt ſceu de toutes deux.	deux âmes n'en font qu'une, le secret n'est pas à son aise, s'il n'est su de toutes deux.
Raconte moy tout au long l’hiſtoire de ton ſonge, où ie ne trouue (non plus qu’au iour qui ne fait que de poindre) que bien peu de clairté.	Raconte moi tout au long l'histoire de ton songe, où je ne trouve (non plus qu'au jour qui ne fait que de poindre) que bien peu de clairté.
THIRSIS, Cher amy, c’eſt bien la raiſon que celuy qui prend tant de part en nos tourmens, en prenne auſſi aux accidens qui me ſoulagẽt.	THIRSIS, Cher ami, c'est bien la raison que celui qui prend tant de part en nos tourments, en prenne aussi aux accidents qui me soulagẽt.
Sur le point que nous euſmes acheué de diſcourir hyer au ſoir, moy de mes infortunes au ſujet de mes amours, & toy de l’offré de tes bons offices, la laſſitude me fit voir que c’eſt elle qui a eſté iuſques à preſent la meilleure de mes peines:	Sur le point que nous eûmes achevé de discourir hier au soir, moi de mes infortunes au sujet de mes amours, et toi de l'offré de tes bons offices, la lassitude me fit voir que c'est -elle qui a été jusques à présent la meilleure de mes peines:
Car ſi toſt que tu m’eus quitté dedans l’antre où nous venions de concerter les efforts que nous deuons faire au iourd’huy, pour taſcher de gagner THIRSIS, A peine commençoiſje à m’endormir, que ie veis paſſer deuant moy, en autant de figures viuantes, les maux que i'ay ſouffers au ſeruice d’Vranie.	Car si tôt que tu m'eus quitté dedans l'antre où nous venions de concerter les efforts que nous devons faire au iourd’hui, pour tâcher de gagner THIRSIS, À peine commençoisje à m'endormir, que je veis passer devant moi, en autant de figures vivantes, les maux que j'ai souffert au service d'Unie.
C’eſtoit vne longue ſuitte de petits fantoſmes humains que leur aage monſtroit innocens & leur chaiſne coupables;	C'était une longue suitte de petits fantômes humains que leur âge montrait innocents et leur chaîne coupables;
cette cruelle, vn ſubit aſſoupiſſement me print ſur ce propos, ou bien ſi ce fut le ſommeil, que le ne cognois plus depuis que i’ayme, au moins ce n'eſt pas celuy qui eſt frere de la mort;	cette cruelle, un subit assoupissement me prînt sur ce propos, ou bien si ce fut le sommeil, que le ne connais plus depuis que j'aime, au moins ce n'est pas celui qui est frère de la mort;
Car ie puis dire qu’apres toy ie luy dois la vie, à cauſe du contentement qu’il m’a procuré.	Car prem puis dire qu'après toi ie luy dois la vie, à cause du contentement qu'il m'a procuré.
CHORILAS, N’eſtant pas frere de la mort,par conſequent il ne ſera pas frere de l’oubly.	CHORILAS, N'étant pas frère de la mort, conséquent il ne sera pas frère de l'oubli.
C’eſt pourquoy rote prie de n’y rien obmettre, de peur de diminuer tant ſoit peu de ta fidelité & de ma ſatisfaction.	C'est pourquoi rote prie de n'y rien obmettre, de peur de diminuer tant soit peu de ta fidélité et de ma satisfaction.
elle eſtoit entremeſlée de boucles d’aimant & d’ambre, tellement appropriées qu’on n’eut ſceu dire ſi elle leur ſeruoit où d’attache ou d’ornement.	elle était entremêlée de boucles d'aimant et d'ambre, tellement approchées qu'on n'eut su dire si elle leur servait où d'attache ou d'ornement.
A coſté d’eux autant d’autres Genies les menoient par ces liens auec vn empire abſolu, qui teſmoignoit bien qu’ils en eſtoient les maiſtres;	À côté d'eux autant d'autres Génies les menaient par ces liens avec un empire absolu, qui témoignait bien qu'ils en étaient les maîtres;
l’vn des bouts de ceſte chaiſne deſcendoit du Ciel, l’autre ſe perdoit dans vn air chargé de vapeurs, où quelque Deité formoit vn nuage d’Iſabelle, ce qui m’occupoit à mille reſueries iuſqu'à tant qu’il en ſortit cette voix, jattache tton cœur à ſes appas, ta ſoubmißion a ſes meſpris, tes ſouffrances à ſa tyrannie.	l'autre des bouts de cette chaîne descendait du Ciel, l'autre se perdait dans un air chargé de vapeurs, où quelque Déité formait un nuage d'Isabelle, ce qui m'occupait à mille rêveries jusqu'à tant qu'il en sortit cette voix, jattache ton cœur à ses appas, ta soubmission à ses mépris, té souffrances à sa tyrannie.
Or i'oubliois de te dire qu’auant tout cela, ie me ſentis frappé d’vne main qui m’eſueilla à ce que ie m’imaginois, & ie m’eſtõnois que le coup en fut ſi doux, puis qu’elle eſtoit d’yuoire.	Or j'oubliais de te dire qu'avant tout cela, je me sentis frappé d'une main qui m'éveilla à ce que sans m'imaginais, et ie m'estõnois que le coup en fut si doux, puis qu'elle était d'yvoire.
Comme ie la contemplois, il m’eſt auis qu’amour me dit.	Comme ici la contemplais, il m'est avis qu'amour me dit.
Thirſis, voyla l’ordre de ta deſtinée, apres il s’enuola dans vne foreſt de lauriers.	Thyris, voilà l'ordre de ta destinée, après il s'envola dans une forêt de lauriers.
En moins de temps qu’il y a que i’ay proferé ces dernieres paroles, Vranie ſuruint qui adiouſta.	En moins de temps qu'il y a que j'ai proféré ces dernières paroles, Vranie survint qui ajouta.
Thyrſis, voyla ta recompenſe, puis ſon accueil obligeant me ſurprit de telle ſorte que mon repos n'a eſté qu’vne perpetuelle adr miration, à cette heure ie ſuis autant à plaindre qu’alors i'eſtois à enuier.	Thyrsis, voilà ta récompense, puis son accueil obligeant me surprit de telle sorte que mon repos n'a été qu'une perpétuelle adr iration, à cette heure ie use autant à plaindre qu'alors j'étais à envier.
