PARIS, Chez IEAN CORROZET, au Palais, ſur le perron de la Saincte Chapelle.	PARIS, Chez IEAN COROZET, au Palais, sur le perron de la Sainte Chapelle.
TRCRSUVL.	TRCRSUL.
TAN en nabit laſtoraſ.	TAN en nabit lastoras.
Ayquitté les deſerts & les foreſts ſacrées, I Les coſtaux embaumez, les ruiſſeaux & les prées De la ſaincte Arcadie, & des temples dorez, Où l’on voit mes portraits tous les iours adorez.	Ayquitté les déserts et les forêts sacrées, I Les coteaux embaumés, les ruisseaux et les prées De la sainte Arcadie, et des temples dorés, Où l'on voit mes portraits tous les jours adorés.
I’ay quitté mes autels & mes riches trophées, Et le plaiſant ſejour des Nymphes & des Fées, Les myrthes, les lauriers, les palmes verdiſſans, Les fleurs & les doux fruits de mes fertiles champs, Ayant d’vn ſimple habit couuert à l’impourueue Ma haute deïté du monde aſſez cogneue, Pour voir de ces pays les agreables lieux, Les prez, les châps, les eaux, les monts delicieux, Außi pour accoſter les troupes eſtrangeres Des vertueux Bergers, & des belles Bergeres, Meſmes vne ſur qui reluit la majesté, Seule fleur de vertu, d’honneur & de beauté, Dont les deportemens rẽdent fable & prophane Tout ce qu’on dit iamais de la chaſte Diane, Qu'en mes foreſts iadis auec vne toiſon Ie ſceu gaigner le cœur, l’amour & laraiſon.	J'ay quitté mes autels et mes riches trophées, Et le plaisant séjour des Nymphes et des Fées, Les myrthes, les lauriers, les palmes verdissans, Les fleurs et les doux fruits de mes fertiles champs, Ayant d'un simple habit couvert à l'impourvue Ma haute deïté du monde assez connue, Pour voir de ces pays les agréables lieux, Les prez, les châps, les eaux, les monts de, Monts dé accoster les troupes étrangères Des vertueux Bergers, et des belles Bergeres, Mesmes sur qui et la des, Bel le de vertu, honneur et de beauté, Dont les deportemens rẽdent fable et prophane Tout ce on dit iamais de la chaste Diane, Qu'en mes rés iadis ré toison Ie sceu y le cœur, amour et laraison.
Or ſans dire mon nom, & me faire cognoiſtre, Auec toꝰ ces Paſteurs quelque tẽps ie veux eſtre, Pratiquãt leur humeur, apprenãt leurs amours, Et voir ſi l’on m’honore en ces loingtains ſejours.	Or sans dire mon nom, et me faire connaître, Avec toût ces Pasteurs quelque temps chang veux estre, Pratiquãt leur humeur, apprenants leurs amours, Et voir si l'on m'honore en ces loingtains séjours.
ENTRE-PARLEVRS.	ENTRE-PARLEURS.
LAN.	LAN.
CELIN.	CELYN.
ALEXIS.	ALEXIS.
AMOVR.	AMOUR.
LVCILE.	LUCILE.
DAMETTE.	DAMETTE.
LES GARDES DV TEMPLE.	LES GARDES DU TEMPLE.
LES MATRO ES.	LES MATRO ES.
L’HERMITE.	L'HÉRMITE.
LES SACRIF CATEVRS.	LES SACRIF CATEURS.
ARDENIE.	ARDENIE.
CORIDOM.	CORIDOM.
EAN CHANSTE BERGERE.	EAN CHANSTE BERGÈRE.
PASTORALE.	PASTORALE.
ACTE PREMIER.	ACTE PREMIER.
CELIE.	CELIE.
ALEATS.	ÀLEATS.
DergCIS.	DergCIS.
ARDENIE & ſes compagnes.	ARDENIE et ses compagnes.
S CELIN.	SEIGNEUR CELYN.
E voy ce me ſemble à l’ombrage De ce doux & plaiſant bocage Le triſte & dolent Alexis Plein de douleurs & de ſoucis, D'vne voix d’amour animee	E vois ce me semble à l'ombrage De ce doux et plaisant bocage Le triste et dolent Alexis Plein de douleurs et de soucis, D'une voix d'amour animée
A iij Faire ſa plainte accoustumee:	À jij à sa plainte accoutumée:
Mais pour moderer ſon ennuy Ie me veux approcher de luy.	Mais pour modérer son ennui Je me veux approcher de Seigneur.
ALEXIS.	ALEXIS.
