A.	A.
S.	S.
B.	B.
M.	M.
mes au cẽtre où tẽdent toutes leslig-tic nes deſesaffectiõs, & au diuin ſeC cours qui a ranimé ſa vie &s ralumé su ſesardeurs il cõſacre l’hiſtoire fidelle fei de ſa fidelité, non moins à vous par am la puiſſãce de vos diuins merites queles par celle des obligations immenſesbe qu’il vous recognoiſt auoir, il cache & Ie cours de ſes deſtinees & de ſon a-dre mour d’vn deſguiſement agreable, d'ſçachant que les felicitez amoureu-pei ſes comme les bonnes odeurs, & du les eſſences plus spiritueuſes s'e- jug xalent & dißipent au grand aire blu c’est aſſez que ceux aqui ce Dieu per liu met l’entrèe de ſon ſanctuaire & ue la iouiſſance de ſes delices entendẽt tra ſes mysteres, & ie me ſeray par- an faictement exprime ſi mon inten- j'e tion vous eſt perceptible, & content ſi'elle vous contente, permetãtqu’vn eutre ſoleil que ceux d’ont les rayõs feirent germer ce deſſein en mon ame conçeu parmy le deſeſpoir e les douleurs vo aiée ceſt eſcrit t'obey aux d'eſpens de ma reputation & de voſtre gloire d’ont les moindres traicts comme les portraits d'Alexandre, ne doiuent eſtre depeints que par les plus rares eſprits du ſiecle:	mes a cẽtre où tẽdent toutes leslig -tic vos desesaffectiõs, et au divin seC ours qui a ranimé sa vie ets ralumé su sesardeurs il confsacre l'histoire fidèle fey de sa fidélité, non moins à vous par am la puissãce de vos divins mérites que par celle des obligations immensesbe qu'il vous reconnaître avoir, il cache et Je cours de ses destines et de ses des-dre et de son agréable, d'un déguis félicitez amoureu-pey ses ales bonnes odeurs, et du les essences plus spiritueuses '- xalent et dissipent a grand aire est assez que ceux aqui ce Dieu per l met entrèe de son sanctuaire et ue la iouissance de ses oli té ses mystères, et ie me serai par- an ç exprime si mon inten- j' tion vous est perceptible, et content elle vous ode, urs, et soleil que ceux ont les rayõs feirent germer ce dessein en mon âme ç parmi le y les douleurs v aiée cest écrit t'obéi aux d'espens de ma réputation et de vôtre gloire ont les moindres traicts comme les portraits d'Alexandre, ne doiuent et dépeints que par les plusrares esprits de siècle:
mais puiſque vous m'en iugés digne comme celuy qui reſſent plus que nul autre les effects de vos diuines perfections, i'ayme mieux quel’õ me blaſme dignorãce que d’in gratitude, de temerité que deſobeiſſance, ioinct qu'eſtant tout voſtre, il n'est en mon pouuoir, ny en ma volonté de repugner à la loy inui olable de vos pouuoirs & volõtez ſoubs l’obeiſſance deſquels ie veux viure & mourir en qualité de	mais puisque vous m'en jugez digne comme celui qui ressent plus que nul autre les effets de vos divines perfections, j'aime mieux quel'on me blâme dignorance que d'in gratitude, de témérité que désobéissance, joint qu'étant tout vôtre, il n'est en mon pouvoir, ni en ma volonté de répugner à la loi inui olable de vos pouvoirs et volontés sous l'obéissance desquels ie desquels viure et mourir en qualité de
LIEEVNDVZS DESESPERE', TRAGE, COMEDIE, PASTORELLE Thiphis, Floridon, Riual, d'Angeralde, Dimitille, Nimphe.	LIEEVNDVZS DÉSESPÉRÉ, TRAGE, COMÉDIE, PASTORELLE Thyphis, Floridon, Rival, d'Angeralde, Dimitille, Nymphe.
2 & pure J 2 E viens tout à ceſte heure d’apprendre le retour d’Angeralde, & qu’il a eſté reuoquede ſon oſtraſiſme par Phenice, qui a autant de regret de l’auoir oſ fenſé, qu’el a eu de promptitude en ceſte action, ie deſire auec paſſion de le voir, A 2 voulez vous ô gentils Paſteurs, eſtre de la partie?	2 et pure J 2 E viens tout à cette heure d'apprendre le retour d'Angeralde, et qu'il a été reuoquede son ôtrasisme par Phénice, qui a autant de regret de l'avoir os sensé, qu'elle a eu de promptitude en cette action, notre désire avec passion de le voir, A 2 voulez vous ô gent Pasteurs, été de la partie?
quad cela ne ſeroit des droicts de l’amitie que nous deuons à ſon merite.	quad cela ne serait des droits de l'amitié que nous devons à son mérite.
Il eſt de ceux de la ciuilité, a laquelle ie m’aſſeure que nul de vous ne deſire manquer.	Il est de ceux de la civilité, a laquelle esprit m'assure que nul de vous ne désire manquer.
Floridon.	Floridon.
Encor que i’aye eſté ſon riual, & que ſuiuant les paſſions violentes des a moure ux paſſionnez, dont il eſt vrayemẽt le Monarque, il m’aye voulu mal autant que i’ay voulu du bien à ſa maiſtreſſe, ſi ne vous ron peray-ie compagnie, la cauſe de ſon melcontentement dura peu, & ainſi l’effect car nous n’auons laiſſé de nous voir & aimer du deſpuis, s’il auoit eſté auſſi ſage que moy il n’auroit pas tant veu de pays, ie neferois pas pour toutes les femmes enſemble, la milieſme partie de ce qu’ila faict pour teſmoigner ſon amour à celle là qui comme moy n’aime rien, c’eſt dommage que nos affections ne ce ſont rencontrees comme nos humeurs, nous euſſions faict vne race de libertins qui n’euſſent guere importuné l’a mour de leurs offrandes, ie di ceſt obſtiné que les autres ap pellent conſtant.	Encor que j'aie été son rival, et que suivant les passions violentes des a moure ux passionnés, dont il est vraiment le Monarque, il m'aie voulu mal autant que j'ai voulu du bien à sa maîtresse, si ne vous ron peray-je compagnie, la cause de son melcontentement dura peu, et ainsi l'effet car nous n'avons laissé de nous voir et aimer du depuis, s'il avait été aussi sage que moi il n'aurait pas tant vu de pays, je neferois pas pour toutes les femmes ensemble, la milième partie de ce qu'ila faict pour témoigner son amour à celle qui comme moi aime rien, est dommage que ' ai ne ce sont rencontrées me nos humeurs, nous eussions faict race de libertins qui eussent guère importuné a mour de leurs offrandes, ie cest obstiné que les autres pellent constant.
A ij Tout le monde n’eſt pas variable comme vous, qui ne voudriés auec le moindre trauail vous acquerir l’immortalité meſme, le Ciel ne faict point naiſtre les Roſes ſans les eſpines, la peine precede le plaiſir, la chaſſe la priſe, la difficulté & la reſiſtance aſſaiſonnet nos contentemens, & leur donnentvne pointe plus agreable:	A Ajour Tout le monde n'est pas variable comme vous, qui ne voudriez avec le moindre travail vous acquérir l'immortalité même, le Ciel ne fait point naître les Roses sans les épines, la peine précède le plaisir, la chasse la prise, la difficulté et la résistance assaisonnet nos contentements, et leur donnentuune pointe plus agréable:
nous ne cognoiſſons le doux que par l’amer, la paix que par la guerre & l’amour eſt ſans delices, auquel nous paruenons comme les beſtes, pluſtoſt pout eſtaindre noſtre brutalité que pour iouir des contentemens que l'eſpritſauourepar le diſcours, & les ſens par la iouiſſance qui doit eſtre pourſuiuie, meritèe, & cherie, ſi l’on veut en gou ſter les douceurs.	nous ne connaissons le doux que par l'amer, la paix que par la guerre et l'amour est sans délices, auquel nous parvenons comme les bêtes, plutôt pout étaindre notre brutalité que pour jouir des contentements que l'espritsavourepar le discours, et les sens par la jouissance qui doit être poursuivie, méritée, et chérie, si l'on veut en gou ter les douceurs.
na 1*Thiphis.	na 1*Thyphis.
Vous eſtes touſiours appointez contraires, car combiẽ que l’or de vos beaux cheueux attire Floridon, ſi n’a-il aſſez de pouuoir pour fixcer l’idragire de ces humeurs.	Vous êtes toujours appointés contraires, car combien que l'or de vos beaux cheveux attire Floridon, si n'a-il assez de pouvoir pour fixcer l'idragire de ces humeurs.
Floridon.	Floridon.
Adiouſtez ny n’aura.	Ajoutez rien n'aura.
Dimitille, ie ne courray iamais apres ce qui eſt de toutes pris & de toutes quité.	Dimitille, Madame ne courrai jamais après ce qui est de toutes pris et de toutes quité.
Floridon.	Floridon.
ſi ne ſuis-ie pas ſi miſerable d’eſtre ſãs maiſtreſſe ſi l’õpeut 6 ainſi nomer, vne qui a agreable de me poſſeder, & que ie la poſſede) le tout de mon coſté pour le moings ſans ialouſie & ſans paſſion:	si ne suis-je pas si misérable d'être sans maîtresse si l'onput 6 ainsi nomer, une qui a agréable de me posséder, et que je la possède) le tout de mon côté pour le moings sans jalousie et sans passion:
mais voicy ce ſecond Aminthe, voyons s’il ſe porte mieux que moy, & s’il trouue plus de gouſt à ſe plaindre, que moy à railler.	mais voici ce second Aminthe, voyons s'il se porte mieux que moi, et s'il trouve plus de goût à se plaindre, que moi à railler.
Dimitillo, contentez vous d’aimer le vice, & ne blaſmés point la vertu:	Dimitillo, contentez -vous d'aimer le vice, et ne blâmez point la vertu:
il eſt de beſoing qu’il y aye des hommes conſtans & véritables, ſi vous n’auez ces perfections, priez les Dieux qu’ils vous les octroyent, & mettez peine de vous en rehurs ulgne.	il est de besoin qu'il y aie des hommes constants et véritables, si vous n'avez ces perfections, priez les Dieux qu'ils vous les octroient, et mettez peine de vous en rehurs ulgne.
Floridon, ce n'eſt pas ſur quoy ie	Floridon, ce n'est pas sur quoi -je
deſire les importuner, ie traiterois de mon vtille premier que de ce point, qui ne ſera iamais a mon point, viue viue la liberté, i’ayme mieux eltre ſain, pauure & libre, que valetudinaire, riche & captif.	désire les importuner, votre traiterais de mon ville premier que de ce point, qui ne sera jamais à mon point, vi ve la liberté, j'aime mieux elle sain, pauvre et libre, que valétudinaire, riche et captif.
Angeralde, Philandre, Thiphis Floridon, Dimitille.	Angeralde, Philandre, Thyphis Floridon, Dimitille.
Angeralde.	Angeralde.
2 E long temps qu’il y a Ey que ie ſuis abſent de ce lieu, mes ennuis, les continuelles larmes qui ont auec leur torrent emporte partie de la vigueur de mes yeux, m’rmpeſchent de recognoiE ochrch.	2 E long temps qu'il y a e que ie suis absent de ce lieu, mes ennuis, les continuelles larmes qui ont avec leur torrent emporte partie de la vigueur de mes yeux, m'rmpêchent de recognoiE ochrchr.
e ſtre ceſte troupe quis achemine vers nous.	Je stre cette troupe quis achemine vers nous.
Il eſt vray que le penſe remarquer Floridon, ſon port, ſa taille, & la deuiſe qu’il porte à ſa guirlande, où eſt exprimée, ſon humeur, me le font remarquer auec plus de certitude que nul des autres.	Il est vrai que le pense remarquer Floridon, son port, sa taille, et la devise qu'il porte à sa guirlande, où est exprimée, son humeur, me le font remarquer avec plus de certitude que nul des autres.
Philandre Il eſt vray que ce panonceau ou giroüette ataché à ſa guirlande auec ces parolE.	Philandre Il est vrai que ce panonceau ou giroüette ataché à sa guirlande avec ces parolE.
les (à tous vents ) le rend recognoiſſable entre tous les Bergers de ceſte contree, & exprime parfaictement ſa legereté.	les (à tous vents ) le rend reconnaissable entre tous les Bergers de cette contrée, et exprime parfaitement sa légèreté.
L’autre Paſteur eſt Thiphis, & la Nimphe Dimitille;	L'autre Pasteur est Thyphis, et la Nymphe Dimitille;
ie m’aſſeure qu’ils nous cherchent pour ce contouir de voſtre heureux retour.	Ne m'assure qu'ils nous cherchent pour ce contouir de votre heureux retour.
1* Floridon.	1* Floridon.
Le Ciel vous rende auſſi heureux, O geneteux Angeralde, que vous le merſtez & que nous le deſirons.	Le Ciel vous rende aussi heureux, Ô geneteux Angalde, que vous le merstez et que nous le désirons.
1Angeralde.	1Angeralde.
Puiſſe il en rouanche de ce deſii, dont vous m’obligez, vous cobler de toutes ſortes de ibon heur, m’octroyant pour grace ſinguliere, l’heur de nous rendre à tous quelque ſeruice digne de voſtre vertu & courtoiſie, & de l’affection paſſionnee que i’auray eternelle, a ce qui eſt de	Puisse il en rouanche de ce desii, dont vous m'obligez, vous cobler de toutes sortes de ibon heur, m'octroyant pour grâce singulière, l'heur de nous rendre à tous quelque service dès de votre vertu et courtoisie, et de l'affection passion passion m'aurai éternelle, à ce qui est de
y dude Thiphis.	y dude Thyphis.
Le temps, les accidens, les changemens de païs, ne vous changeront iamais, vos vertus iſont naturaliſées, & la courtoiſie eſt tellement anex cec a vos mœurs;	Le temps, les accidents, les changements de pays, ne vous changeront jamais, vos vertus isont naturalisées, et la courtoisie est tellement anex a vos mœurs;
que vous n’auez, ny actions ny parolles qui ne la facent voir auec toute ſa bien-ſceance.	que vous n'avez, ni actions rien paroles qui ne la fassent voir avec toute sa bienstance.
Dimitille.	Dimitille.
Il ne ſeroit pas auoué de Phenice, s’il n’excelloiten ſon lexe comme elle au ſien, les merites de l’vn & de l’autre.	Il ne serait pas avoué de Phénice, s'il n'excellait son lexe comme elle au sien, les mérites de l'un et de l'autre.
ſont dignes d’eſtre pluſtoſt --.	sont dignes d'être plutôt --.
Admirees que loüees.	Admirees que loue.
8  Angeralde.	8 Angeralde.
.	.
4 L’excez de voſtre louange mefaict croire que vous penſez parler de vous, ou de celuy que voſtre eſlection rendra tel que vous me repreſentez belle Nimphe s’il eſt vray que l’aueu de celle dont vous parlezſoitcapable de gaigner quelque choſe, ſur les opinions à mon auantage, mais c’eſt vn honneur duquel ie ne me puis preualoir, auſſi ne le merite ie pas:	4 L'excès de votre louange mefaict croire que vous pensez parler de vous, ou de celui que votre élection rendra tel que vous me représentez belle Nimphe s'il est vrai que l'aveu de celle dont vous parlezsaitcapable de gagner quelque chose, sur les opinions à mon avantage, mais c'est un honneur duquel Ne ne me puis prévaloir, aussi ne le mérite ie pas:
ſi ce n’eſt par l’excez de mes affections qui paroiſtront touſiours au premier rang des plus fidelles paſ ſionés & durables, ſi Phenice daigne me dire ſien, c’eſtceſte recognoiſſance qui l’incline à cela, ou la pitié qu’elle a eu de ma condition deplorable ſujets deſquels ie ne puis ny ne dois m’attribuer aucune gloire qui ne ſe refere à elle à qui veritablement ie doy & veux tout deuoir.	si ce n'est par l'excès de mes affections qui paraîtront toujours au premier rang des plus fidèles pas sionés et durables, si Phénice daigne me dire sien, c'estées recognoissance qui l'incline à cela, ou la pitié qu'elle a eu de ma condition déplorable sujets desquels après ne puis seulement ne dois m'attribuer aucune gloire qui ne se réfère à elle à qui véritablement ie dois et veux tout devoir.
Dimitille.	Dimitille.
Ces parolles ſont dignes de voſtre amour & de ces merites, mais quoy voſtre nauigage n’aura-il point de port?	Ces paroles sont dignes de votre amour et de ces mérites, mais quoi votre navigage n'aura-il point de port?
4 vos peines de fin?	4 vos peines de fin?
vos trauaux de repos, ſerés vous touſiours aux mains auec la fortune & les accidens auſſi memorable en vos malheurs?	vos travaux de repos, serez vous toujours aux mains avec la fortune et les accidents aussi mémorable en vos malheurs?
comme en voſtre fidelite Nonnon cela ne ſe doit eſpeDeſeſpere.	comme en votre fidélité Nonnon cela ne se doit espéDesespère.
rer de la iuſtice d’amour, ny de la recognoiſſance de celle que vous ſeruez, dont les bõnes graces, quoy que meritantes au de là de ce que l’on ſe peut imaginer, ont neantmoins eſté miſes a l’enchere par l’excez de voſtre fidelité & conſtance.	rer de la justice d'amour, ni de la reconnaissance de celle que vous servez, dont les bonnes graces, quoi que méritantes au de là de ce que l'on se peut imaginer, ont néanmoins été mises à l'enchère par l'excès de votre fidélité et constance.
Floridon.	Floridon.
Pour moy te me contenté de faire mon offre qui ne fut ſi toſt refuſée, que ie ne me re tiraſſe ſans regret & ſans amour, tant ie ſuis admirable à me reſoudre aux accidens, tout ce que la Philoſophie taſ chè à perſuader, auec tant d’eloquence & de raiſons c’eſt -- .	Pour moi te me contenté de faire mon offre qui ne fut si tôt refusée, que personne ne me re tirasse sans regret et sans amour, tant ie suis admirable à me résoudre aux accidents, tout ce que la Philosophie tas che à persuader, avec tant d'éloquence et de raisons c'est -- .
.	.
treuuè miraculeuſement accomply en mon naturel, peu de choſes me meuuẽt, & ie me reſouds à toutes auec facilite, les maux volontaires ne me bourrellent iamais, ien attẽs aſſez de nature & du ſort, le paſſé ny l’auenir ne m’afligẽt point, ie cherche en l’vn que quelque agreable eſperance, à laquelle ie ne m’arreſte que peu de crainte qu’il ne me trauaille, & en l’autre des ſouuenances de meſme ſorte, & pour le preſent i’embraſſe ce que ie iuge m’eſtre vtile ou de lectable ſans deſir paſſionnè de le poſſeder & ſans crainte --- .	treuuè miraculeusement accompli en mon naturel, peu de choses me meuuẽt, et autre me résouds à toutes avec facilite, les maux volontaires ne me bourrellent jamais, yen attends assez de nature et du sort, le passéagez l'avenir ne m'afligt point, je cherche en l'un que quelque agréable espérance, à laquelle monde ne m'arrête que peu de crainte qu'il ne me travaille, et en l'autre des souvenances de même sorte, et pour le présent j'embrasse ce que ie iuge j'être te ou de lectable sans désir passionnè ou de posséder et sans crainte -- .
2.	2.
