AV LECTEVR.	AU LECTEUR.
paroiſtre touſiours auec diuerſité & nouueau changement d’habits, pour varier en apparence ce qu’ils ne changent iamais en effect;	paraître toujours avec diversité et nouveau changement d'habits, pour varier en apparence ce qu'ils ne changent jamais en effet;
auouans neantmoins par ce moyen que rien ne peut eſtre agreable ſans vne nouuelle beauté de viſage.	avouants néanmoins par ce moyen que rien ne peut être agréable sans une nouvelle beauté de visage.
Et c’eſt ce qui me fait esperer (Amy Lecteur) que tu gouſteras auec plaiſir & delices cet œuure, dont toutesfois la nouueauté ne s’arreſte pas ſeulement en l’apparence, mais elle paſſe iuſques au ſujet;	Et c'est ce qui me fait espérer (Ami Lecteur) que tu goûteras avec plaisir et délices cet œuvre, dont toutefois la nouveauté ne s'arrête pas seulement en l'apparence, mais elle passe jusques au sujet;
qui neantmoins de ſoy meſme eſt capable de reſiouïr vn esprit affage, Otuuly donner le repos & la felicité, voire meſme au plus fort de ſes miſeres.	qui néanmoins de soi même est capable de réjouir un esprit affage, Otuuli donner le repos et la félicité, voire avait au plus fort de ses misères.
LE COMBAT VICTORIEVX de Bachus, Contre Neptune.	LE COMBAT VICTORIEUX de Bachus, Contre Neptune.
ACTE PREMIER.	ACTE PREMIER.
NEPTVNB.	NEPTUNB.
SEMELE.	SEMELE.
MERCVRE.	MERCURE.
AMAZONE.	AMAZONE.
EVRISTE.	EURISTE.
L'ASTROLOGVE.	L'ASTROLOGUE.
CENE (I.	CÈNE (I.
NEPTVNE.	NEPTUNE.
AVT-IL que mon Empire, dont la grande eſtenduë ne connoiſt pour limites que ceux de l’Vniuers, ne me faſſe connoiſtre auſſi bien le Seigneur de la Terre, comme Dieu de la Mer?	AVT-IL que mon Empire, dont la grande étendue ne connaît pour limites que ceux de l'Univers, ne me fasse connaître aussi bien le Seigneur de la Terre, comme Dieu de la Mer?
Et quoy!	Et quoi!
qui entretiens ſa fertile vigueur, ſi ce n’eſt la douce liqueur des A iij eaux que ma liberale main diſperſe parmy les plattes campagnes?	qui entretiens sa fertile vigueur, si ce n'est la douce liqueur des A-dire eaux que ma libérale main disperse parmi les plattes campagnes?
La naiſſance d’vn Bachus poufra-elle deſtruire mes Autels?	La naissance d'un Bachus pouffra-elle détruire mes Autels?
Me rauira-il le pouuoir abſolu & legitime que i’ay acquis ſur la terre?	Me ravira-il le pouvoir absolu et légitime que j'ai acquis sur la terre?
Non, non:	Non, non:
Car, ou les Cieux me fauoriſeront de leur ſecours, ou les puiſſances infernales me ſeruiront pour extirper ce Bachus, qui menaſſe de ranger tout le monde lous Ies IoIx.	Car, ou les Cieux me favoriseront de leur secours, ou les puissances infernales me serviront pour extirper ce Bachus, qui menasse de ranger tout le monde lous Jés IoIx.
SCENE II.	SCÈNE II.
SEMBLE.	SEMBLE.
MERCVRE.	MERCURE.
SEMELE, mere de Bachus.	SEMELE, mère de Bachus.
Vœux infortunez, ô funeſtes y prieres, qui m’auez obtenu dõt elle auoit du Ciel le ſouhait de mes vœux;	Vœux infortunés, ô funestes y prières, qui m'avez obtenu donner elle avait du Ciel le souhait de mes vœux;
mes té la naſ- prieres m’ont impetré la naiſſance d’vn fils, ou pluſtoſt vn ſujet de dou leurs & de regrets qui tourmente mon ame:	mes té la nas- prières m'ont impétré la naissance d'un fils, ou plutôt un sujet de dou leurs et de regrets qui tourmente mon âme:
O mon cher fils, mon bien-aimé Bachus, qui t’a rauy de mes mains?	Ô mon cher fils, mon bien-aimé Bachus, qui t'a ravi de mes mains?
qui empeſche maintenant à mes yeux de te voir & de te contempler?	qui empêche maintenant à mes yeux de te voir et de te contempler?
Demeureray-ie deſormais priuée de ta preſence?	Demeurerai-je désormais privée de ta présence?
O que ie ſuis infortunée d’auoir adreſſé mes vœux au Ciel:	Ô que ici suis infortunée d'avoir adressé mes vœux au Ciel:
ô larmes, qui m’auez acquis la naiſſance de mon cher fils, de mon bien-aimé Bachus;	ô larmes, qui m'avez acquis la naissance de mon cher fils, de mon bienaimé Bachus;
ne me le pouuez-vous rendre encore preſent?	ne me le pouvez-vous rendre encore présent?
& auſſi bien preſent à mes yeux comme il eſt deſirable à mon cœur?	et aussi bien présent à mes yeux comme il est désirable à mon cœur?
MERCVRE.	MERCURE.
Madame, loin de vous tous regrets, quittez voſtre triſteſſe, les Dieux m’ont enuoyé vous aſſeurer que voſtre fils iſſu du ſang des Dieux eſt ſur terre.	Madame, loin de vous tous regrets, quittez votre tristesse, les Dieux m'ont envoyé vous assurer que votre fils issu du sang des Dieux est sur terre.
SEMELE.	SEMELE.
O douce nouuelle, ô parole agreable.	Ô douce nouvelle, ô parole agréable.
MERCVRE.	MERCURE.
Sçaches donc que la deſtinée fera voir que voſtre fils eſt né du grand Maiſtre des foudres, que ſon Empire aura toute l’eſtenduë de l’vniuers, que tous les Beuueurs luy ſeront ſujets, les Rois & tous les Monarques de la terre.	Saches donc que la destinée fera voir que votre fils est né du grand Maître des foudres, que son Empire aura toute l'étendue de l'Univers, que tous les Beuveurs avoir seront sujets, les Rois et tous les Monarques de la terre.
SEMELE.	SEMELE.
O trois & quatre fois heureuſe mon ame, tu as vn fils le plus puiſſant & le plus grand Monarque du monde.	Ô trois et quatre fois heureuse mon âme, tu as un fils le plus puissant et le plus grand Monarque du monde.
Courage, mon ame, tu ne ſeras plus en peine deſormais de chercher celuy que tu as tant re gretté, puis qu’il regnera ſur terre;	Courage, mon âme, tu ne seras plus en peine désormais de chercher celui que tu as tant re gretté, puis qu'il régnera sur terre;
& ie m’aſſeure de le reuoir bien toſt.	et Elle m'assure de le revoir bien tôt.
SCENE III.	SCÈNE III.
NEPTVNE.	NEPTUNE.
AMAZONE.	AMAZONE.
VSt-ce donc pour brauer ma puiſſance que les Dieux m’enF7 uoyent vn ſecond?	VIct-ce donc pour braver ma puissance que les Dieux m'enF7 oient un second?
Que dis-ie vn ſecond, celuy qui doit vſurper mon Empire, vaincre les hõmes & triompher de l’Vniuers?	Que dis-je un second, celui qui doit usurper mon Empire, vaincre les hommes et triompher de l'Univers?
Que deuiendra ce partage, qui eſt venu par ſort entre mes mains?	Que deviendra ce partage, qui est venu par sort entre mes mains?
C’eſt à toy Iupiter, c’eſt à toy que ie m’adreſſe:	C'est à toi Jupiter, c'est à toi que Elle m'adresse:
Perfide que tu es, oſe-tu bien diſpoſer de cé qui m’appartient?	Perfide que tu es, ose-tu bien disposer de cé qui m'appartient?
Oſe-tu bien ainſi m’offenſer, voulãt deïfier vn Bachus à mon dommage, & à la confuſion de ma Diuinité?	Ose-tu bien ainsi m'offenser, voulant deïfier un Bachus à mon dommage, et à la confusion de ma Divinité?
Fais le regner auec toy dans le Ciel, ſi tu le veux deïfier.	Fais le régner avec toi dans le Ciel, si tu le veux défier.
NEPTVNE.	NEPTUNE.
Nous n’auons point entendu ny veu ce que tu demande, mais ſçache que les Diedxlonc en quereie.	Nous n'avons point entendu après ce que tu demande, mais sache que les Diedxlonc en quereie.
CENE IV.	CÈNE IV.
AMAZONE.	AMAZONE.
EVRISTE.	EURISTE.
SEMELE.	SEMELE.
L ASTROLOGVE.	 ASTROLOGVE.
AMAZONE.	AMAZONE.
Vi eſtes-vous qui m’annoncez ces malheurs?	Vi êtes-vous qui m'annoncez ces malheurs?
Helas!	Hélas!
que dit-il, les Dieux ſont en querelle?	que dit-il, les Dieux sont en querelle?
Adieu nos delices champeſtres, Adieu l’ombrage des foreſts;	Adieu nos délices champêtres, Adieu l'ombrage des forêts;
