AT.	AT.
S TROPHE A L’AVTHEVR.	 SROPHE À L'AUTHÉVR.
STANCES.	STANCES.
Ourquoy (qui que tu ſois) cher Autheur auonyme, &a Fais tu aux bons esprits l’adreſſe de ta rithme, E Leur recelant ton nom?	Ourquoy (qui que tu sois) cher Auteur avonime, et Fais tu aux bons esprits l'adresse de ta rythme, E Leur recelant ton nom?
N’apprehendes-tu pai Qu’ils n’eſtiment, cenſeurs, ton procedé blâmable, Si ce n’eſt que Silaire au prix de ſes appas T’excuſe, faiſant voir que tu es leur ſemblable?	N'appréhendes-tu pai Qu'ils n'estiment, censeurs, ton procédé blâmable, Si ce n'est que Silaire au prix de ses appas T'excuse, faisant voir que tu es leur semblable?
On ne blâme iamais celuy dont la memoire Dans vn' œuure parfaict eterniſe ſa gloire;	On ne blâme jamais celui dont la mémoire Dans un' œuvre parfait éternise sa gloire;
Celle-cy, quoy que briefue, entre autre nous apprend Que liberal vn iour de tes Oeuures plus rares Tu nous pourras fournir vn volume plus grand, Dont cecy n’eſt encor que le dépost des arres.	Celle-cy, quoi que briefue, entre autre nous apprend Que libéral un jour de tes Oeuures plus rares Tu nous pourras fournir un volume plus grand, Dont ceci n'est encor que le dépôt des arrête.
La vertu, qui touſiours eſt pure dans ſon étre, Se fait bien maintefois ſans ſujet recognoître;	La vertu, qui toujours est pure dans son être, Se fait bien maintesfois sans sujet reconnaître;
Mais lors que noſtre chef elle va coronant D'vn bouquet pretieux de ſes fleurs à meſlange, Chacun doit à l’enuy d’vn concert reſonant, Donner à ſon ſujet infinie loüange.	Mais lors que notre chef elle va coronant D'un bouquet prétieux de ses fleurs à mélange, Chacun doit à l'envi d'un concert résonant, Donner à son sujet infinie louange.
Icy tu nous fais voir, cher ami de Silaire, La verta ſans ſujet, ſon ſujet ſans ſalaire, Et qu’vne obſcure nuict te dérobe à nos yeux, Afin que tu nous ſois incognu pour encore, Puis que ton deſſein eſt, te preparant à mieux, De faire à ton Soleil auancer ſon Aurore.	Ici tu nous fais voir, cher ami de Silaire, La verta sans sujet, son sujet sans salaire, Et qu'une obscure nuit te dérobe à nos yeux, Afin que tu nous sois inconnu pour encore, Puis que ton dessein est, te préparant à mieux, De faire à ton Soleil avancer son Aurore.
Elr Eſtre plein de Lauriers, & ſouffrir qu’vn ſilance, Prét à les étoufer ſur ton chef les balance, Ce ſeroit t’expoſer aux iugemans diuers, Qui ne t’excuſeront, qu’en la crainte du crime D'eſtre par trop loüé, pour auoir fait ces Vers, Que l’ignorant ialoux vnique meſeſtime.	Elr Être plein de Lauriers, et souffrir qu'un silance, Prêt à les étouffer sur ton chef les balance, Ce serait t'exposer aux jugemants divers, Qui ne t'excuseront, qu'en la crainte du crime D'être par trop loüé, pour avoir fait ces Vers, Que l'ignorant jaloux unique mesestime.
Rien moins, de l’ignorant le propre eſt de ſe taire, Toutes choſes luy ſont à peu pres vn myſtere:	Rien moins, de l'ignorant le propre est de se taire, Toutes chosesprit sont à peu pres un mystère:
