L’IM.	L'IM.
L’IMPROMPTU DE LA GARNISON DE CYMUR, ESMEDIL.	L'IMPROMPTU DE LA GARNISON DE CYMUR, ESMEDIL.
ACTE PREMIER.	ACTE PREMIER.
SCENE I.	SCÈNE I.
MARTON, CLIEHEDRE, MERLIN.	MÁRTON, CLIEHÉDRE, MERLIN.
MARTON.	MÁRTON.
Ue demandez-vous ici, Monſieur?	Que demandez-vous ici, Monsieur?
CLITANDRE.	CLITANDRE.
Ce que je demande, Marton.	Ce que je demande, Marton.
MARTON.	MÁRTON.
Vous me connoiſſez donc à ce que je voi.	Vous me connaissez donc à ce que je vois.
A CLIT	À CLIT
CLITANDRE.	CLITANDRE.
Si je te connois!	Si je te connais!
MARTON.	MÁRTON.
Ah!	Ah!
ah!	ah!
c’eſt vous, Monſieur Clitandre?	c'est vous, Monsieur Clitandre?
Vous étiez Abbé à Paris & un éveillé petit collet, je ne ſay ce que vous étes avec une épée.	Vous étiez Abé à Paris et un éveillé petit collet, je ne sai ce que vous êtes avec une épée.
Vous étes de nôtre nouvelle Garniſon apparemment.	Vous êtes de notre nouvelle Garnison apparemment.
Eſt-ce à moi que vous venez rendre viſite?	Est-ce à moi que vous venez rendre visite?
CLITANDRE.	CLITANDRE.
Il faut te parler naturellement :	Il faut te parler naturellement :
le jour que nous priſmes poſſeſſion de la Ville, ta Maîtreſſe me parut toute charmante:	le jour que nous prîmes possession de la Ville, ta Maîtresse me parut toute charmante:
je cherchai l’occaſion de te parler :	je cherchai l'occasion de te parler :
Heureux, ſi, puis que cette Place eſt nôtre Conquête, le Cœur de ta Maîtreſſe pouvoit devenir la mienne!	Heureux, si, puis que cette Place est notre Conquête, le Cœur de ta Maîtresse pouvait devenir la mienne!
BLHTON.	BLHTON.
Comment Diantre!	Comment Diantre!
Vous étes auſſi prompt à prendre de l’amour qu’à prendre des Villes.	Vous êtes aussi prompt à prendre de l'amour qu'à prendre des Villes.
CLITANDRE.	CLITANDRE.
Je veux que tu t’intéreſſes pour moi.	Je veux que tu t'intéresses pour moi.
Commence par prendre ces dix Louis.	Commence par prendre ces dix Louis.
MARTON.	MÁRTON.
Non, Monſieur, je ne ſuis point intéreſſée.	Non, Monsieur, je ne suis point intéressée.
MER.	MER.
MERLIN.	MERLIN.
Ma foi!	Ma foi!
Monſieur, cela vaut davantage.	Monsieur, cela vaut davantage.
Mettez trente piſtoles :	Mettez trente pistoles :
comme elle n’eſt pas intereſſée, elle en prendra plûtôt trente que dix.	comme elle n'est pas intéressée, elle en prendra plutôt trente que dix.
MARTON.	MÁRTON.
Que puis- je faire pour vôtre ſervice?	Que puis- je faire pour votre service?
quoi que Flamande, j’ai les inclinations Françoiſes, & je ſuis la perſonne de Flandre la plus eniployée.	quoi que Flamande, j'ai les inclinations Françaises, et je suis la personne de Flandre la plus eniployée.
CETTANNVE ERS Il s’agit de me bien mettre dans le cœur de ta Maîtreſſe.	CETTANNVE ERS Il s'agit de me bien mettre dans le cœur de ta Maîtresse.
MARTON.	MÁRTON.
Ce qui m’embaraſſe, c’eſt qu’il y a un certain Eſpagnol qui depuis deux années eſt amoureux de ma Maîtreſſe.	Ce qui m'embarrasse, c'est qu'il y a un certain Espagnol qui depuis deux années est amoureux de ma Maîtresse.
MENLIN.	MENLIN.
Cela eſt fort embaraſſant !	Cela est fort embarrassant !
Il ſera bien difficile à un François de faire déguerpir un Eſpagnol, n’eſt-ce pas?	Il sera bien difficile à un Français de faire déguerpir un Espagnol, n'est-ce pas?
MARTON.	MÁRTON.
Voicy ma Maîtréſſe & la vôtre.	Voici ma Maîtrésse et la vôtre.
SCENE II.	SCÈNE II.
ANGELIQUE, MARTON.	ANGELIQUE, MÁRTON.
MARTON.	MÁRTON.
Rien, Mademoiſelle, je l’ay connû en France, c’eſt un Seigneur des plus riches:	Rien, Mademoiselle, je l'ai connu en France, c'est un Seigneur des plus riches:
ſa phiſionomie ne me trompe point, il vient de me douner trente piſtoles.	sa physionomie ne me trompe point, il vient de me douner trente pistoles.
ANGELIQUE.	ANGELIQUE.
Trente piſtoles!	Trente pistoles!
& dans quelle veuë?	et dans quelle vue?
MAXTON.	MAXTON.
Dans la veuë de me faire plaiſir.	Dans la vue de me faire plaisir.
Les François ſemblent faits pour l’Amour & pour la Guerre.	Les Français semblent faits pour l'Amour et pour la Guerre.
ANGELIQUE.	ANGELIQUE.
Les trente piſtoles vous rendent éloquente.	Les trente pistoles vous rendent éloquente.
MARTON.	MÁRTON.
Il me ſouvient que le jour que les Troupes entrérent dans nôtre Ville, vous vous en aviez remarqué un plus que les autres.	Il me souvient que le jour que les Troupes entrèrent dans notre Ville, vous vous en aviez remarqué un plus que les autres.
ANGELIQUE.	ANGELIQUE.
Ah, Marton!	Ah, Marton!
c’eſt juſtement celuy qui te parloit.	c'est justement celui qui te parlait.
Midll EONV.	Midll ÉONV.
Ma foy, j’en ſuis bien aiſe.	Ma foi, j'en suis bien aise.
ANGELIQUE.	ANGELIQUE.
Mais que dira-t-on, ſi j’aime déja un François?	Mais que dira-t-on, si j'aime déjà un Français?
MARTON.	MÁRTON.
On dira que vons tite de bongoût.	On dira que vons tite de bongoût.
Tenez le voici:	Tenez le voici:
Il eſt François:	Il est Français:
Il ſait profiter de l’occaſion.	Il sait profiter de l'occasion.
SCENE III.	SCÈNE III.
CLITANDRE, MARTON, ANGELIQUE, MERLIN.	CLITANDRE, MÁRTON, ANGELIQUE, MERLIN.
CLITANDRE.	CLITANDRE.
’Eſt icy une de ces avantutes qui déconcertent un Cavanler.	Est icy une de ces avantutes qui déconcertent un Cavanler.
Hé!	Hé!
hé!	hé!
comment oſer vous apprendre ce que mon cœur ſent pour vous?	comment oser vous apprendre ce que mon cœur sent pour vous?
je crains trop de m’attirer vôtre colére, Marton ſera l’interpréte de mon cœur.	je crains trop de m'attirer votre colère, Marton sera l'interprête de mon cœur.
A 5 lia Iaii	A 5 lia Jaii
MARTON.	MÁRTON.
Vous me faites donc vôtre Plénipotentiaire abſolu.	Vous me faites donc votre Plénipotentiaire absolu.
Par ma foy!	Par ma foi!
vous avez raiſon.	vous avez raison.
Abrégeons les choſes.	Abrègeons -les choses.
Dites à Mademoiſelle que vous l’aimez:	Dites à Mademoiselle que vous l'aimez:
Répondez à Monſieur que vous ne le namez pomte vona le réſultat de la converſation.	Répondez à Monsieur que vous ne le namez pomte vona le résultat de la conversation.
ANGELIQUE.	ANGELIQUE.
Les François ont la reputation d’étre inconſtans.	Les Français ont la réputation d'être inconstants.
MERETE.	MERETE.
Oh!	Oh!
Madame, nous ne ſommes pas François par cet endroit là.	Madame, nous ne sommes pas Français par cet endroit là.
ANGELIUL.	ANGELIUL.
