An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
M  TRES-ILLVSTRE, ET TRES-VERTVEVSE Dame, Madame la Preſidente de la Freſnaye, Marie du Queſnoy.	M TRÈS-ILLUSTRE, ET TRÈS-VERTVEVSE Dame, Madame la Présidente de la Fresnaie, Marie du Quesnoi.
ADAME, Ce n’eſt pas donner, que de venir reconnoiſtre ſon obligation.	ADAME, Ce n'est pas donner, que de venir reconnaître son obligation.
Tout ce que ie vous pourray iamais preſenter, ne ſera qu’vne bien petite recõnoiſſance de ce que ie ſuis redeuable à voſtre maiſon.	Tout ce que je vous pourrai jamais présenter, ne sera qu'une bien petite reconnaissance de ce que ie suis redeuable vôtre maison.
Receuez donc ce liure, comme vn arrerage d’vne dette, que l’inſuffiſance du Crediteur, ne vous ſçauroit payer.	Recez donc ce livre, comme un arrerage d'une dette, que l'insuffisance du Crediteur, ne vous saurait payer.
Feu Monſieur le Preſident de la Freſnaye, duquel vous auez eſpouſé le digne fils, ſucceſſeur de ſa charge, & de ſes yertus, auoit tellement obligé mes ſeruices à ſa memoire, que ie ne fais que chercher des perſonnes auſquelles à ſon defaut, ie puiſſe teſmoigner le reſſentiment que i’ay de ſa belle amitié.	Feu Monsieur le Président de la Fresnaie, duquel vous avez épousé le digne fils, successeur de sa charge, et de ses yertus, avait tellement obligé mes services à sa mémoire, que je ne fais que chercher des personnes auxquelles à son défaut, tu puisse témoigner le ressentiment que j'ai de sa belle amitié.
Vous m’eſtes venuë ſa premiere à la rencontre, alors que i’ay fait deſſein de donner à cette Paſtoralle, vne robbe à la mode du temps.	Vous m'êtes venue sa première à la rencontre, alors que j'ai fait dessein de donner à cette Pastoralle, une robe à la mode du temps.
Lors qu’elle m’eſchappa premierement des mains, elle reſſembloit aux ieunes, & innocentes filles, qui ſont plus curieuſes de voir, que deſireuſes d’eſtre veuës, & regardées.	Lors qu'elle m'échappa premièrement des mains, elle ressemblait aux jeunes, et innocentes filles, qui sont plus curieuses de voir, que désireuses d'être vues, et regardées.
Et veritablement, ſi elle euſt alors conſideré ſes defauts, elle n’euſt pas donné la peine, ny à mes enuieux de la blaſmer, ny à mes amis de l’excuſer.	Et véritablement, si elle eût alors considéré ses défauts, elle n'eût pas donné la peine, ni à mes envieux de la blâmer, ni à mes amis de l'excuser.
Et neantmoins qu’elle fuſt telle, que ie ne l’aye peu reconnoiſtre ſans rougir, elle n’a pas laiſſé de rencontrer des perſonnes qui l’ont ſuperſtitieuſement aymée, iuſques là, d’auoir obligé le Libraire qui l’auoit fait Imprimer d’en reiterer pluſieurs fois l’edition.	Et néanmoins qu'elle fût telle, que je ne l'aie pu reconnaître sans rougir, elle n'a pas laissé de rencontrer des personnes qui l'ont superstitieusement aimée, iusques 'audrait obligé le Libraire qui l'avait fait Imprimer d'en réitérer plusieurs fois l'édition.
C’eſt - cẽ qui m’a conuié de la reuon, qe ra corriger, & de l’augmenter de quelques pieces, & ſuis aſſeuré, qu’elle feroit maintenant plus digne du Sanctuaire d’Apollon, qu’elle n’eſtoit premierement du portail de fon Temple.	C'est - ceux qui m'a convié de la révon, qe ra corriger, et de l'augmenter de quelques pièces, et suis assuré, qu'elle ferait maintenant plus digne du Sanctuaire d'Apollon, qu'elle n'était premièrement du portail de son Temple.
Ie vous l’ameine en l’eſtat que ie l’ay miſe, & deſir erois volontiers qu’elſe peuſt autant acquerir de reputation entre les beaux eſprits, que vous auez fait d’honneur, entre les plus vertueuſes & belles Dames de noſtre temps.	Je vous l'amène en l'état que Seigneur l'ai mise, et désir erais volontiers qu'elle pût autant acquérir de réputation entre les beaux esprits, que vous avez fait d'honneur, entre les plus vertueuses et belles Dames de notre temps.
Ceſte franchiſe & candeur qui en ce ſiecle depraué & corrompu, ſemble eſtre demeurée en vous ſeule, me fait eſperer que vous n’aurez eſgard au peu de valeur de la choſe offerte, mais à l’affection de celuy qui vous la preſente.	Cette franchise et candeur qui en ce siècle dépravé et corrompu, semble été demeurée en vous seule, me fait espérer que vous n'aurez égard au peu de valeur de la chose offerte, mais à l'affection de celui qui vous la présente.
Dieu meſme, treſ-bon, & treſgrand, regarde pluſtoſt nos cœurs, que nos offrandes, & la volonté eſt la marque & le poids, qui donne la valeur à nos actions.	Dieu même, très-bon, et tresgrand, regarde plutôt nos cœurs, que nos offrandes, et la volonté est la marque et le poids, qui donne la valeur à nos actions.
Ce luy ſera l2- - Te ru epuegroire d’approcher d' ne ſi ſage & parfaite Dame, & plus encore ſivous prenez la peine de lire le merueilleux ſuccez de ſes aduentures.	Ce reste sera l2-les - Te ru épuegroire d'approcher d' ne si sage et parfaite Dame, et plus encore sivous prenez la peine de lire le merveilleux succès de ses aventures.
Vn grand Prince la fit deuenir de Bergere d’Arcadie, Reine de Cypre.	Un grand Prince la fit devenir de Bergère d'Arcadie, Reine de Cypre.
Et voſtre vertu, & perfection pourroit, ſi vous portiez la Houlette, faire que les Princes voudroyent ſe faire Bergers.	Et votre vertu, et perfection pourrait, si vous portiez la Houlette, faire que les Princes voudraient se faire Bergers.
Sa fortune eſgala ſa vertu:	Sa fortune égala sa vertu:
Mais voſtre vertu deuance de bien loin voſtre fortune, I’ay chanté ſon merite en mes vers, mais ie n’entreprens pas de dire icy le voſtre, reconnoiſſant que l’inegalité qui s’y trouue, me rendra autant excuſable en ce que i’en ay chanté, qu’elle me feroit coulpable en ce que ie ne pourrois dignement exprimer.	Mais votre vertu devance de bien loin votre fortune, J'ai chanté son mérite en mes vers, mais ainsi n'entreprends pas de dire ici le vôtre, reconnaissant que l'ingalité qui s'y trouve, me rendra autant excusable en ce que j'en ai chanté, qu'elle me ferait coulable en ce que je ne pourrais dignement exprimer.
C’eſt aux Aigles à contempler le Soleil, & à moy à me contenter de la qualité, MADAME, de Voſtre plus humble & affectionné ſeruiteur DE BAZIRE.	C'est aux Aigles à contempler le Soleil, et à moi à me contenter de la qualité, MADAME, de Votre plus humble et affectionné serviteur DE BAZIRE.
SEANIOS ES.	SEANIOS ES.
Aſtre qui fait les ans par ſa courſe Phiſique, Auoit par ſeiZe fois de ſon chemin oblique  Parcouru le grand tour, Depuis que Lycoris, erroit parmy le monde:	Astre qui fait les ans par sa course Phisique, Avait par seize fois de son chemin oblique Parcouru le grand tour, Depuis que Lycoris, erait parmi le monde:
Quand elle fit retour Où Ladon la veit naiſtre aux riues de ſon onde.	Quand elle fit retour Où Ladon la vit naître aux rives de son onde.
D'vn iuſte repentir la pointure eternelle, D’auoir ſans le congé de la voix paternelle A bandonné ſon toict, Auant les derniers traicts que ſa main fauoTouſiours luy promettoit, (rable La rendoient penitẽte autant comme coulpable.	D'un juste repentir la pointure éternelle, D'avoir sans le congé de la voix paternelle A bandonné son toit, Avant les derniers traits que sa main fauoTousiours lui promettait, (rable La rendaient penitẽte autant comme coulpable.
Elle retourne en fin au pié de ces montagnes, où les Nymphes des eaux, des preZ, & des campagnes, Auoyent premierement	Elle retourne en fin au pied de ces montagnes, où les Nymphes des eaux, des prés, et des campagnes, Avaient premièrement
Eſleué iuſqu’au Ciel de ſon Pere la gloire, Et graué ſaintement (moire.	Élevé jusqu'au Ciel de son Père la gloire, Et gravé sainte (moire.
Son nom au plus beau lieu du temple de meLe Bouuier détachoit la penible charuë Du col de ſes Toreaux au milieu de la ruë, Laſsé de ſes trauaux:	Son nom au plus beau lieu du temple de meLe Bouvier détachait la pénible charue Du col de ses Toreaux au milieu de la rue, Lassé de ses travaux:
Et le Soleil tombant dans ſon moite repaire, Debridoit ſes cheuaux Alors que la bergere arriua cheZ ſon Pere.	Et le Soleil tombant dans son moite repaire, Débridait ses chevaux Alors que la bergère arriva cheZ son Père.
Changement incroyable!	Changement incroyable!
elle veit l’herbt verte Fleurir au ſueil de l’huis, la maiſon découuerte L’eſtable ſans Aigneaux:	elle vit l'herbt verte Fleurir au sueil de l'huis, la maison découverte L'étable sans Aigneaux:
Sans hoſte le logis, les iardins ſans cloſture, Et tous les Paſtoureaux ChangeZ comme il ſembloit d’humeur & de nature.	Sans hôte le logis, les jardins sans clôture, Et tous les Pastoureaux ChangeZ comme il semblait d'humeur et de nature.
Alors mille regrets percerent ſon courage, Le débord de ſes pleurs luy noya le viſage:	Alors mille regrets percèrent son courage, Le débord de ses pleurs était noya le visage:
Et laiſſant cheoir à bas La maſſe de ſon corps au dueil abandonnée Elle creut qu'vn trépas De ſon pere Alidor la vie euſt terminée.	Et laissant choir à bas La masse de son corps au deuil abandonnée Elle crut qu'un trépas De son père Alidor la vie eût terminée.
Il eſt donc mort!	Il est donc mort!
dit-elle, & la parque he micide A fait ſurgir ſon ombre au bord Acherontie Au milieu de ſon iour!	dit-elle, et la parque hé micide A fait surgir son ombre au bord Acherontie Au milieu de son jour!
Et le ſort n’a voulu preuenant mes complaintes Attendre mon retour, Pour fermer de mes maïs ſes prunelles étaintes.	Et le sort n'a voulu prévenant mes complaintes Attendre mon retour, Pour fermer de mes maïs ses prunelles étaintes.
Pourquoy m’a-t’il nommé autresfois bien heureuſe?	Pourquoi m'a-t-il nommé autrefois bien heureuse?
Et pour me rendre vn iour par mes douleurs A-t’il voulu taſcher ( fameuſe Parſes vers de me faire immortelle en durée?	Et pour me rendre un jour par mes douleurs A-t-il voulu tâcher ( fameuse Parses vers de me faire immortelle en durée?
Si cét honneur ſi cher Ne me ſert que pour eſtre à iamais épleurée!	Si cet honneur si cher Ne me sert que pour être à jamais épleurée!
Non, non, ie ne veux point cette gloire noutuelle, Pour le ſuiure au tombeau ie veux eſtre morC’eſt là ma paſsion!	Non, non, Madame ne veux point cette gloire noutuelle, Pour le suivre au tombeau personne veux être morC'est là ma passion!
telle, On blaſmeroit des Cieux l’arreſt par trof ſeuere Si ma condition Se monſtroit preferable à celle de mon pere.	telle, On blâmerait des Cieux l'arrêt par trof sévère Si ma condition Se montrait préférable à celle de mon père.
Comme elle ſe fondõit en ces ameres plaintes Rendant parla pitié toutes choſes attaintes, Thirſis le vieil Berger Aborda la pauurette en ſes douleurs preſsée Afin de l’alleger, Et luy dit ces doux mots qui flattoyẽt ſa penſee.	Comme elle se fondõit en ces amères plaintes Rendant parla pitié toutes choses attaintes, Tiris le vieil Berger Aborda la pauvrette en ses douleurs pressée Afin de l'alléger, Et lui dit ces doux mots qui flattaient sa pensée.
Ne t’afflige point tant ô gentille Bergere!	Ne t'afflige point tant ô gentille Bergère!
Ton pere n'eſt point mort:	Ton père n'est point mort:
la voix eſt m'ẽſongere Qui t’a dit autrement:	la voix est m'ensongère Qui t'a dit autrement:
Q Il vit du tout content, ſi fortune inconſtante	Q Il vit du tout content, si fortune inconstante
Qui va ſans reglement, Peut rẽdre vne perſonne en ce monde contente.	Qui va sans règlement, Peut rendre une personne en ce monde contente.
Sur dix fois dix Paſteurs ſon merite l’eleue:	Sur dix fois dix Pasteurs son mérite l'élève:
Il a fait aux malheurs vne eternelle tréue Qui n’oſent l’offenſer:	Il a fait aux malheurs une éternelle trêve Qui n'osent l'offenser:
Sinon qu’il luy faut viure entre vn peuple ſauQu'il ne peut conuerſer:	Sinon qu'il était faut vivre entre un peuple sauQu'il ne peut converser:
uage Car il n’a rien d’humain ſinon que le viſage.	Âge Car il n'a rien d'humain sinon que le visage.
Le peuple diſcourtois, d’humeur fiere & hautaine, Sent encore le temps que nous cerchions la feine Et le gland dans les bois:	Le peuple discourtois, d'humeur fière et hautaine, Sent encore le temps que nous cerchions la feine Et le gland dans les bois:
Excepte ſeulement que la fimple innocence Qui nous donnoit ſes loix A fait place à tout vice, & meurt ſous l’inſolence.	Excepte seulement que la simple innocence Qui nous donnait ses lois A fait place à tout vice, et meurt sous l'insolence.
Là iamais des neuf ſœurs ne fut la troupe ſainte:	Là jamais des neuf sœurs ne fut la troupe sainte:
Quand Homere y viuroit, il faudroit par conQu’il mendiaſt ſon pain:	Quand Homère y vivrait, il faudrait par conQu’il mendiât son pain:
trainte L’oyſiueté, le luxe, auec la gourmandiſe Y marchent en grand train, 11° L’vſure, le blaſpheme, & leur ſœur la feintiſe.	trainte L'oisiveté, le luxe, avec la gourmandise Y marchent en grand train, 11 PHEûture, le blâme, et leur sœur la feintise.
Themis auec ſes loix n’y fut iamais connuë, Et par impunité marchent dedans la ruë Sans frayeur les méchans:	Themis avec ses lois n'y fut jamais connue, Et par impunité marchent dedans la rue Sans frayeur les méchants:
Iuſqu’au pré des autels ſe font les bomicides,	Jusqu'au pré des autels se font les bomicides,
Et iamais dans ces champs Pour les mõſtres punir ne ſe veirent d’Alcïdes.	Et jamais dans ces champs Pour les monstres punir ne se virent d'Alcïdes.
Là comme dans ſon thrône est l’impudence aßiſe, Qui ne reconnoiſt point le Prince, ny l’Egliſe, Et bien que la va leur N’y remarque vn courage où loger elle puiſſe, Il ne faut qu'vn voleur Pour trancher d’vn Hector, d’vn Ajax, d'vn Vlyſſe.	Là comme dans son trône est l'impudence assise, Qui ne reconnaît point le Prince, ni l'Église, Et bien que la va leur N'y remarque un courage où loger elle puisse, Il ne faut qu'un voleur Pour trancher d'un Hector, d'un Ajax, d'un Vlysse.
Là ton pere a choiſi ſa demeure agreable, EEntre ce peuple ingrat, impie, & miſerable, Qui le fera mourir!	Là ton père a choisi sa demeure agréable, EEntre ce peuple ingrat, impie, et misérable, Qui le fera mourir!
Deequoy luy vont ſeruans les faueurs trompeQu’il taſche d’acquerir?	Deequoi ainsi vont servants les faveurs trompuQuents tâche d'acquérir?
reſſes Le repos de l’eſprit ne giſt pas aux richeſſes!	resses Le repos de l'esprit ne gît pas aux richesses!
Le meſtier des neuf ſœurs n’eſt plus ſon exerci ce:	Le métier des neuf sœurs n'est plus son exerci ce:
Son lut l'' n’eſt plus d’accord:	Son lut l'' n'est plus d'accord:
il y ſeroit nouice S’il le falloit pincer, Si l’on parle des vers le diſcours l’importune, Et ne veut confeſſer Que Phœbus a cauſé ſa meilleure fortune.	il y serait nouvice S'il le fallait pincer, Si l'on parle des vers le discours l'importune, Et ne veut confesser Que Phœbus a causé sa meilleure fortune.
Ingrat, qui fait iniure aux filles de Permeſſe!	Ingrat, qui fait injure aux filles de Permesse!
Et trõpant l’eur faueur qui luy faiſoit promeſſe De le rendse immortel, S’abaiſſe ind'ignement auec vne gent baſſe,	Et trõpant l'eur faveur qui lui faisait promesse De le rendse immortel, S'abaisse ind'ignement avec une gent basse,
Et quittant leur autel Prefere vn peu de biẽ aux lauriers de Parnaſſe, Veux-iu point obliger ce mont & ce riuage Où ſa Muſe ébaucha les trairs de ton viſage De nous le ramener, Ce mont reuerdira, ces bois, & cette grotte L’y voyant retourner:	Et quittant leur autel Prefère un peu de bien aux lauriers de Parnasse, Veux-ju point obliger ce mont et ce rivage Où sa Muse ébaucha les trairs de ton visage De nous le ramener, Ce mont reverdira, ces bois, et cette grotte L'y voyant retourner:
Nous en ferons vn Dieu s’il eſt iamais noſtre hoſte.	Nous en serons un Dieu s'il est jamais notre hôte.
Ainſi diſt ce Paſteur:	Ainsi dît ce Pasteur:
Et Lycoris à l’heure Luy repartit ainſi:	Et Lycoris à l'heure Lui repartit ainsi:
ſi mon pere demeure En lieu proche d'icy, Ie me feray conduire en ſa chere preſence:	si mon père demeure En lieu proche d'ici, Je me ferai conduire en sa chère présence:
Gar mon plus doux foucy 1 Eſt de voir le ſuiet qui m’a donné naiſſance.	Gar mon plus doux fouci 1 Est de voir le sujet qui m'a donné naissance.
Mais ie m’eſtonne bien qu’il ait eu le courage Pour vn petit de bien de quitter ce riuage, Car il fut autresfois Ennemy d’auarite, & d’orgueil, & d’enuie:	Mais était m'étonne bien qu'il ait eu le courage Pour un petit de bien de quitter ce rivage, Car il fut autrefois Ennemi d'avarite, et d'orgueil, et d'envie:
Et meſme qu’en ces bois Afin d’en eſtre exempt, il recelloit ſa vie.	Et même qu'en ces bois Afin d'en être exempt, il recelloit sa vie.
Il me ſouuient alors que maieune eſperance Pour ſortir de ſes mains força ſa reſiſtance Qu’il me tint ce diſcours:	Il me souvient alors que maine espérance Pour sortir de ses mains força sa résistance Qu'il me tint ce discours:
Puis que ie ne ſçaurois m'oppoſer d’auantage Au peril où tu cours, C Eſcoute One Cafandre annõcer ton dommage.	Puis que ici ne saurais m'opposer d'avantage Au péril où tu cours, Ç Escoute One Cafandre annoncer ton dommage.
C’eſt contre mon aduis, que tu laiſſes ton pere, Pour te proſtituer aux mains du populaire, Qui peut-eſtre dira Qu'Apolon n’a iamais éclairé ta naiſſance, Et qui te donnera Au lieu d’vn laurier verd, des fleurs de mé» diſance.	C'est contre mon avis, que tu laisses ton père, Pour te prostituer aux mains du populaire, Qui peut-être dira Qu'Apolon n'a jamais éclairé ta naissance, Et qui te donnera Au lieu d'un laurier verd, des fleurs de mé disance.
L’honneur que tu pretends acquerir dans le monde, » N’eſt que ſimple folie à nulle autre ſeconde, 2 Et pure Vanité.	L'honneur que tu prétends acquérir dans le monde, " N'est que simple folie à nulle autre seconde, 2 Et pure Vanité.
vulgaire, ,, Tout le bruit qui nous vient de la part du * N’a point de fermeté, ( déplaire.	vulgaire, ,, Tout le bruit qui nous vient de la part du * N'a point de fermeté, ( déplaire.
