ADVIS AV LECTEVR.	ADVIS AU LECTEUR.
MMMM ON Cher Lecteur, ce Recueïl eſt compoſé de diverſes pieces differentes;	MM ON Cher Lecteur, ce Recueil est composé de diverses pièces différentes;
Si la premiere Hiſtoire, qui eſt à la teſte de ce Livre ne te peut plaire, il faut t’en prendre à la pure verité, car je n’y ay rien voulu augmenter ny diminuer.	Si la première Histoire, qui est à la tête de ce Livre ne te peut plaire, il faut t'en prendre à la pure vérité, car je n'y ai rien voulu augmenter Seigneur diminuer.
C’eſt une avanture qui eſt arrivée au lieu où e te l’ay marqué.	C'est une aventure qui est arrivée au lieu où e te l'ai marqué.
Ie ne te diray pas le temps, de peur de donner trop à connoiſtre ceux qui en font les principaux perſonnages;	Je ne te dirai pas le temps, de peur de donner trop à connaître ceux qui en font les principaux personnages;
j’en ay deſguiſé les vrais noms ſous des noms imaginaires.	j'en ai déguisé les vrais noms sous des noms imaginaires.
C’eſt pourquoy ceux qui par hazard pourroient avoir les noms qui ſe rencontrent dans cette Hiſtoire, ne doivent y prendre aucune part;	C'est pourquoi ceux qui par hasard pourraient avoir les noms qui se rencontrent dans cette Histoire, ne doivent y prendre aucune part;
le ſçays que le ſtile n’en eſt pas fort eſlevé mais j’ay creu que la matiere n’en meritoit pas un plus enrichy & plus magnifique;	le sais que le style n'en est pas fort élevé mais j'ai cru que la matière n'en méritait pas un plus enrichi et plus magnifique;
& ſi tu veux me faire iuſtice tu ſeras de ce meſme ſentiment.	et si tu veux me faire justice tu seras de ce même sentiment.
A l’eſgard des autres pieces qui ſuivent çette Hiſtoire, ce A.	À l'égard des autres pièces qui suivent çette Histoire, ce A.
font de petites galanteries faites en differends temps qui ſe ſont trouvez dans mon Cabinet, dont à tout hazard i’ay groſſy ce Receuïl:	font de petites galanteries faites en différends temps qui se sont trouvés dans mon Cabinet, dont à tout hasard j'ai grossi ce Receuil:
Ie ne ſçays ſi i’ay bien fait, tu en iugeras.	Je ne sais si j'ai bien fait, tu en jugeras.
Pour ce qui concerne les fragmens de la Comedie intitulée le Proſarite, ie ſçays que bien des gens malicieuſement voudront y reconnoiſtre des perſonnes que ie n’ay iamais eu la penſée de peindre ny de ſatiriſer:	Pour ce qui concerne les fragments de la Comédie intitulée le Prosarite, quelque sçays que bien des gens malicieusement voudront y reconnaître des personnes que je n'ai jamais eu la pensée de peindre ni de satiriser:
l’ay mis mes proteſtations au bas de chaque endroit qui pourroit exciter cette iniuſte penſée, afin que comme on ne lit pas ordinairement une Preface, du moins ADVIS on fuſt contraint de les voir croyant que ce ſeroit quelque choſe de nouveau & eſſentiel au ſuiet;	l'ai mis mes protestations au bas de chaque endroit qui pourrait exciter cette injuste pensée, afin que comme on ne lit pas ordinairement une Préface, du moins ADVIS on fût contraint de les voir croyant que ce serait quelque chose de nouveau et essentiel au sujet;
pour la derniere fois ie te prie donc de ne point faire d’application des portraits que i’ay mis dans ce Livre à aucune perſonne, & ſi il s’en rencontre quelqu’un à qui ils reſſemblent (ce que ie ne crois pas) ie luy demande dés à preſent excuſe d’avoit inocemmêt depeint ſes vices, ie conſens que ce qui la choquera ſoit retranché du Livre;	pour la dernière fois ie te prie donc de ne point faire d'application des portraits que j'ai mis dans ce Livre à aucune personne, et si il s'en rencontre quelqu'un à qui ils ressemblent (ce que je ne crois pas) ie lui demande dès à présent excuse d'avait inocemmêt dépeint ses vices, ie consens que ce qui la choquera soit retranché du Livre;
& ie luy feray en particulier telle ſatisfaction qu’elle voudra exiger de moy, quoy que cette faute fuſt pluſtoſt l’ouvrage du hazard que de ma malice:	et et petit ferai en particulier telle satisfaction qu'elle voudra exiger de moi, quoi que cette faute fût plutôt l'ouvrage du hasard que de ma malice:
Mais comme ie crois qu’il n’y a point au monde de perſonnes dont l’humeur ſoit ſi vitieuſe, i’eſpere que tout le monde ſera contant, & que ie ne le ſeray pas moins.	Mais comme tu crois qu'il n'y a point au monde de personnes dont l'humeur soit si vitieuse, j'espère que tout le monde sera contant, et que je ne le serai pas moins.
Latruit un lrroirege dol Noy.	Latruit un lrroirege dol Noi.
Ar Grace & Privilege du Roy, donné à I Paris le 23.	Ar Grâce et Privilège du Roi, donné à I Paris le 23.
jour de May 1671.	jour de May 1671.
Signé par le Roy en ſon Conſeil, GUITONNE Au:	Signé par le Roi en son Conseil, GUITONNE Au:
Il eſt permis au Sieur MASCRE' de faire imprimer, vendre & debiter un livre qu’il a compoſé, intitulé, Recueil de Pieces Diverſes & Galantes:	Il est permis au Sieur MASCRE de faire imprimer, vendre et débiter un livre qu'il a composé, intitulé, Recueil de Pièces Diverses et Galantes:
Et ce durant le temps de ſept ans, à commencer du jour qu’il ſera achevé d’imprimer pour la premiere fois:	Et ce durant le temps de sept ans, à commencer du jour qu'il sera achevé d'imprimer pour la première fois:
