LES AGTEVRS.	LES AGTEURS.
L'AFFIDE’E de Sainct Clair.	L'AFFIDÉ de Sainct Clair.
LE PERE de l’Affidée.	LE PERE de l'Affidée.
LA MERE de l’Affidée.	LA MERE de l'Affidée.
SAINCT CIRIN.	SAINCT CIRIN.
La DAME Impudique, &	La DAME Impudique, et
AAIHO sb anmuglI 90 15b sonol 6 lod.	AAIHO sb anmuglI 90 15b son 6 lod.
M foniscinod ub aucd u4 MlDu 1	M foniscinod ub aucd u4 MlDu 1
ododuus ſla up veiv o I  bid MONSEIGNEVR DOIH EIBIEIUEI JUI 9H222UQ 11 L'ARCHEVDIŒVE I 12udtonid DE 40 Ja VEE Dil nonuelle 231919 29lnq oax	ododuus sla up veiv ô I bid MONSEIGNEUR DOIH IBIEIUEI JUI 9H22222U 11 L'ARCHÉVDIVE I 2udonid DE 40 Ja VEE DE nonuelle 231919 29lnq oax
O DOE MHOGEIIDO idan imon Miquoa E Liure que je vous dédie, Eſt d'vn Martyr de Normandie, Dont vous eſtes le Directeur.	Ô DOE MHOGEIIDO idan imon Miqua E Livre que je vous dédie, Est d'un Martyr de Normandie, Dont vous êtes le Directeur.
Si quelque langue trop legere En médit, il faut comme Pere Que vous en ſoyez defenſeur.	Si quelque langue trop légère En médit, il faut comme Père Que vous en soyez défenseur.
122120 dibin0&	122120 dibin0 )
Ne blâmez mon outre-cuidance, De ce que remply d’ignorance Ie me meſle de tels deſſeins;	Ne blâmez mon outre-cuidance, De ce que rempli d'ignorance Je me mêle de tels desseins;
1210 MEHEIdA Et qu’il n’apartient qu’au Leuite De parler de la Loy écrite, Et a vous de louer les Saints.	1210 MEHÉIdA Et qu'il n'appartient qu'au Lévite De parler de la Loi écrite, Et à vous de louer les Saints.
Vous ſçauez ſans que ie vous die, Que dans les Deſerts d’Arabie, Ouindenoderfennicu, Qu’il n’exauçoit pas les prieres Seulement d’Aaron, & des Peres, Mais du plus chetif Hebrieu.	Vous savez sans que je vous die, Que dans les Déserts d'Arabie, Ouindenoderfennicu, Qu'il n'exauçait pas les prières Seulement d'Aaron, et des Pères, Mais du plus chétif Ebrieu.
Il eſt vray que c’eſt aux Prophetes De traitter des choſes Celeſtes, Et à vous, qui tenez le lieu:	Il est vrai que c'est aux Prophètes De traiter des choses Celestes, Et à vous, qui tenez le lieu:
Que ce ne fut iamais la mode A ceux qui aprennent le Code De parler des Enfans de Dieu.	Que ce ne fut jamais la mode À ceux qui apprennent le Code De parler des Enfants de Dieu.
Rahah, & Ruth, & Bethſabée, Sont nommez dedans la lignée De Ieſus-Chriſt noſtre Seigneur:	Rahah, et Ruth, et Bethsabée, Sont nommez dedans la lignée De Jésus-Christ notre Seigneur:
Ces Pechereſſes conuerties Sont dans ces Genealogies Auſſi bien receuës du Sauueur,	Ces Pécheresses converties Sont dans ces Généalogies Aussi bien reçues du Sauveur,
Noſtre Dieu reçoit la loüange De l’Homme, auſſi bien que de l’Ange:	Notre Dieu reçoit la louange De l'Homme, aussi bien que de l'Ange:
De l’Ignorant, & du Docteur;	De l'Ignorant, et du Docteur;
Et quelque diſcours que ie face, I’eſpere en receuoir ſa grace, Puis que ie le fais de bon cœur.	Et quelque discours que rien face, J'espère en recevoir sa grâce, Puis que votre le fais de bon cœur.
Vous qui eſtes ce grand Genie De tout le pays de Neuſtrie, Et quiues pluorgauants Docteurs Tirez par voſtre ſufiſance Toute la plus haute ſçience, Comme l’Abeille fait des fleurs.	Vous qui êtes ce grand Génie De tout le pays de Neustrie, Et quiues pluorgavants Docteurs Tirez par votre suffisance Toute la plus haute sauce, Comme l'Abeille fait des fleurs.
Comment ai-je la hardieſſe De vous offrir cette Pſece Indigne de vous preſenter:	Comment ai-je la hardiesse De vous offrir cette Pse Indigne de vous présenter:
Elle n’eſt aſſés curieuſe Pour de l’eſtude ſerieuſe Vous tirer pour la regarder.	Elle n'est assez curieuse Pour de l'étude sérieuse Vous tirer pour la regarder.
Ce beau Soleil qui nous éclaire, Ne luit pas ſeulement au Caire, Ny ſur les Palais de Memphis:	Ce beau Soleil qui nous éclaire, Ne luit pas seulement au Caire, Ni sur les Palais de Memphis:
