Voſtre tres-humble & tres.	Votre très-humble et très.
obeïſſant ſeruiteur, VALLE’E.	obéissant serviteur, VALLÉLE.
AV LECTEVR.	AU LECTEUR.
M VELQV'VN blâmeroit, peut eſtre, la façon d’écrire que i’ây ſuiuie en ce petit Ouurage, ſur ce que l’on pourroit dire, que ne luy donnant pas vne entiere accommodation au Théâtre, ie deuois en faire vn Poëme continu.	M VELQV'VN blâmerait, peut -être, la façon d'écrire que j'y suivie en ce petit Ouvrage, sur ce que l'on pourrait dire, que ne lui donnant pas une entière accommodation au Théâtre, sans devais en faire un Poème continu.
Mais ie répons par auance, que le Dramatique eſt, à mon auis, celuy par lequel nous exprimons le plus ſenſiblement ce que nous voulons repreſenter:	Mais était réponds par avance, que le Dramatique est, à mon avis, celui par lequel nous exprimons le plus sensiblement ce que nous voulons représenter:
Et que ce ſujet contient des matieres, qui ne pouuoient conuenablement eſtre débitées au Théâtre:	Et que ce sujet contient des matières, qui ne pouvaient convenablement être débité au Théâtre:
Ainſi i’ay voulu me ſeruir de la force de l’vn, ſans profaner la ſaincteté des autres.	Ainsi j'ai voulu me servir de la force de l'un, sans profaner la sainteté des autres.
Il eſt facile!	Il est facile!
d’obſeruer au premier Entretien;	d'observer au premier Entretien;
lors que Suſanne dit à Claude (tu ) ſeulelement vne fois, que c’eſt par le tranſport d’vn ſaint zele, & luy reprochant vn blaſpheme.	lors que Susanne dit à Claude (tu ) seulelement une fois, que c'est par le transport d'un saint zèle, et lui reprochant un blâme.
Fauoris de l’Empereur.	Favoris de l'Empereur.
LA FORTE ROMAINE.	LA FORTE ROMAINE.
PREMIERE PARTIE, SOLILOQVE de jé	PREMIÈRE PARTIE, SOLILOUE de jé
P CLAVDE.	 CLAUDE.
E craignois que Gabin s’ennuyât de m’âttendre, Et ie ſuis le premier où nous deuions nous rendre:	E craignais que Gabin s'ennuyât de m'âttendre, Et ie suis le premier où nous devions nous rendre:
Mais n'en auroit il point perdu le ſouuenir;	Mais n'en aurait il point perdu le souvenir;
Car le temps eſt paſſé;	Car le temps est passé;
non ie l'entends venir.	non ainsi l'entends venir.
Ha!	Ha!
ie me ſuis trompé, c’eſt ſa fille, Guſanne.	Ne me suis trompé, c'est sa fille, Gusanne.
PREMIER ENTRETIEN.	PREMIER ENTRETIEN.
SVSANNE, CLAVDE.	SUSANE, CLAUDE.
V SANNE.	V SANNE.
Fuyés, mes yeux, l'object que mon Eſprir condamne.	Fuyez, mes yeux, l'object que mon Esprir condamne.
CLAVDE.	CLAUDE.
