A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
*47	*47
ONSEIGNEVR, Ce deplorable Prince Maurice, que i’ay rappellé du tombeau pour luy faire veoir le iour, s’en va d’vn pied trẽblant la face abbaiſſée, & l’œil tout fraichemẽt moüillé de ſes pleurs, vous raconter la cruauté trop inhumaine de Phocas, ou pluſtoſt l’inſtable changement de noſtre vie humaine, & à qui s’addreſseroit-il mieux qu’à vous qui amaſsé dãs voſtre ame vn threſor des plus ſainctes affections que le Ciel aye point de reſerue en ſon ſacré cabinet, ſoit pour porter cõpaſſion aux deſaſtres A ij infortunez qui tombent iournellement ſur les plus nobles familles, ſoit pour hautement mediter combien nous ſommes miſerables tant grãds que petits tãdis que nous cheminons ſur ce globe inconſtãt de la terre.	ONSEIGNEUR, Ce déplorable Prince Maurice, que j'ai rappelé du tombeau pour lui faire voir le jour, s'en va d'un pied tremblant la face abaissée, et l'œil tout fraîchement moüillé de ses pleurs, vous raconter la cruauté trop inhumaine de Phocas, ou plutôt l'instable changement de notre vie humaine, et à qui s'adresserait-il mieux qu'à vous qui amassé dans votre âme un thresor des plus sainctes affections que le Ciel aie point de réserve en son sacré cabinet, soit pour es pô aux désastres A porte qui tombent iournellement sur a plus os familles, soit pour porte méditer combien nous sommes a tant or que petits tãdis que A cheminons au ce j' inconstãt de la terre.
Et à qui l’enuoyrois- ie mieux qu’à vous, a qui, apres Dieu, & ſon ALTESSE (duquel vous eſtes la naturelle image) i’ay voué mes plus ſynceres deſirs, & tout le meilleur du ſeruice que ie pourrois faire en ce mõde, & qui auſſi pour recompence me faictes l’honneur de me regarder de l’œil duquel vous ſoulez veoir les ſeruiteurs qui vo’ aggreent, face la diuine Maieſté que mõ eſprit bãdé à des plus hautes conceptions puiſſe attaindre du bout de ſa plume heureuſement le los de vos merites, & que vous non pas cõme Scipion enterré tout proche du Poëte Ennius qui auoit eſté le chantre de ſes victoires:	Et à qui l'envoyrais- même mieux qu'à vous, à qui, après Dieu, et son ALTESSE (duquel vous êtes la naturelle image) j'ai voué mes plus sincères désirs, et tout le meilleur du service que sans pourrais faire en ce monde, et qui aussi pour récompense me faites l'honneur de me regarder de l'œil duquel vous soûlez veoir les serviteurs qui vo’ agréent, face la divine Majesté que mon esprit bãdé à des plus hautes conceptions puisse attaindre du bout de sa plume heureusement le los de vos mérites, et que vous et que vous Scipion enterré tout proche du Poëte Ennius qui auoit esté le chantre de ses victoires:
mais deterré du combeau de l’oubly, ſoyez mis pour iamais ſur l’autel d’vne memoire immortelle.	mais déterré du combeau de l'oubli, soyez mis pour jamais sur l'autel d'une mémoire immortelle.
Ie n’en laiſſeré paſſer pas vne qu’au frontiſpice ie n’y marque voſtre gloire, & l’honneur de vos vertus, & quoy que ie ſçache que ces petits reiettons de mõ eſprit infertil ne ſoit bons ny dignes d’eſtre replãtés, au beau iardin ou voſtre graue & Princiere Maieſté ſe pourmeine, toutesfois voſtre Clemẽce, & Benignité qui en eſt la iardiniere les arrouſant d’vne douce liqueur, comme elle à des-ia faict aux premières fleurs qu’ils ont produits, les fera croiſtre dauantage, & les Meſſeigneurs ieunes Princes & Princeſſes vos chers enfans en deſirerõt peut eſtre auoir de la ſemẽce:	Je n'en laisseré passer pas une qu'au frontispice personne n'y marque votre gloire, et l'honneur de vos vertus, et quoi que sans sçache que ces petits rejettons de mon esprit infertil ne soit bons encore dignes d'être replãtés, au beau jardin ou votre grave et Princière Majesté se pourmène, toutefois votre Clemẽce, et Bénignité qui en est la jardinière les arrousant d'une douce liqueur, comme elle à déjà fait aux premières fleurs qu'ils ont produits, les fera croître davantage, et les Messeigneurs en Princes et Princesses vos chers enfants en désirer peut être auoir de la semẽce:
ce qui ſera cauſe qu’ils ne ſerõt foulez aux pieds n’y arrachez violemment des ongles mordantes & enuieuſes des mal-veuillans, & que ie prieray Dieu à iamais	ce qui sera cause qu'ils ne seront foulez aux pieds n'y arrachés violement des ongles mordantes et envieuses des mal-veuillans, et que on prierai Dieu à jamais
MONSEIGNEVR, Qu’il conſerue vous, & voſtre illuſtre lignée en ſanté, proſperité, & en ſes ſainctes graces, par Uoſtre tres-humble, & tres-obeyſſant ſeruiteur N ROMAIN.	MONSEIGNEUR, Qu'il conserve vous, et votre illustre lignée en santé, prospérité, et en ses sainte grâces, par Uotre très-humble, et très-obéissant serviteur N ROMAIN.
A iij	À jijà
AV LECTEVR BAI.	AU LECTEUR BAI.
vI.	vI.
