DE TVRENNE.	DE TURENNE.
2 SONNET.	2 SONNET.
ORTELS, apprenez tous qu'vn Prince ſi capable Eſt l’honneur du Sçauoir & la gloire des Arts;	ORTELS, apprenez tous qu'un Prince si capable Est l'honneur du Savoir et la gloire des Arts;
Que ſa haute vertu le rend incomparable, Et que sõ cœur l’égale au plus grãd des Ceſars.	Que sa haute vertu le rend incomparable, Et que son cœur l'égale au plus grands des Césars.
Le Ciel, dõt la Sageſſe eſttoûjours adorable, Vnit ſi bien dans luy Minerue auecque Mars, Qu'ils ont fait de cét Homme vn modele admirable Pour ceux qui des Vertus ſuiuent les eſtendars.	Le Ciel, donc la Sagesse esttoûjours adorable, Unit si bien dans peine Minerve avec Mars, Qu'ils ont fait de cet Homme un modèle admirable Pour ceux qui des Vertus suivent les étendards.
Pour vous le confirmer, Dieu fait que ſon Alteſſe, Poußé du Saint Eſprit par vn trait de ſageſſe, A quitté pour iamais la Secte de Caluin;	Pour vous le confirmer, Dieu fait que son Altesse, Pouglé du Saint Esprit par un trait de sagesse, A quitté pour jamais la Secte de Caluin;
Pour viure ſous les loix de l'Egliſe Romaine, Qui dans le Ciel prepare vn troſne tout diuin A ſon cœur, dõt elle eſt & la Mere & la Reine.	Pour vivre sous les lois de l'Église Romaine, Qui dans le Ciel prépare un trône tout divin A son cœur, dont elle est et la Mère et la Reine.
VN GARDE.	UN GARDE.
La Scene eſt à Pont.	La Scène est à Pont.
EBIILROI TRESGIIREOIIEN	EBIILROI TRESGIIREOIIEN
ANOTE T	ANOTE T
MSVEE.	MSVE.
STELLANE, CONSTANCE.	STELANE, CONSTANCE.
STELLANE.	STELANE.
VOY!	VOY!
ie pourray ſouffrir qu’vn peuple temeraire, mre raumne le drort d'vn Sceptre hereditaire?	Ce pourrai souffrir qu'un peuple téméraire, mère raumne le drort d'un Sceptre héréditaire?
Vn deluge de maux apprendra ce que c’eſt, Que de ſa Reyne ainſi violer l’intereſt.	Un déluge de maux apprendra ce que c'est, Que de sa Reine ainsi violer l'intérêt.
CONSTANCE.	CONSTANCE.
Vous vous reſoluez dõc de punir ce grand crime?	Vous vous résolvez donner de punir ce grand crime?
STELLANE.	STELANE.
Oüy, du dernier malheur i’en feray la victime.	Oui, du dernier malheur j'en ferai la victime.
CONSTANCE.	CONSTANCE.
vnourrage l'grarid metite chaſtiment.	Ahourrage l'grarid métite châtiment.
Mais vous eſtes leur Reine, & ce nom ſeulement,	Mais vous êtes leur Reine, et ce nom seulement,
STELLANE.	STELANE.
lvon, non, neeroyez pome appaner ma furie En voulant excuſer cette ingratte patrie.	luon, non, neeroyez pome appaner ma furie En voulant excuser cette ingrate patrie.
CONSTANCE.	CONSTANCE.
Il eſt vray qu’ils ſe ſont laſchement reuoltez Contre vos iuſtes loix & contre vos bontez, Et que c’eſt à bon droit que l'hõneur vous anime A vanger cét affront:	Il est vrai qu'ils se sont lâchement révoltés Contre vos justes lois et contre vos bontés, Et que c'est à bon droit que l'honneur vous anime A venger cet affront:
Mais	Mais
STELLANE.	STELANE.
Tout eſt legitime Pour ſe faire raiſon d’vn ſi grand deshohneur.	Tout est légitime Pour se faire raison d'un si grand déshohneur.
22 CORSPANCE.	22 CORSPANCE.
Ie crois que tous les Dieux puniront ſa fureur, Et ne ſouffriront point qu’vne beauté ſi rare Soit le rebut d’vn peuple inſolent & barbare.	Je crois que tous les Dieux puniront sa fureur, Et ne souffriront point qu'une beauté si rare Soit le rebut d'un peuple insolent et barbare.
STELLANE.	STELANE.
Ah!	Ah!
ne m’abaiſſez pas iuſques à ce laſche eſpoir, De m’attẽdre qu’vn Dieu vange vn crime ſi noir;	ne m'abaissez pas jusques à ce lâche espoir, De m'attendre qu'un Dieu venge un crime si noir;
Toutes ces Deitez aiment trop ma riuale, Pour méler dans ſon ſort quelque atteinte fataleEt ſont de ſon orgueil protecteurs trop ialoux, Pour ieconeer les veua de mon furte courrouxe	Toutes ces Deitez aiment trop ma rivale, Pour mêler dans son sort quelque atteinte fatalet sont de son orgueil protecteurs trop jaloux, Pour ieconeer les veua de mon furte courrouxe
CONSTANCE.	CONSTANCE.
Qui vous vangera donc d’vne ſi rude offenſe?	Qui vous vengera donc d'une si rude offense?
STELLANE.	STELANE.
h'eipiit d'vne Amazone a trop d’mcenigence, Et ie ne veux que moy pour la faire perie.	hipiit d'une Amazone a trop d'mcenigence, Et toujours ne veux que moi pour la faire périe.
CONSTANCE.	CONSTANCE.
Et quoy, reſoluez-vous de la faire mourir?	Et quoi, résolvez-vous de la faire mourir?
elaaninneus Ouy;	elaaninneus Oui;
puiſque de mes maux elle eſt la ſeule cauſes	puisque de mes maux elle est la seule causes
CONSTANCE.	CONSTANCE.
Mais ſi toute la Grece à ſa perte s’oppoſe,	Mais si toute la Grèce à sa perte s'oppose,
STELLANE.	STELANE.
Malgré tous les humains, les Deſtins & les Dieux, Ie me ſacrifieray cét obiet odieux:	Malgré tous les humains, les Destins et les Dieux, Je me sacrifierai cet objet odieux:
Et quoy que FVniuers puiſſe inuenter & faire, Ie luy feray ſentir les traits de ma colere, Et puniray l'orgueil de ces traiſtres Sujets.	Et quoi que FVniuers puisse inventer et faire, Je lui ferai sortir les traits de ma colère, Et punirai l'orgueil de ces traîtres Sujets.
A i.	À y.
CONSTANCE.	CONSTANCE.
Si mon fils peut ſeruir à vos iuſtes projets, Ie vous l'offre, Madame, en cette conioncture, Seruez-vous de ſon bras pour vãger vôtre iniure.	Si mon fils peut servir à vos justes projets, Je vous l'offre, Madame, en cette conioncture, Servez-vous de son bras pour vendre votre injure.
C’eſt.	C'est.
STELLANE.	STELANE.
La Reine ſuruient, Conſtance eſloignez-vous, Ou vous montrez du moins ſans trouble & ſans courroux, Qui dans vn tel revers ſçait paroiſtre conſtante, Peut lur ion ennemle entre toute painances Il la faut approcher.	La Reine survient, Constance éloignez-vous, Ou vous montrez du moins sans trouble et sans courroux, Qui dans un tel revers sçait paraître constante, Peut lur ion ennemle entre toute painances Il la faut approcher.
SCLNE II.	SCLNE II.
SOLIMENE, STELLANE, STELLANE.	SOLIMENE, STELANE, STELANE.
QVel excez de faueut Peut conduire en ces lieux & ma Reyhe & ma ſœur?	QUel excès de faveut Peut conduire en ces lieux et ma Reine et ma sœur?
SOLIMENE.	SOLIMENE.
Celuz de vous prouuer auec quelle triſteſſe Ie vois ce Peuple ingrat outrager ſa Princeſſe.	Celuz de vous prover avec quelle tristesse Je vois ce Peuple ingrat outrager sa Princesse.
Le déplaiſir qu’il donne à mon cœur chaque iour, D'eſtre ſi peu touché des traits de voſtre amour, La peine que ie ſens, la douleur qui m’accable, De voir que mon deſtin me rend ſi miſerable De cauſer malgré moy ces indignes refus Qu’il fait d’eſtre regy par vos rares vertus, Et le voir obſtiné malgré ma reſiſtance Ame choiſir que moy pour latoute-puiſſance.	Le déplaisir qu'il donne à mon cœur chaque jour, D'être si peu touché des traits de votre amour, La peine que je sens, la douleur qui m'accable, De voir que mon destin me rend si misérable De causer malgré moi ces indignes refus Qu'il fait d'être régi par vos rares vertus, Et le voir obstiné malgré ma résistance Âme choisir que moi pour latoute-puissance.
STELLANE.	STELANE.
C’eſt à quoy vos bontez reſiſtent fortement?	C'est à quoi vos bonté résistent fortement?
SOLIMENE.	SOLIMENE.
Ie choiſirois pluſtoſt d’entrer au monument, Que d'acceprer vn trone ou vous deuez ſans ceſſe Regner & commander comme Reyne & Maîtreſſe.	Je choisirais plutôt d'entrer au monument, Que d'acceprer un trone ou vous devez sans cesse Regner et commander comme Reine et Maîtresse.
SIELLANE.	SIELANE.
Vous agiſſez vers moy trop genereuſement.	Vous agissez vers moi trop généreusement.
SOLIMENE.	SOLIMENE.
Ie doibs tous ces reſpects au ſang de Myſelman, S’il a laiſſé le troſne à toute ſa famille, C’eſtoit pour y placer & l'vne & l'autre fille:	Je dois tous ces respects au sang de Myselman, S'il a laissé le trône à toute sa famille, C'était pour y placer et l'une et l'autre fille:
Ce ſceptre couronné que i’apporte à vos pieds Doit vnir pour iamais nos tendres amitiez, Et vous confirmera que touſiours nos deux ames Regleront de l'Eſtat les glorieuſes trames;	Ce sceptre couronné que j'apporte à vos pieds Doit unir pour jamais nos tendres amitiés, Et vous confirmera que toujours nos deux âmes Règleront de l'État les glorieuses trames;
