ARGVMENT DE LA PRESENTE COMEDIE.	ARGUMENT DE LA PRÉSENTÉ COMÉDIE.
Lodoar Capitaine experimenté à la marihe & a &e pluſieurs autres honneſtes exercices, s’eſtant embarqué au port de Barcelonne, ambitieux de voir le monde, arriua finallement, apres auoir affranchi diuers perils ſur la riue du Nil, non fort loing du Caire de Babylone;	Lodoar Capitaine expérimenté à la marihe et a ete plusieurs autres honnêtes exercices, s'étant embarqué au port de Barcelonne, ambitieux de voir le monde, arriva finallement, après avoir affranchi chers périls sur la rive du Nil, non fort loing du Caire de Babylone;
où eſtant deſcendu ſeul ſur le riuagé, il fut pris par deux Sattrapes, commis du Soldam d’Egypte, commis pour expier les eſtrangers.	où étant descendu seul sur le rivagé, il fut pris par deux Sattrapes, commis du Soldam d'Égypte, commis pour expier les étrangers.
Amené deuant ſa Majeſté, il s’informe de quelle exercice il eſtoit, à quoy ayant reſpondu qu’il ſçauoit faire de rares & ſuperbes baſtimens & edifices;	Amené devant sa Majesté, il s'informe de quelle exercice il était, à quoi ayant répondu qu'il savait faire de rares et superbes bâtiments et édifices;
il demeure d’accord auec le Soldam de baſtir vn Chaſteau en deux ans de temps ſur la riue d’Euphrate pour racheter ſa vie:	il demeure d'accord avec le Soldam de bâtir un Château en deux ans de temps sur la rive d'Euphrate pour racheter sa vie:
Lequel voyant ne pouuoir acheuer en ſi bref temps, hors de ſoy, il inuocqua l’ennemy & ſe donna à luy, à la charge qu’il rendroit le Chaſteau preſt au temps prefix, & luy bailleroit & feroit tout ce qu’il luy demanderoit & commanderoit.	Lequel voyant ne pouvoir achever en si bref temps, hors de soi, il invocqua l'ennemi et se donna à lui, à la charge qu'il rendrait le Château prêt au temps préfix, et tu bailleroit et ferait tout ce qu'il lui demanderait et commanderait.
Or cela acheué, Flodoar de retour au pays par l’artifice du diable, auec les richeſſes du Soldam, afin de s’exempter de la ſeruitude de ce demõ, luy commande de luy baſtir vne tour, dont le fondement ſoit aſsis au profond des enfers, & le ſommet iuſques aux nues, & de luy emplir d’or & d’argent:	Or cela achevé, Flodoar de retour au pays par l'artifice du diable, avec les richesses du Soldam, afin de s'exempter de la servitude de ce démon, lui commande de lui bâtir une tour, dont le fondement soit assis au profond des enfers, et le sommet jusques aux nues, et de jours emplir d'or et d'argent:
à quoy le diable ne pouuant ſubuenir, apres pluſieurs diſcours, il eſt contrainct par le commandement de lucifer, de rendre l’obligation malgré luy au Capitaine Flodoar:	à quoi le diable ne pouvant subvenir, après plusieurs discours, il est contraint par le commandement de lucifer, de rendre l'obligation malgré lui au Capitaine Flodoar:
ce qui eſt rare & peu cogneu pour la rareté de l’hiſtoire.	ce qui est rare et peu connu pour la rareté de l'histoire.
AV LECTEVR.	AU LECTEUR.
ONNET.	ONNNET.
S'On pourroit bien tromper le cauteleux Vlyſſe & Quand il ſeroit viuant en ce vaſte vmuers:	S'On pourrait bien tromper le cauteleux Vlysse et Quand il serait vivant en ce vaste vémuers:
Voire l'Ambaſſadeur fils de Maye au yeux verds, Bien qu’il ſoit decoré de cautelle & malice.	Voire l'Ambassadeur fils de Maye au yeux verts, Bien qu'il soit décoré de cautelle et malice.
Les mariniers prudents eſuitent le blandice Des Nymphes d'Achelos en ſillonnans les mers:	Les mariniers prudents évitent le blandice Des Nymphes d'Achelos en sillonnants les mers:
Mais las!	Mais las!
