A MADAME DV RQVLET.	À MADAME DU RQULET.
ADAME, ſel pour aucunement ſatisfaire a ceſte louable inclination qui tranſporte voſtre bel eſprit ſur les aiſles d’vn zele Chreſtien, à la lecture des hiſtoires Sacrees:	ADAME, sel pour aucunement satisfaire à cette louable inclination qui transporte votre bel esprit sur les ailes d'y zele Chrétien, à la lecture des histoires Sacre:
Iay tiré le petit Thobie des pages de la ſaincte Bible pour le preſenter a vos yeux:	Iais tiré le petit Thobie des pages de la sainte Bible pour le présenter à vos yeux:
Ie croiray toutesfois que ie ne iette qu’vne goute d’eau dans les flammes d’vne ſi ardante deuotion, mais l’honneur & le reſpect que vous apportez en ceſte lecture, fera que i’eſtimeray mon preſent mieux digne de voſtre bon œil à cauſe de ſon ſubiect.	Je croirai toutefois que ainsi ne jette qu'une goute d'eau dans les flammes d'une si ardante dévotion, mais l'honneur et le respect que vous apportez en cette lecture, fera que j'estimerai mon présent mieux digne de votre bon œil à cause de son sujet.
Car le gracieux accueil dont il vous preije me receuoir a mon retour de Rome me le faict eſperer & demeurer a iamais pour reuenge des obligations que ie vous en ay:	Car le gracieux accueil dont il vous préjà me recevoir à mon retour de Rome me le fait espérer et demeurer a jamais pour revenge des obligations que je vous en ai:
SONNET A MADIAa Eia l de	SONNET À MADIAa Ejà l de
V'Est à vous, c’eſt à vous ſeule a qui ie deſire, De conſacrer le fruict & labeur de ces vers, Beaucoup vous meritez, mais venant des deſers, Ie n’ay ſçeu nullement meilleur ſubiet eſlire.	V'Est à vous, c'est à vous seule à qui Qui désire, De consacrer le fruit et labeur de ces vers, Beaucoup vous méritez, mais venant des désers, Je n'ai su nullement meilleur sujet élire.
Ma plume pourroit el' plus belle choſe eſcrire, Que ce qu’elle a puiſé dans les celeſtes mers Du double Teſtament, eu l’on trouue des airs Qui nous guident au ciel ou tout le monde aſpire.	Ma plume pourrait él' plus les chose écrire, Que ce qu'elle a puisé dans les célestes mers Du double Testament, eu l'on trouve des airs Qui nous guident au ciel ou tout le monde aspire.
Thobie eſt mon ſubiet dont ie chante le los, Thobie pere & fils en ces vers ſont enclos, Qui plains de charité nous donnent à congnoistre, L’honneur que nous debuons porter au tout-puiſſant Qui afflige ſouuent ceux qui va puniſſant Ce diſcours amplement ſe fait icy paroistre.	Thobie est mon sujet dont on chante le los, Thobie père et fils en ces vers sont enclos, Qui plains de charité nous donnent à connaître, L'honneur que nous débuons porter au tout-puissant Qui afflige souuent ceux qui va punissant Ce discours amplement se fait ici paraître.
AVTRE SONNET.	AUTRE SONNET.
E veux chanter icy la vertu d’Azarie, I Qui allant en Ragez pour y trouuer Gabel, Par le commandement du grand Dieu Eternel, Changea bien toſt ſon nom pour conduire Thobie.	E veux chanter ici la vertu d'Azarie, I Qui allant en Ragez pour y trouver Gabel, Par le commandement du grand Dieu Éternel, Changea bien tôt son nom pour conduire Thobie.
Mais ie veux deſplorer la grande facherie, Qu’endura pour vn temps le pauure Raguel, Qui voyant ſept maris occis en ſon hoſtel, Eſtoit bien estonné de ſi grande turie.	Mais ie veux déplorer la grande fâcherie, Qu'endura pour un temps le pauvre Raguel, Qui voyant sept maris occis en son hôtel, Était bien étonné de si grande turie.
Et vous chere Sarra miroir de chasteté, Anoncerez vous point que l’impudicité De vos chaſtes eſpoux a cauſe leur ruyne.	Et vous chère Sarra miroir de chasteté, Anoncerez -vous point que l'impudicité De vos chastes époux à cause leur ruine.
Confeſſerez vous pas que le lict coniugat Eſt ordonné d’en haut, & que l’homme brutal Merite d'eſprouuer la iuſtice diuine.	Confesserez -vous pas que le lit conjugât Est ordonné d'en haut, et que l'homme brutal Mérite d'éprouver la justice divine.
2T A MADAME DY VLET.	2T À MADAME DY VLET.
Proſopopée de l’Autheur a ſon Liure.	Prosopopée de l'Auteur a son Livre.
V deurois eſtre ſage aux deſpens de Tobie, A Iiure qui vas errant dedans cet vniuers, Si l’Ange n’eust guidé Tobi dans les deſers Il y euſt eſgaré & ſon corps & ſa vie.	V devrais être sage aux dépens de Tobie, A Jure qui vas errant dedans cet univers, Si l'Ange n'eût guidé Tobi dans les des Il y eût égaré et son corps et sa vie.
