A MONSEIGNEVR MONSEIG.	À MONSEIGNEUR MONSEIG.
L’ILLVST.	L'ILLVST.
ET REVER, MESSIRE IACQVES DENEVCHEZES EVESQVE ET COMTE DE CHAALON, &c.	ET RÊVER, MESSIRE IACQVES DENEUCHÉEZES EVESQVE ET COMTE DE CHALON, etc.
Le deſſein que i’ay pris de vous offrir cette Tragi-Comedie ſainte eſt vn veritable effet de voſtre grandeur, c’eſt elle qui m’a fait voir que ce que ie ne pouuois pas rendre recommadable par ſon Autheur, ie pouuois le rendre illuſtre par ſon Protecteur.	Le dessein que j'ai pris de vous offrir cette Tragi-Comédie sainte est un véritable effet de votre grandeur, c'est elle qui m'a fait voir que ce que je ne pouvais pas rendre recommadable par son Auteur, Seigneur pouvais le rendre illustre par son Protecteur.
C’eſtoit trop que de me faire trouuer mon 1 faire conſentir, i’y eſtois deja tout 44  212 porté, & ayant beſoin d’vne protection pour vn Apoſtre, ne deLI uois-je pas la chercher chez vn legitime Succeſſeur des Apoſtres?	C'était trop que de me faire trouver mon 1 faire consentir, j'y étais déjà tout 44 212 porté, et ayant besoin d'une protection pour un Apôtre, ne déLI ais-je pas la chercher chez un légitime Successeur des Apôtres?
l’aduouë (MONSEIGNEVR) que ce que ie vous offre ſeroit abſolument indigne de vous, ſi ce n’eſtoit 310.	l'avoue (MONSEIGNEUR) que ce que je vous offre serait absolument indigne de vous, si ce n'était 310.
vne matiere qui eſt autant releuée que le doit eſtre celle du Triomphe de la Grace.	une matière qui est autant relevée que le doit être celle du Triomphe de la Grâce.
Et comme ie ſçay qu’elle vous doit vne partie de la victoire qu’elle a remportée depuis peu, & que vous ne luy aüez pas refusé voſtre protection lors qu’elle eſtoit combaD.	Et comme ici sais qu'elle vous doit une partie de la victoire qu'elle a remportée depuis peu, et que vous ne lui achevez pas refusé votre protection lors qu'elle était combaD.
11 tuë;	11 tue;
ie ne puis me défier qu’elle n’en foit auantagée lors qu’elle eſt triomphante.	On ne puis me défier qu'elle n'en soit avantagée lors qu'elle est triomphante.
Cette eſperance qui me flatte agreablement, me perſuade déja que vous ne iogerezpas indigne te copie defectueuſe d’vn original ſans deffaut, ſi elle ne repreſente pas fidellement ſon ſujet, du moins elle eſt ſainte comme luy;	Cette espérance qui me flatte agréablement, me persuade déjà que vous ne jogerezpas indigne te copie défectueuse d'un original sans défaut, si elle ne représente pas fidèlement son sujet, du moins elle est sainte comme lui;
& meſme pour l’eſtre dauantage, elle éloigne de ſa Scene le ſexe qui en eſt le plus bel ornement.	et même pour l'être davantage, elle éloigne de sa Scène le sexe qui en est le plus bel ornement.
Toutesfois (MONSEIGNEVR) n’y conſi derez rien que ce grand PAVL, qui vient rendre hommage à vos vertus, & reconnoiſtre vos merites par l’offre qu’il vous en veut faire luy- meſme.	Toutefois (MONSEIGNEUR) n'y consi dèrez rien que ce grand PAUL, qui vient rendre hommage à vos vertus, et reconnaître vos mérites par l'offre qu'il vous en veut faire lui- même.
Tout autre que luy auroit mauuaiſe grace de vous preſenter la Grace meſme, parce que persõne n’en a reſſenti le pouuoir ny goûté les douceurs comme luy.	Tout autre que lui aurait mauvaise grâce de vous présenter la Grâce même, parce que personne n'en a ressenti le pouvoir ni goûté les douceurs comme lui.
Il ſçait qu’elle ne reſpire que dans la paix, & que la paix ne ſe trouuant que chez les debonnaires, ce n’eſt qu’à eux qu’il la faut donner.	Il sçait qu'elle ne respire que dans la paix, et que la paix ne se trouvant que chez les débonnaires, ce n'est qu'à eux qu'il la faut donner.
Cette boi.	Cette boy.
la forme qui eſt ie, comme voſtre ame l’eſt de voſtre corps, qui ne donne pas moins d’agréemens, & d’attraits à voſtre viſage, que la nature luy a donné de majeſté, qui fait paroiſtre ſur voſtre front vn printemps continuël;	la forme qui est ie, comme votre âme l'est de votre corps, qui ne donne pas moins d'agréments, et d'attraits à votre visage, que la nature a a donné de majesté, qui fait paraître sur votre front un printemps continues;
en vn mot par laquelle vous vous rendez le maiſtre abſolu dé tous les cœurs, luy deffend de la preſenten à tout autre qu’à vous.	en un mot par laquelle vous vous rendez le maître absolu de tous les cœurs, Seigneur défend de la présenten à tout autre qu'à vous.
Cela ſuffit, pour faire connoiſtre que toutes les vertus ſont eſſentielles à cette belle ame, qui ne ſeroit pas belle, ſi elle n’auoit ces embelliſſemens:	Cela suffit, pour faire connaître que toutes les vertus sont essentielles à cette belle âme, qui ne serait pas belle, si elle n'avait ces embellissements:
Ie diray dauantage que par la longue & ſainte habitude que vous auez contractée auec elles, vous vous les eſtes toutes renduës comme naturelles, qu’ellestirent beaucoup d’éclar de vôtre perſon.	Je dirai davantage que par la longue et sainte habitude que vous avez contractée auec elles, vous vous les êtes toutes rendues comme naturelles, qu'ellestirent beaucoup d'éclar de votre person.
paroiſſent d’autantplus iliuſtres qu’elles emanent d’vn des plus anciens & des plus majeſtueux Prelats de la France.	paraissent d'autantplus iliustres qu'elles émanent d'une des plus anciens et des plus majestueux Prélats de la France.
Ce n’eſt pas que les vertus ne ſoient touſiours les meſmes, quoyque ie puiſſe dire auec quelques Anciens, qu’elles empruntent quelque choſe de la grandeur ou de la baſſeſſe de ceux dont elles ſortent;	Ce n'est pas que les vertus ne soient toujours les mêmes, quoique je puisse dire avec quelques Anciens, qu'elles empruntent quelque chose de la grandeur ou de la bassesse de ceux dont elles sortent;
ainſi les grandes ames ſont plus propres aux heroiques vertus, elles les font meſme plus noblement que les mediocres, & ce beau feu qui les anime les y porte comme dans leur centre, & leur propre nature.	ainsi les grandes âmes sont plus propres aux héroïques vertus, elles les font même plus noblement que les médiocres, et ce beau feu qui les anime les y porte comme dans leur centre, et leur propre nature.
Ce ſeroit violer les regles d’vne Epiſtre que de déduire les voſtres en particulier.	Ce serait violer les règles d'une Épître que de déduire les vôtres en particulier.
